iter	Passed	Remaining
0	110	110175
1	114	57170
2	118	39413
3	123	30745
4	127	25400
5	131	21803
6	135	19241
7	140	17419
8	146	16109
9	150	14900
10	155	13970
11	161	13285
12	165	12586
13	170	12039
14	175	11546
15	180	11107
16	185	10745
17	191	10451
18	199	10278
19	204	10021
20	210	9797
21	215	9567
22	219	9341
23	225	9173
24	230	8991
25	235	8822
26	241	8693
27	246	8559
28	251	8415
29	256	8297
30	262	8190
31	266	8067
32	271	7967
33	276	7869
34	281	7773
35	287	7690
36	292	7606
37	296	7518
38	302	7458
39	307	7389
40	313	7325
41	318	7271
42	324	7218
43	329	7167
44	331	7029
45	335	6959
46	340	6910
47	346	6869
48	350	6812
49	355	6760
50	361	6728
51	366	6682
52	371	6635
53	377	6611
54	382	6566
55	386	6521
56	392	6494
57	397	6456
58	402	6414
59	407	6389
60	412	6347
61	417	6311
62	423	6294
63	428	6263
64	432	6228
65	438	6208
66	443	6175
67	448	6144
68	454	6126
69	459	6099
70	463	6068
71	469	6051
72	474	6027
73	479	5998
74	484	5981
75	489	5955
76	494	5930
77	495	5861
78	500	5835
79	505	5816
80	510	5791
81	515	5773
82	520	5755
83	525	5733
84	531	5721
85	536	5703
86	542	5691
87	547	5672
88	552	5656
89	558	5642
90	562	5620
91	568	5607
92	573	5594
93	578	5576
94	583	5560
95	589	5551
96	593	5527
97	599	5513
98	604	5497
99	609	5481
100	614	5469
101	620	5458
102	624	5438
103	629	5424
104	634	5408
105	639	5394
106	641	5357
107	646	5342
108	652	5333
109	657	5318
110	662	5302
111	667	5292
112	672	5275
113	677	5265
114	684	5266
115	690	5259
116	695	5247
117	700	5234
118	705	5224
119	711	5216
120	715	5197
121	720	5186
122	725	5173
123	730	5159
124	735	5148
125	740	5135
126	745	5124
127	750	5113
128	755	5100
129	760	5087
130	765	5076
131	770	5064
132	775	5055
133	780	5044
134	785	5030
135	790	5022
136	795	5013
137	800	5002
138	806	4995
139	811	4984
140	816	4972
141	821	4966
142	827	4957
143	832	4946
144	837	4936
145	842	4925
146	846	4913
147	893	5143
148	899	5134
149	911	5164
150	918	5162
151	923	5150
152	927	5137
153	934	5133
154	939	5123
155	945	5113
156	949	5098
157	954	5087
158	959	5076
159	964	5064
160	969	5054
161	975	5045
162	979	5031
163	984	5020
164	989	5009
165	994	4997
166	999	4986
167	1004	4974
168	1009	4963
169	1014	4953
170	1019	4941
171	1024	4930
172	1029	4920
173	1034	4910
174	1039	4899
175	1044	4889
176	1049	4878
177	1054	4869
178	1060	4865
179	1065	4855
180	1071	4848
181	1076	4840
182	1082	4832
183	1086	4819
184	1091	4809
185	1097	4801
186	1101	4788
187	1106	4779
188	1111	4770
189	1116	4759
190	1121	4751
191	1126	4741
192	1131	4731
193	1136	4722
194	1141	4713
195	1146	4703
196	1151	4694
197	1156	4683
198	1161	4675
199	1166	4666
200	1171	4656
201	1176	4648
202	1181	4639
203	1186	4628
204	1191	4622
205	1197	4613
206	1201	4603
207	1206	4595
208	1211	4586
209	1216	4575
210	1222	4569
211	1226	4560
212	1231	4550
213	1237	4543
214	1242	4534
215	1246	4525
216	1252	4520
217	1257	4511
218	1262	4502
219	1268	4495
220	1273	4487
221	1277	4477
222	1283	4470
223	1288	4463
224	1294	4457
225	1299	4450
226	1305	4444
227	1310	4436
228	1314	4427
229	1320	4419
