dataset,mean_fit_time,std_fit_time,mean_score_time,std_score_time,mean_accuracy,std_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_roc_auc,std_roc_auc
1043_ada_agnostic,0.8608165740966797,0.3742761632351955,0.0012404918670654297,0.0019454515209065128,0.8292408869929477,0.008136513677115261,0.863697760271237,0.006983490356749949,0.9177842565597667,0.006293595669073714,0.8898989433457208,0.005112085168865361,0.8747111968196559,0.012400492510073352
1048_jEdit_4,0.3446721076965332,0.27094818658888503,0.0029861927032470703,0.0033784476546734944,0.6289152165864496,0.12619304499890777,0.6644246012644011,0.11616966775091368,0.6907317073170732,0.13799274912194484,0.6715066711500517,0.10908311731238181,0.6423392461197339,0.16170602460029862
1049_pc4,0.020703697204589845,0.0011501505559116077,0.00230712890625,0.0036453629826677537,0.8861342559902085,0.010399785568562914,0.8991468795070482,0.010420549784900177,0.98046875,0.006987712429686843,0.9379900926065566,0.0052861288803313,0.7341790674603174,0.07084850198627773
1050_pc3,0.0226839542388916,0.0021632447199427716,0.0034723758697509767,0.003511911718514822,0.8969935283034325,0.008420281839989696,0.9101828726805661,0.0017128406301977327,0.9821835282155567,0.011250476971966775,0.9447766454907622,0.004881904060533408,0.5745845513472293,0.06818001035844065
1054_mc2,0.01400895118713379,0.0034645396367202342,0.003593158721923828,0.003687871354517237,0.7142045454545455,0.05032820997222398,0.7266762246117084,0.01974469583874427,0.9272727272727274,0.07385489458759963,0.8137598374556567,0.036300529954566084,0.5757969303423849,0.06771240919218528
1056_mc1,1.1820984363555909,0.010474018558555578,0.0017940521240234375,0.0011652142252442043,0.9895422528729478,0.003692852005487195,0.9930015406471429,0.0005224300162325993,0.9964891352349031,0.003585508326381113,0.9947392129318591,0.0018694438790476714,0.25846481119290615,0.1030345922374241
1061_ar4,0.011532831192016601,0.003585047152576747,0.006171751022338867,0.005129936082599588,0.7943722943722944,0.048205752059134375,0.867264239028945,0.029990779208926056,0.8856209150326798,0.0818951901055011,0.8735108604845447,0.03560857027832687,0.6697712418300654,0.05165156480807626
1065_kc3,0.013277959823608399,0.003933799639318233,0.0047839641571044925,0.0045413387453848006,0.8842570473005257,0.015051683919360166,0.90961598950363,0.005000206488452343,0.9686746987951806,0.022346068663845062,0.9380388565207634,0.008847627775407933,0.4539156626506024,0.08785695781524416
1066_kc1-binary,0.015037870407104493,0.004439883970278571,0.002587699890136719,0.0033700116229593577,0.6827586206896552,0.06686454975746661,0.7043767507002802,0.038271701610453936,0.788235294117647,0.13719886811400706,0.7394346698884945,0.07076877305925945,0.7568627450980392,0.05704837853323984
1068_pc1,0.01667470932006836,0.00401909641619676,0.0016057491302490234,0.003211498260498047,0.9287676817088583,0.014898281868263915,0.94006214028693,0.009221095459187508,0.9864593593171053,0.013451667304048771,0.96263274057443,0.007946320669098133,0.6136037826555978,0.0713606242229706
