'class','V1','V2','V3','V4','V5','V6','V7','V8','V9','V10','V11','V12','V13','V14','V15','V16','V17','V18','V19','V20','V21','V22'
"0",101,1980,10,2,12,21,"166611154765497984","195989125409701600","214144693651480448","231088114335266496","244830763412166368","255913802445520832","283434613164984288","304075516466593472","322817322149739584","334548497353657920","358846119168703552","376860517678185536","394874916187667520",350,?,"NaN"
"0",101,1980,10,?,5,21,"165997925582843296","195989125409701600","212070925406674176","222348328755046816","244977795434229536","261991935946799072","273397656627163296","294355554689639424","322817322149739584","334548497353657920","358846119168703552","376860517678185536","394874916187667520",380,?,"NaN"
"0",102,?,8,1,1,10,"177501829385225024","195989125409701600","214472078291289088","231874276985739872","240191653185425376","268774126621293632","287904299582063136","297527031412047552","322817322149739584","337685476550248384","348398750218085376","366413148727567360","384427547237049344",348,81,"NaN"
"0",102,?,8,1,18,21,"177501829385225024","195989125409701600","214472078291289088","231874276985739872","240191653185425376","268774126621293632","287904299582063136","297527031412047552","322817322149739584","334548497353657920","358846119168703552","376860517678185536","394874916187667520",348,?,"NaN"
"0",103,1970,19,2,5,8,"174877157086552960","195989125409701600","208139613878675584","225061597654351360","240191653185425376","253317421021291648","279437087237855968","304075516466593472","322817322149739584","340494376209430784","348398750218085376","366413148727567360","384427547237049344",327,7,"NaN"
"0",103,1970,19,2,6,25,"174877157086552960","195989125409701600","208139613878675584","225061597654351360","240191653185425376","253317421021291648","279437087237855968","304075516466593472","322817322149739584","329882751532415360","358846119168703552","376860517678185536","394874916187667520",327,?,"NaN"
"0",170,1980,547,138,0,8,"171602476185553344","195989125409701600","215564687613750336","228799700848348352","251681876871210368","264140354741992768","283434613164984288","304075516466593472","322817322149739584","338075433331526400","348398750218085376","376133110504521408","384427547237049344",48,297,"NaN"
"0",180,1986,29,1,2,5,"171800942480211424","195989125409701600","211573940107810144","227454402266665216","243131486953828512","267837549056403200","272353944632959808","294355554689639424","322817322149739584","340659062293946304","358118711995039424","376133110504521408","394147509014003392",236,59,"NaN"
"0",180,1986,29,1,4,25,"171800942480211424","195989125409701600","211573940107810144","227454402266665216","243131486953828512","267837549056403200","272353944632959808","294355554689639424","322817322149739584","329882751532415360","358846119168703552","376860517678185536","394874916187667520",236,?,"NaN"
"0",180,1986,29,1,4,8,"171800942480211424","195989125409701600","211573940107810144","227454402266665216","243131486953828512","267837549056403200","272353944632959808","294355554689639424","322817322149739584","340494376209430784","348398750218085376","366413148727567360","384427547237049344",236,7,"NaN"
"0",185,1980,2363,132,4,17,"165100921592631872","195989125409701600","206220772604064736","231068062642282048","243567630903990368","256184715136735936","283434613164984288","304075516466593472","322817322149739584","340308098002448704","348398750218085376","366413148727567360","384427547237049344",56,58,"NaN"
"0",186,1980,153,11,21,25,"176176783827757216","195989125409701600","199570526067081728","221455231711634784","241431898071872128","264969876814526432","283434613164984288","304075516466593472","322817322149739584","330843234068677696","358118711995039424","376133110504521408","394147509014003392",388,160,"NaN"
"0",188,1970,?,?,0,16,"163655600504164416","195989125409701600","207350577539236096","NaN","243962422530316928","268774126621293632","279437087237855968","304075516466593472","322817322149739584","339581865489299968","358846119168703552","376860517678185536","394874916187667520",34,?,"NaN"
"0",188,1970,?,?,2,5,"168481741507574976","195989125409701600","216171833528957120","NaN","244830763412166368","268774126621293632","279437087237855968","304075516466593472","322817322149739584","333262082528533248","358846119168703552","376860517678185536","394874916187667520",29,?,"NaN"
"0",194,1970,165,48,1,9,"163111165966611424","195989125409701600","204051352581244384","220113752163130848","246273830535844160","255098223171889024","279437087237855968","304075516466593472","322817322149739584","325430914141125056","348398750218085376","376133110504521408","394147509014003392",69,498,"NaN"
"0",194,1980,902,88,0,9,"166719619814375616","195989125409701600","206749524610628096","230691027820223776","251681876871210368","264140354741992768","283434613164984288","304075516466593472","322817322149739584","325430914141125056","348398750218085376","376133110504521408","394147509014003392",45,498,"NaN"
"0",197,1980,?,?,8,17,"163264114070551584","195989125409701600","NaN","NaN","243408290218892000","268774126621293632","283434613164984288","304075516466593472","322817322149739584","340308098002448704","348398750218085376","366413148727567360","384427547237049344",27,58,"NaN"
"0",198,1986,87,3,5,8,"172085583353011200","195989125409701600","214772586259867616","222556416271951200","241431898071872128","254306075966263200","272353944632959808","294355554689639424","322817322149739584","333312789434938112","358118711995039424","366413148727567360","384427547237049344",149,25,"NaN"
"0",200,1970,?,?,1,8,"167802767601969376","195989125409701600","199048205189194240","NaN","238301249925067680","268774126621293632","279437087237855968","304075516466593472","322817322149739584","339581865489299968","358846119168703552","376860517678185536","394874916187667520",30,?,"NaN"
"0",203,1980,650,122,1,9,"176683057768461024","195989125409701600","214662709734235072","219344571024106112","237618504797683584","256133423968910464","283434613164984288","304075516466593472","322817322149739584","340971519593873280","358118711995039424","366413148727567360","384427547237049344",39,8,"NaN"
"0",203,1986,323,78,3,8,"171780260584143296","195989125409701600","203444403658685184","227923847996253920","244977795434229536","252388722094646208","272353944632959808","294355554689639424","322817322149739584","339581865489299968","358846119168703552","376860517678185536","394874916187667520",39,?,"NaN"
"0",203,1986,323,78,4,9,"171780260584143296","195989125409701600","203444403658685184","227923847996253920","244977795434229536","252388722094646208","272353944632959808","294355554689639424","322817322149739584","325430914141125056","348398750218085376","376133110504521408","394147509014003392",39,498,"NaN"
"0",204,1980,1361,97,15,17,"177402605741881056","195989125409701600","201297468566577984","226507727529194400","234963367278237856","258295799236034688","283434613164984288","304075516466593472","322817322149739584","340308098002448704","348398750218085376","366413148727567360","384427547237049344",58,58,"NaN"
"0",205,1980,?,?,10,15,"163450794608488032","195989125409701600","203276841849851264","NaN","238301249925067680","268774126621293632","283434613164984288","304075516466593472","322817322149739584","342264682002555904","348398750218085376","376133110504521408","384427547237049344",12,514,"NaN"
"0",205,1980,?,?,14,17,"163450794608488032","195989125409701600","203276841849851264","NaN","238301249925067680","268774126621293632","283434613164984288","304075516466593472","322817322149739584","340308098002448704","348398750218085376","366413148727567360","384427547237049344",12,58,"NaN"
"0",207,1970,?,?,1,4,"165996390144010784","195989125409701600","209026739283435936","NaN","244977795434229536","268774126621293632","279437087237855968","304075516466593472","322817322149739584","341935534851509312","358118711995039424","376133110504521408","394147509014003392",30,1,"NaN"
"0",211,1986,707,112,2,17,"172819355203274592","195989125409701600","204404075964750624","216665975779756672","244977795434229536","261956490720327008","272353944632959808","294355554689639424","322817322149739584","333153808556711168","358118711995039424","376133110504521408","394147509014003392",55,2,"NaN"
"0",211,1986,707,112,3,17,"172819355203274592","195989125409701600","204404075964750624","216665975779756672","244977795434229536","261956490720327008","272353944632959808","294355554689639424","322817322149739584","333153808556711168","358118711995039424","376133110504521408","394147509014003392",55,2,"NaN"
"0",213,1980,1268,90,0,17,"164747975764333152","195989125409701600","201218323554757728","218649334737068864","237368859608199328","268238057148473120","283434613164984288","304075516466593472","322817322149739584","333153808556711168","358118711995039424","376133110504521408","394147509014003392",40,2,"NaN"
"0",214,1983,?,?,7,17,"170054675270481984","195989125409701600","199048205189194240","NaN","244830763412166368","268774126621293632","271445186933788288","294355554689639424","322817322149739584","340308098002448704","348398750218085376","366413148727567360","384427547237049344",28,58,"NaN"
"0",215,1980,640,110,3,8,"168292930013605152","195989125409701600","206343988227530464","229810237757383648","250707313651938016","267227432843981184","283434613164984288","304075516466593472","322817322149739584","339581865489299968","358846119168703552","376860517678185536","394874916187667520",38,?,"NaN"
"0",215,1983,?,?,2,8,"175909216337543776","195989125409701600","209463403246497600","NaN","246273830535844160","268774126621293632","271445186933788288","294355554689639424","322817322149739584","338075433331526400","348398750218085376","376133110504521408","384427547237049344",15,297,"NaN"
"0",215,1983,?,?,5,16,"171939086956385632","195989125409701600","213017229889548864","NaN","244977795434229536","268774126621293632","271445186933788288","294355554689639424","322817322149739584","339581865489299968","358846119168703552","376860517678185536","394874916187667520",36,?,"NaN"
"0",215,1983,?,?,7,9,"171939086956385632","195989125409701600","213017229889548864","NaN","244977795434229536","268774126621293632","271445186933788288","294355554689639424","322817322149739584","339198206594020992","348398750218085376","366413148727567360","384427547237049344",36,227,"NaN"
