Method,Dataset,MAE
ACC,1043_ada_agnostic,0.05115
ACC,1069_pc2,0.4918
ACC,11_balance-scale,0.01905
ACC,12_mfeat-factors,0.0059499999999999
ACC,1460_banana,0.25875
ACC,1462_banknote-authentication,0.0072499999999999
ACC,1466_cardiotocography,0.0
ACC,1475_first-order-theorem-proving,0.09505
ACC,1479_hill-valley,0.05155
ACC,1485_madelon,0.1593
ACC,1489_phoneme,0.1085
ACC,1494_qsar-biodeg,0.0762
ACC,1496_ringnorm,0.06365
ACC,1497_wall-robot-navigation,0.0615
ACC,14_mfeat-fourier,0.00975
ACC,1504_steel-plates-fault,0.0
ACC,1507_twonorm,0.01115
ACC,1510_wdbc,0.0135
ACC,1526_wall-robot-navigation,0.08505
ACC,1527_volcanoes-a1,0.044
ACC,1535_volcanoes-b5,0.09415
ACC,1538_volcanoes-d1,0.5
ACC,1539_volcanoes-d2,0.5
ACC,1540_volcanoes-d3,0.2511
ACC,1541_volcanoes-d4,0.32155
ACC,1547_autoUniv-au1-1000,0.5
ACC,1566_hill-valley,0.12895
ACC,1570_wilt,0.08715
ACC,16_mfeat-karhunen,0.0137
ACC,182_satimage,0.0130499999999999
ACC,18_mfeat-morphological,0.0065
ACC,20_mfeat-pixel,0.0162
ACC,22_mfeat-zernike,0.0323
ACC,23_cmc,0.11215
ACC,28_optdigits,0.0204
ACC,292_Australian,0.03105
ACC,294_satellite_image,0.0152
ACC,30_page-blocks,0.0713
ACC,312_scene,0.01445
ACC,333_monks-problems-1,0.09785
ACC,334_monks-problems-2,0.5
ACC,335_monks-problems-3,0.01475
ACC,36_segment,0.00745
ACC,375_JapaneseVowels,0.0247
ACC,37_diabetes,0.1377
ACC,40474_thyroid-allbp,0.08035
ACC,40475_thyroid-allhyper,0.09195
ACC,40733_yeast,0.3874499999999999
ACC,44_spambase,0.02215
ACC,4538_GesturePhaseSegmentationProcessed,0.1512
ACC,458_analcatdata_authorship,0.0052
ACC,54_vehicle,0.0276
ACC,60_waveform-5000,0.0344
ACC,679_rmftsa_sleepdata,0.5
ACC,AedesQuinx,0.04875
ACC,AedesSex,0.0115
ACC,anuranCalls,0.01075
ACC,ArabicDigit,0.01085
ACC,BNG,0.0229499999999999
ACC,click-prediction,0.02025
ACC,cmc,0.4985
ACC,covtype_reduced,0.09885
ACC,default_credit_card_clients,0.06985
ACC,eeg,0.10875
ACC,HTRU,0.2412
ACC,jm1-processed,0.1733
ACC,letter-recognition,0.5
ACC,magic,0.0599
ACC,mozilla,0.04195
ACC,namao,0.02145
ACC,occupancy,0.0076
ACC,phoneme,0.1012
ACC,spambase,0.0246
ACC,winetype,0.0051
BASELINE+TOP1,1043_ada_agnostic,0.0679849999999999
BASELINE+TOP1,1069_pc2,0.4352933333333332
BASELINE+TOP1,11_balance-scale,0.0304999999999999
BASELINE+TOP1,12_mfeat-factors,0.01183
BASELINE+TOP1,1460_banana,0.23819
BASELINE+TOP1,1462_banknote-authentication,0.0066199999999999
BASELINE+TOP1,1466_cardiotocography,0.00419
BASELINE+TOP1,1475_first-order-theorem-proving,0.0809333333333333
BASELINE+TOP1,1479_hill-valley,0.10667
BASELINE+TOP1,1485_madelon,0.1081283333333333
BASELINE+TOP1,1489_phoneme,0.084765
BASELINE+TOP1,1494_qsar-biodeg,0.06684
BASELINE+TOP1,1496_ringnorm,0.0596066666666666
BASELINE+TOP1,1497_wall-robot-navigation,0.0486033333333333
BASELINE+TOP1,14_mfeat-fourier,0.0125866666666666
BASELINE+TOP1,1504_steel-plates-fault,0.0022183333333333
BASELINE+TOP1,1507_twonorm,0.0052633333333333
BASELINE+TOP1,1510_wdbc,0.01467
BASELINE+TOP1,1526_wall-robot-navigation,0.0674633333333333
BASELINE+TOP1,1527_volcanoes-a1,0.0639083333333333
BASELINE+TOP1,1535_volcanoes-b5,0.1002616666666666
BASELINE+TOP1,1538_volcanoes-d1,0.4320649999999999
BASELINE+TOP1,1539_volcanoes-d2,0.4087216666666666
BASELINE+TOP1,1540_volcanoes-d3,0.204125
BASELINE+TOP1,1541_volcanoes-d4,0.209095
BASELINE+TOP1,1547_autoUniv-au1-1000,0.3217433333333333
BASELINE+TOP1,1566_hill-valley,0.1217866666666667
BASELINE+TOP1,1570_wilt,0.1454583333333333
BASELINE+TOP1,16_mfeat-karhunen,0.02545
BASELINE+TOP1,182_satimage,0.0107683333333333
BASELINE+TOP1,18_mfeat-morphological,0.0091583333333333
BASELINE+TOP1,20_mfeat-pixel,0.0194566666666666
BASELINE+TOP1,22_mfeat-zernike,0.041675
BASELINE+TOP1,23_cmc,0.0993699999999999
BASELINE+TOP1,28_optdigits,0.0255416666666666
BASELINE+TOP1,292_Australian,0.0425633333333333
BASELINE+TOP1,294_satellite_image,0.010915
BASELINE+TOP1,30_page-blocks,0.0545649999999999
BASELINE+TOP1,312_scene,0.0126783333333333
