dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.000997304916381836
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.00014829635620117188
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0010251998901367188
1043_ada_agnostic,0.0,100,0.0,0.08,0.08,0.0
1043_ada_agnostic,0.0,100,0.0,0.02,0.02,0.0
1043_ada_agnostic,0.0,100,0.0,0.06,0.06,0.0
1043_ada_agnostic,0.0,100,0.0,0.12,0.12,0.0009970664978027344
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.002234220504760742
1043_ada_agnostic,0.0,100,0.0,0.12,0.12,0.0
1043_ada_agnostic,0.05,100,0.05,0.12,0.07,0.0
1043_ada_agnostic,0.05,100,0.05,0.04,0.01,0.0
1043_ada_agnostic,0.05,100,0.05,0.06,0.01,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.1,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.02,0.03,0.0
1043_ada_agnostic,0.05,100,0.05,0.13,0.08,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0010304450988769531
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.000997304916381836
1043_ada_agnostic,0.11,100,0.11,0.06,0.05,0.0
1043_ada_agnostic,0.11,100,0.11,0.15,0.04,0.0
1043_ada_agnostic,0.11,100,0.11,0.1,0.01,0.0009663105010986328
1043_ada_agnostic,0.11,100,0.11,0.13,0.02,0.0009663105010986328
1043_ada_agnostic,0.11,100,0.11,0.23,0.12,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0009949207305908203
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0010287761688232422
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0015614032745361328
1043_ada_agnostic,0.11,100,0.11,0.19,0.08,0.0009968280792236328
1043_ada_agnostic,0.16,100,0.16,0.21,0.05,0.0
1043_ada_agnostic,0.16,100,0.16,0.13,0.03,0.0009968280792236328
1043_ada_agnostic,0.16,100,0.16,0.25,0.09,0.0009627342224121094
1043_ada_agnostic,0.16,100,0.16,0.15,0.01,0.0
1043_ada_agnostic,0.16,100,0.16,0.19,0.03,0.0
1043_ada_agnostic,0.16,100,0.16,0.15,0.01,0.0
1043_ada_agnostic,0.16,100,0.16,0.21,0.05,0.001003265380859375
1043_ada_agnostic,0.16,100,0.16,0.21,0.05,0.0009646415710449219
1043_ada_agnostic,0.16,100,0.16,0.21,0.05,0.0
1043_ada_agnostic,0.16,100,0.16,0.19,0.03,0.0
1043_ada_agnostic,0.21,100,0.21,0.17,0.04,0.0
1043_ada_agnostic,0.21,100,0.21,0.19,0.02,0.0
1043_ada_agnostic,0.21,100,0.21,0.25,0.04,0.0009970664978027344
1043_ada_agnostic,0.21,100,0.21,0.27,0.06,0.0010046958923339844
1043_ada_agnostic,0.21,100,0.21,0.21,0.0,0.0
1043_ada_agnostic,0.21,100,0.21,0.35,0.14,0.0
1043_ada_agnostic,0.21,100,0.21,0.17,0.04,0.0009953975677490234
1043_ada_agnostic,0.21,100,0.21,0.25,0.04,0.0
1043_ada_agnostic,0.21,100,0.21,0.29,0.08,0.0
1043_ada_agnostic,0.21,100,0.21,0.12,0.09,0.0009980201721191406
1043_ada_agnostic,0.26,100,0.26,0.1,0.16,0.0
1043_ada_agnostic,0.26,100,0.26,0.42,0.16,0.0
1043_ada_agnostic,0.26,100,0.26,0.27,0.01,0.0
1043_ada_agnostic,0.26,100,0.26,0.17,0.09,0.0
1043_ada_agnostic,0.26,100,0.26,0.35,0.09,0.0009634494781494141
1043_ada_agnostic,0.26,100,0.26,0.48,0.22,0.0
1043_ada_agnostic,0.26,100,0.26,0.31,0.05,0.0
1043_ada_agnostic,0.26,100,0.26,0.37,0.11,0.0
1043_ada_agnostic,0.26,100,0.26,0.23,0.03,0.0009968280792236328
1043_ada_agnostic,0.26,100,0.26,0.29,0.03,0.0
1043_ada_agnostic,0.32,100,0.32,0.27,0.05,0.0
1043_ada_agnostic,0.32,100,0.32,0.31,0.01,0.0010311603546142578
1043_ada_agnostic,0.32,100,0.32,0.25,0.07,0.0010135173797607422
1043_ada_agnostic,0.32,100,0.32,0.4,0.08,0.0
1043_ada_agnostic,0.32,100,0.32,0.33,0.01,0.0
1043_ada_agnostic,0.32,100,0.32,0.25,0.07,0.0009989738464355469
1043_ada_agnostic,0.32,100,0.32,0.37,0.05,0.001996755599975586
1043_ada_agnostic,0.32,100,0.32,0.33,0.01,0.0
1043_ada_agnostic,0.32,100,0.32,0.35,0.03,0.0
1043_ada_agnostic,0.32,100,0.32,0.31,0.01,0.0014913082122802734
1043_ada_agnostic,0.37,100,0.37,0.38,0.01,0.0010001659393310547
1043_ada_agnostic,0.37,100,0.37,0.42,0.05,0.0
1043_ada_agnostic,0.37,100,0.37,0.33,0.04,0.0
1043_ada_agnostic,0.37,100,0.37,0.35,0.02,0.0010294914245605469
1043_ada_agnostic,0.37,100,0.37,0.44,0.07,0.0
1043_ada_agnostic,0.37,100,0.37,0.46,0.09,0.0
1043_ada_agnostic,0.37,100,0.37,0.46,0.09,0.000997304916381836
1043_ada_agnostic,0.37,100,0.37,0.48,0.11,0.0
1043_ada_agnostic,0.37,100,0.37,0.4,0.03,0.0
1043_ada_agnostic,0.37,100,0.37,0.44,0.07,0.0009653568267822266
1043_ada_agnostic,0.42,100,0.42,0.46,0.04,0.0
1043_ada_agnostic,0.42,100,0.42,0.4,0.02,0.0009968280792236328
1043_ada_agnostic,0.42,100,0.42,0.4,0.02,0.0
1043_ada_agnostic,0.42,100,0.42,0.38,0.04,0.0
1043_ada_agnostic,0.42,100,0.42,0.31,0.11,0.0
1043_ada_agnostic,0.42,100,0.42,0.4,0.02,0.0009980201721191406
1043_ada_agnostic,0.42,100,0.42,0.46,0.04,0.0009970664978027344
1043_ada_agnostic,0.42,100,0.42,0.44,0.02,0.0009970664978027344
1043_ada_agnostic,0.42,100,0.42,0.35,0.07,0.0
1043_ada_agnostic,0.42,100,0.42,0.6,0.18,0.0
1043_ada_agnostic,0.47,100,0.47,0.4,0.07,0.0009660720825195312
1043_ada_agnostic,0.47,100,0.47,0.4,0.07,0.0
1043_ada_agnostic,0.47,100,0.47,0.48,0.01,0.0
1043_ada_agnostic,0.47,100,0.47,0.56,0.09,0.0011322498321533203
1043_ada_agnostic,0.47,100,0.47,0.52,0.05,0.0009918212890625
1043_ada_agnostic,0.47,100,0.47,0.5,0.03,0.000997304916381836
1043_ada_agnostic,0.47,100,0.47,0.44,0.03,0.0
1043_ada_agnostic,0.47,100,0.47,0.52,0.05,0.0009944438934326172
1043_ada_agnostic,0.47,100,0.47,0.52,0.05,0.0
1043_ada_agnostic,0.47,100,0.47,0.48,0.01,0.0010483264923095703
1043_ada_agnostic,0.53,100,0.53,0.46,0.07,0.0
1043_ada_agnostic,0.53,100,0.53,0.48,0.05,0.0010323524475097656
1043_ada_agnostic,0.53,100,0.53,0.6,0.07,0.0
1043_ada_agnostic,0.53,100,0.53,0.5,0.03,0.0009982585906982422
1043_ada_agnostic,0.53,100,0.53,0.6,0.07,0.0
1043_ada_agnostic,0.53,100,0.53,0.58,0.05,0.0
1043_ada_agnostic,0.53,100,0.53,0.56,0.03,0.0
1043_ada_agnostic,0.53,100,0.53,0.52,0.01,0.0
1043_ada_agnostic,0.53,100,0.53,0.54,0.01,0.0
1043_ada_agnostic,0.53,100,0.53,0.65,0.12,0.0
1043_ada_agnostic,0.58,100,0.58,0.67,0.09,0.0
1043_ada_agnostic,0.58,100,0.58,0.63,0.05,0.0
1043_ada_agnostic,0.58,100,0.58,0.5,0.08,0.0009646415710449219
1043_ada_agnostic,0.58,100,0.58,0.54,0.04,0.0
1043_ada_agnostic,0.58,100,0.58,0.63,0.05,0.0009968280792236328
1043_ada_agnostic,0.58,100,0.58,0.52,0.06,0.0
1043_ada_agnostic,0.58,100,0.58,0.65,0.07,0.0
1043_ada_agnostic,0.58,100,0.58,0.69,0.11,0.0
1043_ada_agnostic,0.58,100,0.58,0.69,0.11,0.0006544589996337891
1043_ada_agnostic,0.58,100,0.58,0.58,0.0,0.0
1043_ada_agnostic,0.63,100,0.63,0.73,0.1,0.0
1043_ada_agnostic,0.63,100,0.63,0.63,0.0,0.0
1043_ada_agnostic,0.63,100,0.63,0.62,0.01,0.0
1043_ada_agnostic,0.63,100,0.63,0.56,0.07,0.0
1043_ada_agnostic,0.63,100,0.63,0.69,0.06,0.0
1043_ada_agnostic,0.63,100,0.63,0.65,0.02,0.0
1043_ada_agnostic,0.63,100,0.63,0.71,0.08,0.0
1043_ada_agnostic,0.63,100,0.63,0.69,0.06,0.0
1043_ada_agnostic,0.63,100,0.63,0.69,0.06,0.0
1043_ada_agnostic,0.63,100,0.63,0.6,0.03,0.0010309219360351562
1043_ada_agnostic,0.68,100,0.68,0.69,0.01,0.0
1043_ada_agnostic,0.68,100,0.68,0.73,0.05,0.0
1043_ada_agnostic,0.68,100,0.68,0.69,0.01,0.000997304916381836
1043_ada_agnostic,0.68,100,0.68,0.77,0.09,0.0009975433349609375
1043_ada_agnostic,0.68,100,0.68,0.65,0.03,0.0009918212890625
1043_ada_agnostic,0.68,100,0.68,0.81,0.13,0.0
1043_ada_agnostic,0.68,100,0.68,0.73,0.05,0.0010313987731933594
1043_ada_agnostic,0.68,100,0.68,0.73,0.05,0.0
1043_ada_agnostic,0.68,100,0.68,0.71,0.03,0.000997304916381836
1043_ada_agnostic,0.68,100,0.68,0.63,0.05,0.0
1043_ada_agnostic,0.74,100,0.74,0.69,0.05,0.000997781753540039
1043_ada_agnostic,0.74,100,0.74,0.81,0.07,0.0009937286376953125
1043_ada_agnostic,0.74,100,0.74,0.87,0.13,0.0
1043_ada_agnostic,0.74,100,0.74,0.83,0.09,0.0009982585906982422
1043_ada_agnostic,0.74,100,0.74,0.87,0.13,0.0009970664978027344
1043_ada_agnostic,0.74,100,0.74,0.81,0.07,0.0
1043_ada_agnostic,0.74,100,0.74,0.79,0.05,0.0
1043_ada_agnostic,0.74,100,0.74,0.77,0.03,0.0
1043_ada_agnostic,0.74,100,0.74,0.75,0.01,0.0
1043_ada_agnostic,0.74,100,0.74,0.77,0.03,0.000997304916381836
1043_ada_agnostic,0.79,100,0.79,0.83,0.04,0.0009999275207519531
1043_ada_agnostic,0.79,100,0.79,0.81,0.02,0.0
1043_ada_agnostic,0.79,100,0.79,0.87,0.08,0.0
1043_ada_agnostic,0.79,100,0.79,0.87,0.08,0.0
1043_ada_agnostic,0.79,100,0.79,0.77,0.02,0.0
1043_ada_agnostic,0.79,100,0.79,0.9,0.11,0.0009982585906982422
1043_ada_agnostic,0.79,100,0.79,0.79,0.0,0.0
1043_ada_agnostic,0.79,100,0.79,0.83,0.04,0.0021483898162841797
1043_ada_agnostic,0.79,100,0.79,0.87,0.08,0.0
1043_ada_agnostic,0.79,100,0.79,0.75,0.04,0.0
1043_ada_agnostic,0.84,100,0.84,0.75,0.09,0.0
1043_ada_agnostic,0.84,100,0.84,0.87,0.03,0.000997781753540039
1043_ada_agnostic,0.84,100,0.84,0.83,0.01,0.0009970664978027344
1043_ada_agnostic,0.84,100,0.84,0.73,0.11,0.0010268688201904297
1043_ada_agnostic,0.84,100,0.84,0.83,0.01,0.0
1043_ada_agnostic,0.84,100,0.84,0.88,0.04,0.0
1043_ada_agnostic,0.84,100,0.84,0.88,0.04,0.00102996826171875
1043_ada_agnostic,0.84,100,0.84,0.9,0.06,0.0009970664978027344
1043_ada_agnostic,0.84,100,0.84,0.87,0.03,0.0
1043_ada_agnostic,0.84,100,0.84,0.73,0.11,0.0
1043_ada_agnostic,0.89,100,0.89,0.94,0.05,0.0009965896606445312
1043_ada_agnostic,0.89,100,0.89,0.87,0.02,0.0
1043_ada_agnostic,0.89,100,0.89,0.92,0.03,0.0
1043_ada_agnostic,0.89,100,0.89,0.9,0.01,0.0
1043_ada_agnostic,0.89,100,0.89,0.85,0.04,0.0009970664978027344
1043_ada_agnostic,0.89,100,0.89,0.77,0.12,0.0010361671447753906
1043_ada_agnostic,0.89,100,0.89,0.94,0.05,0.0
1043_ada_agnostic,0.89,100,0.89,0.92,0.03,0.000997304916381836
1043_ada_agnostic,0.89,100,0.89,0.96,0.07,0.000997781753540039
1043_ada_agnostic,0.89,100,0.89,0.9,0.01,0.0009918212890625
1043_ada_agnostic,0.95,100,0.95,0.96,0.01,0.0
1043_ada_agnostic,0.95,100,0.95,0.96,0.01,0.0
1043_ada_agnostic,0.95,100,0.95,0.9,0.05,0.0010294914245605469
1043_ada_agnostic,0.95,100,0.95,0.98,0.03,0.0
1043_ada_agnostic,0.95,100,0.95,1.0,0.05,0.0009982585906982422
1043_ada_agnostic,0.95,100,0.95,1.0,0.05,0.0
1043_ada_agnostic,0.95,100,0.95,1.0,0.05,0.0
1043_ada_agnostic,0.95,100,0.95,1.0,0.05,0.0
1043_ada_agnostic,0.95,100,0.95,0.96,0.01,0.0010106563568115234
1043_ada_agnostic,0.95,100,0.95,1.0,0.05,0.0
1043_ada_agnostic,1.0,100,1.0,1.0,0.0,0.0
1043_ada_agnostic,1.0,100,1.0,1.0,0.0,0.0
1043_ada_agnostic,1.0,100,1.0,1.0,0.0,0.0009963512420654297
1043_ada_agnostic,1.0,100,1.0,0.94,0.06,0.0009975433349609375
1043_ada_agnostic,1.0,100,1.0,1.0,0.0,0.0
1043_ada_agnostic,1.0,100,1.0,1.0,0.0,0.000997304916381836
1043_ada_agnostic,1.0,100,1.0,0.98,0.02,0.0
1043_ada_agnostic,1.0,100,1.0,1.0,0.0,0.0009975433349609375
1043_ada_agnostic,1.0,100,1.0,1.0,0.0,0.0010313987731933594
1043_ada_agnostic,1.0,100,1.0,1.0,0.0,0.000997304916381836
1048_jEdit_4,0.0,100,0.0,0.0,0.0,0.001997709274291992
1048_jEdit_4,0.0,100,0.0,0.0,0.0,0.0009982585906982422
1048_jEdit_4,0.0,100,0.0,0.0,0.0,0.0009970664978027344
1048_jEdit_4,0.0,100,0.0,0.0,0.0,0.000995635986328125
1048_jEdit_4,0.0,100,0.0,0.0,0.0,0.0009951591491699219
1048_jEdit_4,0.0,100,0.0,0.0,0.0,0.0009987354278564453
1048_jEdit_4,0.0,100,0.0,0.0,0.0,0.0
1048_jEdit_4,0.0,100,0.0,0.0,0.0,0.0009992122650146484
1048_jEdit_4,0.0,100,0.0,0.0,0.0,0.0009636878967285156
1048_jEdit_4,0.0,100,0.0,0.0,0.0,0.000997781753540039
1048_jEdit_4,0.05,100,0.05,0.0,0.05,0.0
1048_jEdit_4,0.05,100,0.05,0.0,0.05,0.0
1048_jEdit_4,0.05,100,0.05,0.0,0.05,0.0009958744049072266
1048_jEdit_4,0.05,100,0.05,0.0,0.05,0.0009961128234863281
1048_jEdit_4,0.05,100,0.05,0.0,0.05,0.003988742828369141
1048_jEdit_4,0.05,100,0.05,0.0,0.05,0.0009970664978027344
1048_jEdit_4,0.05,100,0.05,0.0,0.05,0.0009961128234863281
1048_jEdit_4,0.05,100,0.05,0.0,0.05,0.0
1048_jEdit_4,0.05,100,0.05,0.0,0.05,0.0
1048_jEdit_4,0.05,100,0.05,0.0,0.05,0.0009658336639404297
1048_jEdit_4,0.11,100,0.11,0.05,0.06,0.000997304916381836
1048_jEdit_4,0.11,100,0.11,0.0,0.11,0.0
1048_jEdit_4,0.11,100,0.11,0.0,0.11,0.0
1048_jEdit_4,0.11,100,0.11,0.0,0.11,0.0
1048_jEdit_4,0.11,100,0.11,0.0,0.11,0.0009968280792236328
1048_jEdit_4,0.11,100,0.11,0.0,0.11,0.0009961128234863281
1048_jEdit_4,0.11,100,0.11,0.0,0.11,0.0009968280792236328
1048_jEdit_4,0.11,100,0.11,0.0,0.11,0.0
1048_jEdit_4,0.11,100,0.11,0.0,0.11,0.0
1048_jEdit_4,0.11,100,0.11,0.0,0.11,0.0
1048_jEdit_4,0.16,100,0.16,0.0,0.16,0.0
1048_jEdit_4,0.16,100,0.16,0.0,0.16,0.0
1048_jEdit_4,0.16,100,0.16,0.0,0.16,0.0
1048_jEdit_4,0.16,100,0.16,0.0,0.16,0.0
1048_jEdit_4,0.16,100,0.16,0.0,0.16,0.0010309219360351562
1048_jEdit_4,0.16,100,0.16,0.0,0.16,0.0
1048_jEdit_4,0.16,100,0.16,0.0,0.16,0.0010058879852294922
1048_jEdit_4,0.16,100,0.16,0.0,0.16,0.0
1048_jEdit_4,0.16,100,0.16,0.0,0.16,0.0009968280792236328
1048_jEdit_4,0.16,100,0.16,0.14,0.02,0.000997304916381836
1048_jEdit_4,0.21,100,0.21,0.0,0.21,0.0
1048_jEdit_4,0.21,100,0.21,0.0,0.21,0.0
1048_jEdit_4,0.21,100,0.21,0.0,0.21,0.0
1048_jEdit_4,0.21,100,0.21,0.41,0.2,0.0
1048_jEdit_4,0.21,100,0.21,0.0,0.21,0.0
1048_jEdit_4,0.21,100,0.21,0.0,0.21,0.0
1048_jEdit_4,0.21,100,0.21,0.0,0.21,0.0009970664978027344
1048_jEdit_4,0.21,100,0.21,0.0,0.21,0.0009970664978027344
1048_jEdit_4,0.21,100,0.21,0.0,0.21,0.0
1048_jEdit_4,0.21,100,0.21,0.14,0.07,0.0
1048_jEdit_4,0.26,100,0.26,0.0,0.26,0.0009996891021728516
1048_jEdit_4,0.26,100,0.26,0.0,0.26,0.0
1048_jEdit_4,0.26,100,0.26,0.0,0.26,0.0
1048_jEdit_4,0.26,100,0.26,0.0,0.26,0.0010230541229248047
1048_jEdit_4,0.26,100,0.26,0.0,0.26,0.0
1048_jEdit_4,0.26,100,0.26,0.14,0.12,0.0009641647338867188
1048_jEdit_4,0.26,100,0.26,0.05,0.21,0.0009636878967285156
1048_jEdit_4,0.26,100,0.26,0.05,0.21,0.0
1048_jEdit_4,0.26,100,0.26,0.0,0.26,0.0
1048_jEdit_4,0.26,100,0.26,0.41,0.15,0.0010280609130859375
1048_jEdit_4,0.32,100,0.32,0.05,0.27,0.0
1048_jEdit_4,0.32,100,0.32,0.32,0.0,0.0
1048_jEdit_4,0.32,100,0.32,0.0,0.32,0.0
1048_jEdit_4,0.32,100,0.32,0.23,0.09,0.0
1048_jEdit_4,0.32,100,0.32,0.18,0.14,0.0
1048_jEdit_4,0.32,100,0.32,0.0,0.32,0.0
1048_jEdit_4,0.32,100,0.32,0.0,0.32,0.0
1048_jEdit_4,0.32,100,0.32,0.09,0.23,0.0
1048_jEdit_4,0.32,100,0.32,0.0,0.32,0.0
1048_jEdit_4,0.32,100,0.32,0.0,0.32,0.0009634494781494141
1048_jEdit_4,0.37,100,0.37,0.0,0.37,0.0009970664978027344
1048_jEdit_4,0.37,100,0.37,0.23,0.14,0.0
1048_jEdit_4,0.37,100,0.37,0.14,0.23,0.0
1048_jEdit_4,0.37,100,0.37,0.05,0.32,0.0009644031524658203
1048_jEdit_4,0.37,100,0.37,0.45,0.08,0.0
1048_jEdit_4,0.37,100,0.37,0.0,0.37,0.0
1048_jEdit_4,0.37,100,0.37,0.23,0.14,0.0010290145874023438
1048_jEdit_4,0.37,100,0.37,0.0,0.37,0.0009975433349609375
1048_jEdit_4,0.37,100,0.37,0.45,0.08,0.0009968280792236328
1048_jEdit_4,0.37,100,0.37,0.18,0.19,0.0
1048_jEdit_4,0.42,100,0.42,0.14,0.28,0.0
1048_jEdit_4,0.42,100,0.42,0.32,0.1,0.0
1048_jEdit_4,0.42,100,0.42,0.0,0.42,0.0
1048_jEdit_4,0.42,100,0.42,0.18,0.24,0.0
1048_jEdit_4,0.42,100,0.42,0.0,0.42,0.0
1048_jEdit_4,0.42,100,0.42,0.0,0.42,0.0
1048_jEdit_4,0.42,100,0.42,0.14,0.28,0.0009980201721191406
1048_jEdit_4,0.42,100,0.42,0.0,0.42,0.0009753704071044922
1048_jEdit_4,0.42,100,0.42,0.18,0.24,0.0009975433349609375
1048_jEdit_4,0.42,100,0.42,0.14,0.28,0.0009961128234863281
1048_jEdit_4,0.47,100,0.47,0.0,0.47,0.0
