dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.07419323921203613
1043_ada_agnostic,0.0,100,0.0,0.05,0.05,0.07438278198242188
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0819087028503418
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.08074021339416504
1043_ada_agnostic,0.0,100,0.0,0.05,0.05,0.07887506484985352
1043_ada_agnostic,0.0,100,0.0,0.02,0.02,0.08487200736999512
1043_ada_agnostic,0.0,100,0.0,0.02,0.02,0.08064842224121094
1043_ada_agnostic,0.0,100,0.0,0.06,0.06,0.10007929801940918
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0957329273223877
1043_ada_agnostic,0.0,100,0.0,0.11,0.11,0.07734251022338867
1043_ada_agnostic,0.05,100,0.05,0.11,0.06,0.07817935943603516
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.0813288688659668
1043_ada_agnostic,0.05,100,0.05,0.1,0.05,0.07394194602966309
1043_ada_agnostic,0.05,100,0.05,0.11,0.06,0.0750265121459961
1043_ada_agnostic,0.05,100,0.05,0.04,0.01,0.07569003105163574
1043_ada_agnostic,0.05,100,0.05,0.05,0.0,0.07983541488647461
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.07661914825439453
1043_ada_agnostic,0.05,100,0.05,0.03,0.02,0.08440732955932617
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.07818961143493652
1043_ada_agnostic,0.05,100,0.05,0.04,0.01,0.07516837120056152
1043_ada_agnostic,0.11,100,0.11,0.17,0.06,0.07697153091430664
1043_ada_agnostic,0.11,100,0.11,0.15,0.04,0.0793759822845459
1043_ada_agnostic,0.11,100,0.11,0.14,0.03,0.0842897891998291
1043_ada_agnostic,0.11,100,0.11,0.2,0.09,0.07696652412414551
1043_ada_agnostic,0.11,100,0.11,0.26,0.15,0.07398295402526855
1043_ada_agnostic,0.11,100,0.11,0.09,0.02,0.0788261890411377
1043_ada_agnostic,0.11,100,0.11,0.12,0.01,0.08443808555603027
1043_ada_agnostic,0.11,100,0.11,0.02,0.09,0.08024835586547852
1043_ada_agnostic,0.11,100,0.11,0.08,0.03,0.08865523338317871
1043_ada_agnostic,0.11,100,0.11,0.15,0.04,0.07849669456481934
1043_ada_agnostic,0.16,100,0.16,0.2,0.04,0.09059882164001465
1043_ada_agnostic,0.16,100,0.16,0.25,0.09,0.0831761360168457
1043_ada_agnostic,0.16,100,0.16,0.3,0.14,0.07594490051269531
1043_ada_agnostic,0.16,100,0.16,0.16,0.0,0.08197307586669922
1043_ada_agnostic,0.16,100,0.16,0.17,0.01,0.08349466323852539
1043_ada_agnostic,0.16,100,0.16,0.17,0.01,0.07327485084533691
1043_ada_agnostic,0.16,100,0.16,0.24,0.08,0.06861734390258789
1043_ada_agnostic,0.16,100,0.16,0.19,0.03,0.07176375389099121
1043_ada_agnostic,0.16,100,0.16,0.26,0.1,0.07144784927368164
1043_ada_agnostic,0.16,100,0.16,0.19,0.03,0.0758364200592041
1043_ada_agnostic,0.21,100,0.21,0.25,0.04,0.13359570503234863
1043_ada_agnostic,0.21,100,0.21,0.18,0.03,0.07874107360839844
1043_ada_agnostic,0.21,100,0.21,0.25,0.04,0.07298707962036133
1043_ada_agnostic,0.21,100,0.21,0.28,0.07,0.07256317138671875
1043_ada_agnostic,0.21,100,0.21,0.23,0.02,0.08389592170715332
1043_ada_agnostic,0.21,100,0.21,0.29,0.08,0.08211517333984375
1043_ada_agnostic,0.21,100,0.21,0.26,0.05,0.07425355911254883
1043_ada_agnostic,0.21,100,0.21,0.23,0.02,0.07591986656188965
1043_ada_agnostic,0.21,100,0.21,0.32,0.11,0.07368087768554688
1043_ada_agnostic,0.21,100,0.21,0.22,0.01,0.08198666572570801
1043_ada_agnostic,0.26,100,0.26,0.18,0.08,0.07196593284606934
1043_ada_agnostic,0.26,100,0.26,0.41,0.15,0.07806038856506348
1043_ada_agnostic,0.26,100,0.26,0.22,0.04,0.07318925857543945
1043_ada_agnostic,0.26,100,0.26,0.3,0.04,0.06997394561767578
1043_ada_agnostic,0.26,100,0.26,0.28,0.02,0.08636975288391113
1043_ada_agnostic,0.26,100,0.26,0.44,0.18,0.06986641883850098
1043_ada_agnostic,0.26,100,0.26,0.29,0.03,0.06898307800292969
1043_ada_agnostic,0.26,100,0.26,0.3,0.04,0.07079839706420898
1043_ada_agnostic,0.26,100,0.26,0.26,0.0,0.08204483985900879
1043_ada_agnostic,0.26,100,0.26,0.28,0.02,0.08278393745422363
1043_ada_agnostic,0.32,100,0.32,0.34,0.02,0.07697606086730957
1043_ada_agnostic,0.32,100,0.32,0.42,0.1,0.07476162910461426
1043_ada_agnostic,0.32,100,0.32,0.33,0.01,0.07567191123962402
1043_ada_agnostic,0.32,100,0.32,0.43,0.11,0.07400774955749512
1043_ada_agnostic,0.32,100,0.32,0.35,0.03,0.07895350456237793
1043_ada_agnostic,0.32,100,0.32,0.34,0.02,0.09945893287658691
1043_ada_agnostic,0.32,100,0.32,0.38,0.06,0.07146835327148438
1043_ada_agnostic,0.32,100,0.32,0.34,0.02,0.07761287689208984
