dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.37918949127197266
1043_ada_agnostic,0.0,100,0.0,0.07,0.07,0.38380956649780273
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.4000539779663086
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.3504180908203125
1043_ada_agnostic,0.0,100,0.0,0.05,0.05,0.45911502838134766
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.4308583736419678
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.37152767181396484
1043_ada_agnostic,0.0,100,0.0,0.09,0.09,0.3593721389770508
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.3570568561553955
1043_ada_agnostic,0.0,100,0.0,0.07,0.07,0.34954380989074707
1043_ada_agnostic,0.05,100,0.05,0.12,0.07,0.4059135913848877
1043_ada_agnostic,0.05,100,0.05,0.08,0.03,0.36494874954223633
1043_ada_agnostic,0.05,100,0.05,0.11,0.06,0.35247182846069336
1043_ada_agnostic,0.05,100,0.05,0.15,0.1,0.3568887710571289
1043_ada_agnostic,0.05,100,0.05,0.06,0.01,0.3673069477081299
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.35320043563842773
1043_ada_agnostic,0.05,100,0.05,0.01,0.04,0.34890151023864746
1043_ada_agnostic,0.05,100,0.05,0.04,0.01,0.3603250980377197
1043_ada_agnostic,0.05,100,0.05,0.09,0.04,0.3500244617462158
1043_ada_agnostic,0.05,100,0.05,0.06,0.01,0.35285305976867676
1043_ada_agnostic,0.11,100,0.11,0.2,0.09,0.34413862228393555
1043_ada_agnostic,0.11,100,0.11,0.19,0.08,0.3609452247619629
1043_ada_agnostic,0.11,100,0.11,0.19,0.08,0.3524048328399658
1043_ada_agnostic,0.11,100,0.11,0.21,0.1,0.3510563373565674
1043_ada_agnostic,0.11,100,0.11,0.3,0.19,0.35213637351989746
1043_ada_agnostic,0.11,100,0.11,0.12,0.01,0.3571500778198242
1043_ada_agnostic,0.11,100,0.11,0.18,0.07,0.37155604362487793
1043_ada_agnostic,0.11,100,0.11,0.04,0.07,0.37537217140197754
1043_ada_agnostic,0.11,100,0.11,0.06,0.05,0.35828065872192383
1043_ada_agnostic,0.11,100,0.11,0.2,0.09,0.37297558784484863
1043_ada_agnostic,0.16,100,0.16,0.25,0.09,0.35599851608276367
1043_ada_agnostic,0.16,100,0.16,0.31,0.15,0.47370409965515137
1043_ada_agnostic,0.16,100,0.16,0.34,0.18,0.3439810276031494
1043_ada_agnostic,0.16,100,0.16,0.17,0.01,0.36035895347595215
1043_ada_agnostic,0.16,100,0.16,0.22,0.06,0.3875091075897217
1043_ada_agnostic,0.16,100,0.16,0.21,0.05,0.3455650806427002
1043_ada_agnostic,0.16,100,0.16,0.26,0.1,0.34589171409606934
1043_ada_agnostic,0.16,100,0.16,0.25,0.09,0.32955408096313477
1043_ada_agnostic,0.16,100,0.16,0.32,0.16,0.3294248580932617
1043_ada_agnostic,0.16,100,0.16,0.2,0.04,0.35610055923461914
1043_ada_agnostic,0.21,100,0.21,0.29,0.08,0.43079233169555664
1043_ada_agnostic,0.21,100,0.21,0.2,0.01,0.34470534324645996
1043_ada_agnostic,0.21,100,0.21,0.27,0.06,0.35820674896240234
1043_ada_agnostic,0.21,100,0.21,0.31,0.1,0.3334078788757324
1043_ada_agnostic,0.21,100,0.21,0.26,0.05,0.3485231399536133
1043_ada_agnostic,0.21,100,0.21,0.3,0.09,0.34984922409057617
1043_ada_agnostic,0.21,100,0.21,0.29,0.08,0.3581686019897461
1043_ada_agnostic,0.21,100,0.21,0.27,0.06,0.33524250984191895
1043_ada_agnostic,0.21,100,0.21,0.37,0.16,0.35627198219299316
1043_ada_agnostic,0.21,100,0.21,0.22,0.01,0.33395910263061523
1043_ada_agnostic,0.26,100,0.26,0.22,0.04,0.3476550579071045
1043_ada_agnostic,0.26,100,0.26,0.47,0.21,0.3336491584777832
1043_ada_agnostic,0.26,100,0.26,0.28,0.02,0.3336043357849121
1043_ada_agnostic,0.26,100,0.26,0.39,0.13,0.33727025985717773
1043_ada_agnostic,0.26,100,0.26,0.31,0.05,0.34520459175109863
1043_ada_agnostic,0.26,100,0.26,0.5,0.24,0.3602728843688965
1043_ada_agnostic,0.26,100,0.26,0.34,0.08,0.33265113830566406
1043_ada_agnostic,0.26,100,0.26,0.36,0.1,0.37159228324890137
1043_ada_agnostic,0.26,100,0.26,0.3,0.04,0.36292433738708496
1043_ada_agnostic,0.26,100,0.26,0.33,0.07,0.34584903717041016
1043_ada_agnostic,0.32,100,0.32,0.38,0.06,0.3338441848754883
1043_ada_agnostic,0.32,100,0.32,0.48,0.16,0.36063671112060547
1043_ada_agnostic,0.32,100,0.32,0.4,0.08,0.34923529624938965
1043_ada_agnostic,0.32,100,0.32,0.51,0.19,0.3377101421356201
1043_ada_agnostic,0.32,100,0.32,0.4,0.08,0.3325932025909424
1043_ada_agnostic,0.32,100,0.32,0.41,0.09,0.44103097915649414
1043_ada_agnostic,0.32,100,0.32,0.45,0.13,0.37112903594970703
1043_ada_agnostic,0.32,100,0.32,0.41,0.09,0.40361499786376953
1043_ada_agnostic,0.32,100,0.32,0.52,0.2,0.34870409965515137
1043_ada_agnostic,0.32,100,0.32,0.45,0.13,0.32047176361083984
1043_ada_agnostic,0.37,100,0.37,0.52,0.15,0.352520227432251
1043_ada_agnostic,0.37,100,0.37,0.49,0.12,0.344728946685791
1043_ada_agnostic,0.37,100,0.37,0.31,0.06,0.354689359664917
1043_ada_agnostic,0.37,100,0.37,0.54,0.17,0.3668222427368164
1043_ada_agnostic,0.37,100,0.37,0.58,0.21,0.339174747467041
1043_ada_agnostic,0.37,100,0.37,0.52,0.15,0.33667826652526855
1043_ada_agnostic,0.37,100,0.37,0.58,0.21,0.35025858879089355
