dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.0
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0009987354278564453
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.0
1043_ada_agnostic,0.0,100,0.0,0.1,0.1,0.0
1043_ada_agnostic,0.0,100,0.0,0.16,0.16,0.0
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.0
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.0
1043_ada_agnostic,0.0,100,0.0,0.08,0.08,0.0009987354278564453
1043_ada_agnostic,0.0,100,0.0,0.1,0.1,0.0
1043_ada_agnostic,0.05,100,0.05,0.14,0.09,0.000997304916381836
1043_ada_agnostic,0.05,100,0.05,0.06,0.01,0.0
1043_ada_agnostic,0.05,100,0.05,0.1,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.14,0.09,0.0
1043_ada_agnostic,0.05,100,0.05,0.02,0.03,0.0
1043_ada_agnostic,0.05,100,0.05,0.02,0.03,0.0010330677032470703
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.11,0.06,0.0
1043_ada_agnostic,0.05,100,0.05,0.03,0.02,0.0
1043_ada_agnostic,0.05,100,0.05,0.03,0.02,0.0009961128234863281
1043_ada_agnostic,0.11,100,0.11,0.19,0.08,0.0
1043_ada_agnostic,0.11,100,0.11,0.11,0.0,0.0009975433349609375
1043_ada_agnostic,0.11,100,0.11,0.17,0.06,0.0
1043_ada_agnostic,0.11,100,0.11,0.19,0.08,0.0009570121765136719
1043_ada_agnostic,0.11,100,0.11,0.29,0.18,0.0009975433349609375
1043_ada_agnostic,0.11,100,0.11,0.05,0.06,0.000988006591796875
1043_ada_agnostic,0.11,100,0.11,0.1,0.01,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.1,0.01,0.0
1043_ada_agnostic,0.11,100,0.11,0.19,0.08,0.0
1043_ada_agnostic,0.16,100,0.16,0.22,0.06,0.0009980201721191406
1043_ada_agnostic,0.16,100,0.16,0.32,0.16,0.0
1043_ada_agnostic,0.16,100,0.16,0.4,0.24,0.0
1043_ada_agnostic,0.16,100,0.16,0.21,0.05,0.0
1043_ada_agnostic,0.16,100,0.16,0.17,0.01,0.0
1043_ada_agnostic,0.16,100,0.16,0.27,0.11,0.000997304916381836
1043_ada_agnostic,0.16,100,0.16,0.3,0.14,0.0
1043_ada_agnostic,0.16,100,0.16,0.17,0.01,0.0
1043_ada_agnostic,0.16,100,0.16,0.3,0.14,0.0009970664978027344
1043_ada_agnostic,0.16,100,0.16,0.25,0.09,0.0
1043_ada_agnostic,0.21,100,0.21,0.29,0.08,0.0009970664978027344
1043_ada_agnostic,0.21,100,0.21,0.17,0.04,0.0010340213775634766
1043_ada_agnostic,0.21,100,0.21,0.27,0.06,0.0009970664978027344
1043_ada_agnostic,0.21,100,0.21,0.35,0.14,0.0
1043_ada_agnostic,0.21,100,0.21,0.22,0.01,0.000995635986328125
1043_ada_agnostic,0.21,100,0.21,0.33,0.12,0.0
1043_ada_agnostic,0.21,100,0.21,0.24,0.03,0.0
1043_ada_agnostic,0.21,100,0.21,0.17,0.04,0.0
1043_ada_agnostic,0.21,100,0.21,0.3,0.09,0.0
1043_ada_agnostic,0.21,100,0.21,0.24,0.03,0.0009970664978027344
1043_ada_agnostic,0.26,100,0.26,0.14,0.12,0.0009968280792236328
1043_ada_agnostic,0.26,100,0.26,0.43,0.17,0.0
1043_ada_agnostic,0.26,100,0.26,0.27,0.01,0.0
1043_ada_agnostic,0.26,100,0.26,0.29,0.03,0.0
1043_ada_agnostic,0.26,100,0.26,0.25,0.01,0.0
1043_ada_agnostic,0.26,100,0.26,0.48,0.22,0.0
1043_ada_agnostic,0.26,100,0.26,0.3,0.04,0.0
1043_ada_agnostic,0.26,100,0.26,0.35,0.09,0.0
1043_ada_agnostic,0.26,100,0.26,0.22,0.04,0.0
1043_ada_agnostic,0.26,100,0.26,0.27,0.01,0.0
1043_ada_agnostic,0.32,100,0.32,0.3,0.02,0.0010333061218261719
1043_ada_agnostic,0.32,100,0.32,0.52,0.2,0.0
1043_ada_agnostic,0.32,100,0.32,0.32,0.0,0.0
1043_ada_agnostic,0.32,100,0.32,0.46,0.14,0.0
1043_ada_agnostic,0.32,100,0.32,0.3,0.02,0.0
1043_ada_agnostic,0.32,100,0.32,0.33,0.01,0.0
1043_ada_agnostic,0.32,100,0.32,0.4,0.08,0.0
1043_ada_agnostic,0.32,100,0.32,0.33,0.01,0.0
1043_ada_agnostic,0.32,100,0.32,0.43,0.11,0.0
1043_ada_agnostic,0.32,100,0.32,0.4,0.08,0.0009968280792236328
1043_ada_agnostic,0.37,100,0.37,0.52,0.15,0.0009970664978027344
1043_ada_agnostic,0.37,100,0.37,0.51,0.14,0.0
1043_ada_agnostic,0.37,100,0.37,0.27,0.1,0.0
1043_ada_agnostic,0.37,100,0.37,0.44,0.07,0.0
1043_ada_agnostic,0.37,100,0.37,0.51,0.14,0.0
1043_ada_agnostic,0.37,100,0.37,0.4,0.03,0.0010323524475097656
1043_ada_agnostic,0.37,100,0.37,0.52,0.15,0.0
1043_ada_agnostic,0.37,100,0.37,0.43,0.06,0.0
1043_ada_agnostic,0.37,100,0.37,0.49,0.12,0.0
1043_ada_agnostic,0.37,100,0.37,0.4,0.03,0.0009968280792236328
1043_ada_agnostic,0.42,100,0.42,0.49,0.07,0.0
1043_ada_agnostic,0.42,100,0.42,0.41,0.01,0.0
1043_ada_agnostic,0.42,100,0.42,0.43,0.01,0.0
1043_ada_agnostic,0.42,100,0.42,0.46,0.04,0.0009996891021728516
1043_ada_agnostic,0.42,100,0.42,0.38,0.04,0.0
1043_ada_agnostic,0.42,100,0.42,0.49,0.07,0.0
1043_ada_agnostic,0.42,100,0.42,0.46,0.04,0.0009605884552001953
1043_ada_agnostic,0.42,100,0.42,0.49,0.07,0.000997304916381836
1043_ada_agnostic,0.42,100,0.42,0.4,0.02,0.0
1043_ada_agnostic,0.42,100,0.42,0.56,0.14,0.0
1043_ada_agnostic,0.47,100,0.47,0.56,0.09,0.0
1043_ada_agnostic,0.47,100,0.47,0.49,0.02,0.0009970664978027344
1043_ada_agnostic,0.47,100,0.47,0.6,0.13,0.0
1043_ada_agnostic,0.47,100,0.47,0.56,0.09,0.0008876323699951172
1043_ada_agnostic,0.47,100,0.47,0.52,0.05,0.0009660720825195312
