dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.04152107238769531
1043_ada_agnostic,0.0,100,0.0,0.1,0.1,0.041008949279785156
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0572202205657959
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.05382108688354492
1043_ada_agnostic,0.0,100,0.0,0.15,0.15,0.037989139556884766
1043_ada_agnostic,0.0,100,0.0,0.07,0.07,0.041924238204956055
1043_ada_agnostic,0.0,100,0.0,0.08,0.08,0.03801679611206055
1043_ada_agnostic,0.0,100,0.0,0.11,0.11,0.037628173828125
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.03993654251098633
1043_ada_agnostic,0.0,100,0.0,0.15,0.15,0.04067254066467285
1043_ada_agnostic,0.05,100,0.05,0.13,0.08,0.04484391212463379
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.03598761558532715
1043_ada_agnostic,0.05,100,0.05,0.05,0.0,0.03517937660217285
1043_ada_agnostic,0.05,100,0.05,0.16,0.11,0.044971466064453125
1043_ada_agnostic,0.05,100,0.05,0.1,0.05,0.03946876525878906
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.03786897659301758
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.03789520263671875
1043_ada_agnostic,0.05,100,0.05,0.12,0.07,0.04157519340515137
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.037131309509277344
1043_ada_agnostic,0.05,100,0.05,0.04,0.01,0.036972761154174805
1043_ada_agnostic,0.11,100,0.11,0.21,0.1,0.03771710395812988
1043_ada_agnostic,0.11,100,0.11,0.17,0.06,0.0383760929107666
1043_ada_agnostic,0.11,100,0.11,0.22,0.11,0.03696799278259277
1043_ada_agnostic,0.11,100,0.11,0.18,0.07,0.039101600646972656
1043_ada_agnostic,0.11,100,0.11,0.29,0.18,0.03841805458068848
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.03885912895202637
1043_ada_agnostic,0.11,100,0.11,0.11,0.0,0.042656660079956055
1043_ada_agnostic,0.11,100,0.11,0.03,0.08,0.054041385650634766
1043_ada_agnostic,0.11,100,0.11,0.11,0.0,0.04208993911743164
1043_ada_agnostic,0.11,100,0.11,0.2,0.09,0.03865790367126465
1043_ada_agnostic,0.16,100,0.16,0.21,0.05,0.049394845962524414
1043_ada_agnostic,0.16,100,0.16,0.2,0.04,0.052739620208740234
1043_ada_agnostic,0.16,100,0.16,0.29,0.13,0.038071393966674805
1043_ada_agnostic,0.16,100,0.16,0.17,0.01,0.0422663688659668
1043_ada_agnostic,0.16,100,0.16,0.17,0.01,0.043332576751708984
1043_ada_agnostic,0.16,100,0.16,0.22,0.06,0.04099869728088379
1043_ada_agnostic,0.16,100,0.16,0.27,0.11,0.03494834899902344
1043_ada_agnostic,0.16,100,0.16,0.23,0.07,0.03575897216796875
1043_ada_agnostic,0.16,100,0.16,0.25,0.09,0.04030275344848633
1043_ada_agnostic,0.16,100,0.16,0.27,0.11,0.04439520835876465
1043_ada_agnostic,0.21,100,0.21,0.2,0.01,0.03742051124572754
1043_ada_agnostic,0.21,100,0.21,0.18,0.03,0.04071807861328125
1043_ada_agnostic,0.21,100,0.21,0.31,0.1,0.04134845733642578
1043_ada_agnostic,0.21,100,0.21,0.35,0.14,0.04140162467956543
1043_ada_agnostic,0.21,100,0.21,0.23,0.02,0.03648233413696289
1043_ada_agnostic,0.21,100,0.21,0.36,0.15,0.03617143630981445
