dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.02,0.02,0.005983829498291016
1043_ada_agnostic,0.0,100,0.0,0.05,0.05,0.003989219665527344
1043_ada_agnostic,0.0,100,0.0,0.02,0.02,0.006980180740356445
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.003988981246948242
1043_ada_agnostic,0.0,100,0.0,0.05,0.05,0.004993915557861328
1043_ada_agnostic,0.0,100,0.0,0.04,0.04,0.002992868423461914
1043_ada_agnostic,0.0,100,0.0,0.04,0.04,0.004057168960571289
1043_ada_agnostic,0.0,100,0.0,0.04,0.04,0.003961801528930664
1043_ada_agnostic,0.0,100,0.0,0.02,0.02,0.003927707672119141
1043_ada_agnostic,0.0,100,0.0,0.08,0.08,0.0049555301666259766
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.0048253536224365234
1043_ada_agnostic,0.05,100,0.05,0.04,0.01,0.005498409271240234
1043_ada_agnostic,0.05,100,0.05,0.03,0.02,0.004564046859741211
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.0030231475830078125
1043_ada_agnostic,0.05,100,0.05,0.04,0.01,0.002992391586303711
1043_ada_agnostic,0.05,100,0.05,0.05,0.0,0.005663156509399414
1043_ada_agnostic,0.05,100,0.05,0.02,0.03,0.0029921531677246094
1043_ada_agnostic,0.05,100,0.05,0.06,0.01,0.0029921531677246094
1043_ada_agnostic,0.05,100,0.05,0.03,0.02,0.004324436187744141
1043_ada_agnostic,0.05,100,0.05,0.04,0.01,0.002993345260620117
1043_ada_agnostic,0.11,100,0.11,0.08,0.03,0.003991365432739258
1043_ada_agnostic,0.11,100,0.11,0.09,0.02,0.00490260124206543
1043_ada_agnostic,0.11,100,0.11,0.1,0.01,0.005122184753417969
1043_ada_agnostic,0.11,100,0.11,0.08,0.03,0.005850315093994141
1043_ada_agnostic,0.11,100,0.11,0.13,0.02,0.004740238189697266
1043_ada_agnostic,0.11,100,0.11,0.04,0.07,0.004021167755126953
1043_ada_agnostic,0.11,100,0.11,0.05,0.06,0.0038046836853027344
1043_ada_agnostic,0.11,100,0.11,0.02,0.09,0.008563041687011719
1043_ada_agnostic,0.11,100,0.11,0.05,0.06,0.005949974060058594
1043_ada_agnostic,0.11,100,0.11,0.11,0.0,0.00599217414855957
1043_ada_agnostic,0.16,100,0.16,0.11,0.05,0.005045652389526367
1043_ada_agnostic,0.16,100,0.16,0.09,0.07,0.003991127014160156
1043_ada_agnostic,0.16,100,0.16,0.14,0.02,0.004839181900024414
1043_ada_agnostic,0.16,100,0.16,0.08,0.08,0.003353595733642578
1043_ada_agnostic,0.16,100,0.16,0.08,0.08,0.0029914379119873047
1043_ada_agnostic,0.16,100,0.16,0.11,0.05,0.00395965576171875
1043_ada_agnostic,0.16,100,0.16,0.12,0.04,0.002956867218017578
1043_ada_agnostic,0.16,100,0.16,0.11,0.05,0.004596710205078125
1043_ada_agnostic,0.16,100,0.16,0.12,0.04,0.0067751407623291016
1043_ada_agnostic,0.16,100,0.16,0.13,0.03,0.004979610443115234
1043_ada_agnostic,0.21,100,0.21,0.11,0.1,0.00555729866027832
1043_ada_agnostic,0.21,100,0.21,0.1,0.11,0.004021644592285156
1043_ada_agnostic,0.21,100,0.21,0.14,0.07,0.0030269622802734375
1043_ada_agnostic,0.21,100,0.21,0.18,0.03,0.002991914749145508
1043_ada_agnostic,0.21,100,0.21,0.11,0.1,0.006680727005004883
1043_ada_agnostic,0.21,100,0.21,0.18,0.03,0.003988981246948242
1043_ada_agnostic,0.21,100,0.21,0.13,0.08,0.003090381622314453
1043_ada_agnostic,0.21,100,0.21,0.13,0.08,0.003989458084106445
1043_ada_agnostic,0.21,100,0.21,0.16,0.05,0.0029921531677246094
1043_ada_agnostic,0.21,100,0.21,0.12,0.09,0.0039556026458740234
1043_ada_agnostic,0.26,100,0.26,0.09,0.17,0.003840208053588867
1043_ada_agnostic,0.26,100,0.26,0.22,0.04,0.004217386245727539
1043_ada_agnostic,0.26,100,0.26,0.13,0.13,0.0029358863830566406
1043_ada_agnostic,0.26,100,0.26,0.11,0.15,0.003988981246948242
1043_ada_agnostic,0.26,100,0.26,0.15,0.11,0.003992795944213867
