dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.43,0.43,0.006981372833251953
1043_ada_agnostic,0.0,100,0.0,0.48,0.48,0.005980014801025391
1043_ada_agnostic,0.0,100,0.0,0.41,0.41,0.0029921531677246094
1043_ada_agnostic,0.0,100,0.0,0.44,0.44,0.002993345260620117
1043_ada_agnostic,0.0,100,0.0,0.5,0.5,0.0030243396759033203
1043_ada_agnostic,0.0,100,0.0,0.47,0.47,0.0031347274780273438
1043_ada_agnostic,0.0,100,0.0,0.47,0.47,0.00498652458190918
1043_ada_agnostic,0.0,100,0.0,0.47,0.47,0.005983591079711914
1043_ada_agnostic,0.0,100,0.0,0.44,0.44,0.003048419952392578
1043_ada_agnostic,0.0,100,0.0,0.5,0.5,0.002962350845336914
1043_ada_agnostic,0.05,100,0.05,0.5,0.45,0.00299835205078125
1043_ada_agnostic,0.05,100,0.05,0.46,0.41,0.004987001419067383
1043_ada_agnostic,0.05,100,0.05,0.46,0.41,0.0029921531677246094
1043_ada_agnostic,0.05,100,0.05,0.5,0.45,0.002962350845336914
1043_ada_agnostic,0.05,100,0.05,0.48,0.43,0.005017518997192383
1043_ada_agnostic,0.05,100,0.05,0.43,0.38,0.0029611587524414062
1043_ada_agnostic,0.05,100,0.05,0.44,0.39,0.003041505813598633
1043_ada_agnostic,0.05,100,0.05,0.49,0.44,0.002991914749145508
1043_ada_agnostic,0.05,100,0.05,0.47,0.42,0.003008127212524414
1043_ada_agnostic,0.05,100,0.05,0.44,0.39,0.003042459487915039
1043_ada_agnostic,0.11,100,0.11,0.52,0.41,0.0030062198638916016
1043_ada_agnostic,0.11,100,0.11,0.52,0.41,0.0030095577239990234
1043_ada_agnostic,0.11,100,0.11,0.53,0.42,0.004019021987915039
1043_ada_agnostic,0.11,100,0.11,0.51,0.4,0.00302886962890625
1043_ada_agnostic,0.11,100,0.11,0.56,0.45,0.0029921531677246094
1043_ada_agnostic,0.11,100,0.11,0.44,0.33,0.0030210018157958984
1043_ada_agnostic,0.11,100,0.11,0.47,0.36,0.005148410797119141
1043_ada_agnostic,0.11,100,0.11,0.46,0.35,0.0039560794830322266
1043_ada_agnostic,0.11,100,0.11,0.48,0.37,0.004543304443359375
1043_ada_agnostic,0.11,100,0.11,0.52,0.41,0.0029914379119873047
1043_ada_agnostic,0.16,100,0.16,0.53,0.37,0.0029897689819335938
1043_ada_agnostic,0.16,100,0.16,0.53,0.37,0.003854990005493164
1043_ada_agnostic,0.16,100,0.16,0.56,0.4,0.0029964447021484375
1043_ada_agnostic,0.16,100,0.16,0.51,0.35,0.0029914379119873047
1043_ada_agnostic,0.16,100,0.16,0.52,0.36,0.004920244216918945
1043_ada_agnostic,0.16,100,0.16,0.54,0.38,0.005113840103149414
1043_ada_agnostic,0.16,100,0.16,0.55,0.39,0.0030450820922851562
1043_ada_agnostic,0.16,100,0.16,0.54,0.38,0.003957033157348633
1043_ada_agnostic,0.16,100,0.16,0.55,0.39,0.0029916763305664062
1043_ada_agnostic,0.16,100,0.16,0.55,0.39,0.002991914749145508
1043_ada_agnostic,0.21,100,0.21,0.53,0.32,0.0040967464447021484
1043_ada_agnostic,0.21,100,0.21,0.54,0.33,0.0030333995819091797
1043_ada_agnostic,0.21,100,0.21,0.56,0.35,0.004953861236572266
1043_ada_agnostic,0.21,100,0.21,0.58,0.37,0.0029981136322021484
1043_ada_agnostic,0.21,100,0.21,0.53,0.32,0.002992391586303711
1043_ada_agnostic,0.21,100,0.21,0.58,0.37,0.0029916763305664062
1043_ada_agnostic,0.21,100,0.21,0.55,0.34,0.003989219665527344
1043_ada_agnostic,0.21,100,0.21,0.54,0.33,0.003988742828369141
1043_ada_agnostic,0.21,100,0.21,0.58,0.37,0.0036776065826416016
1043_ada_agnostic,0.21,100,0.21,0.53,0.32,0.0028181076049804688
1043_ada_agnostic,0.26,100,0.26,0.52,0.26,0.0030977725982666016
1043_ada_agnostic,0.26,100,0.26,0.62,0.36,0.002992391586303711
