dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.4085254669189453
1043_ada_agnostic,0.0,100,0.0,0.07,0.07,0.4180715084075928
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.43074512481689453
1043_ada_agnostic,0.0,100,0.0,0.01,0.01,0.45490288734436035
1043_ada_agnostic,0.0,100,0.0,0.09,0.09,0.4321620464324951
1043_ada_agnostic,0.0,100,0.0,0.08,0.08,0.41692137718200684
1043_ada_agnostic,0.0,100,0.0,0.07,0.07,0.402144193649292
1043_ada_agnostic,0.0,100,0.0,0.07,0.07,0.39734554290771484
1043_ada_agnostic,0.0,100,0.0,0.01,0.01,0.40479397773742676
1043_ada_agnostic,0.0,100,0.0,0.13,0.13,0.3972001075744629
1043_ada_agnostic,0.05,100,0.05,0.13,0.08,0.39102959632873535
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.4018099308013916
1043_ada_agnostic,0.05,100,0.05,0.06,0.01,0.3988051414489746
1043_ada_agnostic,0.05,100,0.05,0.13,0.08,0.39705848693847656
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.39027953147888184
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.38413214683532715
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.3854694366455078
1043_ada_agnostic,0.05,100,0.05,0.11,0.06,0.39899349212646484
1043_ada_agnostic,0.05,100,0.05,0.06,0.01,0.3843066692352295
1043_ada_agnostic,0.05,100,0.05,0.02,0.03,0.3913404941558838
1043_ada_agnostic,0.11,100,0.11,0.17,0.06,0.3934495449066162
1043_ada_agnostic,0.11,100,0.11,0.15,0.04,0.43433523178100586
1043_ada_agnostic,0.11,100,0.11,0.18,0.07,0.3837087154388428
1043_ada_agnostic,0.11,100,0.11,0.17,0.06,0.39594507217407227
1043_ada_agnostic,0.11,100,0.11,0.26,0.15,0.3996703624725342
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.3938560485839844
1043_ada_agnostic,0.11,100,0.11,0.1,0.01,0.4146239757537842
1043_ada_agnostic,0.11,100,0.11,0.01,0.1,0.39467406272888184
1043_ada_agnostic,0.11,100,0.11,0.09,0.02,0.4437882900238037
1043_ada_agnostic,0.11,100,0.11,0.19,0.08,0.381209135055542
1043_ada_agnostic,0.16,100,0.16,0.21,0.05,0.43526411056518555
1043_ada_agnostic,0.16,100,0.16,0.21,0.05,0.4093160629272461
1043_ada_agnostic,0.16,100,0.16,0.3,0.14,0.3987760543823242
1043_ada_agnostic,0.16,100,0.16,0.18,0.02,0.40485644340515137
1043_ada_agnostic,0.16,100,0.16,0.16,0.0,0.3959791660308838
1043_ada_agnostic,0.16,100,0.16,0.2,0.04,0.4053511619567871
1043_ada_agnostic,0.16,100,0.16,0.24,0.08,0.3896205425262451
1043_ada_agnostic,0.16,100,0.16,0.2,0.04,0.36406469345092773
1043_ada_agnostic,0.16,100,0.16,0.24,0.08,0.38753366470336914
1043_ada_agnostic,0.16,100,0.16,0.24,0.08,0.4614436626434326
1043_ada_agnostic,0.21,100,0.21,0.21,0.0,0.39185166358947754
1043_ada_agnostic,0.21,100,0.21,0.17,0.04,0.3930037021636963
1043_ada_agnostic,0.21,100,0.21,0.28,0.07,0.40201401710510254
1043_ada_agnostic,0.21,100,0.21,0.34,0.13,0.3971571922302246
1043_ada_agnostic,0.21,100,0.21,0.22,0.01,0.39938879013061523
1043_ada_agnostic,0.21,100,0.21,0.35,0.14,0.39294886589050293
1043_ada_agnostic,0.21,100,0.21,0.25,0.04,0.3999905586242676
1043_ada_agnostic,0.21,100,0.21,0.22,0.01,0.3736910820007324
1043_ada_agnostic,0.21,100,0.21,0.31,0.1,0.3960697650909424
1043_ada_agnostic,0.21,100,0.21,0.21,0.0,0.3821253776550293
1043_ada_agnostic,0.26,100,0.26,0.17,0.09,0.4036433696746826
1043_ada_agnostic,0.26,100,0.26,0.44,0.18,0.387052059173584
1043_ada_agnostic,0.26,100,0.26,0.25,0.01,0.43605566024780273
1043_ada_agnostic,0.26,100,0.26,0.22,0.04,0.3681974411010742
1043_ada_agnostic,0.26,100,0.26,0.29,0.03,0.40135693550109863
1043_ada_agnostic,0.26,100,0.26,0.46,0.2,0.3608994483947754
1043_ada_agnostic,0.26,100,0.26,0.31,0.05,0.36445164680480957
1043_ada_agnostic,0.26,100,0.26,0.36,0.1,0.37452006340026855
1043_ada_agnostic,0.26,100,0.26,0.24,0.02,0.3973076343536377
1043_ada_agnostic,0.26,100,0.26,0.27,0.01,0.3834249973297119
1043_ada_agnostic,0.32,100,0.32,0.32,0.0,0.38388943672180176
1043_ada_agnostic,0.32,100,0.32,0.42,0.1,0.3800673484802246
1043_ada_agnostic,0.32,100,0.32,0.29,0.03,0.3889315128326416
1043_ada_agnostic,0.32,100,0.32,0.45,0.13,0.40009522438049316
1043_ada_agnostic,0.32,100,0.32,0.34,0.02,0.4397246837615967
1043_ada_agnostic,0.32,100,0.32,0.33,0.01,0.46271276473999023
1043_ada_agnostic,0.32,100,0.32,0.37,0.05,0.3769114017486572
1043_ada_agnostic,0.32,100,0.32,0.33,0.01,0.3816823959350586
1043_ada_agnostic,0.32,100,0.32,0.4,0.08,0.3534526824951172
1043_ada_agnostic,0.32,100,0.32,0.37,0.05,0.366912841796875
1043_ada_agnostic,0.37,100,0.37,0.43,0.06,0.3811166286468506
1043_ada_agnostic,0.37,100,0.37,0.47,0.1,0.40068697929382324
1043_ada_agnostic,0.37,100,0.37,0.3,0.07,0.45731568336486816
1043_ada_agnostic,0.37,100,0.37,0.43,0.06,0.3988535404205322
1043_ada_agnostic,0.37,100,0.37,0.49,0.12,0.39174818992614746
1043_ada_agnostic,0.37,100,0.37,0.43,0.06,0.3549644947052002
1043_ada_agnostic,0.37,100,0.37,0.47,0.1,0.47380948066711426
1043_ada_agnostic,0.37,100,0.37,0.41,0.04,0.4103555679321289
1043_ada_agnostic,0.37,100,0.37,0.45,0.08,0.393310546875
1043_ada_agnostic,0.37,100,0.37,0.43,0.06,0.4126448631286621
1043_ada_agnostic,0.42,100,0.42,0.46,0.04,0.3682522773742676
1043_ada_agnostic,0.42,100,0.42,0.4,0.02,0.4752621650695801
1043_ada_agnostic,0.42,100,0.42,0.42,0.0,0.41847777366638184
1043_ada_agnostic,0.42,100,0.42,0.39,0.03,0.4300191402435303
1043_ada_agnostic,0.42,100,0.42,0.4,0.02,0.3876767158508301
1043_ada_agnostic,0.42,100,0.42,0.42,0.0,0.39472007751464844
1043_ada_agnostic,0.42,100,0.42,0.46,0.04,0.3752105236053467
1043_ada_agnostic,0.42,100,0.42,0.46,0.04,0.3819620609283447
1043_ada_agnostic,0.42,100,0.42,0.38,0.04,0.38112616539001465
1043_ada_agnostic,0.42,100,0.42,0.55,0.13,0.4046807289123535
1043_ada_agnostic,0.47,100,0.47,0.45,0.02,0.37719225883483887
1043_ada_agnostic,0.47,100,0.47,0.47,0.0,0.4038865566253662
1043_ada_agnostic,0.47,100,0.47,0.57,0.1,0.38706326484680176
1043_ada_agnostic,0.47,100,0.47,0.59,0.12,0.3932187557220459
1043_ada_agnostic,0.47,100,0.47,0.53,0.06,0.3891417980194092
1043_ada_agnostic,0.47,100,0.47,0.53,0.06,0.3922762870788574
1043_ada_agnostic,0.47,100,0.47,0.51,0.04,0.37591981887817383
1043_ada_agnostic,0.47,100,0.47,0.52,0.05,0.38385462760925293
1043_ada_agnostic,0.47,100,0.47,0.51,0.04,0.37420129776000977
1043_ada_agnostic,0.47,100,0.47,0.48,0.01,0.3699784278869629
1043_ada_agnostic,0.53,100,0.53,0.5,0.03,0.3807096481323242
1043_ada_agnostic,0.53,100,0.53,0.55,0.02,0.36577630043029785
1043_ada_agnostic,0.53,100,0.53,0.6,0.07,0.3869509696960449
1043_ada_agnostic,0.53,100,0.53,0.6,0.07,0.39188432693481445
1043_ada_agnostic,0.53,100,0.53,0.62,0.09,0.38423609733581543
1043_ada_agnostic,0.53,100,0.53,0.57,0.04,0.4316060543060303
1043_ada_agnostic,0.53,100,0.53,0.56,0.03,0.41588377952575684
1043_ada_agnostic,0.53,100,0.53,0.53,0.0,0.39904356002807617
1043_ada_agnostic,0.53,100,0.53,0.56,0.03,0.4139566421508789
1043_ada_agnostic,0.53,100,0.53,0.64,0.11,0.38877177238464355
1043_ada_agnostic,0.58,100,0.58,0.65,0.07,0.40503811836242676
1043_ada_agnostic,0.58,100,0.58,0.62,0.04,0.39522862434387207
1043_ada_agnostic,0.58,100,0.58,0.56,0.02,0.3734729290008545
1043_ada_agnostic,0.58,100,0.58,0.53,0.05,0.38233137130737305
1043_ada_agnostic,0.58,100,0.58,0.6,0.02,0.41538238525390625
1043_ada_agnostic,0.58,100,0.58,0.58,0.0,0.39127278327941895
1043_ada_agnostic,0.58,100,0.58,0.65,0.07,0.38025641441345215
1043_ada_agnostic,0.58,100,0.58,0.67,0.09,0.3795907497406006
1043_ada_agnostic,0.58,100,0.58,0.67,0.09,0.39484143257141113
1043_ada_agnostic,0.58,100,0.58,0.62,0.04,0.3973245620727539
1043_ada_agnostic,0.63,100,0.63,0.72,0.09,0.47119688987731934
1043_ada_agnostic,0.63,100,0.63,0.62,0.01,0.3853607177734375
1043_ada_agnostic,0.63,100,0.63,0.61,0.02,0.443493127822876
1043_ada_agnostic,0.63,100,0.63,0.58,0.05,0.36951446533203125
1043_ada_agnostic,0.63,100,0.63,0.67,0.04,0.38566160202026367
1043_ada_agnostic,0.63,100,0.63,0.61,0.02,0.3740425109863281
1043_ada_agnostic,0.63,100,0.63,0.69,0.06,0.3786585330963135
1043_ada_agnostic,0.63,100,0.63,0.64,0.01,0.3807334899902344
1043_ada_agnostic,0.63,100,0.63,0.69,0.06,0.36565184593200684
1043_ada_agnostic,0.63,100,0.63,0.68,0.05,0.3630640506744385
1043_ada_agnostic,0.68,100,0.68,0.73,0.05,0.3700835704803467
1043_ada_agnostic,0.68,100,0.68,0.74,0.06,0.3680264949798584
1043_ada_agnostic,0.68,100,0.68,0.71,0.03,0.3830397129058838
1043_ada_agnostic,0.68,100,0.68,0.76,0.08,0.3736269474029541
1043_ada_agnostic,0.68,100,0.68,0.66,0.02,0.37166476249694824
1043_ada_agnostic,0.68,100,0.68,0.8,0.12,0.36866140365600586
1043_ada_agnostic,0.68,100,0.68,0.72,0.04,0.37160658836364746
1043_ada_agnostic,0.68,100,0.68,0.74,0.06,0.36837244033813477
1043_ada_agnostic,0.68,100,0.68,0.69,0.01,0.3696746826171875
1043_ada_agnostic,0.68,100,0.68,0.65,0.03,0.364788293838501
1043_ada_agnostic,0.74,100,0.74,0.69,0.05,0.3689999580383301
1043_ada_agnostic,0.74,100,0.74,0.78,0.04,0.3723454475402832
1043_ada_agnostic,0.74,100,0.74,0.81,0.07,0.36976075172424316
1043_ada_agnostic,0.74,100,0.74,0.8,0.06,0.3677177429199219
1043_ada_agnostic,0.74,100,0.74,0.84,0.1,0.3675262928009033
1043_ada_agnostic,0.74,100,0.74,0.82,0.08,0.4731738567352295
1043_ada_agnostic,0.74,100,0.74,0.79,0.05,0.36912059783935547
1043_ada_agnostic,0.74,100,0.74,0.71,0.03,0.36044788360595703
1043_ada_agnostic,0.74,100,0.74,0.8,0.06,0.36868739128112793
1043_ada_agnostic,0.74,100,0.74,0.77,0.03,0.37281250953674316
1043_ada_agnostic,0.79,100,0.79,0.83,0.04,0.36997342109680176
1043_ada_agnostic,0.79,100,0.79,0.81,0.02,0.40680956840515137
1043_ada_agnostic,0.79,100,0.79,0.88,0.09,0.4014885425567627
1043_ada_agnostic,0.79,100,0.79,0.8,0.01,0.37434816360473633
