dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0010290145874023438
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0009963512420654297
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.001031637191772461
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0009970664978027344
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0010619163513183594
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0011904239654541016
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.16,100,0.16,0.0,0.16,0.0
1043_ada_agnostic,0.16,100,0.16,0.0,0.16,0.0
1043_ada_agnostic,0.16,100,0.16,0.0,0.16,0.0
1043_ada_agnostic,0.16,100,0.16,0.0,0.16,0.0009975433349609375
1043_ada_agnostic,0.16,100,0.16,0.0,0.16,0.0019626617431640625
1043_ada_agnostic,0.16,100,0.16,0.0,0.16,0.0009949207305908203
1043_ada_agnostic,0.16,100,0.16,0.0,0.16,0.0010540485382080078
1043_ada_agnostic,0.16,100,0.16,0.0,0.16,0.0
1043_ada_agnostic,0.16,100,0.16,0.0,0.16,0.0
1043_ada_agnostic,0.16,100,0.16,0.0,0.16,0.0
1043_ada_agnostic,0.21,100,0.21,0.0,0.21,0.0
1043_ada_agnostic,0.21,100,0.21,0.0,0.21,0.0
1043_ada_agnostic,0.21,100,0.21,0.0,0.21,0.0
1043_ada_agnostic,0.21,100,0.21,0.0,0.21,0.0
1043_ada_agnostic,0.21,100,0.21,0.0,0.21,0.0
1043_ada_agnostic,0.21,100,0.21,0.0,0.21,0.0
1043_ada_agnostic,0.21,100,0.21,0.0,0.21,0.0010209083557128906
1043_ada_agnostic,0.21,100,0.21,0.0,0.21,0.0
1043_ada_agnostic,0.21,100,0.21,0.0,0.21,0.0
1043_ada_agnostic,0.21,100,0.21,0.0,0.21,0.0
1043_ada_agnostic,0.26,100,0.26,0.0,0.26,0.0
1043_ada_agnostic,0.26,100,0.26,0.0,0.26,0.0009982585906982422
1043_ada_agnostic,0.26,100,0.26,0.0,0.26,0.0
1043_ada_agnostic,0.26,100,0.26,0.0,0.26,0.0
1043_ada_agnostic,0.26,100,0.26,0.0,0.26,0.0
1043_ada_agnostic,0.26,100,0.26,0.0,0.26,0.0
1043_ada_agnostic,0.26,100,0.26,0.0,0.26,0.0
1043_ada_agnostic,0.26,100,0.26,0.0,0.26,0.000997304916381836
1043_ada_agnostic,0.26,100,0.26,0.0,0.26,0.0009980201721191406
1043_ada_agnostic,0.26,100,0.26,0.0,0.26,0.0
1043_ada_agnostic,0.32,100,0.32,0.0,0.32,0.000997781753540039
1043_ada_agnostic,0.32,100,0.32,0.0,0.32,0.0
1043_ada_agnostic,0.32,100,0.32,0.0,0.32,0.0007863044738769531
1043_ada_agnostic,0.32,100,0.32,0.0,0.32,0.0
1043_ada_agnostic,0.32,100,0.32,0.0,0.32,0.0
1043_ada_agnostic,0.32,100,0.32,0.0,0.32,0.0
1043_ada_agnostic,0.32,100,0.32,0.0,0.32,0.0
1043_ada_agnostic,0.32,100,0.32,0.0,0.32,0.0009975433349609375
1043_ada_agnostic,0.32,100,0.32,0.0,0.32,0.0009999275207519531
1043_ada_agnostic,0.32,100,0.32,0.0,0.32,0.0
1043_ada_agnostic,0.37,100,0.37,0.0,0.37,0.001035928726196289
