dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0009646415710449219
1043_ada_agnostic,0.0,100,0.0,0.02,0.02,0.0
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.0
1043_ada_agnostic,0.0,100,0.0,0.06,0.06,0.0
1043_ada_agnostic,0.0,100,0.0,0.15,0.15,0.0
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.000997304916381836
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0009968280792236328
1043_ada_agnostic,0.0,100,0.0,0.05,0.05,0.0
1043_ada_agnostic,0.0,100,0.0,0.08,0.08,0.0
1043_ada_agnostic,0.05,100,0.05,0.13,0.08,0.0009975433349609375
1043_ada_agnostic,0.05,100,0.05,0.03,0.02,0.0
1043_ada_agnostic,0.05,100,0.05,0.08,0.03,0.0
1043_ada_agnostic,0.05,100,0.05,0.11,0.06,0.0009663105010986328
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0
1043_ada_agnostic,0.05,100,0.05,0.11,0.06,0.0009963512420654297
1043_ada_agnostic,0.05,100,0.05,0.02,0.03,0.0009961128234863281
1043_ada_agnostic,0.05,100,0.05,0.02,0.03,0.0010347366333007812
1043_ada_agnostic,0.11,100,0.11,0.16,0.05,0.0010294914245605469
1043_ada_agnostic,0.11,100,0.11,0.1,0.01,0.0
1043_ada_agnostic,0.11,100,0.11,0.16,0.05,0.0009944438934326172
1043_ada_agnostic,0.11,100,0.11,0.16,0.05,0.0
1043_ada_agnostic,0.11,100,0.11,0.27,0.16,0.0
1043_ada_agnostic,0.11,100,0.11,0.02,0.09,0.0009953975677490234
1043_ada_agnostic,0.11,100,0.11,0.08,0.03,0.0010297298431396484
1043_ada_agnostic,0.11,100,0.11,0.0,0.11,0.0
1043_ada_agnostic,0.11,100,0.11,0.08,0.03,0.0010368824005126953
1043_ada_agnostic,0.11,100,0.11,0.18,0.07,0.0009632110595703125
1043_ada_agnostic,0.16,100,0.16,0.23,0.07,0.0
1043_ada_agnostic,0.16,100,0.16,0.29,0.13,0.0
1043_ada_agnostic,0.16,100,0.16,0.39,0.23,0.0
1043_ada_agnostic,0.16,100,0.16,0.19,0.03,0.0
1043_ada_agnostic,0.16,100,0.16,0.15,0.01,0.0
1043_ada_agnostic,0.16,100,0.16,0.24,0.08,0.0
1043_ada_agnostic,0.16,100,0.16,0.29,0.13,0.0
1043_ada_agnostic,0.16,100,0.16,0.16,0.0,0.0
1043_ada_agnostic,0.16,100,0.16,0.27,0.11,0.0009548664093017578
1043_ada_agnostic,0.16,100,0.16,0.23,0.07,0.0
1043_ada_agnostic,0.21,100,0.21,0.27,0.06,0.0
1043_ada_agnostic,0.21,100,0.21,0.16,0.05,0.0
1043_ada_agnostic,0.21,100,0.21,0.24,0.03,0.0009496212005615234
1043_ada_agnostic,0.21,100,0.21,0.35,0.14,0.0
1043_ada_agnostic,0.21,100,0.21,0.21,0.0,0.0
1043_ada_agnostic,0.21,100,0.21,0.34,0.13,0.0
1043_ada_agnostic,0.21,100,0.21,0.23,0.02,0.0
1043_ada_agnostic,0.21,100,0.21,0.15,0.06,0.0
1043_ada_agnostic,0.21,100,0.21,0.27,0.06,0.0
1043_ada_agnostic,0.21,100,0.21,0.21,0.0,0.0009698867797851562
1043_ada_agnostic,0.26,100,0.26,0.15,0.11,0.0009982585906982422
1043_ada_agnostic,0.26,100,0.26,0.42,0.16,0.0
1043_ada_agnostic,0.26,100,0.26,0.24,0.02,0.0009975433349609375
1043_ada_agnostic,0.26,100,0.26,0.27,0.01,0.000993967056274414
1043_ada_agnostic,0.26,100,0.26,0.26,0.0,0.0
1043_ada_agnostic,0.26,100,0.26,0.47,0.21,0.0
1043_ada_agnostic,0.26,100,0.26,0.29,0.03,0.0
1043_ada_agnostic,0.26,100,0.26,0.34,0.08,0.0
1043_ada_agnostic,0.26,100,0.26,0.23,0.03,0.0
1043_ada_agnostic,0.26,100,0.26,0.26,0.0,0.0010216236114501953
1043_ada_agnostic,0.32,100,0.32,0.27,0.05,0.0
1043_ada_agnostic,0.32,100,0.32,0.52,0.2,0.001033782958984375
1043_ada_agnostic,0.32,100,0.32,0.29,0.03,0.0
1043_ada_agnostic,0.32,100,0.32,0.48,0.16,0.0009975433349609375
1043_ada_agnostic,0.32,100,0.32,0.31,0.01,0.0
1043_ada_agnostic,0.32,100,0.32,0.35,0.03,0.0
1043_ada_agnostic,0.32,100,0.32,0.39,0.07,0.0
1043_ada_agnostic,0.32,100,0.32,0.32,0.0,0.0
1043_ada_agnostic,0.32,100,0.32,0.44,0.12,0.0
1043_ada_agnostic,0.32,100,0.32,0.37,0.05,0.0009987354278564453
1043_ada_agnostic,0.37,100,0.37,0.52,0.15,0.0009636878967285156
1043_ada_agnostic,0.37,100,0.37,0.48,0.11,0.0009975433349609375
1043_ada_agnostic,0.37,100,0.37,0.26,0.11,0.0009975433349609375
1043_ada_agnostic,0.37,100,0.37,0.42,0.05,0.0010294914245605469
1043_ada_agnostic,0.37,100,0.37,0.52,0.15,0.0
1043_ada_agnostic,0.37,100,0.37,0.37,0.0,0.0009965896606445312
1043_ada_agnostic,0.37,100,0.37,0.52,0.15,0.0
1043_ada_agnostic,0.37,100,0.37,0.4,0.03,0.0010297298431396484
1043_ada_agnostic,0.37,100,0.37,0.47,0.1,0.001026153564453125
1043_ada_agnostic,0.37,100,0.37,0.44,0.07,0.0009620189666748047
1043_ada_agnostic,0.42,100,0.42,0.47,0.05,0.0
1043_ada_agnostic,0.42,100,0.42,0.42,0.0,0.0
1043_ada_agnostic,0.42,100,0.42,0.42,0.0,0.0
1043_ada_agnostic,0.42,100,0.42,0.47,0.05,0.0010704994201660156
1043_ada_agnostic,0.42,100,0.42,0.37,0.05,0.0
1043_ada_agnostic,0.42,100,0.42,0.48,0.06,0.0
1043_ada_agnostic,0.42,100,0.42,0.47,0.05,0.0
1043_ada_agnostic,0.42,100,0.42,0.48,0.06,0.0
1043_ada_agnostic,0.42,100,0.42,0.37,0.05,0.0
1043_ada_agnostic,0.42,100,0.42,0.55,0.13,0.0009970664978027344
1043_ada_agnostic,0.47,100,0.47,0.55,0.08,0.0
1043_ada_agnostic,0.47,100,0.47,0.48,0.01,0.0
1043_ada_agnostic,0.47,100,0.47,0.6,0.13,0.0
1043_ada_agnostic,0.47,100,0.47,0.53,0.06,0.0
1043_ada_agnostic,0.47,100,0.47,0.5,0.03,0.0
1043_ada_agnostic,0.47,100,0.47,0.63,0.16,0.0015387535095214844
1043_ada_agnostic,0.47,100,0.47,0.52,0.05,0.0
1043_ada_agnostic,0.47,100,0.47,0.5,0.03,0.0
1043_ada_agnostic,0.47,100,0.47,0.48,0.01,0.0
1043_ada_agnostic,0.47,100,0.47,0.47,0.0,0.0
1043_ada_agnostic,0.53,100,0.53,0.5,0.03,0.000997304916381836
1043_ada_agnostic,0.53,100,0.53,0.56,0.03,0.00099945068359375
1043_ada_agnostic,0.53,100,0.53,0.6,0.07,0.0
1043_ada_agnostic,0.53,100,0.53,0.63,0.1,0.000997304916381836
1043_ada_agnostic,0.53,100,0.53,0.63,0.1,0.0
1043_ada_agnostic,0.53,100,0.53,0.53,0.0,0.0
1043_ada_agnostic,0.53,100,0.53,0.58,0.05,0.0010063648223876953
1043_ada_agnostic,0.53,100,0.53,0.58,0.05,0.0
1043_ada_agnostic,0.53,100,0.53,0.52,0.01,0.0
1043_ada_agnostic,0.53,100,0.53,0.61,0.08,0.0
1043_ada_agnostic,0.58,100,0.58,0.65,0.07,0.0
1043_ada_agnostic,0.58,100,0.58,0.56,0.02,0.0
1043_ada_agnostic,0.58,100,0.58,0.56,0.02,0.0
1043_ada_agnostic,0.58,100,0.58,0.56,0.02,0.0
1043_ada_agnostic,0.58,100,0.58,0.56,0.02,0.0010313987731933594
1043_ada_agnostic,0.58,100,0.58,0.6,0.02,0.0
1043_ada_agnostic,0.58,100,0.58,0.66,0.08,0.0
1043_ada_agnostic,0.58,100,0.58,0.66,0.08,0.0010306835174560547
1043_ada_agnostic,0.58,100,0.58,0.73,0.15,0.0
1043_ada_agnostic,0.58,100,0.58,0.66,0.08,0.0
1043_ada_agnostic,0.63,100,0.63,0.77,0.14,0.0
1043_ada_agnostic,0.63,100,0.63,0.61,0.02,0.0
1043_ada_agnostic,0.63,100,0.63,0.63,0.0,0.0
1043_ada_agnostic,0.63,100,0.63,0.61,0.02,0.000997304916381836
1043_ada_agnostic,0.63,100,0.63,0.66,0.03,0.0
1043_ada_agnostic,0.63,100,0.63,0.63,0.0,0.0
1043_ada_agnostic,0.63,100,0.63,0.68,0.05,0.0
1043_ada_agnostic,0.63,100,0.63,0.63,0.0,0.0
1043_ada_agnostic,0.63,100,0.63,0.73,0.1,0.0
1043_ada_agnostic,0.63,100,0.63,0.71,0.08,0.0010023117065429688
1043_ada_agnostic,0.68,100,0.68,0.74,0.06,0.0
1043_ada_agnostic,0.68,100,0.68,0.74,0.06,0.0
1043_ada_agnostic,0.68,100,0.68,0.76,0.08,0.0
1043_ada_agnostic,0.68,100,0.68,0.73,0.05,0.0009639263153076172
1043_ada_agnostic,0.68,100,0.68,0.63,0.05,0.0009829998016357422
1043_ada_agnostic,0.68,100,0.68,0.81,0.13,0.0
1043_ada_agnostic,0.68,100,0.68,0.71,0.03,0.000997781753540039
1043_ada_agnostic,0.68,100,0.68,0.84,0.16,0.0009388923645019531
1043_ada_agnostic,0.68,100,0.68,0.68,0.0,0.0010161399841308594
1043_ada_agnostic,0.68,100,0.68,0.66,0.02,0.0010042190551757812
1043_ada_agnostic,0.74,100,0.74,0.73,0.01,0.0
1043_ada_agnostic,0.74,100,0.74,0.79,0.05,0.0
1043_ada_agnostic,0.74,100,0.74,0.81,0.07,0.0
1043_ada_agnostic,0.74,100,0.74,0.77,0.03,0.0
1043_ada_agnostic,0.74,100,0.74,0.84,0.1,0.0009639263153076172
1043_ada_agnostic,0.74,100,0.74,0.82,0.08,0.0
1043_ada_agnostic,0.74,100,0.74,0.82,0.08,0.0009963512420654297
1043_ada_agnostic,0.74,100,0.74,0.73,0.01,0.0009968280792236328
1043_ada_agnostic,0.74,100,0.74,0.81,0.07,0.0
1043_ada_agnostic,0.74,100,0.74,0.79,0.05,0.0
1043_ada_agnostic,0.79,100,0.79,0.85,0.06,0.0
1043_ada_agnostic,0.79,100,0.79,0.81,0.02,0.0
1043_ada_agnostic,0.79,100,0.79,0.89,0.1,0.0010275840759277344
1043_ada_agnostic,0.79,100,0.79,0.81,0.02,0.0
1043_ada_agnostic,0.79,100,0.79,0.81,0.02,0.0
1043_ada_agnostic,0.79,100,0.79,0.84,0.05,0.0
1043_ada_agnostic,0.79,100,0.79,0.74,0.05,0.001990079879760742
1043_ada_agnostic,0.79,100,0.79,0.84,0.05,0.0010023117065429688
1043_ada_agnostic,0.79,100,0.79,0.79,0.0,0.000997304916381836
1043_ada_agnostic,0.79,100,0.79,0.81,0.02,0.000997304916381836
1043_ada_agnostic,0.84,100,0.84,0.76,0.08,0.0
1043_ada_agnostic,0.84,100,0.84,0.89,0.05,0.0
1043_ada_agnostic,0.84,100,0.84,0.9,0.06,0.0
1043_ada_agnostic,0.84,100,0.84,0.89,0.05,0.000997781753540039
1043_ada_agnostic,0.84,100,0.84,0.89,0.05,0.0
1043_ada_agnostic,0.84,100,0.84,0.82,0.02,0.0010318756103515625
1043_ada_agnostic,0.84,100,0.84,0.9,0.06,0.0
1043_ada_agnostic,0.84,100,0.84,0.9,0.06,0.0
1043_ada_agnostic,0.84,100,0.84,0.9,0.06,0.0
1043_ada_agnostic,0.84,100,0.84,0.74,0.1,0.0009622573852539062
1043_ada_agnostic,0.89,100,0.89,0.97,0.08,0.000997304916381836
1043_ada_agnostic,0.89,100,0.89,0.84,0.05,0.0
1043_ada_agnostic,0.89,100,0.89,0.95,0.06,0.0
1043_ada_agnostic,0.89,100,0.89,1.0,0.11,0.0
1043_ada_agnostic,0.89,100,0.89,0.92,0.03,0.0
1043_ada_agnostic,0.89,100,0.89,0.84,0.05,0.000997781753540039
1043_ada_agnostic,0.89,100,0.89,1.0,0.11,0.0
1043_ada_agnostic,0.89,100,0.89,0.89,0.0,0.0009984970092773438
1043_ada_agnostic,0.89,100,0.89,1.0,0.11,0.0
1043_ada_agnostic,0.89,100,0.89,0.79,0.1,0.0010530948638916016
1043_ada_agnostic,0.95,100,0.95,0.97,0.02,0.000997304916381836
1043_ada_agnostic,0.95,100,0.95,1.0,0.05,0.0
1043_ada_agnostic,0.95,100,0.95,0.95,0.0,0.0009636878967285156
1043_ada_agnostic,0.95,100,0.95,0.95,0.0,0.00099945068359375
1043_ada_agnostic,0.95,100,0.95,1.0,0.05,0.0009450912475585938
1043_ada_agnostic,0.95,100,0.95,1.0,0.05,0.0
