dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
2dplanes,0.0,100,0.0,0.23,0.23,0.0
2dplanes,0.0,100,0.0,0.19,0.19,0.0
2dplanes,0.0,100,0.0,0.14,0.14,0.0
2dplanes,0.0,100,0.0,0.19,0.19,0.0
2dplanes,0.0,100,0.0,0.18,0.18,0.0
2dplanes,0.0,100,0.0,0.16,0.16,0.0
2dplanes,0.0,100,0.0,0.16,0.16,0.0
2dplanes,0.0,100,0.0,0.19,0.19,0.0
2dplanes,0.0,100,0.0,0.22,0.22,0.0
2dplanes,0.0,100,0.0,0.19,0.19,0.0
2dplanes,0.05,100,0.05,0.23,0.18,0.0
2dplanes,0.05,100,0.05,0.29,0.24,0.0
2dplanes,0.05,100,0.05,0.22,0.17,0.0
2dplanes,0.05,100,0.05,0.12,0.07,0.0
2dplanes,0.05,100,0.05,0.2,0.15,0.0
2dplanes,0.05,100,0.05,0.11,0.06,0.0
2dplanes,0.05,100,0.05,0.15,0.1,0.0
2dplanes,0.05,100,0.05,0.2,0.15,0.0
2dplanes,0.05,100,0.05,0.14,0.09,0.0
2dplanes,0.05,100,0.05,0.18,0.13,0.0
2dplanes,0.11,100,0.11,0.23,0.12,0.0
2dplanes,0.11,100,0.11,0.29,0.18,0.0
2dplanes,0.11,100,0.11,0.32,0.21,0.0
2dplanes,0.11,100,0.11,0.31,0.2,0.0
2dplanes,0.11,100,0.11,0.24,0.13,0.0
2dplanes,0.11,100,0.11,0.31,0.2,0.0
2dplanes,0.11,100,0.11,0.29,0.18,0.0
2dplanes,0.11,100,0.11,0.27,0.16,0.0
2dplanes,0.11,100,0.11,0.25,0.14,0.0
2dplanes,0.11,100,0.11,0.3,0.19,0.0
2dplanes,0.16,100,0.16,0.31,0.15,0.0
2dplanes,0.16,100,0.16,0.29,0.13,0.0
2dplanes,0.16,100,0.16,0.25,0.09,0.0
2dplanes,0.16,100,0.16,0.27,0.11,0.0
2dplanes,0.16,100,0.16,0.29,0.13,0.0
2dplanes,0.16,100,0.16,0.33,0.17,0.0
2dplanes,0.16,100,0.16,0.21,0.05,0.0
2dplanes,0.16,100,0.16,0.22,0.06,0.0
2dplanes,0.16,100,0.16,0.22,0.06,0.0
2dplanes,0.16,100,0.16,0.25,0.09,0.0
2dplanes,0.21,100,0.21,0.38,0.17,0.0
2dplanes,0.21,100,0.21,0.26,0.05,0.0
2dplanes,0.21,100,0.21,0.27,0.06,0.0
2dplanes,0.21,100,0.21,0.3,0.09,0.0
2dplanes,0.21,100,0.21,0.33,0.12,0.0
2dplanes,0.21,100,0.21,0.3,0.09,0.0
2dplanes,0.21,100,0.21,0.26,0.05,0.0
2dplanes,0.21,100,0.21,0.27,0.06,0.0
2dplanes,0.21,100,0.21,0.28,0.07,0.0
2dplanes,0.21,100,0.21,0.31,0.1,0.0
2dplanes,0.26,100,0.26,0.33,0.07,0.0
2dplanes,0.26,100,0.26,0.41,0.15,0.0
2dplanes,0.26,100,0.26,0.34,0.08,0.0
2dplanes,0.26,100,0.26,0.32,0.06,0.0
2dplanes,0.26,100,0.26,0.32,0.06,0.0
2dplanes,0.26,100,0.26,0.35,0.09,0.0
2dplanes,0.26,100,0.26,0.29,0.03,0.0
2dplanes,0.26,100,0.26,0.34,0.08,0.0
2dplanes,0.26,100,0.26,0.35,0.09,0.0
2dplanes,0.26,100,0.26,0.33,0.07,0.0
2dplanes,0.32,100,0.32,0.38,0.06,0.0
2dplanes,0.32,100,0.32,0.41,0.09,0.0
2dplanes,0.32,100,0.32,0.35,0.03,0.0
2dplanes,0.32,100,0.32,0.35,0.03,0.0
2dplanes,0.32,100,0.32,0.39,0.07,0.0
2dplanes,0.32,100,0.32,0.38,0.06,0.0
2dplanes,0.32,100,0.32,0.4,0.08,0.0
2dplanes,0.32,100,0.32,0.41,0.09,0.0
2dplanes,0.32,100,0.32,0.4,0.08,0.0
2dplanes,0.32,100,0.32,0.38,0.06,0.0
2dplanes,0.37,100,0.37,0.4,0.03,0.0
2dplanes,0.37,100,0.37,0.39,0.02,0.0
2dplanes,0.37,100,0.37,0.48,0.11,0.0
2dplanes,0.37,100,0.37,0.46,0.09,0.0
2dplanes,0.37,100,0.37,0.43,0.06,0.0
2dplanes,0.37,100,0.37,0.46,0.09,0.0
2dplanes,0.37,100,0.37,0.35,0.02,0.0
2dplanes,0.37,100,0.37,0.43,0.06,0.0
2dplanes,0.37,100,0.37,0.4,0.03,0.0
2dplanes,0.37,100,0.37,0.4,0.03,0.0
2dplanes,0.42,100,0.42,0.45,0.03,0.0
2dplanes,0.42,100,0.42,0.41,0.01,0.0
2dplanes,0.42,100,0.42,0.48,0.06,0.005469083786010742
2dplanes,0.42,100,0.42,0.5,0.08,0.0
2dplanes,0.42,100,0.42,0.42,0.0,0.0
2dplanes,0.42,100,0.42,0.44,0.02,0.0
2dplanes,0.42,100,0.42,0.42,0.0,0.0
2dplanes,0.42,100,0.42,0.48,0.06,0.0
2dplanes,0.42,100,0.42,0.5,0.08,0.0
2dplanes,0.42,100,0.42,0.44,0.02,0.0
2dplanes,0.47,100,0.47,0.56,0.09,0.0
2dplanes,0.47,100,0.47,0.52,0.05,0.0
2dplanes,0.47,100,0.47,0.49,0.02,0.0
2dplanes,0.47,100,0.47,0.46,0.01,0.0
2dplanes,0.47,100,0.47,0.52,0.05,0.0
2dplanes,0.47,100,0.47,0.48,0.01,0.0
2dplanes,0.47,100,0.47,0.46,0.01,0.0
2dplanes,0.47,100,0.47,0.54,0.07,0.0
2dplanes,0.47,100,0.47,0.5,0.03,0.0
2dplanes,0.47,100,0.47,0.43,0.04,0.0
2dplanes,0.53,100,0.53,0.51,0.02,0.0
2dplanes,0.53,100,0.53,0.58,0.05,0.0
2dplanes,0.53,100,0.53,0.6,0.07,0.0
2dplanes,0.53,100,0.53,0.6,0.07,0.0
2dplanes,0.53,100,0.53,0.52,0.01,0.0
2dplanes,0.53,100,0.53,0.5,0.03,0.0
2dplanes,0.53,100,0.53,0.55,0.02,0.0
2dplanes,0.53,100,0.53,0.51,0.02,0.0
2dplanes,0.53,100,0.53,0.54,0.01,0.0
2dplanes,0.53,100,0.53,0.52,0.01,0.0
2dplanes,0.58,100,0.58,0.51,0.07,0.0
2dplanes,0.58,100,0.58,0.58,0.0,0.0
2dplanes,0.58,100,0.58,0.52,0.06,0.0
2dplanes,0.58,100,0.58,0.57,0.01,0.0
2dplanes,0.58,100,0.58,0.5,0.08,0.0
2dplanes,0.58,100,0.58,0.53,0.05,0.0
2dplanes,0.58,100,0.58,0.54,0.04,0.0
2dplanes,0.58,100,0.58,0.52,0.06,0.0
2dplanes,0.58,100,0.58,0.5,0.08,0.0
2dplanes,0.58,100,0.58,0.54,0.04,0.0
2dplanes,0.63,100,0.63,0.56,0.07,0.0
2dplanes,0.63,100,0.63,0.62,0.01,0.0
2dplanes,0.63,100,0.63,0.57,0.06,0.0
2dplanes,0.63,100,0.63,0.58,0.05,0.0
2dplanes,0.63,100,0.63,0.61,0.02,0.0
2dplanes,0.63,100,0.63,0.53,0.1,0.0
2dplanes,0.63,100,0.63,0.56,0.07,0.0
2dplanes,0.63,100,0.63,0.59,0.04,0.0
2dplanes,0.63,100,0.63,0.53,0.1,0.0
2dplanes,0.63,100,0.63,0.58,0.05,0.0
2dplanes,0.68,100,0.68,0.67,0.01,0.0
2dplanes,0.68,100,0.68,0.61,0.07,0.0
2dplanes,0.68,100,0.68,0.66,0.02,0.0
2dplanes,0.68,100,0.68,0.65,0.03,0.0
2dplanes,0.68,100,0.68,0.68,0.0,0.0
2dplanes,0.68,100,0.68,0.62,0.06,0.0
2dplanes,0.68,100,0.68,0.6,0.08,0.0
2dplanes,0.68,100,0.68,0.63,0.05,0.0
2dplanes,0.68,100,0.68,0.6,0.08,0.0
2dplanes,0.68,100,0.68,0.64,0.04,0.0
2dplanes,0.74,100,0.74,0.71,0.03,0.0
2dplanes,0.74,100,0.74,0.61,0.13,0.0
2dplanes,0.74,100,0.74,0.65,0.09,0.0
2dplanes,0.74,100,0.74,0.68,0.06,0.0
2dplanes,0.74,100,0.74,0.65,0.09,0.0
2dplanes,0.74,100,0.74,0.73,0.01,0.0
2dplanes,0.74,100,0.74,0.65,0.09,0.0
2dplanes,0.74,100,0.74,0.68,0.06,0.0
2dplanes,0.74,100,0.74,0.66,0.08,0.0
2dplanes,0.74,100,0.74,0.59,0.15,0.0
2dplanes,0.79,100,0.79,0.7,0.09,0.0
2dplanes,0.79,100,0.79,0.69,0.1,0.0
2dplanes,0.79,100,0.79,0.61,0.18,0.0
2dplanes,0.79,100,0.79,0.72,0.07,0.0
2dplanes,0.79,100,0.79,0.65,0.14,0.0
2dplanes,0.79,100,0.79,0.72,0.07,0.0
2dplanes,0.79,100,0.79,0.73,0.06,0.0
2dplanes,0.79,100,0.79,0.6,0.19,0.0
2dplanes,0.79,100,0.79,0.71,0.08,0.0
2dplanes,0.79,100,0.79,0.67,0.12,0.0
2dplanes,0.84,100,0.84,0.7,0.14,0.0
2dplanes,0.84,100,0.84,0.71,0.13,0.0
2dplanes,0.84,100,0.84,0.73,0.11,0.0
2dplanes,0.84,100,0.84,0.74,0.1,0.0
2dplanes,0.84,100,0.84,0.75,0.09,0.0
2dplanes,0.84,100,0.84,0.66,0.18,0.0
2dplanes,0.84,100,0.84,0.74,0.1,0.0
2dplanes,0.84,100,0.84,0.74,0.1,0.0
2dplanes,0.84,100,0.84,0.65,0.19,0.0
2dplanes,0.84,100,0.84,0.63,0.21,0.0
2dplanes,0.89,100,0.89,0.74,0.15,0.0
2dplanes,0.89,100,0.89,0.74,0.15,0.0
2dplanes,0.89,100,0.89,0.8,0.09,0.0
2dplanes,0.89,100,0.89,0.79,0.1,0.0
2dplanes,0.89,100,0.89,0.79,0.1,0.0
2dplanes,0.89,100,0.89,0.77,0.12,0.0
2dplanes,0.89,100,0.89,0.75,0.14,0.0
2dplanes,0.89,100,0.89,0.72,0.17,0.0
2dplanes,0.89,100,0.89,0.73,0.16,0.0
2dplanes,0.89,100,0.89,0.79,0.1,0.0
2dplanes,0.95,100,0.95,0.84,0.11,0.0
2dplanes,0.95,100,0.95,0.8,0.15,0.0
2dplanes,0.95,100,0.95,0.8,0.15,0.0
2dplanes,0.95,100,0.95,0.86,0.09,0.0
2dplanes,0.95,100,0.95,0.71,0.24,0.0
2dplanes,0.95,100,0.95,0.73,0.22,0.0
2dplanes,0.95,100,0.95,0.82,0.13,0.0
2dplanes,0.95,100,0.95,0.77,0.18,0.0
2dplanes,0.95,100,0.95,0.73,0.22,0.0
2dplanes,0.95,100,0.95,0.84,0.11,0.0
2dplanes,1.0,100,1.0,0.8,0.2,0.0
2dplanes,1.0,100,1.0,0.81,0.19,0.0
2dplanes,1.0,100,1.0,0.79,0.21,0.0
2dplanes,1.0,100,1.0,0.83,0.17,0.0
2dplanes,1.0,100,1.0,0.83,0.17,0.0
2dplanes,1.0,100,1.0,0.91,0.09,0.0
2dplanes,1.0,100,1.0,0.78,0.22,0.0
2dplanes,1.0,100,1.0,0.86,0.14,0.0
2dplanes,1.0,100,1.0,0.87,0.13,0.0
2dplanes,1.0,100,1.0,0.85,0.15,0.0
balloon,0.0,100,0.0,0.03,0.03,0.0
balloon,0.0,100,0.0,0.01,0.01,0.0
balloon,0.0,100,0.0,0.03,0.03,0.0
balloon,0.0,100,0.0,0.02,0.02,0.0
balloon,0.0,100,0.0,0.01,0.01,0.0
balloon,0.0,100,0.0,0.05,0.05,0.0
balloon,0.0,100,0.0,0.04,0.04,0.0
balloon,0.0,100,0.0,0.03,0.03,0.0
balloon,0.0,100,0.0,0.02,0.02,0.0
balloon,0.0,100,0.0,0.0,0.0,0.0
balloon,0.05,100,0.05,0.05,0.0,0.0
balloon,0.05,100,0.05,0.07,0.02,0.0
balloon,0.05,100,0.05,0.03,0.02,0.0
balloon,0.05,100,0.05,0.03,0.02,0.0
balloon,0.05,100,0.05,0.03,0.02,0.0
balloon,0.05,100,0.05,0.06,0.01,0.0
balloon,0.05,100,0.05,0.05,0.0,0.0
balloon,0.05,100,0.05,0.07,0.02,0.0
balloon,0.05,100,0.05,0.05,0.0,0.0
balloon,0.05,100,0.05,0.06,0.01,0.0
balloon,0.11,100,0.11,0.13,0.02,0.0
balloon,0.11,100,0.11,0.11,0.0,0.0
balloon,0.11,100,0.11,0.11,0.0,0.0
balloon,0.11,100,0.11,0.1,0.01,0.0
balloon,0.11,100,0.11,0.1,0.01,0.0
balloon,0.11,100,0.11,0.1,0.01,0.0
balloon,0.11,100,0.11,0.07,0.04,0.0
balloon,0.11,100,0.11,0.13,0.02,0.0
balloon,0.11,100,0.11,0.12,0.01,0.0
balloon,0.11,100,0.11,0.11,0.0,0.0
balloon,0.16,100,0.16,0.14,0.02,0.0
balloon,0.16,100,0.16,0.17,0.01,0.0
balloon,0.16,100,0.16,0.15,0.01,0.0
balloon,0.16,100,0.16,0.17,0.01,0.0
balloon,0.16,100,0.16,0.15,0.01,0.0
balloon,0.16,100,0.16,0.16,0.0,0.0
balloon,0.16,100,0.16,0.11,0.05,0.0
balloon,0.16,100,0.16,0.12,0.04,0.0
balloon,0.16,100,0.16,0.14,0.02,0.0
balloon,0.16,100,0.16,0.15,0.01,0.0
balloon,0.21,100,0.21,0.21,0.0,0.0
balloon,0.21,100,0.21,0.15,0.06,0.0
balloon,0.21,100,0.21,0.19,0.02,0.0
balloon,0.21,100,0.21,0.21,0.0,0.0
balloon,0.21,100,0.21,0.19,0.02,0.0
balloon,0.21,100,0.21,0.19,0.02,0.0
balloon,0.21,100,0.21,0.15,0.06,0.0
balloon,0.21,100,0.21,0.19,0.02,0.0
balloon,0.21,100,0.21,0.2,0.01,0.0
balloon,0.21,100,0.21,0.2,0.01,0.0
balloon,0.26,100,0.26,0.25,0.01,0.0
balloon,0.26,100,0.26,0.25,0.01,0.0
balloon,0.26,100,0.26,0.22,0.04,0.0
balloon,0.26,100,0.26,0.25,0.01,0.0
balloon,0.26,100,0.26,0.23,0.03,0.0
balloon,0.26,100,0.26,0.26,0.0,0.0
balloon,0.26,100,0.26,0.22,0.04,0.0
balloon,0.26,100,0.26,0.26,0.0,0.0
balloon,0.26,100,0.26,0.24,0.02,0.0
balloon,0.26,100,0.26,0.24,0.02,0.0
balloon,0.32,100,0.32,0.24,0.08,0.0
balloon,0.32,100,0.32,0.26,0.06,0.0
balloon,0.32,100,0.32,0.26,0.06,0.0
balloon,0.32,100,0.32,0.28,0.04,0.0
balloon,0.32,100,0.32,0.31,0.01,0.0
balloon,0.32,100,0.32,0.3,0.02,0.0
balloon,0.32,100,0.32,0.28,0.04,0.0
balloon,0.32,100,0.32,0.27,0.05,0.0
balloon,0.32,100,0.32,0.27,0.05,0.0
balloon,0.32,100,0.32,0.26,0.06,0.0
balloon,0.37,100,0.37,0.33,0.04,0.0
balloon,0.37,100,0.37,0.32,0.05,0.0
balloon,0.37,100,0.37,0.31,0.06,0.0
balloon,0.37,100,0.37,0.32,0.05,0.0
balloon,0.37,100,0.37,0.33,0.04,0.0
balloon,0.37,100,0.37,0.35,0.02,0.0
balloon,0.37,100,0.37,0.33,0.04,0.0
balloon,0.37,100,0.37,0.36,0.01,0.0
balloon,0.37,100,0.37,0.3,0.07,0.0
balloon,0.37,100,0.37,0.27,0.1,0.0
balloon,0.42,100,0.42,0.35,0.07,0.0
balloon,0.42,100,0.42,0.33,0.09,0.0
balloon,0.42,100,0.42,0.38,0.04,0.0
balloon,0.42,100,0.42,0.33,0.09,0.0
balloon,0.42,100,0.42,0.4,0.02,0.0
balloon,0.42,100,0.42,0.36,0.06,0.0
balloon,0.42,100,0.42,0.37,0.05,0.0
balloon,0.42,100,0.42,0.36,0.06,0.0
balloon,0.42,100,0.42,0.37,0.05,0.0
balloon,0.42,100,0.42,0.36,0.06,0.0
balloon,0.47,100,0.47,0.39,0.08,0.0
balloon,0.47,100,0.47,0.36,0.11,0.0
balloon,0.47,100,0.47,0.4,0.07,0.0
balloon,0.47,100,0.47,0.37,0.1,0.0
balloon,0.47,100,0.47,0.36,0.11,0.0
balloon,0.47,100,0.47,0.41,0.06,0.0
balloon,0.47,100,0.47,0.4,0.07,0.0
balloon,0.47,100,0.47,0.41,0.06,0.0
balloon,0.47,100,0.47,0.41,0.06,0.0
balloon,0.47,100,0.47,0.38,0.09,0.0
balloon,0.53,100,0.53,0.44,0.09,0.0
balloon,0.53,100,0.53,0.44,0.09,0.0
balloon,0.53,100,0.53,0.43,0.1,0.0
balloon,0.53,100,0.53,0.44,0.09,0.0
balloon,0.53,100,0.53,0.46,0.07,0.0
balloon,0.53,100,0.53,0.44,0.09,0.0
balloon,0.53,100,0.53,0.44,0.09,0.0
balloon,0.53,100,0.53,0.44,0.09,0.0
balloon,0.53,100,0.53,0.44,0.09,0.0
balloon,0.53,100,0.53,0.42,0.11,0.0
balloon,0.58,100,0.58,0.47,0.11,0.0
balloon,0.58,100,0.58,0.52,0.06,0.0
balloon,0.58,100,0.58,0.49,0.09,0.0
balloon,0.58,100,0.58,0.49,0.09,0.0
balloon,0.58,100,0.58,0.5,0.08,0.0
balloon,0.58,100,0.58,0.51,0.07,0.0
balloon,0.58,100,0.58,0.5,0.08,0.0
balloon,0.58,100,0.58,0.49,0.09,0.0
balloon,0.58,100,0.58,0.47,0.11,0.0
balloon,0.58,100,0.58,0.48,0.1,0.0
balloon,0.63,100,0.63,0.51,0.12,0.0
balloon,0.63,100,0.63,0.53,0.1,0.0
balloon,0.63,100,0.63,0.54,0.09,0.0
balloon,0.63,100,0.63,0.51,0.12,0.0
balloon,0.63,100,0.63,0.56,0.07,0.0
balloon,0.63,100,0.63,0.55,0.08,0.0
balloon,0.63,100,0.63,0.49,0.14,0.0
balloon,0.63,100,0.63,0.5,0.13,0.0
balloon,0.63,100,0.63,0.54,0.09,0.0
balloon,0.63,100,0.63,0.51,0.12,0.0
balloon,0.68,100,0.68,0.57,0.11,0.0
balloon,0.68,100,0.68,0.55,0.13,0.0
balloon,0.68,100,0.68,0.57,0.11,0.0
balloon,0.68,100,0.68,0.59,0.09,0.0
