dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
2dplanes,0.0,100,0.0,0.1,0.1,0.03125
2dplanes,0.0,100,0.0,0.02,0.02,0.03136873245239258
2dplanes,0.0,100,0.0,0.0,0.0,0.02797222137451172
2dplanes,0.0,100,0.0,0.0,0.0,0.03302907943725586
2dplanes,0.0,100,0.0,0.01,0.01,0.027956008911132812
2dplanes,0.0,100,0.0,0.0,0.0,0.021152496337890625
2dplanes,0.0,100,0.0,0.0,0.0,0.029003620147705078
2dplanes,0.0,100,0.0,0.09,0.09,0.030308961868286133
2dplanes,0.0,100,0.0,0.01,0.01,0.0270082950592041
2dplanes,0.0,100,0.0,0.0,0.0,0.024497509002685547
2dplanes,0.05,100,0.05,0.06,0.01,0.026140451431274414
2dplanes,0.05,100,0.05,0.06,0.01,0.03101181983947754
2dplanes,0.05,100,0.05,0.0,0.05,0.03097057342529297
2dplanes,0.05,100,0.05,0.0,0.05,0.028358936309814453
2dplanes,0.05,100,0.05,0.06,0.01,0.03367495536804199
2dplanes,0.05,100,0.05,0.03,0.02,0.02854466438293457
2dplanes,0.05,100,0.05,0.07,0.02,0.027820348739624023
2dplanes,0.05,100,0.05,0.08,0.03,0.029675960540771484
2dplanes,0.05,100,0.05,0.05,0.0,0.028052330017089844
2dplanes,0.05,100,0.05,0.02,0.03,0.03657364845275879
2dplanes,0.11,100,0.11,0.11,0.0,0.030421018600463867
2dplanes,0.11,100,0.11,0.15,0.04,0.026929140090942383
2dplanes,0.11,100,0.11,0.14,0.03,0.02754974365234375
2dplanes,0.11,100,0.11,0.15,0.04,0.02564215660095215
2dplanes,0.11,100,0.11,0.09,0.02,0.023554086685180664
2dplanes,0.11,100,0.11,0.12,0.01,0.02412271499633789
2dplanes,0.11,100,0.11,0.09,0.02,0.0234832763671875
2dplanes,0.11,100,0.11,0.1,0.01,0.029100656509399414
2dplanes,0.11,100,0.11,0.11,0.0,0.028736352920532227
2dplanes,0.11,100,0.11,0.18,0.07,0.03146481513977051
2dplanes,0.16,100,0.16,0.15,0.01,0.027123451232910156
2dplanes,0.16,100,0.16,0.15,0.01,0.02843451499938965
2dplanes,0.16,100,0.16,0.15,0.01,0.02339792251586914
2dplanes,0.16,100,0.16,0.14,0.02,0.027103662490844727
2dplanes,0.16,100,0.16,0.15,0.01,0.030970096588134766
2dplanes,0.16,100,0.16,0.24,0.08,0.0181887149810791
2dplanes,0.16,100,0.16,0.11,0.05,0.027873754501342773
2dplanes,0.16,100,0.16,0.09,0.07,0.024191856384277344
2dplanes,0.16,100,0.16,0.09,0.07,0.02846050262451172
2dplanes,0.16,100,0.16,0.11,0.05,0.02828693389892578
2dplanes,0.21,100,0.21,0.29,0.08,0.03009486198425293
2dplanes,0.21,100,0.21,0.19,0.02,0.03039097785949707
2dplanes,0.21,100,0.21,0.18,0.03,0.02818441390991211
2dplanes,0.21,100,0.21,0.2,0.01,0.029659748077392578
2dplanes,0.21,100,0.21,0.27,0.06,0.028608322143554688
2dplanes,0.21,100,0.21,0.23,0.02,0.028305768966674805
2dplanes,0.21,100,0.21,0.2,0.01,0.02311849594116211
2dplanes,0.21,100,0.21,0.15,0.06,0.02893376350402832
2dplanes,0.21,100,0.21,0.18,0.03,0.027943134307861328
2dplanes,0.21,100,0.21,0.21,0.0,0.027610301971435547
2dplanes,0.26,100,0.26,0.26,0.0,0.03471207618713379
2dplanes,0.26,100,0.26,0.31,0.05,0.028075695037841797
2dplanes,0.26,100,0.26,0.25,0.01,0.024142742156982422
2dplanes,0.26,100,0.26,0.26,0.0,0.025187015533447266
2dplanes,0.26,100,0.26,0.17,0.09,0.028316259384155273
2dplanes,0.26,100,0.26,0.27,0.01,0.02480483055114746
2dplanes,0.26,100,0.26,0.27,0.01,0.024451255798339844
2dplanes,0.26,100,0.26,0.28,0.02,0.027897357940673828
2dplanes,0.26,100,0.26,0.28,0.02,0.028563261032104492
2dplanes,0.26,100,0.26,0.25,0.01,0.02673625946044922
2dplanes,0.32,100,0.32,0.32,0.0,0.028881072998046875
2dplanes,0.32,100,0.32,0.39,0.07,0.027474403381347656
2dplanes,0.32,100,0.32,0.31,0.01,0.024798870086669922
2dplanes,0.32,100,0.32,0.29,0.03,0.02952885627746582
2dplanes,0.32,100,0.32,0.34,0.02,0.028228282928466797
2dplanes,0.32,100,0.32,0.32,0.0,0.027730464935302734
2dplanes,0.32,100,0.32,0.35,0.03,0.02853989601135254
2dplanes,0.32,100,0.32,0.33,0.01,0.027290821075439453
2dplanes,0.32,100,0.32,0.35,0.03,0.028768539428710938
2dplanes,0.32,100,0.32,0.29,0.03,0.03107309341430664
2dplanes,0.37,100,0.37,0.39,0.02,0.02732110023498535
2dplanes,0.37,100,0.37,0.31,0.06,0.027590513229370117
2dplanes,0.37,100,0.37,0.45,0.08,0.027655363082885742
2dplanes,0.37,100,0.37,0.42,0.05,0.029120683670043945
2dplanes,0.37,100,0.37,0.42,0.05,0.028153181076049805
2dplanes,0.37,100,0.37,0.43,0.06,0.023284196853637695
2dplanes,0.37,100,0.37,0.26,0.11,0.0307772159576416
2dplanes,0.37,100,0.37,0.4,0.03,0.02771759033203125
2dplanes,0.37,100,0.37,0.36,0.01,0.023424386978149414
2dplanes,0.37,100,0.37,0.3,0.07,0.02774834632873535
2dplanes,0.42,100,0.42,0.41,0.01,0.030986547470092773
2dplanes,0.42,100,0.42,0.36,0.06,0.024537324905395508
2dplanes,0.42,100,0.42,0.43,0.01,0.028723478317260742
2dplanes,0.42,100,0.42,0.51,0.09,0.02778935432434082
2dplanes,0.42,100,0.42,0.36,0.06,0.028431177139282227
2dplanes,0.42,100,0.42,0.44,0.02,0.029422760009765625
2dplanes,0.42,100,0.42,0.4,0.02,0.03488349914550781
2dplanes,0.42,100,0.42,0.46,0.04,0.03410482406616211
2dplanes,0.42,100,0.42,0.48,0.06,0.024163007736206055
2dplanes,0.42,100,0.42,0.4,0.02,0.030961036682128906
2dplanes,0.47,100,0.47,0.57,0.1,0.028102874755859375
2dplanes,0.47,100,0.47,0.55,0.08,0.029784440994262695
2dplanes,0.47,100,0.47,0.46,0.01,0.029597759246826172
2dplanes,0.47,100,0.47,0.4,0.07,0.032288312911987305
2dplanes,0.47,100,0.47,0.54,0.07,0.03428483009338379
2dplanes,0.47,100,0.47,0.48,0.01,0.03109598159790039
2dplanes,0.47,100,0.47,0.45,0.02,0.0319826602935791
2dplanes,0.47,100,0.47,0.57,0.1,0.027807235717773438
2dplanes,0.47,100,0.47,0.48,0.01,0.02489924430847168
2dplanes,0.47,100,0.47,0.43,0.04,0.028581857681274414
2dplanes,0.53,100,0.53,0.52,0.01,0.027979373931884766
2dplanes,0.53,100,0.53,0.56,0.03,0.02828526496887207
2dplanes,0.53,100,0.53,0.63,0.1,0.027559757232666016
2dplanes,0.53,100,0.53,0.61,0.08,0.0330967903137207
2dplanes,0.53,100,0.53,0.52,0.01,0.0256805419921875
2dplanes,0.53,100,0.53,0.5,0.03,0.027567148208618164
2dplanes,0.53,100,0.53,0.55,0.02,0.02746295928955078
2dplanes,0.53,100,0.53,0.54,0.01,0.030774831771850586
2dplanes,0.53,100,0.53,0.56,0.03,0.02842426300048828
2dplanes,0.53,100,0.53,0.54,0.01,0.03126358985900879
2dplanes,0.58,100,0.58,0.55,0.03,0.024390220642089844
2dplanes,0.58,100,0.58,0.63,0.05,0.025535106658935547
2dplanes,0.58,100,0.58,0.55,0.03,0.028812646865844727
2dplanes,0.58,100,0.58,0.63,0.05,0.029802560806274414
2dplanes,0.58,100,0.58,0.53,0.05,0.022427797317504883
2dplanes,0.58,100,0.58,0.58,0.0,0.02933502197265625
2dplanes,0.58,100,0.58,0.57,0.01,0.019364118576049805
2dplanes,0.58,100,0.58,0.57,0.01,0.023512601852416992
2dplanes,0.58,100,0.58,0.52,0.06,0.027918100357055664
2dplanes,0.58,100,0.58,0.57,0.01,0.017496109008789062
2dplanes,0.63,100,0.63,0.6,0.03,0.02978968620300293
2dplanes,0.63,100,0.63,0.71,0.08,0.031632184982299805
2dplanes,0.63,100,0.63,0.62,0.01,0.030386924743652344
2dplanes,0.63,100,0.63,0.64,0.01,0.023930788040161133
2dplanes,0.63,100,0.63,0.66,0.03,0.029564619064331055
2dplanes,0.63,100,0.63,0.54,0.09,0.026871442794799805
2dplanes,0.63,100,0.63,0.58,0.05,0.029460430145263672
2dplanes,0.63,100,0.63,0.68,0.05,0.028123855590820312
2dplanes,0.63,100,0.63,0.6,0.03,0.02759528160095215
2dplanes,0.63,100,0.63,0.63,0.0,0.024903535842895508
2dplanes,0.68,100,0.68,0.69,0.01,0.037973880767822266
2dplanes,0.68,100,0.68,0.72,0.04,0.027801513671875
2dplanes,0.68,100,0.68,0.71,0.03,0.023258686065673828
2dplanes,0.68,100,0.68,0.74,0.06,0.0302884578704834
2dplanes,0.68,100,0.68,0.75,0.07,0.02969217300415039
2dplanes,0.68,100,0.68,0.66,0.02,0.02542257308959961
2dplanes,0.68,100,0.68,0.64,0.04,0.027611732482910156
2dplanes,0.68,100,0.68,0.71,0.03,0.03093695640563965
2dplanes,0.68,100,0.68,0.73,0.05,0.03005528450012207
2dplanes,0.68,100,0.68,0.67,0.01,0.027345895767211914
2dplanes,0.74,100,0.74,0.77,0.03,0.027921438217163086
2dplanes,0.74,100,0.74,0.69,0.05,0.027269363403320312
2dplanes,0.74,100,0.74,0.72,0.02,0.024199724197387695
2dplanes,0.74,100,0.74,0.75,0.01,0.028160810470581055
2dplanes,0.74,100,0.74,0.74,0.0,0.02940964698791504
2dplanes,0.74,100,0.74,0.8,0.06,0.02472686767578125
