dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
2dplanes,0.0,100,0.0,0.1,0.1,0.0
2dplanes,0.0,100,0.0,0.03,0.03,0.0006163120269775391
2dplanes,0.0,100,0.0,0.0,0.0,0.0
2dplanes,0.0,100,0.0,0.03,0.03,0.0002493858337402344
2dplanes,0.0,100,0.0,0.06,0.06,0.0
2dplanes,0.0,100,0.0,0.0,0.0,0.0
2dplanes,0.0,100,0.0,0.0,0.0,0.0
2dplanes,0.0,100,0.0,0.07,0.07,0.0
2dplanes,0.0,100,0.0,0.09,0.09,0.0
2dplanes,0.0,100,0.0,0.06,0.06,0.0
2dplanes,0.05,100,0.05,0.06,0.01,0.0007505416870117188
2dplanes,0.05,100,0.05,0.16,0.11,0.0
2dplanes,0.05,100,0.05,0.09,0.04,0.0
2dplanes,0.05,100,0.05,0.0,0.05,0.0
2dplanes,0.05,100,0.05,0.01,0.04,0.0
2dplanes,0.05,100,0.05,0.0,0.05,0.0
2dplanes,0.05,100,0.05,0.0,0.05,0.0
2dplanes,0.05,100,0.05,0.09,0.04,0.0
2dplanes,0.05,100,0.05,0.0,0.05,0.0
2dplanes,0.05,100,0.05,0.01,0.04,0.0
2dplanes,0.11,100,0.11,0.09,0.02,0.0
2dplanes,0.11,100,0.11,0.16,0.05,0.0
2dplanes,0.11,100,0.11,0.19,0.08,0.0005331039428710938
2dplanes,0.11,100,0.11,0.21,0.1,0.0
2dplanes,0.11,100,0.11,0.1,0.01,0.0
2dplanes,0.11,100,0.11,0.22,0.11,0.0
2dplanes,0.11,100,0.11,0.19,0.08,0.0
2dplanes,0.11,100,0.11,0.13,0.02,0.0
2dplanes,0.11,100,0.11,0.1,0.01,0.0
2dplanes,0.11,100,0.11,0.19,0.08,0.0
2dplanes,0.16,100,0.16,0.19,0.03,0.0
2dplanes,0.16,100,0.16,0.16,0.0,0.0
2dplanes,0.16,100,0.16,0.09,0.07,0.0
2dplanes,0.16,100,0.16,0.13,0.03,0.0
2dplanes,0.16,100,0.16,0.19,0.03,0.0
2dplanes,0.16,100,0.16,0.26,0.1,0.0
2dplanes,0.16,100,0.16,0.09,0.07,0.0
2dplanes,0.16,100,0.16,0.06,0.1,0.0
2dplanes,0.16,100,0.16,0.09,0.07,0.0
2dplanes,0.16,100,0.16,0.12,0.04,0.0
2dplanes,0.21,100,0.21,0.34,0.13,0.0
2dplanes,0.21,100,0.21,0.15,0.06,0.0
2dplanes,0.21,100,0.21,0.13,0.08,0.0
2dplanes,0.21,100,0.21,0.25,0.04,0.0
2dplanes,0.21,100,0.21,0.25,0.04,0.0
2dplanes,0.21,100,0.21,0.21,0.0,0.0
2dplanes,0.21,100,0.21,0.12,0.09,0.0
2dplanes,0.21,100,0.21,0.12,0.09,0.0
2dplanes,0.21,100,0.21,0.13,0.08,0.0
2dplanes,0.21,100,0.21,0.24,0.03,0.0
2dplanes,0.26,100,0.26,0.25,0.01,0.0
2dplanes,0.26,100,0.26,0.32,0.06,0.0
2dplanes,0.26,100,0.26,0.24,0.02,0.0
2dplanes,0.26,100,0.26,0.21,0.05,0.0
2dplanes,0.26,100,0.26,0.19,0.07,0.0
2dplanes,0.26,100,0.26,0.24,0.02,0.0
2dplanes,0.26,100,0.26,0.18,0.08,0.0
2dplanes,0.26,100,0.26,0.22,0.04,0.0
2dplanes,0.26,100,0.26,0.25,0.01,0.0025391578674316406
2dplanes,0.26,100,0.26,0.22,0.04,0.0
2dplanes,0.32,100,0.32,0.28,0.04,0.0
2dplanes,0.32,100,0.32,0.4,0.08,0.0
2dplanes,0.32,100,0.32,0.29,0.03,0.0
2dplanes,0.32,100,0.32,0.28,0.04,0.0
2dplanes,0.32,100,0.32,0.29,0.03,0.0
2dplanes,0.32,100,0.32,0.32,0.0,0.0
2dplanes,0.32,100,0.32,0.32,0.0,0.0
2dplanes,0.32,100,0.32,0.32,0.0,0.0
2dplanes,0.32,100,0.32,0.32,0.0,0.0
2dplanes,0.32,100,0.32,0.29,0.03,0.0
2dplanes,0.37,100,0.37,0.32,0.05,0.0
2dplanes,0.37,100,0.37,0.32,0.05,0.0
2dplanes,0.37,100,0.37,0.44,0.07,0.0
2dplanes,0.37,100,0.37,0.44,0.07,0.0
2dplanes,0.37,100,0.37,0.4,0.03,0.0
2dplanes,0.37,100,0.37,0.44,0.07,0.0
2dplanes,0.37,100,0.37,0.25,0.12,0.0
2dplanes,0.37,100,0.37,0.37,0.0,0.0
2dplanes,0.37,100,0.37,0.34,0.03,0.0
2dplanes,0.37,100,0.37,0.37,0.0,0.0
2dplanes,0.42,100,0.42,0.4,0.02,0.0
2dplanes,0.42,100,0.42,0.35,0.07,0.0
2dplanes,0.42,100,0.42,0.46,0.04,0.0
2dplanes,0.42,100,0.42,0.54,0.12,0.0
2dplanes,0.42,100,0.42,0.35,0.07,0.0
2dplanes,0.42,100,0.42,0.43,0.01,0.0
2dplanes,0.42,100,0.42,0.38,0.04,0.0
2dplanes,0.42,100,0.42,0.46,0.04,0.0
2dplanes,0.42,100,0.42,0.5,0.08,0.0
2dplanes,0.42,100,0.42,0.4,0.02,0.0
2dplanes,0.47,100,0.47,0.6,0.13,0.0
