dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
2dplanes,0.0,100,0.0,0.09,0.09,0.003113985061645508
2dplanes,0.0,100,0.0,0.02,0.02,0.014676332473754883
2dplanes,0.0,100,0.0,0.0,0.0,0.017460346221923828
2dplanes,0.0,100,0.0,0.0,0.0,0.01635599136352539
2dplanes,0.0,100,0.0,0.02,0.02,0.011505842208862305
2dplanes,0.0,100,0.0,0.02,0.02,0.01567816734313965
2dplanes,0.0,100,0.0,0.01,0.01,0.014726877212524414
2dplanes,0.0,100,0.0,0.1,0.1,0.012946367263793945
2dplanes,0.0,100,0.0,0.05,0.05,0.020655393600463867
2dplanes,0.0,100,0.0,0.0,0.0,0.015174150466918945
2dplanes,0.05,100,0.05,0.05,0.0,0.015428781509399414
2dplanes,0.05,100,0.05,0.08,0.03,0.015784740447998047
2dplanes,0.05,100,0.05,0.02,0.03,0.01593494415283203
2dplanes,0.05,100,0.05,0.0,0.05,0.012273311614990234
2dplanes,0.05,100,0.05,0.05,0.0,0.017131328582763672
2dplanes,0.05,100,0.05,0.02,0.03,0.018858671188354492
2dplanes,0.05,100,0.05,0.03,0.02,0.014884710311889648
2dplanes,0.05,100,0.05,0.1,0.05,0.015383720397949219
2dplanes,0.05,100,0.05,0.0,0.05,0.01563286781311035
2dplanes,0.05,100,0.05,0.01,0.04,0.014598369598388672
2dplanes,0.11,100,0.11,0.1,0.01,0.015175819396972656
2dplanes,0.11,100,0.11,0.15,0.04,0.01420736312866211
2dplanes,0.11,100,0.11,0.19,0.08,0.015982627868652344
2dplanes,0.11,100,0.11,0.17,0.06,0.012658119201660156
2dplanes,0.11,100,0.11,0.08,0.03,0.012249469757080078
2dplanes,0.11,100,0.11,0.13,0.02,0.017189502716064453
2dplanes,0.11,100,0.11,0.18,0.07,0.020440340042114258
2dplanes,0.11,100,0.11,0.15,0.04,0.015604019165039062
2dplanes,0.11,100,0.11,0.11,0.0,0.015233993530273438
2dplanes,0.11,100,0.11,0.18,0.07,0.010240793228149414
2dplanes,0.16,100,0.16,0.16,0.0,0.015321731567382812
2dplanes,0.16,100,0.16,0.14,0.02,0.012580394744873047
2dplanes,0.16,100,0.16,0.13,0.03,0.00961923599243164
2dplanes,0.16,100,0.16,0.14,0.02,0.014696121215820312
2dplanes,0.16,100,0.16,0.17,0.01,0.01409459114074707
