MAE,Dataset
0.22644999999999998,1043_ada_agnostic.csv
0.3971,1048_jEdit_4.csv
0.26785,1049_pc4.csv
0.5,1050_pc3.csv
0.32905,1054_mc2.csv
0.3111,1056_mc1.csv
0.2723,1061_ar4.csv
0.5,1065_kc3.csv
0.27685,1066_kc1-binary.csv
0.5,1068_pc1.csv
0.24960000000000002,1069_pc2.csv
0.28059999999999996,1071_mw1.csv
0.2999,1073_jEdit_4.csv
0.31705,1075_datatrieve.csv
0.34945,1115_teachingAssistant.csv
0.0,1121_badges2.csv
0.45715000000000006,1167_pc1_req.csv
0.12925,11_balance-scale.csv
0.00885,12_mfeat-factors.csv
0.18830000000000002,1456_appendicitis.csv
0.5,1460_banana.csv
0.011699999999999999,1462_banknote-authentication.csv
0.3429,1464_blood-transfusion-service-center.csv
0.2998,1465_breast-tissue.csv
0.0,1466_cardiotocography.csv
0.5,1467_climate-model-simulation-crashes.csv
0.5,1473_fertility.csv
0.32780000000000004,1475_first-order-theorem-proving.csv
0.35090000000000005,1479_hill-valley.csv
0.301,1484_lsvt.csv
0.5,1485_madelon.csv
0.24684999999999999,1487_ozone-level-8hr.csv
0.30219999999999997,1488_parkinsons.csv
0.27605,1489_phoneme.csv
0.5,1490_planning-relax.csv
0.21865,1494_qsar-biodeg.csv
0.10060000000000001,1495_qualitative-bankruptcy.csv
0.27105,1496_ringnorm.csv
0.2788,1497_wall-robot-navigation.csv
0.31905,1498_sa-heart.csv
0.01155,14_mfeat-fourier.csv
0.03325,1501_semeion.csv
0.0,1504_steel-plates-fault.csv
0.5,1506_thoracic-surgery.csv
0.030300000000000004,1507_twonorm.csv
0.1555,1508_user-knowledge.csv
0.0638,1510_wdbc.csv
0.13615,1511_wholesale-customers.csv
0.5,1512_heart-long-beach.csv
0.3077,1519_robot-failures-lp4.csv
0.3454,1520_robot-failures-lp5.csv
0.044000000000000004,1523_vertebra-column.csv
0.3159,1526_wall-robot-navigation.csv
0.25505,1527_volcanoes-a1.csv
0.22089999999999999,1528_volcanoes-a2.csv
0.20614999999999997,1529_volcanoes-a3.csv
0.23725000000000002,1530_volcanoes-a4.csv
0.27415,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.27635000000000004,1540_volcanoes-d3.csv
0.2781,1541_volcanoes-d4.csv
0.5,1547_autoUniv-au1-1000.csv
0.45555,1559_breast-tissue.csv
0.2011,1565_heart-h.csv
0.36329999999999996,1566_hill-valley.csv
0.1649,1570_wilt.csv
0.31579999999999997,1600_SPECTF.csv
0.0339,16_mfeat-karhunen.csv
0.03085,182_satimage.csv
0.06905,187_wine.csv
0.0086,18_mfeat-morphological.csv
0.020499999999999997,20_mfeat-pixel.csv
0.04375,22_mfeat-zernike.csv
0.35229999999999995,23_cmc.csv
0.05535,28_optdigits.csv
0.16765,292_Australian.csv
0.025849999999999998,294_satellite_image.csv
0.2353,30_page-blocks.csv
0.32104999999999995,311_oil_spill.csv
0.04665,312_scene.csv
0.5,316_yeast_ml8.csv
0.34685000000000005,329_hayes-roth.csv
0.314,333_monks-problems-1.csv
0.5,334_monks-problems-2.csv
0.042050000000000004,335_monks-problems-3.csv
0.25915,336_SPECT.csv
0.0103,36_segment.csv
0.0767,375_JapaneseVowels.csv
0.048150000000000005,377_synthetic_control.csv
0.31420000000000003,37_diabetes.csv
0.2786,40474_thyroid-allbp.csv
0.27875,40475_thyroid-allhyper.csv
0.21864999999999998,40496_LED-display-domain-7digit.csv
0.3386,40733_yeast.csv
0.05775,40877_seeds.csv
0.267,40_sonar.csv
0.33615,43_haberman.csv
0.1206,44_spambase.csv
0.09484999999999999,450_analcatdata_lawsuit.csv
0.34465,4538_GesturePhaseSegmentationProcessed.csv
0.0103,458_analcatdata_authorship.csv
0.0774,461_analcatdata_creditscore.csv
0.5,463_backache.csv
0.20845,464_prnn_synth.csv
0.42200000000000004,48_tae.csv
0.16605,53_heart-statlog.csv
0.0435,54_vehicle.csv
0.17695,59_ionosphere.csv
0.16355,60_waveform-5000.csv
0.0,61_iris.csv
0.5,679_rmftsa_sleepdata.csv
0.038200000000000005,694_diggle_table_a2.csv
0.24170000000000003,AedesQuinx.csv
0.0281,AedesSex.csv
0.01925,anuranCalls.csv
0.030350000000000002,ArabicDigit.csv
0.09230000000000001,BNG.csv
0.056900000000000006,click-prediction.csv
0.4988,cmc.csv
0.35600000000000004,covtype_reduced.csv
0.28195,default_credit_card_clients.csv
0.32535000000000003,eeg.csv
0.4861,HTRU.csv
0.36455,jm1-processed.csv
0.36695,letter-recognition.csv
0.2752,magic.csv
0.22535,mozilla.csv
0.077,namao.csv
0.01195,occupancy.csv
0.28395,phoneme.csv
0.12045,spambase.csv
0.01355,winetype.csv
