dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
2dplanes,0.0,100,0.0,0.18,0.18,0.008574724197387695
2dplanes,0.0,100,0.0,0.14,0.14,0.0
2dplanes,0.0,100,0.0,0.08,0.08,0.0020029544830322266
2dplanes,0.0,100,0.0,0.08,0.08,0.001988649368286133
2dplanes,0.0,100,0.0,0.13,0.13,0.0
2dplanes,0.0,100,0.0,0.13,0.13,0.0020346641540527344
2dplanes,0.0,100,0.0,0.13,0.13,0.0020012855529785156
2dplanes,0.0,100,0.0,0.18,0.18,0.002056598663330078
2dplanes,0.0,100,0.0,0.15,0.15,0.0
2dplanes,0.0,100,0.0,0.11,0.11,0.0
2dplanes,0.05,100,0.05,0.16,0.11,0.005993366241455078
2dplanes,0.05,100,0.05,0.19,0.14,0.0
2dplanes,0.05,100,0.05,0.13,0.08,0.0055429935455322266
2dplanes,0.05,100,0.05,0.08,0.03,0.0020034313201904297
2dplanes,0.05,100,0.05,0.14,0.09,0.001982450485229492
2dplanes,0.05,100,0.05,0.11,0.06,0.0060977935791015625
2dplanes,0.05,100,0.05,0.13,0.08,0.006136655807495117
2dplanes,0.05,100,0.05,0.21,0.16,0.0
2dplanes,0.05,100,0.05,0.09,0.04,0.001191854476928711
2dplanes,0.05,100,0.05,0.11,0.06,0.0010023117065429688
2dplanes,0.11,100,0.11,0.19,0.08,0.006813526153564453
2dplanes,0.11,100,0.11,0.2,0.09,0.0034842491149902344
2dplanes,0.11,100,0.11,0.25,0.14,0.0014486312866210938
2dplanes,0.11,100,0.11,0.24,0.13,0.0
2dplanes,0.11,100,0.11,0.16,0.05,0.0021555423736572266
2dplanes,0.11,100,0.11,0.22,0.11,0.001996755599975586
2dplanes,0.11,100,0.11,0.24,0.13,0.007724285125732422
2dplanes,0.11,100,0.11,0.22,0.11,0.0
2dplanes,0.11,100,0.11,0.2,0.09,0.0017099380493164062
2dplanes,0.11,100,0.11,0.25,0.14,0.00214385986328125
2dplanes,0.16,100,0.16,0.24,0.08,0.001001596450805664
2dplanes,0.16,100,0.16,0.22,0.06,0.0024039745330810547
2dplanes,0.16,100,0.16,0.21,0.05,0.0
2dplanes,0.16,100,0.16,0.22,0.06,0.00200653076171875
2dplanes,0.16,100,0.16,0.25,0.09,0.0
2dplanes,0.16,100,0.16,0.28,0.12,0.0015521049499511719
2dplanes,0.16,100,0.16,0.19,0.03,0.0012273788452148438
2dplanes,0.16,100,0.16,0.17,0.01,0.0014340877532958984
2dplanes,0.16,100,0.16,0.14,0.02,0.0
2dplanes,0.16,100,0.16,0.17,0.01,0.001001596450805664
2dplanes,0.21,100,0.21,0.34,0.13,0.0028886795043945312
2dplanes,0.21,100,0.21,0.23,0.02,0.001989126205444336
