dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
2dplanes,0.0,100,0.0,0.1,0.1,1.6444120407104492
2dplanes,0.0,100,0.0,0.03,0.03,1.6214022636413574
2dplanes,0.0,100,0.0,0.0,0.0,1.5998423099517822
2dplanes,0.0,100,0.0,0.0,0.0,1.5904865264892578
2dplanes,0.0,100,0.0,0.02,0.02,1.609786033630371
2dplanes,0.0,100,0.0,0.02,0.02,1.6143012046813965
2dplanes,0.0,100,0.0,0.02,0.02,1.5901107788085938
2dplanes,0.0,100,0.0,0.1,0.1,1.5869746208190918
2dplanes,0.0,100,0.0,0.06,0.06,1.5836515426635742
2dplanes,0.0,100,0.0,0.0,0.0,1.5903058052062988
2dplanes,0.05,100,0.05,0.06,0.01,1.620124340057373
2dplanes,0.05,100,0.05,0.09,0.04,1.6260838508605957
2dplanes,0.05,100,0.05,0.03,0.02,1.6184284687042236
2dplanes,0.05,100,0.05,0.0,0.05,1.6415619850158691
2dplanes,0.05,100,0.05,0.05,0.0,1.6100833415985107
2dplanes,0.05,100,0.05,0.01,0.04,1.6170079708099365
2dplanes,0.05,100,0.05,0.03,0.02,1.6435558795928955
2dplanes,0.05,100,0.05,0.1,0.05,1.6225252151489258
2dplanes,0.05,100,0.05,0.0,0.05,1.6192197799682617
2dplanes,0.05,100,0.05,0.02,0.03,1.6157093048095703
2dplanes,0.11,100,0.11,0.11,0.0,1.6192336082458496
2dplanes,0.11,100,0.11,0.15,0.04,1.6755757331848145
2dplanes,0.11,100,0.11,0.2,0.09,1.6317570209503174
2dplanes,0.11,100,0.11,0.18,0.07,1.6178512573242188
2dplanes,0.11,100,0.11,0.08,0.03,1.630631923675537
2dplanes,0.11,100,0.11,0.13,0.02,1.636446237564087
2dplanes,0.11,100,0.11,0.18,0.07,1.5997037887573242
2dplanes,0.11,100,0.11,0.15,0.04,1.5913517475128174
2dplanes,0.11,100,0.11,0.11,0.0,1.605149507522583
2dplanes,0.11,100,0.11,0.18,0.07,1.5982086658477783
2dplanes,0.16,100,0.16,0.16,0.0,1.6135644912719727
2dplanes,0.16,100,0.16,0.15,0.01,1.6421380043029785
2dplanes,0.16,100,0.16,0.13,0.03,1.6187691688537598
2dplanes,0.16,100,0.16,0.15,0.01,1.629326343536377
2dplanes,0.16,100,0.16,0.17,0.01,1.6207714080810547
2dplanes,0.16,100,0.16,0.24,0.08,1.62245774269104
2dplanes,0.16,100,0.16,0.11,0.05,1.632720947265625
2dplanes,0.16,100,0.16,0.08,0.08,1.612811803817749
2dplanes,0.16,100,0.16,0.07,0.09,1.6226296424865723
2dplanes,0.16,100,0.16,0.1,0.06,1.616901159286499
2dplanes,0.21,100,0.21,0.31,0.1,1.620985984802246
2dplanes,0.21,100,0.21,0.16,0.05,1.62284255027771
2dplanes,0.21,100,0.21,0.18,0.03,1.6230027675628662
2dplanes,0.21,100,0.21,0.23,0.02,1.627042293548584
2dplanes,0.21,100,0.21,0.27,0.06,1.6224017143249512
2dplanes,0.21,100,0.21,0.23,0.02,1.6078879833221436
2dplanes,0.21,100,0.21,0.17,0.04,1.6602883338928223
2dplanes,0.21,100,0.21,0.15,0.06,1.6043403148651123
2dplanes,0.21,100,0.21,0.16,0.05,1.6212551593780518
2dplanes,0.21,100,0.21,0.23,0.02,1.597909927368164
2dplanes,0.26,100,0.26,0.27,0.01,1.6063153743743896
2dplanes,0.26,100,0.26,0.32,0.06,1.6135919094085693
2dplanes,0.26,100,0.26,0.25,0.01,1.6083333492279053
2dplanes,0.26,100,0.26,0.24,0.02,1.6168200969696045
2dplanes,0.26,100,0.26,0.18,0.08,1.618922472000122
2dplanes,0.26,100,0.26,0.26,0.0,1.623152494430542
2dplanes,0.26,100,0.26,0.28,0.02,1.6171607971191406
2dplanes,0.26,100,0.26,0.25,0.01,1.6182327270507812
2dplanes,0.26,100,0.26,0.28,0.02,1.6032450199127197
2dplanes,0.26,100,0.26,0.24,0.02,1.6166820526123047
2dplanes,0.32,100,0.32,0.31,0.01,1.613326072692871
2dplanes,0.32,100,0.32,0.4,0.08,1.620633840560913
2dplanes,0.32,100,0.32,0.3,0.02,1.6177113056182861
2dplanes,0.32,100,0.32,0.29,0.03,1.6176214218139648
2dplanes,0.32,100,0.32,0.33,0.01,1.6242561340332031
2dplanes,0.32,100,0.32,0.33,0.01,1.6242139339447021
2dplanes,0.32,100,0.32,0.34,0.02,1.630504846572876
2dplanes,0.32,100,0.32,0.36,0.04,1.6202285289764404
2dplanes,0.32,100,0.32,0.34,0.02,1.6078431606292725
2dplanes,0.32,100,0.32,0.3,0.02,1.6089863777160645
2dplanes,0.37,100,0.37,0.38,0.01,1.6336710453033447
