MAE,Dataset
0.5,1043_ada_agnostic.csv
0.5,1048_jEdit_4.csv
0.5,1049_pc4.csv
0.5,1050_pc3.csv
0.5,1054_mc2.csv
0.5,1056_mc1.csv
0.5,1061_ar4.csv
0.5,1065_kc3.csv
0.5,1066_kc1-binary.csv
0.5,1068_pc1.csv
0.5,1069_pc2.csv
0.5,1071_mw1.csv
0.5,1073_jEdit_4.csv
0.5,1075_datatrieve.csv
0.5,1115_teachingAssistant.csv
0.5,1121_badges2.csv
0.5,1167_pc1_req.csv
0.5,11_balance-scale.csv
0.5,12_mfeat-factors.csv
0.5,1456_appendicitis.csv
0.5,1460_banana.csv
0.5,1462_banknote-authentication.csv
0.5,1464_blood-transfusion-service-center.csv
0.5,1465_breast-tissue.csv
0.5,1466_cardiotocography.csv
0.5,1467_climate-model-simulation-crashes.csv
0.5,1473_fertility.csv
0.5,1475_first-order-theorem-proving.csv
0.5,1479_hill-valley.csv
0.5,1484_lsvt.csv
0.5,1485_madelon.csv
0.5,1487_ozone-level-8hr.csv
0.5,1488_parkinsons.csv
0.5,1489_phoneme.csv
0.5,1490_planning-relax.csv
0.5,1494_qsar-biodeg.csv
0.5,1495_qualitative-bankruptcy.csv
0.5,1496_ringnorm.csv
0.5,1497_wall-robot-navigation.csv
0.5,1498_sa-heart.csv
0.5,14_mfeat-fourier.csv
0.5,1501_semeion.csv
0.5,1504_steel-plates-fault.csv
0.5,1506_thoracic-surgery.csv
0.5,1507_twonorm.csv
0.5,1508_user-knowledge.csv
0.5,1510_wdbc.csv
0.5,1511_wholesale-customers.csv
0.5,1512_heart-long-beach.csv
0.5,1519_robot-failures-lp4.csv
0.5,1520_robot-failures-lp5.csv
0.5,1523_vertebra-column.csv
0.5,1526_wall-robot-navigation.csv
0.5,1527_volcanoes-a1.csv
0.5,1528_volcanoes-a2.csv
0.5,1529_volcanoes-a3.csv
0.5,1530_volcanoes-a4.csv
0.5,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.5,1540_volcanoes-d3.csv
0.5,1541_volcanoes-d4.csv
0.5,1547_autoUniv-au1-1000.csv
0.5,1559_breast-tissue.csv
0.5,1565_heart-h.csv
0.5,1566_hill-valley.csv
0.5,1570_wilt.csv
0.5,1600_SPECTF.csv
0.5,16_mfeat-karhunen.csv
0.5,182_satimage.csv
0.5,187_wine.csv
0.5,18_mfeat-morphological.csv
0.5,20_mfeat-pixel.csv
0.5,22_mfeat-zernike.csv
0.5,23_cmc.csv
0.5,28_optdigits.csv
0.5,292_Australian.csv
0.5,294_satellite_image.csv
0.5,30_page-blocks.csv
0.5,311_oil_spill.csv
0.5,312_scene.csv
0.5,316_yeast_ml8.csv
0.5,329_hayes-roth.csv
0.5,333_monks-problems-1.csv
0.5,334_monks-problems-2.csv
0.5,335_monks-problems-3.csv
0.5,336_SPECT.csv
0.5,36_segment.csv
0.5,375_JapaneseVowels.csv
0.5,377_synthetic_control.csv
0.5,37_diabetes.csv
0.5,40474_thyroid-allbp.csv
0.5,40475_thyroid-allhyper.csv
0.5,40496_LED-display-domain-7digit.csv
0.5,40733_yeast.csv
0.5,40877_seeds.csv
0.5,40_sonar.csv
0.5,43_haberman.csv
0.5,44_spambase.csv
0.5,450_analcatdata_lawsuit.csv
0.5,4538_GesturePhaseSegmentationProcessed.csv
0.5,458_analcatdata_authorship.csv
0.5,461_analcatdata_creditscore.csv
0.5,463_backache.csv
0.5,464_prnn_synth.csv
0.5,48_tae.csv
0.5,53_heart-statlog.csv
0.5,54_vehicle.csv
0.5,59_ionosphere.csv
0.5,60_waveform-5000.csv
0.5,61_iris.csv
0.5,679_rmftsa_sleepdata.csv
0.5,694_diggle_table_a2.csv
0.5,AedesQuinx.csv
0.5,AedesSex.csv
0.5,anuranCalls.csv
0.5,ArabicDigit.csv
0.5,BNG.csv
0.5,click-prediction.csv
0.5,cmc.csv
0.5,covtype_reduced.csv
0.5,default_credit_card_clients.csv
0.5,eeg.csv
0.5,HTRU.csv
0.5,jm1-processed.csv
0.5,letter-recognition.csv
0.5,magic.csv
0.5,mozilla.csv
0.5,namao.csv
0.5,occupancy.csv
0.5,phoneme.csv
0.5,spambase.csv
0.5,winetype.csv
