dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.0,0.0,0.001003265380859375
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.12,0.12,0.0005688667297363281
abalone,0.0,100,0.0,0.07,0.07,0.0
abalone,0.0,100,0.0,0.03,0.03,0.0
abalone,0.0,100,0.0,0.19,0.19,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.05,0.05,0.0
abalone,0.0,100,0.0,0.05,0.05,0.005678892135620117
abalone,0.05,100,0.05,0.07,0.02,0.0
abalone,0.05,100,0.05,0.03,0.02,0.0
abalone,0.05,100,0.05,0.05,0.0,0.0
abalone,0.05,100,0.05,0.17,0.12,0.0
abalone,0.05,100,0.05,0.07,0.02,0.0
abalone,0.05,100,0.05,0.24,0.19,0.0
abalone,0.05,100,0.05,0.16,0.11,0.0
abalone,0.05,100,0.05,0.14,0.09,0.0026998519897460938
abalone,0.05,100,0.05,0.07,0.02,0.0
abalone,0.05,100,0.05,0.07,0.02,0.0057790279388427734
abalone,0.11,100,0.11,0.21,0.1,0.0
abalone,0.11,100,0.11,0.22,0.11,0.0
abalone,0.11,100,0.11,0.03,0.08,0.0
abalone,0.11,100,0.11,0.1,0.01,0.0
abalone,0.11,100,0.11,0.19,0.08,0.0
abalone,0.11,100,0.11,0.17,0.06,0.0
abalone,0.11,100,0.11,0.03,0.08,0.0
abalone,0.11,100,0.11,0.16,0.05,0.0
abalone,0.11,100,0.11,0.14,0.03,0.0
abalone,0.11,100,0.11,0.17,0.06,0.0
abalone,0.16,100,0.16,0.26,0.1,0.0
abalone,0.16,100,0.16,0.22,0.06,0.0
abalone,0.16,100,0.16,0.17,0.01,0.0
abalone,0.16,100,0.16,0.12,0.04,0.0
abalone,0.16,100,0.16,0.33,0.17,0.0
abalone,0.16,100,0.16,0.22,0.06,0.0
abalone,0.16,100,0.16,0.26,0.1,0.0
abalone,0.16,100,0.16,0.09,0.07,0.0
abalone,0.16,100,0.16,0.16,0.0,0.0
abalone,0.16,100,0.16,0.21,0.05,0.0
abalone,0.21,100,0.21,0.14,0.07,0.0
abalone,0.21,100,0.21,0.38,0.17,0.0
abalone,0.21,100,0.21,0.29,0.08,0.0
abalone,0.21,100,0.21,0.19,0.02,0.0
abalone,0.21,100,0.21,0.17,0.04,0.0
abalone,0.21,100,0.21,0.34,0.13,0.0
abalone,0.21,100,0.21,0.22,0.01,0.0
abalone,0.21,100,0.21,0.21,0.0,0.0
abalone,0.21,100,0.21,0.22,0.01,0.0
abalone,0.21,100,0.21,0.21,0.0,0.0
