dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
abalone,0.0,100,0.0,0.22,0.22,0.0
abalone,0.0,100,0.0,0.21,0.21,0.0
abalone,0.0,100,0.0,0.18,0.18,0.0
abalone,0.0,100,0.0,0.29,0.29,0.0
abalone,0.0,100,0.0,0.26,0.26,0.0
abalone,0.0,100,0.0,0.24,0.24,0.0
abalone,0.0,100,0.0,0.33,0.33,0.0
abalone,0.0,100,0.0,0.22,0.22,0.0
abalone,0.0,100,0.0,0.25,0.25,0.0
abalone,0.0,100,0.0,0.25,0.25,0.0
abalone,0.05,100,0.05,0.26,0.21,0.0
abalone,0.05,100,0.05,0.24,0.19,0.0
abalone,0.05,100,0.05,0.25,0.2,0.0
abalone,0.05,100,0.05,0.32,0.27,0.0
abalone,0.05,100,0.05,0.26,0.21,0.0
abalone,0.05,100,0.05,0.36,0.31,0.0
abalone,0.05,100,0.05,0.31,0.26,0.0
abalone,0.05,100,0.05,0.3,0.25,0.0
abalone,0.05,100,0.05,0.26,0.21,0.0
abalone,0.05,100,0.05,0.26,0.21,0.0
abalone,0.11,100,0.11,0.34,0.23,0.0
abalone,0.11,100,0.11,0.35,0.24,0.0
abalone,0.11,100,0.11,0.24,0.13,0.0
abalone,0.11,100,0.11,0.28,0.17,0.0
abalone,0.11,100,0.11,0.33,0.22,0.0
abalone,0.11,100,0.11,0.32,0.21,0.0
abalone,0.11,100,0.11,0.24,0.13,0.0
abalone,0.11,100,0.11,0.31,0.2,0.0
abalone,0.11,100,0.11,0.3,0.19,0.0
abalone,0.11,100,0.11,0.32,0.21,0.0
abalone,0.16,100,0.16,0.37,0.21,0.0
abalone,0.16,100,0.16,0.35,0.19,0.0
abalone,0.16,100,0.16,0.32,0.16,0.0
abalone,0.16,100,0.16,0.29,0.13,0.0
abalone,0.16,100,0.16,0.41,0.25,0.0
abalone,0.16,100,0.16,0.35,0.19,0.0
abalone,0.16,100,0.16,0.37,0.21,0.0
abalone,0.16,100,0.16,0.27,0.11,0.0
abalone,0.16,100,0.16,0.31,0.15,0.0
abalone,0.16,100,0.16,0.34,0.18,0.0
abalone,0.21,100,0.21,0.3,0.09,0.0
abalone,0.21,100,0.21,0.44,0.23,0.0
abalone,0.21,100,0.21,0.39,0.18,0.0
abalone,0.21,100,0.21,0.33,0.12,0.0
abalone,0.21,100,0.21,0.32,0.11,0.0
abalone,0.21,100,0.21,0.42,0.21,0.0
abalone,0.21,100,0.21,0.35,0.14,0.0
abalone,0.21,100,0.21,0.34,0.13,0.0
abalone,0.21,100,0.21,0.35,0.14,0.0
abalone,0.21,100,0.21,0.34,0.13,0.0
abalone,0.26,100,0.26,0.42,0.16,0.0
abalone,0.26,100,0.26,0.36,0.1,0.0
abalone,0.26,100,0.26,0.37,0.11,0.0
abalone,0.26,100,0.26,0.35,0.09,0.0
abalone,0.26,100,0.26,0.42,0.16,0.0
abalone,0.26,100,0.26,0.38,0.12,0.0
abalone,0.26,100,0.26,0.4,0.14,0.0
abalone,0.26,100,0.26,0.35,0.09,0.0
abalone,0.26,100,0.26,0.41,0.15,0.0
abalone,0.26,100,0.26,0.34,0.08,0.0
abalone,0.32,100,0.32,0.44,0.12,0.0
abalone,0.32,100,0.32,0.4,0.08,0.0
abalone,0.32,100,0.32,0.4,0.08,0.0
abalone,0.32,100,0.32,0.44,0.12,0.0
abalone,0.32,100,0.32,0.41,0.09,0.0
abalone,0.32,100,0.32,0.44,0.12,0.0
abalone,0.32,100,0.32,0.44,0.12,0.0
abalone,0.32,100,0.32,0.42,0.1,0.0
abalone,0.32,100,0.32,0.47,0.15,0.0
abalone,0.32,100,0.32,0.38,0.06,0.0
abalone,0.37,100,0.37,0.49,0.12,0.0
abalone,0.37,100,0.37,0.4,0.03,0.0
abalone,0.37,100,0.37,0.46,0.09,0.0
abalone,0.37,100,0.37,0.4,0.03,0.0
abalone,0.37,100,0.37,0.43,0.06,0.0
abalone,0.37,100,0.37,0.41,0.04,0.0
abalone,0.37,100,0.37,0.4,0.03,0.0
abalone,0.37,100,0.37,0.45,0.08,0.0
abalone,0.37,100,0.37,0.48,0.11,0.0
abalone,0.37,100,0.37,0.47,0.1,0.0
abalone,0.42,100,0.42,0.49,0.07,0.0
abalone,0.42,100,0.42,0.46,0.04,0.0
abalone,0.42,100,0.42,0.48,0.06,0.0
abalone,0.42,100,0.42,0.46,0.04,0.0
abalone,0.42,100,0.42,0.47,0.05,0.0
abalone,0.42,100,0.42,0.39,0.03,0.0
abalone,0.42,100,0.42,0.5,0.08,0.0
abalone,0.42,100,0.42,0.5,0.08,0.0
abalone,0.42,100,0.42,0.48,0.06,0.0
abalone,0.42,100,0.42,0.43,0.01,0.0
abalone,0.47,100,0.47,0.5,0.03,0.0
abalone,0.47,100,0.47,0.53,0.06,0.0
abalone,0.47,100,0.47,0.49,0.02,0.0
abalone,0.47,100,0.47,0.45,0.02,0.0
abalone,0.47,100,0.47,0.53,0.06,0.0
abalone,0.47,100,0.47,0.48,0.01,0.0
abalone,0.47,100,0.47,0.52,0.05,0.0
abalone,0.47,100,0.47,0.47,0.0,0.0
abalone,0.47,100,0.47,0.47,0.0,0.0
abalone,0.47,100,0.47,0.45,0.02,0.0
abalone,0.53,100,0.53,0.56,0.03,0.0
abalone,0.53,100,0.53,0.51,0.02,0.0
abalone,0.53,100,0.53,0.53,0.0,0.0
abalone,0.53,100,0.53,0.6,0.07,0.0
abalone,0.53,100,0.53,0.57,0.04,0.0
abalone,0.53,100,0.53,0.54,0.01,0.0
abalone,0.53,100,0.53,0.58,0.05,0.0
abalone,0.53,100,0.53,0.58,0.05,0.0
abalone,0.53,100,0.53,0.53,0.0,0.0
abalone,0.53,100,0.53,0.45,0.08,0.0
abalone,0.58,100,0.58,0.51,0.07,0.0
abalone,0.58,100,0.58,0.54,0.04,0.0
abalone,0.58,100,0.58,0.58,0.0,0.0
abalone,0.58,100,0.58,0.58,0.0,0.0
abalone,0.58,100,0.58,0.54,0.04,0.0
abalone,0.58,100,0.58,0.6,0.02,0.0
abalone,0.58,100,0.58,0.61,0.03,0.0
abalone,0.58,100,0.58,0.5,0.08,0.0
abalone,0.58,100,0.58,0.64,0.06,0.0
abalone,0.58,100,0.58,0.63,0.05,0.0
abalone,0.63,100,0.63,0.63,0.0,0.0
abalone,0.63,100,0.63,0.56,0.07,0.0
abalone,0.63,100,0.63,0.62,0.01,0.0
abalone,0.63,100,0.63,0.61,0.02,0.0
abalone,0.63,100,0.63,0.63,0.0,0.0
abalone,0.63,100,0.63,0.64,0.01,0.0
abalone,0.63,100,0.63,0.61,0.02,0.0
abalone,0.63,100,0.63,0.55,0.08,0.0
abalone,0.63,100,0.63,0.59,0.04,0.0
abalone,0.63,100,0.63,0.64,0.01,0.0
abalone,0.68,100,0.68,0.64,0.04,0.0
abalone,0.68,100,0.68,0.63,0.05,0.0010001659393310547
abalone,0.68,100,0.68,0.62,0.06,0.0
abalone,0.68,100,0.68,0.61,0.07,0.0
abalone,0.68,100,0.68,0.61,0.07,0.0
abalone,0.68,100,0.68,0.61,0.07,0.0
abalone,0.68,100,0.68,0.57,0.11,0.0
abalone,0.68,100,0.68,0.62,0.06,0.0
abalone,0.68,100,0.68,0.65,0.03,0.0
abalone,0.68,100,0.68,0.65,0.03,0.0
abalone,0.74,100,0.74,0.64,0.1,0.0006384849548339844
abalone,0.74,100,0.74,0.65,0.09,0.0
abalone,0.74,100,0.74,0.69,0.05,0.0
abalone,0.74,100,0.74,0.7,0.04,0.0
abalone,0.74,100,0.74,0.65,0.09,0.0
abalone,0.74,100,0.74,0.61,0.13,0.0
abalone,0.74,100,0.74,0.66,0.08,0.0
abalone,0.74,100,0.74,0.61,0.13,0.0
abalone,0.74,100,0.74,0.71,0.03,0.0
abalone,0.74,100,0.74,0.68,0.06,0.0
abalone,0.79,100,0.79,0.71,0.08,0.0
abalone,0.79,100,0.79,0.7,0.09,0.0
abalone,0.79,100,0.79,0.69,0.1,0.0
abalone,0.79,100,0.79,0.68,0.11,0.0
abalone,0.79,100,0.79,0.74,0.05,0.0
abalone,0.79,100,0.79,0.68,0.11,0.0
abalone,0.79,100,0.79,0.72,0.07,0.0
abalone,0.79,100,0.79,0.68,0.11,0.0
abalone,0.79,100,0.79,0.66,0.13,0.0
abalone,0.79,100,0.79,0.71,0.08,0.0
abalone,0.84,100,0.84,0.72,0.12,0.0
abalone,0.84,100,0.84,0.73,0.11,0.0
abalone,0.84,100,0.84,0.7,0.14,0.0
abalone,0.84,100,0.84,0.77,0.07,0.0
abalone,0.84,100,0.84,0.76,0.08,0.0
abalone,0.84,100,0.84,0.66,0.18,0.0
abalone,0.84,100,0.84,0.75,0.09,0.0
abalone,0.84,100,0.84,0.71,0.13,0.0
abalone,0.84,100,0.84,0.75,0.09,0.0
abalone,0.84,100,0.84,0.73,0.11,0.0
abalone,0.89,100,0.89,0.78,0.11,0.0
abalone,0.89,100,0.89,0.76,0.13,0.0
abalone,0.89,100,0.89,0.71,0.18,0.0
abalone,0.89,100,0.89,0.71,0.18,0.0
abalone,0.89,100,0.89,0.8,0.09,0.0
abalone,0.89,100,0.89,0.73,0.16,0.0
abalone,0.89,100,0.89,0.75,0.14,0.0
abalone,0.89,100,0.89,0.77,0.12,0.0
abalone,0.89,100,0.89,0.74,0.15,0.0
abalone,0.89,100,0.89,0.77,0.12,0.0
abalone,0.95,100,0.95,0.74,0.21,0.0
abalone,0.95,100,0.95,0.72,0.23,0.0
abalone,0.95,100,0.95,0.74,0.21,0.0
abalone,0.95,100,0.95,0.76,0.19,0.0
abalone,0.95,100,0.95,0.78,0.17,0.0
abalone,0.95,100,0.95,0.76,0.19,0.0
abalone,0.95,100,0.95,0.78,0.17,0.0
abalone,0.95,100,0.95,0.75,0.2,0.0
abalone,0.95,100,0.95,0.75,0.2,0.0
abalone,0.95,100,0.95,0.8,0.15,0.0
abalone,1.0,100,1.0,0.84,0.16,0.0
abalone,1.0,100,1.0,0.78,0.22,0.0
abalone,1.0,100,1.0,0.84,0.16,0.0
abalone,1.0,100,1.0,0.79,0.21,0.0
abalone,1.0,100,1.0,0.8,0.2,0.0
abalone,1.0,100,1.0,0.8,0.2,0.0
abalone,1.0,100,1.0,0.75,0.25,0.0
abalone,1.0,100,1.0,0.82,0.18,0.0
abalone,1.0,100,1.0,0.79,0.21,0.0
abalone,1.0,100,1.0,0.82,0.18,0.0
ailerons,0.0,100,0.0,0.12,0.12,0.0
ailerons,0.0,100,0.0,0.11,0.11,0.0
ailerons,0.0,100,0.0,0.17,0.17,0.0
ailerons,0.0,100,0.0,0.14,0.14,0.0
ailerons,0.0,100,0.0,0.18,0.18,0.0
ailerons,0.0,100,0.0,0.13,0.13,0.0
ailerons,0.0,100,0.0,0.14,0.14,0.0
ailerons,0.0,100,0.0,0.16,0.16,0.0
ailerons,0.0,100,0.0,0.12,0.12,0.0
ailerons,0.0,100,0.0,0.09,0.09,0.0
ailerons,0.05,100,0.05,0.16,0.11,0.0
ailerons,0.05,100,0.05,0.16,0.11,0.0
ailerons,0.05,100,0.05,0.15,0.1,0.0
ailerons,0.05,100,0.05,0.17,0.12,0.0
ailerons,0.05,100,0.05,0.18,0.13,0.0
ailerons,0.05,100,0.05,0.17,0.12,0.0
ailerons,0.05,100,0.05,0.2,0.15,0.0
ailerons,0.05,100,0.05,0.2,0.15,0.0
ailerons,0.05,100,0.05,0.16,0.11,0.0
ailerons,0.05,100,0.05,0.19,0.14,0.0
ailerons,0.11,100,0.11,0.22,0.11,0.0
ailerons,0.11,100,0.11,0.28,0.17,0.0
ailerons,0.11,100,0.11,0.23,0.12,0.0
ailerons,0.11,100,0.11,0.23,0.12,0.0
ailerons,0.11,100,0.11,0.27,0.16,0.0
ailerons,0.11,100,0.11,0.17,0.06,0.0
ailerons,0.11,100,0.11,0.16,0.05,0.0
ailerons,0.11,100,0.11,0.23,0.12,0.0
ailerons,0.11,100,0.11,0.24,0.13,0.0
ailerons,0.11,100,0.11,0.25,0.14,0.0
ailerons,0.16,100,0.16,0.23,0.07,0.0
ailerons,0.16,100,0.16,0.28,0.12,0.0
ailerons,0.16,100,0.16,0.25,0.09,0.0
ailerons,0.16,100,0.16,0.24,0.08,0.0
ailerons,0.16,100,0.16,0.24,0.08,0.0
ailerons,0.16,100,0.16,0.22,0.06,0.0
ailerons,0.16,100,0.16,0.23,0.07,0.0
ailerons,0.16,100,0.16,0.27,0.11,0.0
ailerons,0.16,100,0.16,0.24,0.08,0.0
ailerons,0.16,100,0.16,0.27,0.11,0.0
ailerons,0.21,100,0.21,0.31,0.1,0.0
ailerons,0.21,100,0.21,0.3,0.09,0.0
ailerons,0.21,100,0.21,0.32,0.11,0.0
ailerons,0.21,100,0.21,0.28,0.07,0.0
ailerons,0.21,100,0.21,0.3,0.09,0.0
ailerons,0.21,100,0.21,0.27,0.06,0.0
ailerons,0.21,100,0.21,0.31,0.1,0.0
ailerons,0.21,100,0.21,0.25,0.04,0.0
ailerons,0.21,100,0.21,0.29,0.08,0.0
ailerons,0.21,100,0.21,0.38,0.17,0.0
ailerons,0.26,100,0.26,0.36,0.1,0.0
ailerons,0.26,100,0.26,0.34,0.08,0.0
ailerons,0.26,100,0.26,0.31,0.05,0.0
ailerons,0.26,100,0.26,0.29,0.03,0.0
ailerons,0.26,100,0.26,0.36,0.1,0.0
ailerons,0.26,100,0.26,0.34,0.08,0.0
ailerons,0.26,100,0.26,0.34,0.08,0.0
ailerons,0.26,100,0.26,0.36,0.1,0.0
ailerons,0.26,100,0.26,0.3,0.04,0.0
ailerons,0.26,100,0.26,0.36,0.1,0.0
ailerons,0.32,100,0.32,0.39,0.07,0.0
ailerons,0.32,100,0.32,0.36,0.04,0.0
ailerons,0.32,100,0.32,0.37,0.05,0.0
ailerons,0.32,100,0.32,0.36,0.04,0.0
ailerons,0.32,100,0.32,0.36,0.04,0.0
ailerons,0.32,100,0.32,0.4,0.08,0.0
ailerons,0.32,100,0.32,0.29,0.03,0.0
ailerons,0.32,100,0.32,0.34,0.02,0.0
ailerons,0.32,100,0.32,0.35,0.03,0.0
ailerons,0.32,100,0.32,0.35,0.03,0.0
ailerons,0.37,100,0.37,0.41,0.04,0.0
ailerons,0.37,100,0.37,0.42,0.05,0.0
ailerons,0.37,100,0.37,0.36,0.01,0.0
ailerons,0.37,100,0.37,0.42,0.05,0.0
ailerons,0.37,100,0.37,0.49,0.12,0.0
ailerons,0.37,100,0.37,0.4,0.03,0.0
ailerons,0.37,100,0.37,0.4,0.03,0.0
ailerons,0.37,100,0.37,0.41,0.04,0.0
ailerons,0.37,100,0.37,0.42,0.05,0.0
ailerons,0.37,100,0.37,0.4,0.03,0.0
ailerons,0.42,100,0.42,0.48,0.06,0.0
ailerons,0.42,100,0.42,0.54,0.12,0.0
ailerons,0.42,100,0.42,0.41,0.01,0.0
ailerons,0.42,100,0.42,0.47,0.05,0.0
ailerons,0.42,100,0.42,0.48,0.06,0.0
ailerons,0.42,100,0.42,0.42,0.0,0.0
ailerons,0.42,100,0.42,0.45,0.03,0.0
ailerons,0.42,100,0.42,0.44,0.02,0.0
ailerons,0.42,100,0.42,0.44,0.02,0.0
ailerons,0.42,100,0.42,0.47,0.05,0.0
ailerons,0.47,100,0.47,0.51,0.04,0.0
ailerons,0.47,100,0.47,0.47,0.0,0.0
ailerons,0.47,100,0.47,0.54,0.07,0.0
ailerons,0.47,100,0.47,0.5,0.03,0.0
ailerons,0.47,100,0.47,0.47,0.0,0.0
ailerons,0.47,100,0.47,0.49,0.02,0.0
ailerons,0.47,100,0.47,0.53,0.06,0.0
ailerons,0.47,100,0.47,0.43,0.04,0.0
ailerons,0.47,100,0.47,0.47,0.0,0.0
ailerons,0.47,100,0.47,0.49,0.02,0.0
ailerons,0.53,100,0.53,0.52,0.01,0.0
ailerons,0.53,100,0.53,0.54,0.01,0.0
ailerons,0.53,100,0.53,0.44,0.09,0.0
ailerons,0.53,100,0.53,0.51,0.02,0.0
ailerons,0.53,100,0.53,0.49,0.04,0.0
ailerons,0.53,100,0.53,0.53,0.0,0.0
ailerons,0.53,100,0.53,0.56,0.03,0.0
ailerons,0.53,100,0.53,0.57,0.04,0.0
ailerons,0.53,100,0.53,0.51,0.02,0.0
ailerons,0.53,100,0.53,0.51,0.02,0.0
ailerons,0.58,100,0.58,0.55,0.03,0.0
ailerons,0.58,100,0.58,0.56,0.02,0.0
ailerons,0.58,100,0.58,0.62,0.04,0.0
ailerons,0.58,100,0.58,0.55,0.03,0.0
ailerons,0.58,100,0.58,0.58,0.0,0.0
ailerons,0.58,100,0.58,0.54,0.04,0.0
ailerons,0.58,100,0.58,0.58,0.0,0.0
ailerons,0.58,100,0.58,0.59,0.01,0.0
ailerons,0.58,100,0.58,0.58,0.0,0.0
ailerons,0.58,100,0.58,0.54,0.04,0.0
ailerons,0.63,100,0.63,0.59,0.04,0.0
ailerons,0.63,100,0.63,0.59,0.04,0.0
ailerons,0.63,100,0.63,0.61,0.02,0.0
ailerons,0.63,100,0.63,0.62,0.01,0.0
ailerons,0.63,100,0.63,0.62,0.01,0.0
ailerons,0.63,100,0.63,0.59,0.04,0.0
ailerons,0.63,100,0.63,0.64,0.01,0.0
ailerons,0.63,100,0.63,0.63,0.0,0.0
ailerons,0.63,100,0.63,0.61,0.02,0.0
ailerons,0.63,100,0.63,0.63,0.0,0.0
ailerons,0.68,100,0.68,0.62,0.06,0.0
ailerons,0.68,100,0.68,0.69,0.01,0.0
ailerons,0.68,100,0.68,0.65,0.03,0.0
ailerons,0.68,100,0.68,0.68,0.0,0.0
ailerons,0.68,100,0.68,0.68,0.0,0.0
ailerons,0.68,100,0.68,0.65,0.03,0.0
ailerons,0.68,100,0.68,0.62,0.06,0.0
ailerons,0.68,100,0.68,0.63,0.05,0.0
ailerons,0.68,100,0.68,0.64,0.04,0.0
ailerons,0.68,100,0.68,0.69,0.01,0.0
ailerons,0.74,100,0.74,0.68,0.06,0.0
ailerons,0.74,100,0.74,0.7,0.04,0.0
ailerons,0.74,100,0.74,0.69,0.05,0.0
ailerons,0.74,100,0.74,0.67,0.07,0.0
ailerons,0.74,100,0.74,0.69,0.05,0.0
ailerons,0.74,100,0.74,0.69,0.05,0.0
ailerons,0.74,100,0.74,0.67,0.07,0.0
ailerons,0.74,100,0.74,0.77,0.03,0.0
ailerons,0.74,100,0.74,0.69,0.05,0.0
ailerons,0.74,100,0.74,0.65,0.09,0.0
ailerons,0.79,100,0.79,0.69,0.1,0.0
ailerons,0.79,100,0.79,0.7,0.09,0.0
ailerons,0.79,100,0.79,0.73,0.06,0.0
ailerons,0.79,100,0.79,0.72,0.07,0.0
ailerons,0.79,100,0.79,0.72,0.07,0.0
ailerons,0.79,100,0.79,0.69,0.1,0.0
ailerons,0.79,100,0.79,0.68,0.11,0.0
ailerons,0.79,100,0.79,0.72,0.07,0.0
ailerons,0.79,100,0.79,0.72,0.07,0.0
ailerons,0.79,100,0.79,0.67,0.12,0.0
ailerons,0.84,100,0.84,0.81,0.03,0.0
ailerons,0.84,100,0.84,0.7,0.14,0.0
ailerons,0.84,100,0.84,0.72,0.12,0.0
ailerons,0.84,100,0.84,0.77,0.07,0.0
ailerons,0.84,100,0.84,0.83,0.01,0.0
ailerons,0.84,100,0.84,0.78,0.06,0.0
ailerons,0.84,100,0.84,0.78,0.06,0.0
ailerons,0.84,100,0.84,0.81,0.03,0.0
ailerons,0.84,100,0.84,0.73,0.11,0.0
ailerons,0.84,100,0.84,0.81,0.03,0.0
ailerons,0.89,100,0.89,0.83,0.06,0.0
ailerons,0.89,100,0.89,0.8,0.09,0.0
ailerons,0.89,100,0.89,0.8,0.09,0.0
ailerons,0.89,100,0.89,0.82,0.07,0.0
ailerons,0.89,100,0.89,0.85,0.04,0.0
ailerons,0.89,100,0.89,0.8,0.09,0.0
ailerons,0.89,100,0.89,0.77,0.12,0.0
ailerons,0.89,100,0.89,0.81,0.08,0.0
ailerons,0.89,100,0.89,0.77,0.12,0.0
ailerons,0.89,100,0.89,0.82,0.07,0.0
ailerons,0.95,100,0.95,0.84,0.11,0.0
ailerons,0.95,100,0.95,0.83,0.12,0.0
ailerons,0.95,100,0.95,0.85,0.1,0.0
ailerons,0.95,100,0.95,0.84,0.11,0.0
ailerons,0.95,100,0.95,0.82,0.13,0.0
ailerons,0.95,100,0.95,0.9,0.05,0.0
ailerons,0.95,100,0.95,0.9,0.05,0.0
ailerons,0.95,100,0.95,0.82,0.13,0.0
ailerons,0.95,100,0.95,0.86,0.09,0.0
ailerons,0.95,100,0.95,0.87,0.08,0.0
ailerons,1.0,100,1.0,0.86,0.14,0.0
ailerons,1.0,100,1.0,0.9,0.1,0.0
ailerons,1.0,100,1.0,0.93,0.07,0.0
ailerons,1.0,100,1.0,0.84,0.16,0.0
ailerons,1.0,100,1.0,0.88,0.12,0.0
ailerons,1.0,100,1.0,0.92,0.08,0.0
ailerons,1.0,100,1.0,0.93,0.07,0.0
ailerons,1.0,100,1.0,0.94,0.06,0.0
ailerons,1.0,100,1.0,0.8,0.2,0.0
ailerons,1.0,100,1.0,0.88,0.12,0.0
BNG_breast-w,0.0,100,0.0,0.01,0.01,0.0
BNG_breast-w,0.0,100,0.0,0.0,0.0,0.0
BNG_breast-w,0.0,100,0.0,0.02,0.02,0.0
BNG_breast-w,0.0,100,0.0,0.01,0.01,0.0
BNG_breast-w,0.0,100,0.0,0.02,0.02,0.0
BNG_breast-w,0.0,100,0.0,0.04,0.04,0.0
BNG_breast-w,0.0,100,0.0,0.02,0.02,0.0
BNG_breast-w,0.0,100,0.0,0.02,0.02,0.0
BNG_breast-w,0.0,100,0.0,0.02,0.02,0.0
BNG_breast-w,0.0,100,0.0,0.0,0.0,0.0
BNG_breast-w,0.05,100,0.05,0.06,0.01,0.0
BNG_breast-w,0.05,100,0.05,0.09,0.04,0.0
BNG_breast-w,0.05,100,0.05,0.06,0.01,0.0
BNG_breast-w,0.05,100,0.05,0.06,0.01,0.0010004043579101562
BNG_breast-w,0.05,100,0.05,0.05,0.0,0.0
BNG_breast-w,0.05,100,0.05,0.03,0.02,0.0
BNG_breast-w,0.05,100,0.05,0.05,0.0,0.0
BNG_breast-w,0.05,100,0.05,0.07,0.02,0.0
BNG_breast-w,0.05,100,0.05,0.08,0.03,0.0
BNG_breast-w,0.05,100,0.05,0.04,0.01,0.0
BNG_breast-w,0.11,100,0.11,0.13,0.02,0.0
BNG_breast-w,0.11,100,0.11,0.15,0.04,0.0
BNG_breast-w,0.11,100,0.11,0.1,0.01,0.0
BNG_breast-w,0.11,100,0.11,0.12,0.01,0.0
BNG_breast-w,0.11,100,0.11,0.12,0.01,0.0
BNG_breast-w,0.11,100,0.11,0.12,0.01,0.0
BNG_breast-w,0.11,100,0.11,0.15,0.04,0.0
BNG_breast-w,0.11,100,0.11,0.12,0.01,0.0
BNG_breast-w,0.11,100,0.11,0.13,0.02,0.0
BNG_breast-w,0.11,100,0.11,0.12,0.01,0.0
BNG_breast-w,0.16,100,0.16,0.18,0.02,0.0
BNG_breast-w,0.16,100,0.16,0.18,0.02,0.0
BNG_breast-w,0.16,100,0.16,0.19,0.03,0.0
BNG_breast-w,0.16,100,0.16,0.17,0.01,0.0
BNG_breast-w,0.16,100,0.16,0.16,0.0,0.0
BNG_breast-w,0.16,100,0.16,0.19,0.03,0.0
BNG_breast-w,0.16,100,0.16,0.18,0.02,0.0
BNG_breast-w,0.16,100,0.16,0.18,0.02,0.0
BNG_breast-w,0.16,100,0.16,0.18,0.02,0.0
BNG_breast-w,0.16,100,0.16,0.16,0.0,0.0
BNG_breast-w,0.21,100,0.21,0.23,0.02,0.0
BNG_breast-w,0.21,100,0.21,0.23,0.02,0.0
BNG_breast-w,0.21,100,0.21,0.22,0.01,0.0
BNG_breast-w,0.21,100,0.21,0.22,0.01,0.0
BNG_breast-w,0.21,100,0.21,0.24,0.03,0.0
BNG_breast-w,0.21,100,0.21,0.22,0.01,0.0
BNG_breast-w,0.21,100,0.21,0.24,0.03,0.0
BNG_breast-w,0.21,100,0.21,0.22,0.01,0.0
BNG_breast-w,0.21,100,0.21,0.24,0.03,0.0
BNG_breast-w,0.21,100,0.21,0.24,0.03,0.0
BNG_breast-w,0.26,100,0.26,0.27,0.01,0.0
BNG_breast-w,0.26,100,0.26,0.29,0.03,0.0
BNG_breast-w,0.26,100,0.26,0.27,0.01,0.0
BNG_breast-w,0.26,100,0.26,0.25,0.01,0.0
BNG_breast-w,0.26,100,0.26,0.27,0.01,0.0
BNG_breast-w,0.26,100,0.26,0.28,0.02,0.0
BNG_breast-w,0.26,100,0.26,0.28,0.02,0.0
BNG_breast-w,0.26,100,0.26,0.27,0.01,0.0
BNG_breast-w,0.26,100,0.26,0.28,0.02,0.0
BNG_breast-w,0.26,100,0.26,0.26,0.0,0.0
BNG_breast-w,0.32,100,0.32,0.31,0.01,0.0
BNG_breast-w,0.32,100,0.32,0.32,0.0,0.0
BNG_breast-w,0.32,100,0.32,0.32,0.0,0.0
BNG_breast-w,0.32,100,0.32,0.33,0.01,0.0
BNG_breast-w,0.32,100,0.32,0.32,0.0,0.0
BNG_breast-w,0.32,100,0.32,0.34,0.02,0.0
BNG_breast-w,0.32,100,0.32,0.35,0.03,0.0
BNG_breast-w,0.32,100,0.32,0.33,0.01,0.0
BNG_breast-w,0.32,100,0.32,0.32,0.0,0.0
BNG_breast-w,0.32,100,0.32,0.33,0.01,0.0
BNG_breast-w,0.37,100,0.37,0.38,0.01,0.0
BNG_breast-w,0.37,100,0.37,0.37,0.0,0.0
BNG_breast-w,0.37,100,0.37,0.35,0.02,0.0
BNG_breast-w,0.37,100,0.37,0.36,0.01,0.0
BNG_breast-w,0.37,100,0.37,0.39,0.02,0.0
BNG_breast-w,0.37,100,0.37,0.38,0.01,0.0
BNG_breast-w,0.37,100,0.37,0.4,0.03,0.0
