dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
abalone,0.0,100,0.0,0.01,0.01,0.10928106307983398
abalone,0.0,100,0.0,0.0,0.0,0.11311650276184082
abalone,0.0,100,0.0,0.01,0.01,0.10914373397827148
abalone,0.0,100,0.0,0.0,0.0,0.1094977855682373
abalone,0.0,100,0.0,0.01,0.01,0.10904335975646973
abalone,0.0,100,0.0,0.01,0.01,0.10947775840759277
abalone,0.0,100,0.0,0.02,0.02,0.11474108695983887
abalone,0.0,100,0.0,0.01,0.01,0.11470794677734375
abalone,0.0,100,0.0,0.0,0.0,0.10655522346496582
abalone,0.0,100,0.0,0.0,0.0,0.10988402366638184
abalone,0.05,100,0.05,0.0,0.05,0.10679244995117188
abalone,0.05,100,0.05,0.0,0.05,0.10645270347595215
abalone,0.05,100,0.05,0.05,0.0,0.10840177536010742
abalone,0.05,100,0.05,0.1,0.05,0.10872387886047363
abalone,0.05,100,0.05,0.03,0.02,0.1147010326385498
abalone,0.05,100,0.05,0.06,0.01,0.1088716983795166
abalone,0.05,100,0.05,0.08,0.03,0.10924887657165527
abalone,0.05,100,0.05,0.03,0.02,0.10877323150634766
abalone,0.05,100,0.05,0.08,0.03,0.1085050106048584
abalone,0.05,100,0.05,0.06,0.01,0.1090841293334961
abalone,0.11,100,0.11,0.06,0.05,0.10912775993347168
abalone,0.11,100,0.11,0.14,0.03,0.10916686058044434
abalone,0.11,100,0.11,0.08,0.03,0.10944008827209473
abalone,0.11,100,0.11,0.04,0.07,0.10885953903198242
abalone,0.11,100,0.11,0.14,0.03,0.10307168960571289
abalone,0.11,100,0.11,0.17,0.06,0.10908222198486328
abalone,0.11,100,0.11,0.03,0.08,0.1089944839477539
abalone,0.11,100,0.11,0.15,0.04,0.10662388801574707
abalone,0.11,100,0.11,0.07,0.04,0.10915589332580566
abalone,0.11,100,0.11,0.15,0.04,0.10310959815979004
abalone,0.16,100,0.16,0.19,0.03,0.10852599143981934
abalone,0.16,100,0.16,0.14,0.02,0.10910916328430176
abalone,0.16,100,0.16,0.04,0.12,0.40560340881347656
abalone,0.16,100,0.16,0.13,0.03,0.3144516944885254
abalone,0.16,100,0.16,0.23,0.07,0.3144814968109131
abalone,0.16,100,0.16,0.17,0.01,0.31430602073669434
abalone,0.16,100,0.16,0.26,0.1,0.3145318031311035
abalone,0.16,100,0.16,0.03,0.13,0.29862260818481445
abalone,0.16,100,0.16,0.08,0.08,0.2987551689147949
abalone,0.16,100,0.16,0.15,0.01,0.29878735542297363
abalone,0.21,100,0.21,0.13,0.08,0.3007075786590576
abalone,0.21,100,0.21,0.25,0.04,0.2987663745880127
abalone,0.21,100,0.21,0.21,0.0,0.3143885135650635
abalone,0.21,100,0.21,0.17,0.04,0.3143806457519531
abalone,0.21,100,0.21,0.21,0.0,0.2987651824951172
abalone,0.21,100,0.21,0.27,0.06,0.2986938953399658
abalone,0.21,100,0.21,0.15,0.06,0.2987558841705322
abalone,0.21,100,0.21,0.2,0.01,0.29868483543395996
abalone,0.21,100,0.21,0.21,0.0,0.5337073802947998
abalone,0.21,100,0.21,0.18,0.03,0.29879140853881836
abalone,0.26,100,0.26,0.32,0.06,0.31439709663391113
abalone,0.26,100,0.26,0.26,0.0,0.29876232147216797
abalone,0.26,100,0.26,0.22,0.04,0.2987682819366455
abalone,0.26,100,0.26,0.25,0.01,0.31435251235961914
abalone,0.26,100,0.26,0.24,0.02,0.5179474353790283
abalone,0.26,100,0.26,0.17,0.09,0.3924901485443115
abalone,0.26,100,0.26,0.24,0.02,0.3142685890197754
abalone,0.26,100,0.26,0.23,0.03,0.3303370475769043
abalone,0.26,100,0.26,0.28,0.02,0.31279516220092773
abalone,0.26,100,0.26,0.22,0.04,0.314345121383667
abalone,0.32,100,0.32,0.36,0.04,0.31418871879577637
abalone,0.32,100,0.32,0.29,0.03,0.31432533264160156
abalone,0.32,100,0.32,0.34,0.02,0.37756848335266113
abalone,0.32,100,0.32,0.32,0.0,0.29877805709838867
abalone,0.32,100,0.32,0.26,0.06,0.30843353271484375
abalone,0.32,100,0.32,0.29,0.03,0.29866838455200195
abalone,0.32,100,0.32,0.34,0.02,0.29868268966674805
abalone,0.32,100,0.32,0.34,0.02,0.2831230163574219
abalone,0.32,100,0.32,0.43,0.11,0.18377304077148438
abalone,0.32,100,0.32,0.24,0.08,0.10306668281555176
abalone,0.37,100,0.37,0.4,0.03,0.10958123207092285
abalone,0.37,100,0.37,0.31,0.06,0.10915374755859375
abalone,0.37,100,0.37,0.41,0.04,0.1095433235168457
abalone,0.37,100,0.37,0.37,0.0,0.10699844360351562
abalone,0.37,100,0.37,0.36,0.01,0.10963058471679688
abalone,0.37,100,0.37,0.36,0.01,0.10904693603515625
abalone,0.37,100,0.37,0.31,0.06,0.11154770851135254
abalone,0.37,100,0.37,0.43,0.06,0.10906124114990234
abalone,0.37,100,0.37,0.46,0.09,0.11247801780700684
abalone,0.37,100,0.37,0.43,0.06,0.10767555236816406
abalone,0.42,100,0.42,0.46,0.04,0.10309767723083496
abalone,0.42,100,0.42,0.37,0.05,0.10300207138061523
abalone,0.42,100,0.42,0.42,0.0,0.10687685012817383
abalone,0.42,100,0.42,0.44,0.02,0.1068880558013916
abalone,0.42,100,0.42,0.39,0.03,0.10621905326843262
abalone,0.42,100,0.42,0.28,0.14,0.11767840385437012
abalone,0.42,100,0.42,0.49,0.07,0.10792016983032227
abalone,0.42,100,0.42,0.51,0.09,0.11420416831970215
abalone,0.42,100,0.42,0.42,0.0,0.10943198204040527
abalone,0.42,100,0.42,0.33,0.09,0.10739779472351074
abalone,0.47,100,0.47,0.52,0.05,0.1060936450958252
abalone,0.47,100,0.47,0.52,0.05,0.10412955284118652
abalone,0.47,100,0.47,0.5,0.03,0.10741162300109863
abalone,0.47,100,0.47,0.4,0.07,0.10299515724182129
abalone,0.47,100,0.47,0.53,0.06,0.10557055473327637
abalone,0.47,100,0.47,0.46,0.01,0.10721731185913086
abalone,0.47,100,0.47,0.51,0.04,0.11378359794616699
abalone,0.47,100,0.47,0.43,0.04,0.1064004898071289
abalone,0.47,100,0.47,0.41,0.06,0.1114656925201416
abalone,0.47,100,0.47,0.33,0.14,0.11069798469543457
abalone,0.53,100,0.53,0.6,0.07,0.10759472846984863
abalone,0.53,100,0.53,0.58,0.05,0.1027371883392334
abalone,0.53,100,0.53,0.57,0.04,0.10415315628051758
abalone,0.53,100,0.53,0.64,0.11,0.10855722427368164
abalone,0.53,100,0.53,0.6,0.07,0.10712885856628418
abalone,0.53,100,0.53,0.45,0.08,0.10801911354064941
abalone,0.53,100,0.53,0.61,0.08,0.10822892189025879
abalone,0.53,100,0.53,0.55,0.02,0.10983395576477051
abalone,0.53,100,0.53,0.57,0.04,0.10791397094726562
abalone,0.53,100,0.53,0.43,0.1,0.1050574779510498
abalone,0.58,100,0.58,0.51,0.07,0.10349917411804199
abalone,0.58,100,0.58,0.56,0.02,0.1087651252746582
abalone,0.58,100,0.58,0.69,0.11,0.1080167293548584
abalone,0.58,100,0.58,0.54,0.04,0.10870718955993652
abalone,0.58,100,0.58,0.64,0.06,0.10692310333251953
abalone,0.58,100,0.58,0.72,0.14,0.1159060001373291
abalone,0.58,100,0.58,0.65,0.07,0.10960149765014648
abalone,0.58,100,0.58,0.48,0.1,0.11124539375305176
abalone,0.58,100,0.58,0.74,0.16,0.10473489761352539
abalone,0.58,100,0.58,0.64,0.06,0.1045069694519043
abalone,0.63,100,0.63,0.71,0.08,0.10893464088439941
abalone,0.63,100,0.63,0.64,0.01,0.1072225570678711
abalone,0.63,100,0.63,0.69,0.06,0.10632109642028809
abalone,0.63,100,0.63,0.59,0.04,0.11283302307128906
abalone,0.63,100,0.63,0.67,0.04,0.0969705581665039
abalone,0.63,100,0.63,0.67,0.04,0.1057276725769043
abalone,0.63,100,0.63,0.68,0.05,0.10664248466491699
abalone,0.63,100,0.63,0.57,0.06,0.11004352569580078
abalone,0.63,100,0.63,0.73,0.1,0.10947728157043457
abalone,0.63,100,0.63,0.73,0.1,0.11247968673706055
abalone,0.68,100,0.68,0.83,0.15,0.1075136661529541
abalone,0.68,100,0.68,0.7,0.02,0.1094522476196289
abalone,0.68,100,0.68,0.75,0.07,0.10809063911437988
abalone,0.68,100,0.68,0.62,0.06,0.10450911521911621
abalone,0.68,100,0.68,0.71,0.03,0.10799527168273926
abalone,0.68,100,0.68,0.67,0.01,0.10659623146057129
abalone,0.68,100,0.68,0.6,0.08,0.10550761222839355
abalone,0.68,100,0.68,0.69,0.01,0.10737347602844238
abalone,0.68,100,0.68,0.76,0.08,0.1186823844909668
abalone,0.68,100,0.68,0.68,0.0,0.1121361255645752
abalone,0.74,100,0.74,0.73,0.01,0.10765218734741211
abalone,0.74,100,0.74,0.81,0.07,0.10310578346252441
abalone,0.74,100,0.74,0.97,0.23,0.10150671005249023
abalone,0.74,100,0.74,0.89,0.15,0.10504865646362305
abalone,0.74,100,0.74,0.75,0.01,0.10945534706115723
abalone,0.74,100,0.74,0.68,0.06,0.10300517082214355
abalone,0.74,100,0.74,0.77,0.03,0.1032266616821289
abalone,0.74,100,0.74,0.79,0.05,0.1070563793182373
abalone,0.74,100,0.74,0.78,0.04,0.10650420188903809
abalone,0.74,100,0.74,0.75,0.01,0.10940241813659668
abalone,0.79,100,0.79,0.87,0.08,0.10566830635070801
abalone,0.79,100,0.79,0.83,0.04,0.10689663887023926
