dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
abalone,0.0,100,0.0,0.02,0.02,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.12,0.12,0.0010075569152832031
abalone,0.0,100,0.0,0.05,0.05,0.0
abalone,0.0,100,0.0,0.02,0.02,0.0
abalone,0.0,100,0.0,0.19,0.19,0.0
abalone,0.0,100,0.0,0.02,0.02,0.0
abalone,0.0,100,0.0,0.07,0.07,0.0
abalone,0.0,100,0.0,0.05,0.05,0.0
abalone,0.05,100,0.05,0.05,0.0,0.0
abalone,0.05,100,0.05,0.03,0.02,0.0
abalone,0.05,100,0.05,0.05,0.0,0.0005733966827392578
abalone,0.05,100,0.05,0.16,0.11,0.0
abalone,0.05,100,0.05,0.07,0.02,0.0
abalone,0.05,100,0.05,0.24,0.19,0.0
abalone,0.05,100,0.05,0.16,0.11,0.0
abalone,0.05,100,0.05,0.12,0.07,0.0
abalone,0.05,100,0.05,0.05,0.0,0.0
abalone,0.05,100,0.05,0.09,0.04,0.0
abalone,0.11,100,0.11,0.22,0.11,0.0
abalone,0.11,100,0.11,0.24,0.13,0.0
abalone,0.11,100,0.11,0.02,0.09,0.0
abalone,0.11,100,0.11,0.09,0.02,0.0
abalone,0.11,100,0.11,0.17,0.06,0.0
abalone,0.11,100,0.11,0.16,0.05,0.0
abalone,0.11,100,0.11,0.03,0.08,0.0
abalone,0.11,100,0.11,0.14,0.03,0.0
abalone,0.11,100,0.11,0.14,0.03,0.0
abalone,0.11,100,0.11,0.16,0.05,0.0
abalone,0.16,100,0.16,0.28,0.12,0.0
abalone,0.16,100,0.16,0.22,0.06,0.0
abalone,0.16,100,0.16,0.16,0.0,0.0
abalone,0.16,100,0.16,0.16,0.0,0.0
abalone,0.16,100,0.16,0.34,0.18,0.0
abalone,0.16,100,0.16,0.21,0.05,0.0
abalone,0.16,100,0.16,0.26,0.1,0.0
abalone,0.16,100,0.16,0.09,0.07,0.0
abalone,0.16,100,0.16,0.16,0.0,0.0
abalone,0.16,100,0.16,0.21,0.05,0.0
abalone,0.21,100,0.21,0.14,0.07,0.0
abalone,0.21,100,0.21,0.38,0.17,0.0
abalone,0.21,100,0.21,0.29,0.08,0.0
abalone,0.21,100,0.21,0.17,0.04,0.0
abalone,0.21,100,0.21,0.16,0.05,0.0
abalone,0.21,100,0.21,0.34,0.13,0.0
abalone,0.21,100,0.21,0.22,0.01,0.0
abalone,0.21,100,0.21,0.19,0.02,0.0
abalone,0.21,100,0.21,0.22,0.01,0.0
abalone,0.21,100,0.21,0.19,0.02,0.0
abalone,0.26,100,0.26,0.33,0.07,0.0
abalone,0.26,100,0.26,0.22,0.04,0.0
abalone,0.26,100,0.26,0.28,0.02,0.0
abalone,0.26,100,0.26,0.24,0.02,0.0
abalone,0.26,100,0.26,0.33,0.07,0.0
abalone,0.26,100,0.26,0.28,0.02,0.0
abalone,0.26,100,0.26,0.33,0.07,0.0
abalone,0.26,100,0.26,0.22,0.04,0.0
abalone,0.26,100,0.26,0.31,0.05,0.0
abalone,0.26,100,0.26,0.22,0.04,0.0
abalone,0.32,100,0.32,0.38,0.06,0.0
abalone,0.32,100,0.32,0.29,0.03,0.015624523162841797
abalone,0.32,100,0.32,0.29,0.03,0.0
abalone,0.32,100,0.32,0.36,0.04,0.0
abalone,0.32,100,0.32,0.31,0.01,0.0
abalone,0.32,100,0.32,0.36,0.04,0.0
abalone,0.32,100,0.32,0.38,0.06,0.0
abalone,0.32,100,0.32,0.36,0.04,0.0
abalone,0.32,100,0.32,0.41,0.09,0.0
abalone,0.32,100,0.32,0.29,0.03,0.0
abalone,0.37,100,0.37,0.45,0.08,0.0
abalone,0.37,100,0.37,0.29,0.08,0.0
abalone,0.37,100,0.37,0.41,0.04,0.0
abalone,0.37,100,0.37,0.31,0.06,0.0
abalone,0.37,100,0.37,0.36,0.01,0.0
abalone,0.37,100,0.37,0.34,0.03,0.0
abalone,0.37,100,0.37,0.29,0.08,0.0
abalone,0.37,100,0.37,0.4,0.03,0.0
abalone,0.37,100,0.37,0.45,0.08,0.0
abalone,0.37,100,0.37,0.43,0.06,0.0009999275207519531
abalone,0.42,100,0.42,0.45,0.03,0.0
abalone,0.42,100,0.42,0.4,0.02,0.0
abalone,0.42,100,0.42,0.45,0.03,0.0
abalone,0.42,100,0.42,0.41,0.01,0.0
abalone,0.42,100,0.42,0.43,0.01,0.0
abalone,0.42,100,0.42,0.29,0.13,0.0
abalone,0.42,100,0.42,0.5,0.08,0.0
abalone,0.42,100,0.42,0.48,0.06,0.0
abalone,0.42,100,0.42,0.45,0.03,0.0
abalone,0.42,100,0.42,0.34,0.08,0.0
abalone,0.47,100,0.47,0.5,0.03,0.0
abalone,0.47,100,0.47,0.52,0.05,0.0
abalone,0.47,100,0.47,0.47,0.0,0.0009965896606445312
abalone,0.47,100,0.47,0.38,0.09,0.0
abalone,0.47,100,0.47,0.52,0.05,0.0
abalone,0.47,100,0.47,0.47,0.0,0.0
abalone,0.47,100,0.47,0.53,0.06,0.0
abalone,0.47,100,0.47,0.41,0.06,0.0
abalone,0.47,100,0.47,0.47,0.0,0.0
abalone,0.47,100,0.47,0.4,0.07,0.0
abalone,0.53,100,0.53,0.57,0.04,0.0
abalone,0.53,100,0.53,0.48,0.05,0.0
abalone,0.53,100,0.53,0.52,0.01,0.0
abalone,0.53,100,0.53,0.69,0.16,0.0
abalone,0.53,100,0.53,0.6,0.07,0.0
abalone,0.53,100,0.53,0.57,0.04,0.0
abalone,0.53,100,0.53,0.6,0.07,0.0
abalone,0.53,100,0.53,0.6,0.07,0.0
abalone,0.53,100,0.53,0.55,0.02,0.0
abalone,0.53,100,0.53,0.38,0.15,0.0
abalone,0.58,100,0.58,0.48,0.1,0.0
abalone,0.58,100,0.58,0.53,0.05,0.0
abalone,0.58,100,0.58,0.62,0.04,0.0
abalone,0.58,100,0.58,0.64,0.06,0.0
abalone,0.58,100,0.58,0.53,0.05,0.0
abalone,0.58,100,0.58,0.64,0.06,0.0
abalone,0.58,100,0.58,0.67,0.09,0.0
abalone,0.58,100,0.58,0.47,0.11,0.0
abalone,0.58,100,0.58,0.71,0.13,0.0
abalone,0.58,100,0.58,0.71,0.13,0.0
abalone,0.63,100,0.63,0.69,0.06,0.0
abalone,0.63,100,0.63,0.57,0.06,0.0
abalone,0.63,100,0.63,0.69,0.06,0.0
abalone,0.63,100,0.63,0.69,0.06,0.0
abalone,0.63,100,0.63,0.71,0.08,0.0
abalone,0.63,100,0.63,0.71,0.08,0.0
abalone,0.63,100,0.63,0.67,0.04,0.0
abalone,0.63,100,0.63,0.57,0.06,0.0
abalone,0.63,100,0.63,0.64,0.01,0.0
abalone,0.63,100,0.63,0.72,0.09,0.0
abalone,0.68,100,0.68,0.71,0.03,0.0010211467742919922
abalone,0.68,100,0.68,0.69,0.01,0.0
abalone,0.68,100,0.68,0.67,0.01,0.0
abalone,0.68,100,0.68,0.66,0.02,0.0
abalone,0.68,100,0.68,0.66,0.02,0.0
abalone,0.68,100,0.68,0.66,0.02,0.0
