dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
abalone,0.0,100,0.0,0.0,0.0,0.015180587768554688
abalone,0.0,100,0.0,0.0,0.0,0.018163681030273438
abalone,0.0,100,0.0,0.0,0.0,0.01274728775024414
abalone,0.0,100,0.0,0.04,0.04,0.015235662460327148
abalone,0.0,100,0.0,0.0,0.0,0.013310432434082031
abalone,0.0,100,0.0,0.02,0.02,0.01817607879638672
abalone,0.0,100,0.0,0.07,0.07,0.014576911926269531
abalone,0.0,100,0.0,0.0,0.0,0.015259742736816406
abalone,0.0,100,0.0,0.0,0.0,0.012774467468261719
abalone,0.0,100,0.0,0.0,0.0,0.012241840362548828
abalone,0.05,100,0.05,0.0,0.05,0.014397382736206055
abalone,0.05,100,0.05,0.03,0.02,0.012026071548461914
abalone,0.05,100,0.05,0.05,0.0,0.018074989318847656
abalone,0.05,100,0.05,0.13,0.08,0.013762235641479492
abalone,0.05,100,0.05,0.02,0.03,0.010823726654052734
abalone,0.05,100,0.05,0.12,0.07,0.01471257209777832
abalone,0.05,100,0.05,0.14,0.09,0.012021780014038086
abalone,0.05,100,0.05,0.04,0.01,0.012117624282836914
abalone,0.05,100,0.05,0.08,0.03,0.013610363006591797
abalone,0.05,100,0.05,0.07,0.02,0.016720056533813477
abalone,0.11,100,0.11,0.17,0.06,0.012026309967041016
abalone,0.11,100,0.11,0.14,0.03,0.011993408203125
abalone,0.11,100,0.11,0.03,0.08,0.012537956237792969
abalone,0.11,100,0.11,0.07,0.04,0.012266397476196289
abalone,0.11,100,0.11,0.11,0.0,0.011842489242553711
abalone,0.11,100,0.11,0.17,0.06,0.01477503776550293
abalone,0.11,100,0.11,0.02,0.09,0.018329143524169922
abalone,0.11,100,0.11,0.15,0.04,0.012017011642456055
abalone,0.11,100,0.11,0.09,0.02,0.011926889419555664
abalone,0.11,100,0.11,0.15,0.04,0.012034416198730469
abalone,0.16,100,0.16,0.18,0.02,0.012066364288330078
abalone,0.16,100,0.16,0.14,0.02,0.01794910430908203
abalone,0.16,100,0.16,0.19,0.03,0.031245708465576172
abalone,0.16,100,0.16,0.1,0.06,0.04697108268737793
