dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
abalone,0.0,100,0.0,0.29,0.29,0.00036454200744628906
abalone,0.0,100,0.0,0.27,0.27,0.0020036697387695312
abalone,0.0,100,0.0,0.26,0.26,0.00035691261291503906
abalone,0.0,100,0.0,0.3,0.3,0.0
abalone,0.0,100,0.0,0.28,0.28,0.0
abalone,0.0,100,0.0,0.29,0.29,0.0
abalone,0.0,100,0.0,0.32,0.32,0.0
abalone,0.0,100,0.0,0.26,0.26,0.0
abalone,0.0,100,0.0,0.29,0.29,0.001008749008178711
abalone,0.0,100,0.0,0.29,0.29,0.0020074844360351562
abalone,0.05,100,0.05,0.27,0.22,0.0
abalone,0.05,100,0.05,0.3,0.25,0.00099945068359375
abalone,0.05,100,0.05,0.31,0.26,0.0
abalone,0.05,100,0.05,0.34,0.29,0.0060307979583740234
abalone,0.05,100,0.05,0.29,0.24,0.0
abalone,0.05,100,0.05,0.35,0.3,0.0
abalone,0.05,100,0.05,0.35,0.3,0.0
abalone,0.05,100,0.05,0.3,0.25,0.0
abalone,0.05,100,0.05,0.32,0.27,0.0
abalone,0.05,100,0.05,0.32,0.27,0.0
abalone,0.11,100,0.11,0.35,0.24,0.0
abalone,0.11,100,0.11,0.34,0.23,0.005591154098510742
abalone,0.11,100,0.11,0.3,0.19,0.0
abalone,0.11,100,0.11,0.32,0.21,0.0
abalone,0.11,100,0.11,0.33,0.22,0.0
abalone,0.11,100,0.11,0.36,0.25,0.006189107894897461
abalone,0.11,100,0.11,0.28,0.17,0.0
abalone,0.11,100,0.11,0.34,0.23,0.0020093917846679688
abalone,0.11,100,0.11,0.33,0.22,0.0
abalone,0.11,100,0.11,0.35,0.24,0.0
abalone,0.16,100,0.16,0.36,0.2,0.00559234619140625
abalone,0.16,100,0.16,0.35,0.19,0.0
abalone,0.16,100,0.16,0.37,0.21,0.0
abalone,0.16,100,0.16,0.33,0.17,0.01558828353881836
abalone,0.16,100,0.16,0.4,0.24,0.0
abalone,0.16,100,0.16,0.38,0.22,0.0
abalone,0.16,100,0.16,0.38,0.22,0.0
abalone,0.16,100,0.16,0.32,0.16,0.015716075897216797
abalone,0.16,100,0.16,0.33,0.17,0.0
abalone,0.16,100,0.16,0.37,0.21,0.015624523162841797
abalone,0.21,100,0.21,0.36,0.15,0.0
abalone,0.21,100,0.21,0.39,0.18,0.0
abalone,0.21,100,0.21,0.42,0.21,0.0
abalone,0.21,100,0.21,0.36,0.15,0.0
abalone,0.21,100,0.21,0.36,0.15,0.0
abalone,0.21,100,0.21,0.43,0.22,0.0
abalone,0.21,100,0.21,0.35,0.14,0.0
abalone,0.21,100,0.21,0.36,0.15,0.0
abalone,0.21,100,0.21,0.38,0.17,0.0
abalone,0.21,100,0.21,0.36,0.15,0.0
abalone,0.26,100,0.26,0.42,0.16,0.0
