dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.03,0.03,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.02,0.02,0.0
abalone,0.0,100,0.0,0.08,0.08,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.01,0.01,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.05,100,0.05,0.0,0.05,0.0
abalone,0.05,100,0.05,0.02,0.03,0.0
abalone,0.05,100,0.05,0.05,0.0,0.005731344223022461
abalone,0.05,100,0.05,0.13,0.08,0.0
abalone,0.05,100,0.05,0.01,0.04,0.0
abalone,0.05,100,0.05,0.14,0.09,0.0
abalone,0.05,100,0.05,0.14,0.09,0.0
abalone,0.05,100,0.05,0.04,0.01,0.0
abalone,0.05,100,0.05,0.08,0.03,0.0
abalone,0.05,100,0.05,0.07,0.02,0.0
abalone,0.11,100,0.11,0.15,0.04,0.0
abalone,0.11,100,0.11,0.12,0.01,0.0
abalone,0.11,100,0.11,0.04,0.07,0.0
abalone,0.11,100,0.11,0.07,0.04,0.0
abalone,0.11,100,0.11,0.1,0.01,0.0
abalone,0.11,100,0.11,0.18,0.07,0.0
abalone,0.11,100,0.11,0.0,0.11,0.0
abalone,0.11,100,0.11,0.12,0.01,0.0
abalone,0.11,100,0.11,0.1,0.01,0.0
abalone,0.11,100,0.11,0.16,0.05,0.0
abalone,0.16,100,0.16,0.17,0.01,0.0
abalone,0.16,100,0.16,0.14,0.02,0.000370025634765625
abalone,0.16,100,0.16,0.19,0.03,0.0
abalone,0.16,100,0.16,0.09,0.07,0.0
abalone,0.16,100,0.16,0.26,0.1,0.0
abalone,0.16,100,0.16,0.22,0.06,0.0
abalone,0.16,100,0.16,0.22,0.06,0.0
abalone,0.16,100,0.16,0.08,0.08,0.0
abalone,0.16,100,0.16,0.09,0.07,0.0
abalone,0.16,100,0.16,0.19,0.03,0.0
abalone,0.21,100,0.21,0.17,0.04,0.0
abalone,0.21,100,0.21,0.25,0.04,0.0
abalone,0.21,100,0.21,0.31,0.1,0.0
abalone,0.21,100,0.21,0.17,0.04,0.0
abalone,0.21,100,0.21,0.16,0.05,0.0
abalone,0.21,100,0.21,0.33,0.12,0.0
abalone,0.21,100,0.21,0.15,0.06,0.0
abalone,0.21,100,0.21,0.16,0.05,0.0
abalone,0.21,100,0.21,0.22,0.01,0.0
abalone,0.21,100,0.21,0.17,0.04,0.0
abalone,0.26,100,0.26,0.33,0.07,0.0
abalone,0.26,100,0.26,0.23,0.03,0.0
abalone,0.26,100,0.26,0.24,0.02,0.0
abalone,0.26,100,0.26,0.24,0.02,0.0
abalone,0.26,100,0.26,0.28,0.02,0.0
abalone,0.26,100,0.26,0.22,0.04,0.0
abalone,0.26,100,0.26,0.26,0.0,0.0
abalone,0.26,100,0.26,0.21,0.05,0.0
abalone,0.26,100,0.26,0.29,0.03,0.0
abalone,0.26,100,0.26,0.21,0.05,0.0
abalone,0.32,100,0.32,0.35,0.03,0.0
abalone,0.32,100,0.32,0.27,0.05,0.0
abalone,0.32,100,0.32,0.32,0.0,0.0
abalone,0.32,100,0.32,0.36,0.04,0.0
abalone,0.32,100,0.32,0.3,0.02,0.0
abalone,0.32,100,0.32,0.31,0.01,0.0
abalone,0.32,100,0.32,0.35,0.03,0.0
