dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
abalone,0.0,100,0.0,0.0,0.0,0.14630579948425293
abalone,0.0,100,0.0,0.0,0.0,0.14543509483337402
abalone,0.0,100,0.0,0.0,0.0,0.14519143104553223
abalone,0.0,100,0.0,0.05,0.05,0.14689183235168457
abalone,0.0,100,0.0,0.0,0.0,0.14520645141601562
abalone,0.0,100,0.0,0.02,0.02,0.139052152633667
abalone,0.0,100,0.0,0.09,0.09,0.14442992210388184
abalone,0.0,100,0.0,0.0,0.0,0.1480121612548828
abalone,0.0,100,0.0,0.01,0.01,0.14418530464172363
abalone,0.0,100,0.0,0.0,0.0,0.14464902877807617
abalone,0.05,100,0.05,0.0,0.05,0.14269423484802246
abalone,0.05,100,0.05,0.03,0.02,0.14543604850769043
abalone,0.05,100,0.05,0.04,0.01,0.14020299911499023
abalone,0.05,100,0.05,0.14,0.09,0.1453380584716797
abalone,0.05,100,0.05,0.03,0.02,0.14506006240844727
abalone,0.05,100,0.05,0.13,0.08,0.15416955947875977
abalone,0.05,100,0.05,0.14,0.09,0.14520478248596191
abalone,0.05,100,0.05,0.05,0.0,0.15189814567565918
abalone,0.05,100,0.05,0.06,0.01,0.1493527889251709
abalone,0.05,100,0.05,0.07,0.02,0.14695978164672852
abalone,0.11,100,0.11,0.17,0.06,0.15140128135681152
abalone,0.11,100,0.11,0.15,0.04,0.14562058448791504
abalone,0.11,100,0.11,0.02,0.09,0.13958168029785156
abalone,0.11,100,0.11,0.08,0.03,0.14533448219299316
abalone,0.11,100,0.11,0.11,0.0,0.13948726654052734
abalone,0.11,100,0.11,0.15,0.04,0.13933515548706055
abalone,0.11,100,0.11,0.02,0.09,0.14551782608032227
abalone,0.11,100,0.11,0.15,0.04,0.14519953727722168
abalone,0.11,100,0.11,0.1,0.01,0.1453714370727539
abalone,0.11,100,0.11,0.15,0.04,0.14569711685180664
abalone,0.16,100,0.16,0.19,0.03,0.14473509788513184
abalone,0.16,100,0.16,0.14,0.02,0.14557409286499023
abalone,0.16,100,0.16,0.19,0.03,0.31441426277160645
abalone,0.16,100,0.16,0.11,0.05,0.30640316009521484
abalone,0.16,100,0.16,0.25,0.09,0.3145127296447754
abalone,0.16,100,0.16,0.22,0.06,0.3135044574737549
abalone,0.16,100,0.16,0.22,0.06,0.6407761573791504
abalone,0.16,100,0.16,0.07,0.09,0.28307676315307617
abalone,0.16,100,0.16,0.13,0.03,0.2987699508666992
abalone,0.16,100,0.16,0.19,0.03,0.28316354751586914
abalone,0.21,100,0.21,0.14,0.07,0.2988147735595703
abalone,0.21,100,0.21,0.24,0.03,0.29872846603393555
abalone,0.21,100,0.21,0.29,0.08,0.28261804580688477
abalone,0.21,100,0.21,0.16,0.05,0.2987356185913086
abalone,0.21,100,0.21,0.15,0.06,0.29877519607543945
abalone,0.21,100,0.21,0.33,0.12,0.29876160621643066
abalone,0.21,100,0.21,0.15,0.06,0.283186674118042
abalone,0.21,100,0.21,0.18,0.03,0.4333782196044922
abalone,0.21,100,0.21,0.22,0.01,0.2981758117675781
abalone,0.21,100,0.21,0.17,0.04,0.298769474029541
abalone,0.26,100,0.26,0.33,0.07,0.29859185218811035
abalone,0.26,100,0.26,0.22,0.04,0.2829596996307373
abalone,0.26,100,0.26,0.23,0.03,0.2987680435180664
abalone,0.26,100,0.26,0.24,0.02,0.2987978458404541
abalone,0.26,100,0.26,0.29,0.03,0.39292049407958984
abalone,0.26,100,0.26,0.21,0.05,0.3139636516571045
abalone,0.26,100,0.26,0.26,0.0,0.28257203102111816
abalone,0.26,100,0.26,0.2,0.06,0.4874868392944336
abalone,0.26,100,0.26,0.29,0.03,0.2985103130340576
abalone,0.26,100,0.26,0.21,0.05,0.5340189933776855
abalone,0.32,100,0.32,0.37,0.05,0.5017924308776855
