dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
abalone,0.0,100,0.0,0.0,0.0,0.0012009143829345703
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.09,0.09,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.14,0.14,0.0
abalone,0.0,100,0.0,0.0,0.0,0.0
abalone,0.0,100,0.0,0.02,0.02,0.0
abalone,0.0,100,0.0,0.03,0.03,0.0
abalone,0.05,100,0.05,0.07,0.02,0.0
abalone,0.05,100,0.05,0.0,0.05,0.0
abalone,0.05,100,0.05,0.0,0.05,0.0
abalone,0.05,100,0.05,0.16,0.11,0.0
abalone,0.05,100,0.05,0.05,0.0,0.0
abalone,0.05,100,0.05,0.22,0.17,0.0
abalone,0.05,100,0.05,0.14,0.09,0.0
abalone,0.05,100,0.05,0.12,0.07,0.0
abalone,0.05,100,0.05,0.05,0.0,0.0
abalone,0.05,100,0.05,0.09,0.04,0.0
abalone,0.11,100,0.11,0.21,0.1,0.0
abalone,0.11,100,0.11,0.21,0.1,0.0
abalone,0.11,100,0.11,0.0,0.11,0.0
abalone,0.11,100,0.11,0.07,0.04,0.0
abalone,0.11,100,0.11,0.16,0.05,0.0
abalone,0.11,100,0.11,0.14,0.03,0.0
abalone,0.11,100,0.11,0.02,0.09,0.0
abalone,0.11,100,0.11,0.16,0.05,0.0
abalone,0.11,100,0.11,0.1,0.01,0.0
abalone,0.11,100,0.11,0.14,0.03,0.0
abalone,0.16,100,0.16,0.22,0.06,0.0
abalone,0.16,100,0.16,0.17,0.01,0.0
abalone,0.16,100,0.16,0.17,0.01,0.0
abalone,0.16,100,0.16,0.12,0.04,0.0
abalone,0.16,100,0.16,0.28,0.12,0.0
abalone,0.16,100,0.16,0.22,0.06,0.0
abalone,0.16,100,0.16,0.24,0.08,0.0
abalone,0.16,100,0.16,0.05,0.11,0.0
abalone,0.16,100,0.16,0.16,0.0,0.0
abalone,0.16,100,0.16,0.21,0.05,0.0
abalone,0.21,100,0.21,0.1,0.11,0.0
abalone,0.21,100,0.21,0.31,0.1,0.0
abalone,0.21,100,0.21,0.26,0.05,0.0
abalone,0.21,100,0.21,0.16,0.05,0.0
abalone,0.21,100,0.21,0.14,0.07,0.010616064071655273
abalone,0.21,100,0.21,0.34,0.13,0.0
abalone,0.21,100,0.21,0.17,0.04,0.0
abalone,0.21,100,0.21,0.19,0.02,0.0
abalone,0.21,100,0.21,0.22,0.01,0.0
abalone,0.21,100,0.21,0.16,0.05,0.0
abalone,0.26,100,0.26,0.34,0.08,0.0
abalone,0.26,100,0.26,0.24,0.02,0.0
abalone,0.26,100,0.26,0.22,0.04,0.0
abalone,0.26,100,0.26,0.22,0.04,0.0
abalone,0.26,100,0.26,0.29,0.03,0.0
abalone,0.26,100,0.26,0.21,0.05,0.0
abalone,0.26,100,0.26,0.28,0.02,0.0
abalone,0.26,100,0.26,0.19,0.07,0.0
abalone,0.26,100,0.26,0.31,0.05,0.0
abalone,0.26,100,0.26,0.22,0.04,0.0
abalone,0.32,100,0.32,0.38,0.06,0.0
abalone,0.32,100,0.32,0.33,0.01,0.0
abalone,0.32,100,0.32,0.33,0.01,0.0
abalone,0.32,100,0.32,0.36,0.04,0.0
abalone,0.32,100,0.32,0.31,0.01,0.0
abalone,0.32,100,0.32,0.36,0.04,0.0
abalone,0.32,100,0.32,0.38,0.06,0.0
abalone,0.32,100,0.32,0.36,0.04,0.0
abalone,0.32,100,0.32,0.45,0.13,0.0
abalone,0.32,100,0.32,0.26,0.06,0.0
abalone,0.37,100,0.37,0.45,0.08,0.0
abalone,0.37,100,0.37,0.28,0.09,0.0
abalone,0.37,100,0.37,0.41,0.04,0.0
abalone,0.37,100,0.37,0.31,0.06,0.0
abalone,0.37,100,0.37,0.38,0.01,0.0
abalone,0.37,100,0.37,0.33,0.04,0.0
abalone,0.37,100,0.37,0.28,0.09,0.0003669261932373047
abalone,0.37,100,0.37,0.4,0.03,0.0
abalone,0.37,100,0.37,0.45,0.08,0.0003135204315185547
abalone,0.37,100,0.37,0.4,0.03,0.0
abalone,0.42,100,0.42,0.48,0.06,0.0
abalone,0.42,100,0.42,0.4,0.02,0.0
abalone,0.42,100,0.42,0.47,0.05,0.0
abalone,0.42,100,0.42,0.4,0.02,0.0
abalone,0.42,100,0.42,0.43,0.01,0.0
abalone,0.42,100,0.42,0.29,0.13,0.0
abalone,0.42,100,0.42,0.45,0.03,0.0
abalone,0.42,100,0.42,0.48,0.06,0.0
abalone,0.42,100,0.42,0.45,0.03,0.0
abalone,0.42,100,0.42,0.36,0.06,0.0
abalone,0.47,100,0.47,0.48,0.01,0.0
abalone,0.47,100,0.47,0.53,0.06,0.0
abalone,0.47,100,0.47,0.43,0.04,0.0
abalone,0.47,100,0.47,0.36,0.11,0.0
abalone,0.47,100,0.47,0.52,0.05,0.0
abalone,0.47,100,0.47,0.47,0.0,0.0
abalone,0.47,100,0.47,0.52,0.05,0.0
abalone,0.47,100,0.47,0.45,0.02,0.0010008811950683594
abalone,0.47,100,0.47,0.38,0.09,0.0010030269622802734
abalone,0.47,100,0.47,0.41,0.06,0.0
abalone,0.53,100,0.53,0.6,0.07,0.0
abalone,0.53,100,0.53,0.48,0.05,0.0
abalone,0.53,100,0.53,0.53,0.0,0.0
abalone,0.53,100,0.53,0.64,0.11,0.0
abalone,0.53,100,0.53,0.6,0.07,0.0
abalone,0.53,100,0.53,0.53,0.0,0.0
abalone,0.53,100,0.53,0.64,0.11,0.0
abalone,0.53,100,0.53,0.6,0.07,0.0
abalone,0.53,100,0.53,0.55,0.02,0.0
abalone,0.53,100,0.53,0.41,0.12,0.0
abalone,0.58,100,0.58,0.48,0.1,0.0
abalone,0.58,100,0.58,0.55,0.03,0.0
abalone,0.58,100,0.58,0.64,0.06,0.0
abalone,0.58,100,0.58,0.57,0.01,0.0
abalone,0.58,100,0.58,0.53,0.05,0.0
abalone,0.58,100,0.58,0.66,0.08,0.0
abalone,0.58,100,0.58,0.69,0.11,0.0
abalone,0.58,100,0.58,0.47,0.11,0.0
abalone,0.58,100,0.58,0.71,0.13,0.0
abalone,0.58,100,0.58,0.69,0.11,0.0
abalone,0.63,100,0.63,0.71,0.08,0.0
abalone,0.63,100,0.63,0.6,0.03,0.0
abalone,0.63,100,0.63,0.69,0.06,0.0
abalone,0.63,100,0.63,0.67,0.04,0.0005450248718261719
abalone,0.63,100,0.63,0.72,0.09,0.0010001659393310547
abalone,0.63,100,0.63,0.72,0.09,0.0
abalone,0.63,100,0.63,0.64,0.01,0.0
abalone,0.63,100,0.63,0.57,0.06,0.0
abalone,0.63,100,0.63,0.64,0.01,0.0
abalone,0.63,100,0.63,0.72,0.09,0.0
abalone,0.68,100,0.68,0.71,0.03,0.0
abalone,0.68,100,0.68,0.71,0.03,0.0010046958923339844
abalone,0.68,100,0.68,0.67,0.01,0.0
abalone,0.68,100,0.68,0.67,0.01,0.0003037452697753906
abalone,0.68,100,0.68,0.67,0.01,0.0
abalone,0.68,100,0.68,0.69,0.01,0.0
abalone,0.68,100,0.68,0.6,0.08,0.0
abalone,0.68,100,0.68,0.66,0.02,0.0
abalone,0.68,100,0.68,0.74,0.06,0.001012563705444336
abalone,0.68,100,0.68,0.72,0.04,0.0
abalone,0.74,100,0.74,0.74,0.0,0.0
abalone,0.74,100,0.74,0.76,0.02,0.0
abalone,0.74,100,0.74,0.81,0.07,0.0
abalone,0.74,100,0.74,0.81,0.07,0.0
abalone,0.74,100,0.74,0.76,0.02,0.0
abalone,0.74,100,0.74,0.67,0.07,0.0
abalone,0.74,100,0.74,0.76,0.02,0.0
abalone,0.74,100,0.74,0.67,0.07,0.0
abalone,0.74,100,0.74,0.84,0.1,0.0
abalone,0.74,100,0.74,0.79,0.05,0.0
abalone,0.79,100,0.79,0.84,0.05,0.0
abalone,0.79,100,0.79,0.83,0.04,0.0
abalone,0.79,100,0.79,0.78,0.01,0.0
abalone,0.79,100,0.79,0.79,0.0,0.0
abalone,0.79,100,0.79,0.9,0.11,0.0
abalone,0.79,100,0.79,0.79,0.0,0.0
abalone,0.79,100,0.79,0.86,0.07,0.0
abalone,0.79,100,0.79,0.78,0.01,0.001001596450805664
abalone,0.79,100,0.79,0.76,0.03,0.0
abalone,0.79,100,0.79,0.81,0.02,0.0
abalone,0.84,100,0.84,0.88,0.04,0.0010132789611816406
abalone,0.84,100,0.84,0.9,0.06,0.0002701282501220703
abalone,0.84,100,0.84,0.83,0.01,0.0
abalone,0.84,100,0.84,0.95,0.11,0.0
abalone,0.84,100,0.84,0.95,0.11,0.005641460418701172
abalone,0.84,100,0.84,0.76,0.08,0.0
abalone,0.84,100,0.84,0.9,0.06,0.0
abalone,0.84,100,0.84,0.86,0.02,0.0
abalone,0.84,100,0.84,0.88,0.04,0.0
abalone,0.84,100,0.84,0.88,0.04,0.0
abalone,0.89,100,0.89,0.95,0.06,0.0
abalone,0.89,100,0.89,0.93,0.04,0.0
abalone,0.89,100,0.89,0.84,0.05,0.0
abalone,0.89,100,0.89,0.84,0.05,0.0
abalone,0.89,100,0.89,1.0,0.11,0.0
abalone,0.89,100,0.89,0.86,0.03,0.0009968280792236328
abalone,0.89,100,0.89,0.93,0.04,0.0
abalone,0.89,100,0.89,0.97,0.08,0.0
abalone,0.89,100,0.89,0.91,0.02,0.0
abalone,0.89,100,0.89,0.95,0.06,0.0009992122650146484
abalone,0.95,100,0.95,0.9,0.05,0.0
abalone,0.95,100,0.95,0.86,0.09,0.0
abalone,0.95,100,0.95,0.91,0.04,0.0
abalone,0.95,100,0.95,0.93,0.02,0.00099945068359375
abalone,0.95,100,0.95,0.98,0.03,0.0
abalone,0.95,100,0.95,0.93,0.02,0.0
abalone,0.95,100,0.95,0.98,0.03,0.0
abalone,0.95,100,0.95,0.9,0.05,0.0
abalone,0.95,100,0.95,0.9,0.05,0.0
abalone,0.95,100,0.95,1.0,0.05,0.0
abalone,1.0,100,1.0,1.0,0.0,0.0
abalone,1.0,100,1.0,0.97,0.03,0.0
abalone,1.0,100,1.0,1.0,0.0,0.0
abalone,1.0,100,1.0,0.98,0.02,0.0
abalone,1.0,100,1.0,1.0,0.0,0.0
abalone,1.0,100,1.0,0.98,0.02,0.0
abalone,1.0,100,1.0,0.93,0.07,0.0
abalone,1.0,100,1.0,1.0,0.0,0.0
abalone,1.0,100,1.0,1.0,0.0,0.0
abalone,1.0,100,1.0,1.0,0.0,0.0
ailerons,0.0,100,0.0,0.01,0.01,0.0
ailerons,0.0,100,0.0,0.0,0.0,0.0
ailerons,0.0,100,0.0,0.07,0.07,0.0011143684387207031
ailerons,0.0,100,0.0,0.04,0.04,0.00074005126953125
ailerons,0.0,100,0.0,0.09,0.09,0.0
ailerons,0.0,100,0.0,0.03,0.03,0.0
ailerons,0.0,100,0.0,0.03,0.03,0.0
ailerons,0.0,100,0.0,0.07,0.07,0.0
ailerons,0.0,100,0.0,0.0,0.0,0.0
ailerons,0.0,100,0.0,0.0,0.0,0.0
ailerons,0.05,100,0.05,0.07,0.02,0.00038242340087890625
ailerons,0.05,100,0.05,0.05,0.0,0.0
ailerons,0.05,100,0.05,0.05,0.0,0.0
ailerons,0.05,100,0.05,0.08,0.03,0.0
ailerons,0.05,100,0.05,0.09,0.04,0.0
ailerons,0.05,100,0.05,0.07,0.02,0.0
ailerons,0.05,100,0.05,0.12,0.07,0.0
ailerons,0.05,100,0.05,0.12,0.07,0.0
ailerons,0.05,100,0.05,0.05,0.0,0.0
ailerons,0.05,100,0.05,0.09,0.04,0.0
ailerons,0.11,100,0.11,0.14,0.03,0.0
ailerons,0.11,100,0.11,0.22,0.11,0.0
