MAE,Dataset
0.0397,1043_ada_agnostic
0.14099999999999996,1048_jEdit_4
0.019349999999999982,1049_pc4
0.5,1050_pc3
0.038399999999999976,1054_mc2
0.15544999999999998,1056_mc1
0.16174999999999998,1061_ar4
0.5,1065_kc3
0.047200000000000006,1066_kc1-binary
0.5,1068_pc1
0.49895000000000006,1069_pc2
0.23645,1071_mw1
0.10880000000000001,1073_jEdit_4
0.5,1075_datatrieve
0.28385,1115_teachingAssistant
0.0,1121_badges2
0.08255000000000001,1167_pc1_req
0.026549999999999997,11_balance-scale
0.003350000000000003,12_mfeat-factors
0.17954999999999996,1456_appendicitis
0.3006,1460_banana
0.003349999999999993,1462_banknote-authentication
0.11479999999999997,1464_blood-transfusion-service-center
0.29689999999999994,1465_breast-tissue
0.0,1466_cardiotocography
0.5,1467_climate-model-simulation-crashes
0.5,1473_fertility
0.03455000000000001,1475_first-order-theorem-proving
0.022599999999999988,1479_hill-valley
0.09295,1484_lsvt
0.060250000000000005,1485_madelon
0.10554999999999999,1487_ozone-level-8hr
0.034799999999999984,1488_parkinsons
0.046450000000000005,1489_phoneme
0.5,1490_planning-relax
0.053250000000000006,1494_qsar-biodeg
0.03330000000000001,1495_qualitative-bankruptcy
0.01959999999999999,1496_ringnorm
0.0196,1497_wall-robot-navigation
0.04375000000000002,1498_sa-heart
0.010050000000000007,14_mfeat-fourier
0.04444999999999998,1501_semeion
0.0,1504_steel-plates-fault
0.5,1506_thoracic-surgery
0.0028499999999999927,1507_twonorm
0.013000000000000001,1508_user-knowledge
0.01335,1510_wdbc
0.023050000000000022,1511_wholesale-customers
0.5,1512_heart-long-beach
0.021800000000000003,1519_robot-failures-lp4
0.26595,1520_robot-failures-lp5
0.015449999999999997,1523_vertebra-column
0.057699999999999994,1526_wall-robot-navigation
0.04385000000000001,1527_volcanoes-a1
0.0322,1528_volcanoes-a2
0.01635000000000001,1529_volcanoes-a3
0.037599999999999995,1530_volcanoes-a4
0.07745,1535_volcanoes-b5
0.5,1538_volcanoes-d1
0.5,1539_volcanoes-d2
0.24730000000000008,1540_volcanoes-d3
0.24225,1541_volcanoes-d4
0.5,1547_autoUniv-au1-1000
0.0672,1559_breast-tissue
0.06675,1565_heart-h
0.0747,1566_hill-valley
0.028200000000000003,1570_wilt
0.05714999999999999,1600_SPECTF
0.014550000000000013,16_mfeat-karhunen
0.005799999999999994,182_satimage
0.006649999999999996,187_wine
0.004000000000000009,18_mfeat-morphological
0.014150000000000005,20_mfeat-pixel
0.036400000000000016,22_mfeat-zernike
0.02805000000000001,23_cmc
0.009549999999999993,28_optdigits
0.02704999999999999,292_Australian
0.007199999999999993,294_satellite_image
0.059850000000000014,30_page-blocks
0.18805,311_oil_spill
0.008349999999999993,312_scene
0.5,316_yeast_ml8
0.1153,329_hayes-roth
0.0696,333_monks-problems-1
0.5,334_monks-problems-2
0.19729999999999998,335_monks-problems-3
0.1949,336_SPECT
0.002399999999999998,36_segment
0.00994999999999999,375_JapaneseVowels
0.003749999999999999,377_synthetic_control
0.0516,37_diabetes
0.024550000000000023,40474_thyroid-allbp
0.03385000000000001,40475_thyroid-allhyper
0.10055,40496_LED-display-domain-7digit
0.24969999999999998,40733_yeast
0.021900000000000003,40877_seeds
0.03985,40_sonar
0.11975000000000002,43_haberman
0.009100000000000006,44_spambase
0.2398,450_analcatdata_lawsuit
0.041150000000000006,4538_GesturePhaseSegmentationProcessed
0.0032500000000000155,458_analcatdata_authorship
0.03889999999999998,461_analcatdata_creditscore
0.5,463_backache
0.025999999999999995,464_prnn_synth
0.3069,48_tae
0.12589999999999998,53_heart-statlog
0.028099999999999986,54_vehicle
0.0372,59_ionosphere
0.012349999999999996,60_waveform-5000
0.0,61_iris
0.5,679_rmftsa_sleepdata
0.009549999999999987,694_diggle_table_a2
0.015300000000000003,AedesQuinx
0.005000000000000007,AedesSex
0.0065500000000000055,anuranCalls
0.0034500000000000017,ArabicDigit
0.00465,BNG
0.49850000000000005,click-prediction
0.026499999999999996,cmc
0.020000000000000004,covtype_reduced
0.06275000000000001,default_credit_card_clients
0.0881,eeg
0.00965,HTRU
0.07220000000000001,jm1-processed
0.5,letter-recognition
0.01664999999999999,magic
0.0127,mozilla
0.006549999999999996,namao
0.002650000000000001,occupancy
0.04895000000000003,phoneme
0.008350000000000012,spambase
0.0032,winetype
