MAE,Dataset
0.036016666666666676,1043_ada_agnostic
0.06585,1048_jEdit_4
0.015566666666666649,1049_pc4
0.2568166666666667,1050_pc3
0.12855,1054_mc2
0.11159999999999999,1056_mc1
0.09200000000000001,1061_ar4
0.3468,1065_kc3
0.038516666666666664,1066_kc1-binary
0.4028333333333333,1068_pc1
0.3700166666666667,1069_pc2
0.07548333333333332,1071_mw1
0.11286666666666667,1073_jEdit_4
0.2867333333333333,1075_datatrieve
0.12131666666666667,1115_teachingAssistant
2.463307335887066e-17,1121_badges2
0.11253333333333335,1167_pc1_req
0.012133333333333319,11_balance-scale
0.004100000000000008,12_mfeat-factors
0.09171666666666664,1456_appendicitis
0.16601666666666667,1460_banana
0.0030166666666666575,1462_banknote-authentication
0.032133333333333326,1464_blood-transfusion-service-center
0.12005000000000002,1465_breast-tissue
2.463307335887066e-17,1466_cardiotocography
0.49541666666666667,1467_climate-model-simulation-crashes
0.28900000000000003,1473_fertility
0.03931666666666667,1475_first-order-theorem-proving
0.027383333333333336,1479_hill-valley
0.1486,1484_lsvt
0.06148333333333331,1485_madelon
0.06675,1487_ozone-level-8hr
0.08795,1488_parkinsons
0.026883333333333332,1489_phoneme
0.28900000000000003,1490_planning-relax
0.0655666666666667,1494_qsar-biodeg
0.036299999999999985,1495_qualitative-bankruptcy
0.023983333333333315,1496_ringnorm
0.01886666666666667,1497_wall-robot-navigation
0.035866666666666686,1498_sa-heart
0.006650000000000015,14_mfeat-fourier
0.03456666666666666,1501_semeion
0.0013166666666666565,1504_steel-plates-fault
0.28900000000000003,1506_thoracic-surgery
0.003000000000000018,1507_twonorm
0.028133333333333344,1508_user-knowledge
0.012316666666666674,1510_wdbc
0.024366666666666658,1511_wholesale-customers
0.28185,1512_heart-long-beach
0.04486666666666668,1519_robot-failures-lp4
0.21571666666666664,1520_robot-failures-lp5
0.02016666666666666,1523_vertebra-column
0.034933333333333316,1526_wall-robot-navigation
0.04456666666666667,1527_volcanoes-a1
0.015616666666666664,1528_volcanoes-a2
0.025066666666666675,1529_volcanoes-a3
0.02871666666666666,1530_volcanoes-a4
0.050416666666666665,1535_volcanoes-b5
0.33658333333333335,1538_volcanoes-d1
0.3008166666666666,1539_volcanoes-d2
0.08995000000000002,1540_volcanoes-d3
0.11384999999999997,1541_volcanoes-d4
0.1472,1547_autoUniv-au1-1000
0.09413333333333335,1559_breast-tissue
0.06933333333333332,1565_heart-h
0.09116666666666669,1566_hill-valley
0.029499999999999988,1570_wilt
0.08109999999999998,1600_SPECTF
0.014883333333333342,16_mfeat-karhunen
0.008216666666666674,182_satimage
0.01498333333333334,187_wine
0.0035500000000000106,18_mfeat-morphological
0.013816666666666668,20_mfeat-pixel
0.03611666666666667,22_mfeat-zernike
0.028016666666666672,23_cmc
0.010266666666666669,28_optdigits
0.020533333333333337,292_Australian
0.006466666666666679,294_satellite_image
0.042833333333333334,30_page-blocks
0.10483333333333333,311_oil_spill
0.007299999999999978,312_scene
0.3102166666666667,316_yeast_ml8
0.11485000000000001,329_hayes-roth
0.06475,333_monks-problems-1
0.19063333333333335,334_monks-problems-2
0.07266666666666668,335_monks-problems-3
0.12263333333333334,336_SPECT
0.0027333333333333233,36_segment
0.009083333333333346,375_JapaneseVowels
0.0019166666666666859,377_synthetic_control
0.054433333333333334,37_diabetes
0.02265000000000002,40474_thyroid-allbp
0.03481666666666666,40475_thyroid-allhyper
0.10640000000000001,40496_LED-display-domain-7digit
0.1111,40733_yeast
0.022966666666666684,40877_seeds
0.040866666666666655,40_sonar
0.11385,43_haberman
0.008700000000000001,44_spambase
0.2205166666666667,450_analcatdata_lawsuit
0.048016666666666694,4538_GesturePhaseSegmentationProcessed
0.0014500000000000086,458_analcatdata_authorship
0.08003333333333333,461_analcatdata_creditscore
0.28900000000000003,463_backache
0.02914999999999998,464_prnn_synth
0.30543333333333333,48_tae
0.11168333333333332,53_heart-statlog
0.032199999999999986,54_vehicle
0.054799999999999995,59_ionosphere
0.012566666666666676,60_waveform-5000
5.000000000002294e-05,61_iris
0.1794166666666667,679_rmftsa_sleepdata
0.02011666666666667,694_diggle_table_a2
0.015050000000000013,AedesQuinx
0.004933333333333348,AedesSex
0.006666666666666668,anuranCalls
0.0033333333333333383,ArabicDigit
0.0046666666666666575,BNG
0.17433333333333334,click-prediction
0.028383333333333337,cmc
0.023466666666666674,covtype_reduced
0.040600000000000004,default_credit_card_clients
0.07385,eeg
0.007549999999999992,HTRU
0.059766666666666655,jm1-processed
0.15716666666666665,letter-recognition
0.01849999999999997,magic
0.01599999999999997,mozilla
0.006200000000000006,namao
0.0027166666666666615,occupancy
0.026633333333333363,phoneme
0.007550000000000006,spambase
0.002899999999999993,winetype
