MAE,Dataset
0.0352951567708215,1043_ada_agnostic
0.07098250910220269,1048_jEdit_4
0.016605136324705054,1049_pc4
0.09868658201361372,1050_pc3
0.04851804264073943,1054_mc2
0.07415794261573824,1056_mc1
0.13654994072195697,1061_ar4
0.3489278849901159,1065_kc3
0.021274472193056976,1066_kc1-binary
0.3114589730058116,1068_pc1
0.45265189864824673,1069_pc2
0.19291718818078527,1071_mw1
0.10766035564437441,1073_jEdit_4
0.31364208405590327,1075_datatrieve
0.13502577453053366,1115_teachingAssistant
5.447031714567174e-17,1121_badges2
0.17088382437623556,1167_pc1_req
0.0060762786953848175,11_balance-scale
0.004825562583816351,12_mfeat-factors
0.1531751157290857,1456_appendicitis
0.14132850102329897,1460_banana
0.003856876002208804,1462_banknote-authentication
0.026501687846371025,1464_blood-transfusion-service-center
0.15865159360638076,1465_breast-tissue
3.469446951953614e-17,1466_cardiotocography
0.29524747688374475,1467_climate-model-simulation-crashes
0.4144425653607948,1473_fertility
0.03596536902691666,1475_first-order-theorem-proving
0.02035318049974321,1479_hill-valley
0.14161720629750602,1484_lsvt
0.05320974843161136,1485_madelon
0.049496555467475487,1487_ozone-level-8hr
0.11851259939106287,1488_parkinsons
0.021344066135673394,1489_phoneme
0.4293991414928094,1490_planning-relax
0.05237250820962079,1494_qsar-biodeg
0.02775046410693981,1495_qualitative-bankruptcy
0.017644501014528653,1496_ringnorm
0.01858791504867958,1497_wall-robot-navigation
0.03960786585912412,1498_sa-heart
0.011689096311789663,14_mfeat-fourier
0.0318249425952331,1501_semeion
0.0010777797734582812,1504_steel-plates-fault
0.2863012879640034,1506_thoracic-surgery
0.0028525586848573885,1507_twonorm
0.015794681043516622,1508_user-knowledge
0.005985599477138441,1510_wdbc
0.02681849332623642,1511_wholesale-customers
0.2838617233824965,1512_heart-long-beach
0.0473783633317806,1519_robot-failures-lp4
0.21402712632158422,1520_robot-failures-lp5
0.006377120332372964,1523_vertebra-column
0.03592009373818921,1526_wall-robot-navigation
0.03705576451435585,1527_volcanoes-a1
0.014581927000915785,1528_volcanoes-a2
0.031041854245893008,1529_volcanoes-a3
0.03671498431664576,1530_volcanoes-a4
0.05265083338121076,1535_volcanoes-b5
0.08837393202425185,1538_volcanoes-d1
0.043806447158969274,1539_volcanoes-d2
0.02497292916317872,1540_volcanoes-d3
0.0962858344421005,1541_volcanoes-d4
0.20455836614348102,1547_autoUniv-au1-1000
0.11463901387638793,1559_breast-tissue
0.06662961022263149,1565_heart-h
0.08222905993388452,1566_hill-valley
0.030953775414885993,1570_wilt
0.06478226766253169,1600_SPECTF
0.016146187074215317,16_mfeat-karhunen
0.00828458792013595,182_satimage
0.013932634055514943,187_wine
0.00290074020590216,18_mfeat-morphological
0.013936739419846684,20_mfeat-pixel
0.040178520930679855,22_mfeat-zernike
0.057415421294921984,23_cmc
0.012610497568278659,28_optdigits
0.013971659689785703,292_Australian
0.006867263413255588,294_satellite_image
0.04310485164331703,30_page-blocks
0.05050320882796196,311_oil_spill
0.007214944640090889,312_scene
0.3170058739753332,316_yeast_ml8
0.08213272011225585,329_hayes-roth
0.036989571164416715,333_monks-problems-1
0.31616961622335343,334_monks-problems-2
0.08208470543134787,335_monks-problems-3
0.13821677130656132,336_SPECT
0.002706039916998902,36_segment
0.00837177507306847,375_JapaneseVowels
0.0007067651324489471,377_synthetic_control
0.05267402536732738,37_diabetes
0.022615327634346555,40474_thyroid-allbp
0.033441885213978444,40475_thyroid-allhyper
0.09986024520477448,40496_LED-display-domain-7digit
0.06582086692330058,40733_yeast
0.023840594110229114,40877_seeds
0.04311684657608536,40_sonar
0.10230690891365628,43_haberman
0.0076713989997794175,44_spambase
0.19673409723651844,450_analcatdata_lawsuit
0.04783238237186991,4538_GesturePhaseSegmentationProcessed
0.0030876128556001007,458_analcatdata_authorship
0.03934644806199873,461_analcatdata_creditscore
0.2963624511025241,463_backache
0.03946348648461659,464_prnn_synth
0.2791641336222698,48_tae
0.13310917395595362,53_heart-statlog
0.015602242929063755,54_vehicle
0.06629500066123513,59_ionosphere
0.012500421940533631,60_waveform-5000
5.19012706984661e-05,61_iris
0.1886240022248163,679_rmftsa_sleepdata
0.05409825590108571,694_diggle_table_a2
0.01327138709908981,AedesQuinx
0.004808028133390077,AedesSex
0.00743157357633471,anuranCalls
0.004910406911485714,ArabicDigit
0.004851291703656594,BNG
0.05491963228539574,click-prediction
0.03272797765383858,cmc
0.023096433273008882,covtype_reduced
0.0639019736111715,default_credit_card_clients
0.06285597332638558,eeg
0.009339144813636045,HTRU
0.05633049745968498,jm1-processed
0.11865164558888693,letter-recognition
0.01939575894811821,magic
0.015021519912755433,mozilla
0.006514036937706752,namao
0.0029297337851518354,occupancy
0.0231475355154112,phoneme
0.008137709782353602,spambase
0.002913339942262552,winetype
