MAE,Dataset
0.07810000000000003,1043_ada_agnostic
0.12389000000000001,1048_jEdit_4
0.11508000000000003,1049_pc4
0.16772000000000004,1050_pc3
0.09733999999999995,1054_mc2
0.22422,1056_mc1
0.29972,1061_ar4
0.28899,1065_kc3
0.057929999999999995,1066_kc1-binary
0.30094000000000004,1068_pc1
0.3862499999999999,1069_pc2
0.26110999999999995,1071_mw1
0.15713,1073_jEdit_4
0.33413999999999994,1075_datatrieve
0.1958,1115_teachingAssistant
0.002809999999999997,1121_badges2
0.16934000000000002,1167_pc1_req
0.023729999999999994,11_balance-scale
0.012149999999999984,12_mfeat-factors
0.24464999999999998,1456_appendicitis
0.13692000000000001,1460_banana
0.007200000000000001,1462_banknote-authentication
0.10717000000000003,1464_blood-transfusion-service-center
0.17102,1465_breast-tissue
0.005780000000000009,1466_cardiotocography
0.26245,1467_climate-model-simulation-crashes
0.26083,1473_fertility
0.05208000000000003,1475_first-order-theorem-proving
0.03556,1479_hill-valley
0.06680000000000001,1484_lsvt
0.08476999999999997,1485_madelon
0.14900000000000002,1487_ozone-level-8hr
0.10343,1488_parkinsons
0.05839999999999999,1489_phoneme
0.30101,1490_planning-relax
0.030229999999999986,1494_qsar-biodeg
0.032889999999999996,1495_qualitative-bankruptcy
0.04594000000000002,1496_ringnorm
0.037430000000000005,1497_wall-robot-navigation
0.05769,1498_sa-heart
0.017170000000000005,14_mfeat-fourier
0.00990000000000001,1501_semeion
0.001799999999999986,1504_steel-plates-fault
0.28421,1506_thoracic-surgery
0.00432000000000001,1507_twonorm
0.04354000000000001,1508_user-knowledge
0.005190000000000015,1510_wdbc
0.028160000000000008,1511_wholesale-customers
0.31432,1512_heart-long-beach
0.0671,1519_robot-failures-lp4
0.22220000000000004,1520_robot-failures-lp5
0.015989999999999987,1523_vertebra-column
0.03543,1526_wall-robot-navigation
0.03365000000000002,1527_volcanoes-a1
0.09512999999999998,1528_volcanoes-a2
0.10117000000000001,1529_volcanoes-a3
0.07472000000000001,1530_volcanoes-a4
0.13809999999999997,1535_volcanoes-b5
0.20241000000000003,1538_volcanoes-d1
0.19827999999999998,1539_volcanoes-d2
0.10893000000000001,1540_volcanoes-d3
0.16092999999999996,1541_volcanoes-d4
0.21921000000000004,1547_autoUniv-au1-1000
0.17342,1559_breast-tissue
0.09935999999999998,1565_heart-h
0.09927000000000004,1566_hill-valley
0.12345999999999999,1570_wilt
0.10759999999999999,1600_SPECTF
0.03242000000000002,16_mfeat-karhunen
0.0043700000000000015,182_satimage
0.02672,187_wine
0.009580000000000024,18_mfeat-morphological
0.021240000000000005,20_mfeat-pixel
0.047410000000000015,22_mfeat-zernike
0.08138000000000001,23_cmc
0.027160000000000017,28_optdigits
0.02846999999999999,292_Australian
0.010029999999999989,294_satellite_image
0.02532000000000001,30_page-blocks
0.08213000000000001,311_oil_spill
0.007599999999999998,312_scene
0.29513999999999996,316_yeast_ml8
0.07382999999999999,329_hayes-roth
0.06674000000000001,333_monks-problems-1
0.36800000000000005,334_monks-problems-2
0.016249999999999997,335_monks-problems-3
0.17342999999999997,336_SPECT
0.005850000000000024,36_segment
0.01839,375_JapaneseVowels
0.0062600000000000156,377_synthetic_control
0.07576999999999998,37_diabetes
0.05188999999999998,40474_thyroid-allbp
0.06559000000000002,40475_thyroid-allhyper
0.17707,40496_LED-display-domain-7digit
0.09840000000000002,40733_yeast
0.013569999999999999,40877_seeds
0.019899999999999994,40_sonar
0.17987000000000003,43_haberman
0.019319999999999983,44_spambase
0.25784,450_analcatdata_lawsuit
0.09507000000000002,4538_GesturePhaseSegmentationProcessed
0.008289999999999997,458_analcatdata_authorship
0.08800000000000001,461_analcatdata_creditscore
0.31923,463_backache
0.022480000000000007,464_prnn_synth
0.29638999999999993,48_tae
0.14065999999999998,53_heart-statlog
0.013150000000000005,54_vehicle
0.07257000000000001,59_ionosphere
0.02454999999999999,60_waveform-5000
0.012600000000000005,61_iris
0.32367,679_rmftsa_sleepdata
0.05514,694_diggle_table_a2
0.031849999999999996,AedesQuinx
0.006460000000000023,AedesSex
0.014430000000000002,anuranCalls
0.0043000000000000095,ArabicDigit
0.00727000000000001,BNG
0.09491000000000001,click-prediction
0.08238000000000001,cmc
0.03336,covtype_reduced
0.09978000000000001,default_credit_card_clients
0.09956000000000001,eeg
0.02949999999999999,HTRU
0.09075,jm1-processed
0.11535,letter-recognition
0.05001,magic
0.03290999999999999,mozilla
0.013719999999999986,namao
0.008230000000000005,occupancy
0.05955999999999999,phoneme
0.019429999999999992,spambase
0.002399999999999995,winetype
