MAE,Dataset
0.038124676908059,1043_ada_agnostic
0.06530784495586583,1048_jEdit_4
0.021802179019826454,1049_pc4
0.13369023088872012,1050_pc3
0.04104780918947675,1054_mc2
0.11408563547050685,1056_mc1
0.196928851437016,1061_ar4
0.2761878021671973,1065_kc3
0.025345451745018288,1066_kc1-binary
0.2983129746965574,1068_pc1
0.41058459967227245,1069_pc2
0.17944697641233742,1071_mw1
0.11964097221007379,1073_jEdit_4
0.37429509195563115,1075_datatrieve
0.18313556998106853,1115_teachingAssistant
0.004452001582042564,1121_badges2
0.11505789209620029,1167_pc1_req
0.02346212492409775,11_balance-scale
0.003910735979567986,12_mfeat-factors
0.17731261210779087,1456_appendicitis
0.14308939966707104,1460_banana
0.0037204879935856887,1462_banknote-authentication
0.029675921629875774,1464_blood-transfusion-service-center
0.11997967180930598,1465_breast-tissue
0.002901257143202224,1466_cardiotocography
0.30867787262514057,1467_climate-model-simulation-crashes
0.2640314605918372,1473_fertility
0.034553775845010286,1475_first-order-theorem-proving
0.01636332221411916,1479_hill-valley
0.12815374137001592,1484_lsvt
0.059072240830326764,1485_madelon
0.06130330163981993,1487_ozone-level-8hr
0.03729264726430852,1488_parkinsons
0.024209989959469526,1489_phoneme
0.3238944268211409,1490_planning-relax
0.05197522394800347,1494_qsar-biodeg
0.02927042995054945,1495_qualitative-bankruptcy
0.019171986364380667,1496_ringnorm
0.01980886225524258,1497_wall-robot-navigation
0.03684645623957662,1498_sa-heart
0.009987152105824645,14_mfeat-fourier
0.035011102138052114,1501_semeion
0.0008767354778009262,1504_steel-plates-fault
0.2793213064468284,1506_thoracic-surgery
0.0026965249636446173,1507_twonorm
0.014498463669968523,1508_user-knowledge
0.011539725389074423,1510_wdbc
0.02595265274029878,1511_wholesale-customers
0.334013979761622,1512_heart-long-beach
0.04814478315313599,1519_robot-failures-lp4
0.18177973671337685,1520_robot-failures-lp5
0.014857522107018356,1523_vertebra-column
0.0331236958734448,1526_wall-robot-navigation
0.03897034873061602,1527_volcanoes-a1
0.01486409678294449,1528_volcanoes-a2
0.03558883352455646,1529_volcanoes-a3
0.027999571881370332,1530_volcanoes-a4
0.06022813469026437,1535_volcanoes-b5
0.10076926605261767,1538_volcanoes-d1
0.08807297149986935,1539_volcanoes-d2
0.03856978888923604,1540_volcanoes-d3
0.09456756398294634,1541_volcanoes-d4
0.1766468710621239,1547_autoUniv-au1-1000
0.10904275310398992,1559_breast-tissue
0.06490202124586365,1565_heart-h
0.08853565030058783,1566_hill-valley
0.03154040251986542,1570_wilt
0.05580128254919041,1600_SPECTF
0.01690136320341236,16_mfeat-karhunen
0.005303981601693355,182_satimage
0.015841390882295206,187_wine
0.0028742471468015283,18_mfeat-morphological
0.013395588567803901,20_mfeat-pixel
0.03956117952969918,22_mfeat-zernike
0.02950798676297577,23_cmc
0.012066785548795752,28_optdigits
0.020505087505876533,292_Australian
0.00658992777023604,294_satellite_image
0.038555932625126674,30_page-blocks
0.09356030063905293,311_oil_spill
0.007653443560194801,312_scene
0.22120468293377274,316_yeast_ml8
0.05851791383284037,329_hayes-roth
0.03567437391322042,333_monks-problems-1
0.25055363963914123,334_monks-problems-2
0.06771871609799017,335_monks-problems-3
0.13387393726851077,336_SPECT
0.0026664462074707184,36_segment
0.007052822434048924,375_JapaneseVowels
0.003685275647825917,377_synthetic_control
0.04983958201089896,37_diabetes
0.023104166366661995,40474_thyroid-allbp
0.035950805918297586,40475_thyroid-allhyper
0.10338988311691548,40496_LED-display-domain-7digit
0.08705126078356529,40733_yeast
0.019474263193098685,40877_seeds
0.04182956454005477,40_sonar
0.09600105328369654,43_haberman
0.008872867564170463,44_spambase
0.2095338362298637,450_analcatdata_lawsuit
0.04407476788314281,4538_GesturePhaseSegmentationProcessed
0.0030177783148806507,458_analcatdata_authorship
0.041022400191466316,461_analcatdata_creditscore
0.2810839635741796,463_backache
0.02251727664324469,464_prnn_synth
0.3142400866497598,48_tae
0.13123895523891532,53_heart-statlog
0.026040111926274444,54_vehicle
0.04935683705512292,59_ionosphere
0.011480813091784467,60_waveform-5000
0.0072793717261787445,61_iris
0.18142612028681146,679_rmftsa_sleepdata
0.013126505137893462,694_diggle_table_a2
0.014049177370874386,AedesQuinx
0.004900841210599539,AedesSex
0.006210924100643217,anuranCalls
0.00294015284462634,ArabicDigit
0.0047167661957782155,BNG
0.11045551619896696,click-prediction
0.030090613850356614,cmc
0.021074523674856037,covtype_reduced
0.0397427005883425,default_credit_card_clients
0.06869572058542467,eeg
0.007961113933572867,HTRU
0.05802807126292224,jm1-processed
0.07401267180122913,letter-recognition
0.018775777105174148,magic
0.01628232792913252,mozilla
0.006330472081013824,namao
0.0025289256995117537,occupancy
0.023514392292299312,phoneme
0.008090938242030778,spambase
0.002985701969591138,winetype
