MAE,Dataset
0.09400833333333332,1043_ada_agnostic
0.16191999999999998,1048_jEdit_4
0.08254333333333334,1049_pc4
0.33875666666666665,1050_pc3
0.1785766666666667,1054_mc2
0.26848666666666665,1056_mc1
0.22177833333333333,1061_ar4
0.33591499999999996,1065_kc3
0.08783333333333335,1066_kc1-binary
0.40453833333333333,1068_pc1
0.3356483333333332,1069_pc2
0.26070333333333334,1071_mw1
0.14557833333333334,1073_jEdit_4
0.36367499999999997,1075_datatrieve
0.26173166666666664,1115_teachingAssistant
0.008188333333333334,1121_badges2
0.1970216666666667,1167_pc1_req
0.026111666666666658,11_balance-scale
0.009488333333333345,12_mfeat-factors
0.22866333333333336,1456_appendicitis
0.20471333333333336,1460_banana
0.006648333333333331,1462_banknote-authentication
0.17002166666666665,1464_blood-transfusion-service-center
0.23402333333333333,1465_breast-tissue
0.0040200000000000045,1466_cardiotocography
0.45615000000000006,1467_climate-model-simulation-crashes
0.46628333333333327,1473_fertility
0.11003500000000002,1475_first-order-theorem-proving
0.09256,1479_hill-valley
0.1318133333333333,1484_lsvt
0.10979,1485_madelon
0.1864033333333333,1487_ozone-level-8hr
0.1089833333333333,1488_parkinsons
0.08224000000000001,1489_phoneme
0.4590100000000001,1490_planning-relax
0.06090500000000001,1494_qsar-biodeg
0.048896666666666685,1495_qualitative-bankruptcy
0.05842833333333333,1496_ringnorm
0.04863500000000002,1497_wall-robot-navigation
0.10840833333333334,1498_sa-heart
0.014138333333333338,14_mfeat-fourier
0.03274333333333333,1501_semeion
0.002349999999999998,1504_steel-plates-fault
0.4213916666666666,1506_thoracic-surgery
0.006061666666666665,1507_twonorm
0.03833333333333334,1508_user-knowledge
0.015746666666666676,1510_wdbc
0.035585,1511_wholesale-customers
0.44220666666666664,1512_heart-long-beach
0.08998333333333332,1519_robot-failures-lp4
0.25129999999999997,1520_robot-failures-lp5
0.021931666666666665,1523_vertebra-column
0.06814166666666667,1526_wall-robot-navigation
0.08739166666666669,1527_volcanoes-a1
0.08945333333333333,1528_volcanoes-a2
0.08619999999999998,1529_volcanoes-a3
0.08261166666666667,1530_volcanoes-a4
0.11463999999999998,1535_volcanoes-b5
0.438665,1538_volcanoes-d1
0.39726999999999996,1539_volcanoes-d2
0.173945,1540_volcanoes-d3
0.19281999999999994,1541_volcanoes-d4
0.29396166666666673,1547_autoUniv-au1-1000
0.18584166666666668,1559_breast-tissue
0.11373499999999999,1565_heart-h
0.12261333333333334,1566_hill-valley
0.11170499999999998,1570_wilt
0.10731666666666667,1600_SPECTF
0.027103333333333337,16_mfeat-karhunen
0.010433333333333333,182_satimage
0.021156666666666674,187_wine
0.010270000000000005,18_mfeat-morphological
0.018373333333333335,20_mfeat-pixel
0.04348666666666667,22_mfeat-zernike
0.14943833333333334,23_cmc
0.021124999999999994,28_optdigits
0.050721666666666665,292_Australian
0.012556666666666666,294_satellite_image
0.05393666666666667,30_page-blocks
0.17688499999999996,311_oil_spill
0.013704999999999995,312_scene
0.4451616666666667,316_yeast_ml8
0.14523000000000003,329_hayes-roth
0.13308,333_monks-problems-1
0.3856583333333334,334_monks-problems-2
0.03630500000000001,335_monks-problems-3
0.17574333333333333,336_SPECT
0.0075749999999999975,36_segment
0.022434999999999997,375_JapaneseVowels
0.0064583333333333316,377_synthetic_control
0.11284500000000001,37_diabetes
0.08301666666666667,40474_thyroid-allbp
0.08491500000000005,40475_thyroid-allhyper
0.142875,40496_LED-display-domain-7digit
0.17392333333333332,40733_yeast
0.025006666666666667,40877_seeds
0.05349333333333332,40_sonar
0.24843166666666663,43_haberman
0.02127166666666667,44_spambase
0.2523083333333333,450_analcatdata_lawsuit
0.1574833333333334,4538_GesturePhaseSegmentationProcessed
0.007241666666666674,458_analcatdata_authorship
0.0901383333333333,461_analcatdata_creditscore
0.46307,463_backache
0.05166499999999999,464_prnn_synth
0.3037416666666667,48_tae
0.1317266666666667,53_heart-statlog
0.028998333333333327,54_vehicle
0.06698000000000001,59_ionosphere
0.052836666666666685,60_waveform-5000
0.014571666666666667,61_iris
0.38411333333333336,679_rmftsa_sleepdata
0.050155,694_diggle_table_a2
0.041828333333333335,AedesQuinx
0.01011166666666667,AedesSex
0.014001666666666671,anuranCalls
0.006035000000000008,ArabicDigit
0.008625,BNG
0.25496833333333335,click-prediction
0.10094666666666668,cmc
0.06442833333333335,covtype_reduced
0.1482383333333334,default_credit_card_clients
0.14241499999999999,eeg
0.02763833333333333,HTRU
0.14276333333333333,jm1-processed
0.30296999999999996,letter-recognition
0.09206833333333332,magic
0.05285333333333333,mozilla
0.017103333333333335,namao
0.010956666666666667,occupancy
0.06719166666666669,phoneme
0.03159666666666667,spambase
0.004178333333333332,winetype
