MAE,Dataset
0.13929999999999998,1043_ada_agnostic
0.12358333333333335,1048_jEdit_4
0.16996666666666665,1049_pc4
0.16208333333333333,1050_pc3
0.14589999999999997,1054_mc2
0.21893333333333337,1056_mc1
0.10688333333333336,1061_ar4
0.45838333333333325,1065_kc3
0.046133333333333346,1066_kc1-binary
0.3295,1068_pc1
0.44214999999999993,1069_pc2
0.41937499999999994,1071_mw1
0.12586666666666665,1073_jEdit_4
0.4862,1075_datatrieve
0.21585000000000001,1115_teachingAssistant
2.463307335887066e-17,1121_badges2
0.09120000000000002,1167_pc1_req
0.008266666666666655,11_balance-scale
0.015250000000000003,12_mfeat-factors
0.21345000000000006,1456_appendicitis
0.20831666666666665,1460_banana
0.0035666666666666603,1462_banknote-authentication
0.19552499999999995,1464_blood-transfusion-service-center
0.19743333333333335,1465_breast-tissue
2.463307335887066e-17,1466_cardiotocography
0.21571666666666664,1467_climate-model-simulation-crashes
0.2746166666666667,1473_fertility
0.03635000000000001,1475_first-order-theorem-proving
0.10962499999999997,1479_hill-valley
0.12398333333333336,1484_lsvt
0.06415,1485_madelon
0.11668333333333332,1487_ozone-level-8hr
0.07414999999999997,1488_parkinsons
0.032099999999999976,1489_phoneme
0.39185,1490_planning-relax
0.05168333333333334,1494_qsar-biodeg
0.030250000000000006,1495_qualitative-bankruptcy
0.04662500000000001,1496_ringnorm
0.06448333333333336,1497_wall-robot-navigation
0.11415000000000002,1498_sa-heart
0.01030000000000001,14_mfeat-fourier
0.03240000000000002,1501_semeion
0.0013166666666666565,1504_steel-plates-fault
0.4666250000000002,1506_thoracic-surgery
0.002649999999999993,1507_twonorm
0.12041666666666669,1508_user-knowledge
0.007300000000000022,1510_wdbc
0.029633333333333338,1511_wholesale-customers
0.488525,1512_heart-long-beach
0.021800000000000003,1519_robot-failures-lp4
0.237675,1520_robot-failures-lp5
0.014283333333333328,1523_vertebra-column
0.06378333333333333,1526_wall-robot-navigation
0.034266666666666654,1527_volcanoes-a1
0.021016666666666673,1528_volcanoes-a2
0.16798333333333337,1529_volcanoes-a3
0.044216666666666675,1530_volcanoes-a4
0.20037500000000003,1535_volcanoes-b5
0.263,1538_volcanoes-d1
0.29922499999999996,1539_volcanoes-d2
0.15673333333333334,1540_volcanoes-d3
0.22056666666666666,1541_volcanoes-d4
0.16185000000000002,1547_autoUniv-au1-1000
0.15038333333333334,1559_breast-tissue
0.0970333333333333,1565_heart-h
0.08291666666666667,1566_hill-valley
0.061266666666666636,1570_wilt
0.16253333333333336,1600_SPECTF
0.033750000000000016,16_mfeat-karhunen
0.0056000000000000025,182_satimage
0.02316666666666668,187_wine
0.012150000000000001,18_mfeat-morphological
0.02563333333333334,20_mfeat-pixel
0.03545000000000001,22_mfeat-zernike
0.035124999999999997,23_cmc
0.019866666666666675,28_optdigits
0.04498333333333334,292_Australian
0.012116666666666675,294_satellite_image
0.02908333333333335,30_page-blocks
0.16541666666666666,311_oil_spill
0.00921666666666667,312_scene
0.4817,316_yeast_ml8
0.1607,329_hayes-roth
0.1763,333_monks-problems-1
0.26789999999999997,334_monks-problems-2
0.009383333333333358,335_monks-problems-3
0.18856666666666663,336_SPECT
0.006724999999999983,36_segment
0.018116666666666677,375_JapaneseVowels
2.463307335887066e-17,377_synthetic_control
0.09936666666666664,37_diabetes
0.047233333333333356,40474_thyroid-allbp
0.08468333333333336,40475_thyroid-allhyper
0.09961666666666669,40496_LED-display-domain-7digit
0.11901666666666666,40733_yeast
0.008025,40877_seeds
0.045333333333333316,40_sonar
0.21515,43_haberman
0.00920000000000001,44_spambase
0.28769999999999996,450_analcatdata_lawsuit
0.0534,4538_GesturePhaseSegmentationProcessed
0.00834999999999999,458_analcatdata_authorship
0.07566666666666666,461_analcatdata_creditscore
0.5,463_backache
0.04015000000000002,464_prnn_synth
0.26705000000000007,48_tae
0.1397,53_heart-statlog
0.032399999999999984,54_vehicle
0.07565,59_ionosphere
0.038299999999999994,60_waveform-5000
7.500000000000006e-05,61_iris
0.3729999999999999,679_rmftsa_sleepdata
0.029283333333333307,694_diggle_table_a2
0.01323333333333333,AedesQuinx
0.005116666666666655,AedesSex
0.027700000000000002,anuranCalls
0.0027999999999999835,ArabicDigit
0.008983333333333328,BNG
0.06017499999999998,click-prediction
0.09355000000000001,cmc
0.025033333333333324,covtype_reduced
0.14431666666666665,default_credit_card_clients
0.06634999999999999,eeg
0.06333333333333332,HTRU
0.05665,jm1-processed
0.26811666666666667,letter-recognition
0.06359999999999999,magic
0.018099999999999984,mozilla
0.00621666666666666,namao
0.007975,occupancy
0.026850000000000023,phoneme
0.05725,spambase
0.002333333333333334,winetype
