MAE,Dataset
0.05037500000000001,1043_ada_agnostic
0.4358816666666666,1069_pc2
0.01897166666666666,11_balance-scale
0.007521666666666671,12_mfeat-factors
0.14834166666666665,1460_banana
0.004458333333333326,1462_banknote-authentication
0.0004933333333333352,1466_cardiotocography
0.05083499999999999,1475_first-order-theorem-proving
0.03337333333333333,1479_hill-valley
0.08326166666666665,1485_madelon
0.04227833333333333,1489_phoneme
0.05968,1494_qsar-biodeg
0.04136166666666665,1496_ringnorm
0.035021666666666666,1497_wall-robot-navigation
0.01273333333333334,14_mfeat-fourier
0.0011233333333333312,1504_steel-plates-fault
0.0052516666666666675,1507_twonorm
0.009596666666666672,1510_wdbc
0.03985666666666666,1526_wall-robot-navigation
0.04535166666666668,1527_volcanoes-a1
0.08503499999999999,1535_volcanoes-b5
0.3406816666666666,1538_volcanoes-d1
0.3614083333333333,1539_volcanoes-d2
0.08493833333333335,1540_volcanoes-d3
0.14490833333333336,1541_volcanoes-d4
0.253045,1547_autoUniv-au1-1000
0.1066166666666667,1566_hill-valley
0.10577166666666664,1570_wilt
0.021575000000000004,16_mfeat-karhunen
0.005688333333333335,182_satimage
0.007311666666666679,18_mfeat-morphological
0.016436666666666665,20_mfeat-pixel
0.03943,22_mfeat-zernike
0.05383333333333335,23_cmc
0.018656666666666665,28_optdigits
0.023551666666666658,292_Australian
0.009526666666666666,294_satellite_image
0.03467,30_page-blocks
0.008146666666666661,312_scene
0.068585,333_monks-problems-1
0.3182083333333333,334_monks-problems-2
0.018485000000000012,335_monks-problems-3
0.006123333333333337,36_segment
0.013650000000000004,375_JapaneseVowels
0.06598833333333334,37_diabetes
0.04845333333333333,40474_thyroid-allbp
0.059668333333333344,40475_thyroid-allhyper
0.1055916666666667,40733_yeast
0.017651666666666666,44_spambase
0.07460833333333333,4538_GesturePhaseSegmentationProcessed
0.004560000000000009,458_analcatdata_authorship
0.023598333333333332,54_vehicle
0.022473333333333335,60_waveform-5000
0.28466833333333336,679_rmftsa_sleepdata
0.02293166666666667,AedesQuinx
0.006433333333333339,AedesSex
0.011796666666666676,anuranCalls
0.0038333333333333366,ArabicDigit
0.006353333333333334,BNG
0.20921333333333336,click-prediction
0.04998999999999999,cmc
0.038621666666666665,covtype_reduced
0.07339166666666667,default_credit_card_clients
0.09062166666666666,eeg
0.017404999999999997,HTRU
0.08084166666666667,jm1-processed
0.17247166666666666,letter-recognition
0.03117166666666666,magic
0.034871666666666655,mozilla
0.009524999999999997,namao
0.004738333333333336,occupancy
0.04775333333333334,phoneme
0.018456666666666666,spambase
0.0031349999999999963,winetype
