MAE,Dataset
0.03650812497457799,1043_ada_agnostic
0.11874538238842383,1048_jEdit_4
0.05996364922774951,1049_pc4
0.35274875472631323,1050_pc3
0.09902226564120732,1054_mc2
0.18656215869879283,1056_mc1
0.32539762126731586,1061_ar4
0.23993097836521837,1065_kc3
0.030255023515416514,1066_kc1-binary
0.2937966625770812,1068_pc1
0.39366196539329257,1069_pc2
0.08598764187364145,1071_mw1
0.173332819173565,1073_jEdit_4
0.4352365485575084,1075_datatrieve
0.12447139955362349,1115_teachingAssistant
0.004702922289601167,1121_badges2
0.23277107012582854,1167_pc1_req
0.026287841954630194,11_balance-scale
0.010835796695593678,12_mfeat-factors
0.08517789753258911,1456_appendicitis
0.15379100831378317,1460_banana
0.00768930567967397,1462_banknote-authentication
0.20625069424201287,1464_blood-transfusion-service-center
0.16264735396770297,1465_breast-tissue
0.0033813359390391902,1466_cardiotocography
0.1716799209137992,1467_climate-model-simulation-crashes
0.2645204366637587,1473_fertility
0.035564759729866835,1475_first-order-theorem-proving
0.05532094393474033,1479_hill-valley
0.04323350790835579,1484_lsvt
0.06383601047516087,1485_madelon
0.12666781443931874,1487_ozone-level-8hr
0.013501448558828118,1488_parkinsons
0.039544059425534274,1489_phoneme
0.3070324417079896,1490_planning-relax
0.03713039962185301,1494_qsar-biodeg
0.025199618348501318,1495_qualitative-bankruptcy
0.06742603164803092,1496_ringnorm
0.02258577237056953,1497_wall-robot-navigation
0.03869605603321867,1498_sa-heart
0.014442273342949393,14_mfeat-fourier
0.010074442019438237,1501_semeion
0.0010924625602184838,1504_steel-plates-fault
0.2959025560944902,1506_thoracic-surgery
0.0049199292118990165,1507_twonorm
0.07336334363485714,1508_user-knowledge
0.005351222430255065,1510_wdbc
0.024192042101726798,1511_wholesale-customers
0.44322841620147846,1512_heart-long-beach
0.1318173239701043,1519_robot-failures-lp4
0.16980134882480596,1520_robot-failures-lp5
0.00571072270813386,1523_vertebra-column
0.026865442854558014,1526_wall-robot-navigation
0.042379858974136646,1527_volcanoes-a1
0.0893553851599287,1528_volcanoes-a2
0.09455421699995244,1529_volcanoes-a3
0.026968071266383592,1530_volcanoes-a4
0.09287235793837031,1535_volcanoes-b5
0.2860566504910298,1538_volcanoes-d1
0.5,1539_volcanoes-d2
0.11946870503484897,1540_volcanoes-d3
0.0992608082513842,1541_volcanoes-d4
0.15756589545559707,1547_autoUniv-au1-1000
0.18930416779229184,1559_breast-tissue
0.06633006777049627,1565_heart-h
0.09189358260677476,1566_hill-valley
0.060901500768570684,1570_wilt
0.03556133652288198,1600_SPECTF
0.020668188598193415,16_mfeat-karhunen
0.00667286220484189,182_satimage
0.030942685256973818,187_wine
0.010430579302457095,18_mfeat-morphological
0.020432916868078632,20_mfeat-pixel
0.037881748825901895,22_mfeat-zernike
0.04157832045502123,23_cmc
0.014648051982363094,28_optdigits
0.024468698978448646,292_Australian
0.011816350507909298,294_satellite_image
0.02674743845807188,30_page-blocks
0.14753649307349376,311_oil_spill
0.0066602917778166085,312_scene
0.34688874923802643,316_yeast_ml8
0.0648548448333633,329_hayes-roth
0.11462347175925754,333_monks-problems-1
0.2802375541793413,334_monks-problems-2
0.024075986641060643,335_monks-problems-3
0.14107318805871358,336_SPECT
0.007141300073891327,36_segment
0.006614873180878433,375_JapaneseVowels
0.0030564710911757252,377_synthetic_control
0.0622743472760422,37_diabetes
0.036043436398260485,40474_thyroid-allbp
0.05706500683193272,40475_thyroid-allhyper
0.1374427346269279,40496_LED-display-domain-7digit
0.0613989352631283,40733_yeast
0.011146239658040496,40877_seeds
0.030960874067571493,40_sonar
0.1833018108057522,43_haberman
0.006989677134417241,44_spambase
0.23439523772723697,450_analcatdata_lawsuit
0.042707289387025206,4538_GesturePhaseSegmentationProcessed
0.004178590340438379,458_analcatdata_authorship
0.05633961009886943,461_analcatdata_creditscore
0.43244201580030267,463_backache
0.03639450062409301,464_prnn_synth
0.2936452188269576,48_tae
0.15767006627569005,53_heart-statlog
0.0187080566194936,54_vehicle
0.04725673125287119,59_ionosphere
0.014441569183740496,60_waveform-5000
0.01447684422395698,61_iris
0.16128230602244029,679_rmftsa_sleepdata
0.021145668245160544,694_diggle_table_a2
0.024858784125826944,AedesQuinx
0.005053454271190935,AedesSex
0.010021821494223765,anuranCalls
0.005228900985842116,ArabicDigit
0.004542437328050136,BNG
0.10829454975487773,click-prediction
0.047305920908450344,cmc
0.11004136648328822,covtype_reduced
0.07274099344191934,default_credit_card_clients
0.1094370902606316,eeg
0.0355303956540492,HTRU
0.0723830298764925,jm1-processed
0.1682528934039859,letter-recognition
0.027129150213930742,magic
0.026719696105941382,mozilla
0.024622175388892106,namao
0.0033455041095475204,occupancy
0.05175328718749348,phoneme
0.008986093776202787,spambase
0.0023628738676471058,winetype
