MAE,Dataset
0.09570000000000001,1043_ada_agnostic.csv
0.15245,1048_jEdit_4.csv
0.20850000000000002,1049_pc4.csv
0.24285,1050_pc3.csv
0.17855000000000001,1054_mc2.csv
0.31605,1056_mc1.csv
0.47275,1061_ar4.csv
0.309,1065_kc3.csv
0.15635,1066_kc1-binary.csv
0.263,1068_pc1.csv
0.43215000000000003,1069_pc2.csv
0.45155,1071_mw1.csv
0.1843,1073_jEdit_4.csv
0.47240000000000004,1075_datatrieve.csv
0.307,1115_teachingAssistant.csv
0.0,1121_badges2.csv
0.2003,1167_pc1_req.csv
0.02915,11_balance-scale.csv
0.0149,12_mfeat-factors.csv
0.36719999999999997,1456_appendicitis.csv
0.0654,1460_banana.csv
0.00845,1462_banknote-authentication.csv
0.2327,1464_blood-transfusion-service-center.csv
0.36210000000000003,1465_breast-tissue.csv
0.01665,1466_cardiotocography.csv
0.317,1467_climate-model-simulation-crashes.csv
0.5,1473_fertility.csv
0.086,1475_first-order-theorem-proving.csv
0.048600000000000004,1479_hill-valley.csv
0.08395,1484_lsvt.csv
0.1579,1485_madelon.csv
0.18760000000000002,1487_ozone-level-8hr.csv
0.17495000000000002,1488_parkinsons.csv
0.06165,1489_phoneme.csv
0.5,1490_planning-relax.csv
0.0356,1494_qsar-biodeg.csv
0.0736,1495_qualitative-bankruptcy.csv
0.06875,1496_ringnorm.csv
0.055600000000000004,1497_wall-robot-navigation.csv
0.0852,1498_sa-heart.csv
0.0231,14_mfeat-fourier.csv
0.052250000000000005,1501_semeion.csv
0.008150000000000001,1504_steel-plates-fault.csv
0.281,1506_thoracic-surgery.csv
0.0083,1507_twonorm.csv
0.035,1508_user-knowledge.csv
0.012,1510_wdbc.csv
0.02675,1511_wholesale-customers.csv
0.48200000000000004,1512_heart-long-beach.csv
0.059050000000000005,1519_robot-failures-lp4.csv
0.4188,1520_robot-failures-lp5.csv
0.0124,1523_vertebra-column.csv
0.05785,1526_wall-robot-navigation.csv
0.0694,1527_volcanoes-a1.csv
0.2005,1528_volcanoes-a2.csv
0.15835000000000002,1529_volcanoes-a3.csv
0.18265,1530_volcanoes-a4.csv
0.21065,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.11085,1540_volcanoes-d3.csv
0.17184999999999997,1541_volcanoes-d4.csv
0.276,1547_autoUniv-au1-1000.csv
0.19235,1559_breast-tissue.csv
0.16715,1565_heart-h.csv
0.09179999999999999,1566_hill-valley.csv
0.1195,1570_wilt.csv
0.21075,1600_SPECTF.csv
0.04545,16_mfeat-karhunen.csv
0.014199999999999999,182_satimage.csv
0.0364,187_wine.csv
0.015700000000000002,18_mfeat-morphological.csv
0.0177,20_mfeat-pixel.csv
0.05525,22_mfeat-zernike.csv
0.1659,23_cmc.csv
0.0416,28_optdigits.csv
0.02895,292_Australian.csv
0.01295,294_satellite_image.csv
0.05465,30_page-blocks.csv
0.25129999999999997,311_oil_spill.csv
0.01315,312_scene.csv
0.337,316_yeast_ml8.csv
0.0716,329_hayes-roth.csv
0.07185000000000001,333_monks-problems-1.csv
0.5,334_monks-problems-2.csv
0.014950000000000001,335_monks-problems-3.csv
0.2585,336_SPECT.csv
0.015600000000000001,36_segment.csv
0.0346,375_JapaneseVowels.csv
0.02265,377_synthetic_control.csv
0.06935000000000001,37_diabetes.csv
0.054450000000000005,40474_thyroid-allbp.csv
0.0613,40475_thyroid-allhyper.csv
0.30835,40496_LED-display-domain-7digit.csv
0.1164,40733_yeast.csv
0.0325,40877_seeds.csv
0.07145,40_sonar.csv
0.3371,43_haberman.csv
0.024249999999999997,44_spambase.csv
0.34875,450_analcatdata_lawsuit.csv
0.1588,4538_GesturePhaseSegmentationProcessed.csv
0.01485,458_analcatdata_authorship.csv
0.1346,461_analcatdata_creditscore.csv
0.48200000000000004,463_backache.csv
0.029750000000000002,464_prnn_synth.csv
0.30774999999999997,48_tae.csv
0.20725000000000002,53_heart-statlog.csv
0.01885,54_vehicle.csv
0.09595000000000001,59_ionosphere.csv
0.0365,60_waveform-5000.csv
0.0,61_iris.csv
0.5,679_rmftsa_sleepdata.csv
0.0643,694_diggle_table_a2.csv
0.051100000000000007,AedesQuinx.csv
0.01365,AedesSex.csv
0.0062,anuranCalls.csv
0.010700000000000001,ArabicDigit.csv
0.0352,BNG.csv
0.01845,click-prediction.csv
0.128,cmc.csv
0.17065000000000002,covtype_reduced.csv
0.0664,default_credit_card_clients.csv
0.1361,eeg.csv
0.14425000000000002,HTRU.csv
0.1496,jm1-processed.csv
0.09494999999999999,letter-recognition.csv
0.08355,magic.csv
0.04305,mozilla.csv
0.02205,namao.csv
0.01655,occupancy.csv
0.07605,phoneme.csv
0.025,spambase.csv
0.00615,winetype.csv
