MAE,Dataset
0.060149999999999995,1043_ada_agnostic.csv
0.20010000000000003,1048_jEdit_4.csv
0.051100000000000007,1049_pc4.csv
0.2872,1050_pc3.csv
0.1384,1054_mc2.csv
0.06735000000000001,1056_mc1.csv
0.15035,1061_ar4.csv
0.5,1065_kc3.csv
0.06245,1066_kc1-binary.csv
0.5,1068_pc1.csv
0.13140000000000002,1069_pc2.csv
0.05815000000000001,1071_mw1.csv
0.19795000000000001,1073_jEdit_4.csv
0.0661,1075_datatrieve.csv
0.11245000000000001,1115_teachingAssistant.csv
0.0,1121_badges2.csv
0.19435,1167_pc1_req.csv
0.01905,11_balance-scale.csv
0.0068000000000000005,12_mfeat-factors.csv
0.13685,1456_appendicitis.csv
0.17170000000000002,1460_banana.csv
0.0083,1462_banknote-authentication.csv
0.09494999999999999,1464_blood-transfusion-service-center.csv
0.18945,1465_breast-tissue.csv
0.0,1466_cardiotocography.csv
0.5,1467_climate-model-simulation-crashes.csv
0.5,1473_fertility.csv
0.0942,1475_first-order-theorem-proving.csv
0.09945,1479_hill-valley.csv
0.1637,1484_lsvt.csv
0.1593,1485_madelon.csv
0.059699999999999996,1487_ozone-level-8hr.csv
0.09065,1488_parkinsons.csv
0.066,1489_phoneme.csv
0.5,1490_planning-relax.csv
0.06480000000000001,1494_qsar-biodeg.csv
0.0361,1495_qualitative-bankruptcy.csv
0.0518,1496_ringnorm.csv
0.06185,1497_wall-robot-navigation.csv
0.09985,1498_sa-heart.csv
0.0007000000000000001,14_mfeat-fourier.csv
0.0228,1501_semeion.csv
0.00395,1504_steel-plates-fault.csv
0.5,1506_thoracic-surgery.csv
0.01085,1507_twonorm.csv
0.028650000000000002,1508_user-knowledge.csv
0.014750000000000001,1510_wdbc.csv
0.0455,1511_wholesale-customers.csv
0.5,1512_heart-long-beach.csv
0.0575,1519_robot-failures-lp4.csv
0.1764,1520_robot-failures-lp5.csv
0.03625,1523_vertebra-column.csv
0.0743,1526_wall-robot-navigation.csv
0.0471,1527_volcanoes-a1.csv
0.049,1528_volcanoes-a2.csv
0.058899999999999994,1529_volcanoes-a3.csv
0.04365,1530_volcanoes-a4.csv
0.04125,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.0605,1540_volcanoes-d3.csv
0.08045,1541_volcanoes-d4.csv
0.3281,1547_autoUniv-au1-1000.csv
0.28675,1559_breast-tissue.csv
0.05715,1565_heart-h.csv
0.12895,1566_hill-valley.csv
0.0437,1570_wilt.csv
0.08425,1600_SPECTF.csv
0.017650000000000002,16_mfeat-karhunen.csv
0.011699999999999999,182_satimage.csv
0.030100000000000002,187_wine.csv
0.00695,18_mfeat-morphological.csv
0.01615,20_mfeat-pixel.csv
0.03685,22_mfeat-zernike.csv
0.10975,23_cmc.csv
0.01705,28_optdigits.csv
0.03105,292_Australian.csv
0.01385,294_satellite_image.csv
0.0313,30_page-blocks.csv
0.04135,311_oil_spill.csv
0.01255,312_scene.csv
0.5,316_yeast_ml8.csv
0.09255000000000001,329_hayes-roth.csv
0.09135,333_monks-problems-1.csv
0.5,334_monks-problems-2.csv
0.014750000000000001,335_monks-problems-3.csv
0.1157,336_SPECT.csv
0.0095,36_segment.csv
0.01695,375_JapaneseVowels.csv
0.0,377_synthetic_control.csv
0.0915,37_diabetes.csv
0.0713,40474_thyroid-allbp.csv
0.07780000000000001,40475_thyroid-allhyper.csv
0.1273,40496_LED-display-domain-7digit.csv
0.09625,40733_yeast.csv
0.03465,40877_seeds.csv
0.0635,40_sonar.csv
0.16405,43_haberman.csv
0.025,44_spambase.csv
0.256,450_analcatdata_lawsuit.csv
0.12365,4538_GesturePhaseSegmentationProcessed.csv
0.0027500000000000003,458_analcatdata_authorship.csv
0.02875,461_analcatdata_creditscore.csv
0.5,463_backache.csv
0.058100000000000006,464_prnn_synth.csv
0.3069,48_tae.csv
0.1051,53_heart-statlog.csv
0.028149999999999998,54_vehicle.csv
0.0656,59_ionosphere.csv
0.03085,60_waveform-5000.csv
0.0,61_iris.csv
0.5,679_rmftsa_sleepdata.csv
0.015150000000000002,694_diggle_table_a2.csv
0.04875,AedesQuinx.csv
0.01145,AedesSex.csv
0.00875,anuranCalls.csv
0.01145,ArabicDigit.csv
0.01925,BNG.csv
0.01965,click-prediction.csv
0.14565,cmc.csv
0.10619999999999999,covtype_reduced.csv
0.0696,default_credit_card_clients.csv
0.08165000000000001,eeg.csv
0.22215,HTRU.csv
0.11359999999999999,jm1-processed.csv
0.10975,letter-recognition.csv
0.0591,magic.csv
0.0432,mozilla.csv
0.0197,namao.csv
0.008,occupancy.csv
0.06355000000000001,phoneme.csv
0.025150000000000002,spambase.csv
0.0054,winetype.csv
