MAE,Dataset
0.06924999999999999,1043_ada_agnostic.csv
0.3433,1069_pc2.csv
0.06105000000000001,11_balance-scale.csv
0.0291,12_mfeat-factors.csv
0.5,1460_banana.csv
0.0165,1462_banknote-authentication.csv
0.003,1466_cardiotocography.csv
0.1727,1475_first-order-theorem-proving.csv
0.4239,1479_hill-valley.csv
0.19690000000000002,1485_madelon.csv
0.12925,1489_phoneme.csv
0.0802,1494_qsar-biodeg.csv
0.1509,1496_ringnorm.csv
0.11689999999999999,1497_wall-robot-navigation.csv
0.036750000000000005,14_mfeat-fourier.csv
0.0029,1504_steel-plates-fault.csv
0.011200000000000002,1507_twonorm.csv
0.0245,1510_wdbc.csv
0.1422,1526_wall-robot-navigation.csv
0.0528,1527_volcanoes-a1.csv
0.06105000000000001,1535_volcanoes-b5.csv
0.3969,1538_volcanoes-d1.csv
0.37075,1539_volcanoes-d2.csv
0.5,1540_volcanoes-d3.csv
0.3795,1541_volcanoes-d4.csv
0.29795,1547_autoUniv-au1-1000.csv
0.2181,1566_hill-valley.csv
0.1483,1570_wilt.csv
0.04095,16_mfeat-karhunen.csv
0.011500000000000002,182_satimage.csv
0.0302,18_mfeat-morphological.csv
0.044950000000000004,20_mfeat-pixel.csv
0.057,22_mfeat-zernike.csv
0.35105,23_cmc.csv
0.0194,28_optdigits.csv
0.11855,292_Australian.csv
0.0173,294_satellite_image.csv
0.06335,30_page-blocks.csv
0.02035,312_scene.csv
0.24125,333_monks-problems-1.csv
0.28825,334_monks-problems-2.csv
0.0788,335_monks-problems-3.csv
0.015700000000000002,36_segment.csv
0.021150000000000002,375_JapaneseVowels.csv
0.1822,37_diabetes.csv
0.1255,40474_thyroid-allbp.csv
0.12990000000000002,40475_thyroid-allhyper.csv
0.48515,40733_yeast.csv
0.0907,44_spambase.csv
0.5,4538_GesturePhaseSegmentationProcessed.csv
0.0196,458_analcatdata_authorship.csv
0.029300000000000003,54_vehicle.csv
0.15535,60_waveform-5000.csv
0.26285000000000003,679_rmftsa_sleepdata.csv
0.09154999999999999,AedesQuinx.csv
0.020950000000000003,AedesSex.csv
0.012450000000000001,anuranCalls.csv
0.0182,ArabicDigit.csv
0.0236,BNG.csv
0.026949999999999998,click-prediction.csv
0.35479999999999995,cmc.csv
0.34635,covtype_reduced.csv
0.1103,default_credit_card_clients.csv
0.43905,eeg.csv
0.5,HTRU.csv
0.5,jm1-processed.csv
0.3243,letter-recognition.csv
0.128,magic.csv
0.1323,mozilla.csv
0.0264,namao.csv
0.027450000000000002,occupancy.csv
0.1285,phoneme.csv
0.0879,spambase.csv
0.0074,winetype.csv
