MAE,Dataset
0.2022,1043_ada_agnostic.csv
0.4905,1069_pc2.csv
0.06305,11_balance-scale.csv
0.03345,12_mfeat-factors.csv
0.26495,1460_banana.csv
0.02035,1462_banknote-authentication.csv
0.003,1466_cardiotocography.csv
0.21675,1475_first-order-theorem-proving.csv
0.20149999999999998,1479_hill-valley.csv
0.25105,1485_madelon.csv
0.23125,1489_phoneme.csv
0.14595,1494_qsar-biodeg.csv
0.1834,1496_ringnorm.csv
0.1875,1497_wall-robot-navigation.csv
0.036750000000000005,14_mfeat-fourier.csv
0.0029,1504_steel-plates-fault.csv
0.01955,1507_twonorm.csv
0.0348,1510_wdbc.csv
0.22094999999999998,1526_wall-robot-navigation.csv
0.20085,1527_volcanoes-a1.csv
0.32420000000000004,1535_volcanoes-b5.csv
0.3969,1538_volcanoes-d1.csv
0.37075,1539_volcanoes-d2.csv
0.3775,1540_volcanoes-d3.csv
0.3909,1541_volcanoes-d4.csv
0.29795,1547_autoUniv-au1-1000.csv
0.21170000000000003,1566_hill-valley.csv
0.39130000000000004,1570_wilt.csv
0.05895,16_mfeat-karhunen.csv
0.02145,182_satimage.csv
0.03495,18_mfeat-morphological.csv
0.04935,20_mfeat-pixel.csv
0.06155,22_mfeat-zernike.csv
0.23295000000000002,23_cmc.csv
0.055,28_optdigits.csv
0.1235,292_Australian.csv
0.02495,294_satellite_image.csv
0.15755,30_page-blocks.csv
0.04445,312_scene.csv
0.22675,333_monks-problems-1.csv
0.28825,334_monks-problems-2.csv
0.09015000000000001,335_monks-problems-3.csv
0.019450000000000002,36_segment.csv
0.06905,375_JapaneseVowels.csv
0.19820000000000002,37_diabetes.csv
0.19115,40474_thyroid-allbp.csv
0.1948,40475_thyroid-allhyper.csv
0.25984999999999997,40733_yeast.csv
0.12135,44_spambase.csv
0.27085000000000004,4538_GesturePhaseSegmentationProcessed.csv
0.0196,458_analcatdata_authorship.csv
0.0508,54_vehicle.csv
0.12765,60_waveform-5000.csv
0.26285000000000003,679_rmftsa_sleepdata.csv
0.14785,AedesQuinx.csv
0.02705,AedesSex.csv
0.01665,anuranCalls.csv
0.02315,ArabicDigit.csv
0.09390000000000001,BNG.csv
0.05195,click-prediction.csv
0.35479999999999995,cmc.csv
0.23235,covtype_reduced.csv
0.18015,default_credit_card_clients.csv
0.2901,eeg.csv
0.25525,HTRU.csv
0.315,jm1-processed.csv
0.3243,letter-recognition.csv
0.1844,magic.csv
0.17800000000000002,mozilla.csv
0.05775,namao.csv
0.0258,occupancy.csv
0.23115,phoneme.csv
0.11904999999999999,spambase.csv
0.010549999999999999,winetype.csv
