MAE,Dataset
0.0507,1043_ada_agnostic.csv
0.40909999999999996,1069_pc2.csv
0.038599999999999995,11_balance-scale.csv
0.0067,12_mfeat-factors.csv
0.36835,1460_banana.csv
0.00645,1462_banknote-authentication.csv
0.02275,1466_cardiotocography.csv
0.07755,1475_first-order-theorem-proving.csv
0.0599,1479_hill-valley.csv
0.14265,1485_madelon.csv
0.0582,1489_phoneme.csv
0.054000000000000006,1494_qsar-biodeg.csv
0.05835,1496_ringnorm.csv
0.049550000000000004,1497_wall-robot-navigation.csv
0.0161,14_mfeat-fourier.csv
0.003,1504_steel-plates-fault.csv
0.009250000000000001,1507_twonorm.csv
0.0175,1510_wdbc.csv
0.0733,1526_wall-robot-navigation.csv
0.04975,1527_volcanoes-a1.csv
0.0774,1535_volcanoes-b5.csv
0.06995,1538_volcanoes-d1.csv
0.13175,1539_volcanoes-d2.csv
0.0682,1540_volcanoes-d3.csv
0.11074999999999999,1541_volcanoes-d4.csv
0.19875,1547_autoUniv-au1-1000.csv
0.09480000000000001,1566_hill-valley.csv
0.0391,1570_wilt.csv
0.019450000000000002,16_mfeat-karhunen.csv
0.0116,182_satimage.csv
0.0114,18_mfeat-morphological.csv
0.0151,20_mfeat-pixel.csv
0.039599999999999996,22_mfeat-zernike.csv
0.0902,23_cmc.csv
0.0171,28_optdigits.csv
0.04545,292_Australian.csv
0.0121,294_satellite_image.csv
0.063,30_page-blocks.csv
0.0141,312_scene.csv
0.08545,333_monks-problems-1.csv
0.44155,334_monks-problems-2.csv
0.056749999999999995,335_monks-problems-3.csv
0.006500000000000001,36_segment.csv
0.019000000000000003,375_JapaneseVowels.csv
0.07675,37_diabetes.csv
0.0546,40474_thyroid-allbp.csv
0.06375,40475_thyroid-allhyper.csv
0.1117,40733_yeast.csv
0.022099999999999998,44_spambase.csv
0.09519999999999999,4538_GesturePhaseSegmentationProcessed.csv
0.00715,458_analcatdata_authorship.csv
0.0331,54_vehicle.csv
0.033549999999999996,60_waveform-5000.csv
0.18460000000000001,679_rmftsa_sleepdata.csv
0.0404,AedesQuinx.csv
0.01165,AedesSex.csv
0.00735,anuranCalls.csv
0.00955,ArabicDigit.csv
0.0228,BNG.csv
0.0175,click-prediction.csv
0.1362,cmc.csv
0.0777,covtype_reduced.csv
0.05465,default_credit_card_clients.csv
0.0809,eeg.csv
0.15835000000000002,HTRU.csv
0.1118,jm1-processed.csv
0.1074,letter-recognition.csv
0.05,magic.csv
0.042199999999999994,mozilla.csv
0.0188,namao.csv
0.0079,occupancy.csv
0.06305000000000001,phoneme.csv
0.02305,spambase.csv
0.006,winetype.csv
