MAE,Dataset
0.036766666666666656,1043_ada_agnostic
0.06860000000000002,1048_jEdit_4
0.022016666666666657,1049_pc4
0.17143333333333333,1050_pc3
0.03289999999999997,1054_mc2
0.13679999999999998,1056_mc1
0.23993333333333328,1061_ar4
0.11073333333333332,1065_kc3
0.022149999999999996,1066_kc1-binary
0.20964999999999998,1068_pc1
0.4568999999999999,1069_pc2
0.21139999999999995,1071_mw1
0.10755,1073_jEdit_4
0.4401666666666667,1075_datatrieve
0.20375000000000001,1115_teachingAssistant
0.008716666666666662,1121_badges2
0.1159166666666667,1167_pc1_req
0.02610000000000002,11_balance-scale
0.00441666666666668,12_mfeat-factors
0.20655,1456_appendicitis
0.1373666666666667,1460_banana
0.003533333333333326,1462_banknote-authentication
0.027416666666666673,1464_blood-transfusion-service-center
0.030950000000000016,1465_breast-tissue
0.007549999999999989,1466_cardiotocography
0.2111333333333333,1467_climate-model-simulation-crashes
0.2702333333333334,1473_fertility
0.03476666666666668,1475_first-order-theorem-proving
0.02038333333333334,1479_hill-valley
0.1199166666666667,1484_lsvt
0.05926666666666665,1485_madelon
0.07141666666666666,1487_ozone-level-8hr
0.021099999999999973,1488_parkinsons
0.02156666666666667,1489_phoneme
0.4346166666666667,1490_planning-relax
0.049500000000000016,1494_qsar-biodeg
0.028216666666666675,1495_qualitative-bankruptcy
0.023466666666666657,1496_ringnorm
0.018566666666666676,1497_wall-robot-navigation
0.03951666666666669,1498_sa-heart
0.012166666666666695,14_mfeat-fourier
0.033499999999999995,1501_semeion
0.000933333333333336,1504_steel-plates-fault
0.2828166666666667,1506_thoracic-surgery
0.002599999999999999,1507_twonorm
0.019066666666666687,1508_user-knowledge
0.010916666666666665,1510_wdbc
0.021733333333333337,1511_wholesale-customers
0.4605666666666666,1512_heart-long-beach
0.06808333333333334,1519_robot-failures-lp4
0.2153,1520_robot-failures-lp5
0.013016666666666676,1523_vertebra-column
0.02806666666666664,1526_wall-robot-navigation
0.036850000000000015,1527_volcanoes-a1
0.01741666666666666,1528_volcanoes-a2
0.03549999999999998,1529_volcanoes-a3
0.023016666666666658,1530_volcanoes-a4
0.07023333333333333,1535_volcanoes-b5
0.17063333333333333,1538_volcanoes-d1
0.24206666666666665,1539_volcanoes-d2
0.026383333333333352,1540_volcanoes-d3
0.0879,1541_volcanoes-d4
0.25151666666666667,1547_autoUniv-au1-1000
0.08738333333333334,1559_breast-tissue
0.07251666666666665,1565_heart-h
0.08365,1566_hill-valley
0.03251666666666667,1570_wilt
0.05169999999999999,1600_SPECTF
0.018900000000000017,16_mfeat-karhunen
0.004483333333333342,182_satimage
0.014733333333333334,187_wine
0.002649999999999997,18_mfeat-morphological
0.012950000000000008,20_mfeat-pixel
0.041166666666666664,22_mfeat-zernike
0.03245,23_cmc
0.012516666666666666,28_optdigits
0.02194999999999998,292_Australian
0.006583333333333346,294_satellite_image
0.04291666666666667,30_page-blocks
0.08935,311_oil_spill
0.0071333333333333275,312_scene
0.05211666666666666,316_yeast_ml8
0.05258333333333333,329_hayes-roth
0.03776666666666668,333_monks-problems-1
0.28941666666666666,334_monks-problems-2
0.022749999999999986,335_monks-problems-3
0.13675,336_SPECT
0.0020833333333333415,36_segment
0.00696666666666669,375_JapaneseVowels
0.0076666666666666775,377_synthetic_control
0.05279999999999999,37_diabetes
0.02256666666666665,40474_thyroid-allbp
0.03348333333333333,40475_thyroid-allhyper
0.10053333333333334,40496_LED-display-domain-7digit
0.06623333333333334,40733_yeast
0.013499999999999993,40877_seeds
0.04104999999999999,40_sonar
0.09569999999999998,43_haberman
0.008750000000000008,44_spambase
0.18211666666666665,450_analcatdata_lawsuit
0.041233333333333344,4538_GesturePhaseSegmentationProcessed
0.005166666666666668,458_analcatdata_authorship
0.047266666666666665,461_analcatdata_creditscore
0.2889333333333334,463_backache
0.024333333333333318,464_prnn_synth
0.3180666666666667,48_tae
0.13714999999999997,53_heart-statlog
0.02531666666666666,54_vehicle
0.04845,59_ionosphere
0.011483333333333321,60_waveform-5000
0.013099999999999983,61_iris
0.20451666666666668,679_rmftsa_sleepdata
0.013516666666666666,694_diggle_table_a2
0.013166666666666665,AedesQuinx
0.0049333333333333226,AedesSex
0.0060833333333333555,anuranCalls
0.0027000000000000053,ArabicDigit
0.0048499999999999915,BNG
0.05553333333333332,click-prediction
0.03403333333333335,cmc
0.019700000000000002,covtype_reduced
0.03841666666666668,default_credit_card_clients
0.06431666666666665,eeg
0.009283333333333338,HTRU
0.05655000000000001,jm1-processed
0.19180000000000003,letter-recognition
0.019450000000000002,magic
0.017583333333333333,mozilla
0.006349999999999997,namao
0.002283333333333339,occupancy
0.023133333333333343,phoneme
0.008166666666666673,spambase
0.002883333333333327,winetype
