MAE,Dataset
0.03430000000000001,1043_ada_agnostic
0.060150000000000016,1048_jEdit_4
0.015599999999999998,1049_pc4
0.05125,1050_pc3
0.03384999999999999,1054_mc2
0.12664999999999998,1056_mc1
0.16115,1061_ar4
0.03985,1065_kc3
0.026499999999999996,1066_kc1-binary
0.21865,1068_pc1
0.47509999999999997,1069_pc2
0.17214999999999997,1071_mw1
0.11175000000000002,1073_jEdit_4
0.4474,1075_datatrieve
0.18395,1115_teachingAssistant
0.0,1121_badges2
0.11975000000000002,1167_pc1_req
0.022400000000000007,11_balance-scale
0.003700000000000017,12_mfeat-factors
0.17865000000000003,1456_appendicitis
0.12505000000000002,1460_banana
0.003499999999999992,1462_banknote-authentication
0.028949999999999983,1464_blood-transfusion-service-center
0.035449999999999995,1465_breast-tissue
0.0,1466_cardiotocography
0.29650000000000004,1467_climate-model-simulation-crashes
0.3577,1473_fertility
0.03650000000000002,1475_first-order-theorem-proving
0.020950000000000003,1479_hill-valley
0.12405,1484_lsvt
0.06254999999999998,1485_madelon
0.06414999999999997,1487_ozone-level-8hr
0.01794999999999998,1488_parkinsons
0.021800000000000007,1489_phoneme
0.5,1490_planning-relax
0.0518,1494_qsar-biodeg
0.032450000000000014,1495_qualitative-bankruptcy
0.022499999999999992,1496_ringnorm
0.018850000000000006,1497_wall-robot-navigation
0.03975000000000001,1498_sa-heart
0.012350000000000017,14_mfeat-fourier
0.040100000000000004,1501_semeion
0.00030000000000000024,1504_steel-plates-fault
0.281,1506_thoracic-surgery
0.002749999999999998,1507_twonorm
0.011299999999999987,1508_user-knowledge
0.01260000000000001,1510_wdbc
0.022300000000000004,1511_wholesale-customers
0.47245,1512_heart-long-beach
0.06835,1519_robot-failures-lp4
0.21215,1520_robot-failures-lp5
0.0153,1523_vertebra-column
0.032649999999999985,1526_wall-robot-navigation
0.04395000000000001,1527_volcanoes-a1
0.0187,1528_volcanoes-a2
0.02455000000000001,1529_volcanoes-a3
0.02745000000000001,1530_volcanoes-a4
0.06729999999999998,1535_volcanoes-b5
0.02705,1538_volcanoes-d1
0.12775000000000003,1539_volcanoes-d2
0.027200000000000002,1540_volcanoes-d3
0.08560000000000001,1541_volcanoes-d4
0.18535000000000004,1547_autoUniv-au1-1000
0.08,1559_breast-tissue
0.06725,1565_heart-h
0.07420000000000002,1566_hill-valley
0.02959999999999998,1570_wilt
0.06925,1600_SPECTF
0.018050000000000007,16_mfeat-karhunen
0.004950000000000007,182_satimage
0.012200000000000008,187_wine
0.0025000000000000105,18_mfeat-morphological
0.01305,20_mfeat-pixel
0.03875000000000001,22_mfeat-zernike
0.02874999999999999,23_cmc
0.010649999999999996,28_optdigits
0.019849999999999986,292_Australian
0.006749999999999992,294_satellite_image
0.05305000000000001,30_page-blocks
0.1399,311_oil_spill
0.008099999999999987,312_scene
0.09255000000000002,316_yeast_ml8
0.07655000000000002,329_hayes-roth
0.03535000000000003,333_monks-problems-1
0.31465,334_monks-problems-2
0.012299999999999997,335_monks-problems-3
0.12190000000000001,336_SPECT
0.0023999999999999924,36_segment
0.008850000000000004,375_JapaneseVowels
0.003299999999999982,377_synthetic_control
0.05465,37_diabetes
0.023100000000000013,40474_thyroid-allbp
0.03490000000000003,40475_thyroid-allhyper
0.0739,40496_LED-display-domain-7digit
0.06360000000000002,40733_yeast
0.019849999999999996,40877_seeds
0.041249999999999995,40_sonar
0.10425,43_haberman
0.00885,44_spambase
0.16294999999999998,450_analcatdata_lawsuit
0.04220000000000002,4538_GesturePhaseSegmentationProcessed
0.00520000000000002,458_analcatdata_authorship
0.04619999999999998,461_analcatdata_creditscore
0.48210000000000014,463_backache
0.02769999999999998,464_prnn_synth
0.30660000000000004,48_tae
0.1321,53_heart-statlog
0.028249999999999987,54_vehicle
0.04859999999999999,59_ionosphere
0.01109999999999999,60_waveform-5000
0.00015000000000000012,61_iris
0.119,679_rmftsa_sleepdata
0.009749999999999998,694_diggle_table_a2
0.013299999999999987,AedesQuinx
0.0048500000000000045,AedesSex
0.006550000000000014,anuranCalls
0.0027000000000000106,ArabicDigit
0.005099999999999993,BNG
0.05475000000000001,click-prediction
0.029400000000000016,cmc
0.020300000000000012,covtype_reduced
0.038099999999999995,default_credit_card_clients
0.06534999999999999,eeg
0.009599999999999997,HTRU
0.05735000000000001,jm1-processed
0.054599999999999996,letter-recognition
0.018400000000000007,magic
0.018749999999999982,mozilla
0.006750000000000003,namao
0.0022499999999999994,occupancy
0.022850000000000002,phoneme
0.00835000000000001,spambase
0.003099999999999998,winetype
