MAE,Dataset
0.036510192036774705,1043_ada_agnostic
0.07215978004914822,1048_jEdit_4
0.015219315537125267,1049_pc4
0.09547684058011485,1050_pc3
0.1285895709684941,1054_mc2
0.0739333741610246,1056_mc1
0.1446368905041709,1061_ar4
0.3720122330434058,1065_kc3
0.034248264241653115,1066_kc1-binary
0.3128413664087766,1068_pc1
0.45692900355684396,1069_pc2
0.1953259469120388,1071_mw1
0.10603213413922034,1073_jEdit_4
0.32163906129188746,1075_datatrieve
0.12973902670224274,1115_teachingAssistant
2.0122792321330962e-17,1121_badges2
0.17861540761635902,1167_pc1_req
0.034353523946744964,11_balance-scale
0.004241619546490038,12_mfeat-factors
0.1545119439648736,1456_appendicitis
0.14107259146537726,1460_banana
0.00311676851395052,1462_banknote-authentication
0.03156374914062674,1464_blood-transfusion-service-center
0.105623796515022,1465_breast-tissue
5.585809592645319e-17,1466_cardiotocography
0.3029284926864661,1467_climate-model-simulation-crashes
0.30657441604221486,1473_fertility
0.03504561405065846,1475_first-order-theorem-proving
0.019740578210812865,1479_hill-valley
0.14109683697879344,1484_lsvt
0.0531241953781584,1485_madelon
0.05172385686425425,1487_ozone-level-8hr
0.10001905133598363,1488_parkinsons
0.021329293271702403,1489_phoneme
0.5000000000000002,1490_planning-relax
0.05476045421968569,1494_qsar-biodeg
0.021372027679678496,1495_qualitative-bankruptcy
0.020904775882531236,1496_ringnorm
0.01855225650334168,1497_wall-robot-navigation
0.03871400120381542,1498_sa-heart
0.010128012753437467,14_mfeat-fourier
0.03275725170611485,1501_semeion
0.0011001605915077818,1504_steel-plates-fault
0.2899156139936688,1506_thoracic-surgery
0.0029806908183535818,1507_twonorm
0.018308087631582273,1508_user-knowledge
0.009123415416120804,1510_wdbc
0.020940321057953154,1511_wholesale-customers
0.2834103870710475,1512_heart-long-beach
0.04735187233476798,1519_robot-failures-lp4
0.23578254993956937,1520_robot-failures-lp5
0.010495487607072527,1523_vertebra-column
0.030209190452028085,1526_wall-robot-navigation
0.03393737911604948,1527_volcanoes-a1
0.01657945846146458,1528_volcanoes-a2
0.03146638967986991,1529_volcanoes-a3
0.03647657862019452,1530_volcanoes-a4
0.05308525289526903,1535_volcanoes-b5
0.09219891296597435,1538_volcanoes-d1
0.0448847885806036,1539_volcanoes-d2
0.025120969643211255,1540_volcanoes-d3
0.08279597946056945,1541_volcanoes-d4
0.13825209063829735,1547_autoUniv-au1-1000
0.13460030871459255,1559_breast-tissue
0.0718920151694262,1565_heart-h
0.07835514474421217,1566_hill-valley
0.031024025303452257,1570_wilt
0.0649234795564187,1600_SPECTF
0.016127546672262995,16_mfeat-karhunen
0.009554388132073054,182_satimage
0.012967647621868885,187_wine
0.002926428256403415,18_mfeat-morphological
0.014216701737581949,20_mfeat-pixel
0.03480820164386124,22_mfeat-zernike
0.056805284170062934,23_cmc
0.01254687065930794,28_optdigits
0.015957128235997188,292_Australian
0.008232554101680592,294_satellite_image
0.05730783521134779,30_page-blocks
0.13135992528400356,311_oil_spill
0.004584634959380085,312_scene
0.31815273962948043,316_yeast_ml8
0.08245967619898205,329_hayes-roth
0.051046095863166,333_monks-problems-1
0.31493628986775696,334_monks-problems-2
0.01968303129908504,335_monks-problems-3
0.13856396679162267,336_SPECT
0.0020739583098159584,36_segment
0.005805661321959172,375_JapaneseVowels
0.0015638906465783552,377_synthetic_control
0.052557940421904446,37_diabetes
0.0225939507446656,40474_thyroid-allbp
0.032622268362077406,40475_thyroid-allhyper
0.12893510527916463,40496_LED-display-domain-7digit
0.06964398238449428,40733_yeast
0.02398804302627485,40877_seeds
0.04662059888164362,40_sonar
0.09554228842185666,43_haberman
0.00876796570985536,44_spambase
0.22569928925021335,450_analcatdata_lawsuit
0.04837303799886806,4538_GesturePhaseSegmentationProcessed
0.002721417094119672,458_analcatdata_authorship
0.08096914626568136,461_analcatdata_creditscore
0.287517825648847,463_backache
0.03934047287201927,464_prnn_synth
0.27926365769592326,48_tae
0.13813311122896116,53_heart-statlog
0.012679918666758955,54_vehicle
0.04765950923706649,59_ionosphere
0.011480492116054505,60_waveform-5000
5.6309858176646634e-05,61_iris
0.26852673033955865,679_rmftsa_sleepdata
0.024533629193298333,694_diggle_table_a2
0.014826552678472132,AedesQuinx
0.005065101798603261,AedesSex
0.007134045115316731,anuranCalls
0.003921144509753069,ArabicDigit
0.004847870145573836,BNG
0.15909313935053915,click-prediction
0.02761018867234269,cmc
0.02298919126508426,covtype_reduced
0.05324944252916501,default_credit_card_clients
0.06446200128710433,eeg
0.007575291285858135,HTRU
0.05681229064178216,jm1-processed
0.043913627955164646,letter-recognition
0.019042654588629786,magic
0.014776121947206417,mozilla
0.006854832564169791,namao
0.0026420553365637716,occupancy
0.02309360329896613,phoneme
0.008133623272979812,spambase
0.002707110097740364,winetype
