MAE,Dataset
0.02601649832537563,1043_ada_agnostic
0.1919304206550789,1048_jEdit_4
0.13239793478899572,1049_pc4
0.39403133031540866,1050_pc3
0.10449541121393965,1054_mc2
0.2584113040804255,1056_mc1
0.11452492762853121,1061_ar4
0.34315084354362446,1065_kc3
0.019623456930227837,1066_kc1-binary
0.2043400424931861,1068_pc1
0.24994918551695533,1069_pc2
0.4252903034120582,1071_mw1
0.1491286217226539,1073_jEdit_4
0.23984281522254217,1075_datatrieve
0.23176447187551075,1115_teachingAssistant
0.00672191398104118,1121_badges2
0.09357098359212239,1167_pc1_req
0.01608825310307988,11_balance-scale
0.009071769114110494,12_mfeat-factors
0.11595167900538286,1456_appendicitis
0.16460188088395217,1460_banana
0.004481872191933819,1462_banknote-authentication
0.04586989590239735,1464_blood-transfusion-service-center
0.21626757351188292,1465_breast-tissue
0.001816937287873516,1466_cardiotocography
0.15661923387415402,1467_climate-model-simulation-crashes
0.2955495030525511,1473_fertility
0.03861724483396117,1475_first-order-theorem-proving
0.06297608135038488,1479_hill-valley
0.13517102053279428,1484_lsvt
0.12704602262318604,1485_madelon
0.1914268789835176,1487_ozone-level-8hr
0.17188485844539345,1488_parkinsons
0.0538409209250341,1489_phoneme
0.33125,1490_planning-relax
0.054221090804174234,1494_qsar-biodeg
0.023412621680646766,1495_qualitative-bankruptcy
0.049008807729761523,1496_ringnorm
0.01935413929285773,1497_wall-robot-navigation
0.06894090515115454,1498_sa-heart
0.023794051171275418,14_mfeat-fourier
0.02029705700515705,1501_semeion
0.003437918188380193,1504_steel-plates-fault
0.27558490151689025,1506_thoracic-surgery
0.0044445152245481115,1507_twonorm
0.020822273442964067,1508_user-knowledge
0.01307522323877624,1510_wdbc
0.03166418373551684,1511_wholesale-customers
0.264721942595401,1512_heart-long-beach
0.14797748216885373,1519_robot-failures-lp4
0.20246862640094868,1520_robot-failures-lp5
0.01615664465214367,1523_vertebra-column
0.07928406491764331,1526_wall-robot-navigation
0.03581827682064112,1527_volcanoes-a1
0.059297885839573905,1528_volcanoes-a2
0.05837167290354256,1529_volcanoes-a3
0.08526968204429913,1530_volcanoes-a4
0.06177529473558212,1535_volcanoes-b5
0.295301820482132,1538_volcanoes-d1
0.2996480890357646,1539_volcanoes-d2
0.12245137521200773,1540_volcanoes-d3
0.1226427331656816,1541_volcanoes-d4
0.18400229998681925,1547_autoUniv-au1-1000
0.11098071933160128,1559_breast-tissue
0.10850401972884756,1565_heart-h
0.09912305636073342,1566_hill-valley
0.10084532827306572,1570_wilt
0.03892397948108141,1600_SPECTF
0.015104853424932452,16_mfeat-karhunen
0.00879301962391423,182_satimage
0.013047467145522509,187_wine
0.004462300708251021,18_mfeat-morphological
0.013609252240780995,20_mfeat-pixel
0.03786977182743748,22_mfeat-zernike
0.03351713986122268,23_cmc
0.028759203008905842,28_optdigits
0.04717340777350324,292_Australian
0.012161907551251381,294_satellite_image
0.05493508123561819,30_page-blocks
0.06520030085027509,311_oil_spill
0.03143649629900652,312_scene
0.25355507319294307,316_yeast_ml8
0.15032641494009774,329_hayes-roth
0.08701510373865542,333_monks-problems-1
0.3852034448872925,334_monks-problems-2
0.08162952564007622,335_monks-problems-3
0.14281562149646396,336_SPECT
0.004697892780327618,36_segment
0.009772844797262509,375_JapaneseVowels
0.0014066191983122575,377_synthetic_control
0.0485366753027537,37_diabetes
0.029905106559933482,40474_thyroid-allbp
0.05710950295846987,40475_thyroid-allhyper
0.0798238899364406,40496_LED-display-domain-7digit
0.10074247036198973,40733_yeast
0.02110907094382925,40877_seeds
0.1584074641368273,40_sonar
0.18157907048143535,43_haberman
0.02239283758830907,44_spambase
0.2883251152473153,450_analcatdata_lawsuit
0.11148604511414158,4538_GesturePhaseSegmentationProcessed
0.0018984386866999214,458_analcatdata_authorship
0.1466591051076767,461_analcatdata_creditscore
0.5,463_backache
0.035688953467911746,464_prnn_synth
0.2717885837058892,48_tae
0.12889147893008604,53_heart-statlog
0.01939927787407774,54_vehicle
0.07791558447299932,59_ionosphere
0.019203106499942856,60_waveform-5000
0.01425886301043278,61_iris
0.11472430810943945,679_rmftsa_sleepdata
0.014837111396661815,694_diggle_table_a2
0.04118225573962048,AedesQuinx
0.005729488027426636,AedesSex
0.017995810846902688,anuranCalls
0.004131205705441272,ArabicDigit
0.0049863012794388656,BNG
0.10703139004537698,click-prediction
0.06161732190113648,cmc
0.03830009869747702,covtype_reduced
0.12776776039004098,default_credit_card_clients
0.09239358500878787,eeg
0.012981720263492291,HTRU
0.07921796786929393,jm1-processed
0.11836201141526441,letter-recognition
0.03148437541318717,magic
0.01739999999999998,mozilla
0.04127808672812329,namao
0.0029906711948693926,occupancy
0.08620997215676748,phoneme
0.016830567801481955,spambase
0.003439915997670494,winetype
