MAE,Dataset
0.058799999999999984,1043_ada_agnostic
0.1927375,1048_jEdit_4
0.07795,1049_pc4
0.16853749999999995,1050_pc3
0.277475,1054_mc2
0.13616250000000002,1056_mc1
0.11902499999999998,1061_ar4
0.18441250000000003,1065_kc3
0.039587500000000005,1066_kc1-binary
0.261475,1068_pc1
0.23062500000000002,1069_pc2
0.11959999999999997,1071_mw1
0.1653625,1073_jEdit_4
0.16425000000000003,1075_datatrieve
0.113075,1115_teachingAssistant
0.0035125000000000043,1121_badges2
0.2974625,1167_pc1_req
0.029687500000000012,11_balance-scale
0.011787499999999998,12_mfeat-factors
0.09983750000000001,1456_appendicitis
0.32206250000000003,1460_banana
0.0057625000000000055,1462_banknote-authentication
0.228975,1464_blood-transfusion-service-center
0.076875,1465_breast-tissue
0.0051624999999999935,1466_cardiotocography
0.18053750000000002,1467_climate-model-simulation-crashes
0.2646125,1473_fertility
0.09642500000000001,1475_first-order-theorem-proving
0.1735875,1479_hill-valley
0.19018749999999998,1484_lsvt
0.14896250000000003,1485_madelon
0.07208750000000001,1487_ozone-level-8hr
0.08005000000000002,1488_parkinsons
0.0974,1489_phoneme
0.2755875,1490_planning-relax
0.08995,1494_qsar-biodeg
0.015999999999999986,1495_qualitative-bankruptcy
0.09249999999999999,1496_ringnorm
0.0923625,1497_wall-robot-navigation
0.1559375,1498_sa-heart
0.015975000000000013,14_mfeat-fourier
0.01237499999999998,1501_semeion
0.0011374999999999883,1504_steel-plates-fault
0.2807375,1506_thoracic-surgery
0.008399999999999994,1507_twonorm
0.09543749999999998,1508_user-knowledge
0.0257875,1510_wdbc
0.04617500000000001,1511_wholesale-customers
0.2944,1512_heart-long-beach
0.166525,1519_robot-failures-lp4
0.22396249999999998,1520_robot-failures-lp5
0.014825000000000005,1523_vertebra-column
0.0921625,1526_wall-robot-navigation
0.09795000000000001,1527_volcanoes-a1
0.07218750000000002,1528_volcanoes-a2
0.05991249999999998,1529_volcanoes-a3
0.09031250000000002,1530_volcanoes-a4
0.07372499999999998,1535_volcanoes-b5
0.1968125,1538_volcanoes-d1
0.176375,1539_volcanoes-d2
0.19053749999999997,1540_volcanoes-d3
0.14980000000000002,1541_volcanoes-d4
0.19773750000000004,1547_autoUniv-au1-1000
0.14771249999999997,1559_breast-tissue
0.06561249999999999,1565_heart-h
0.1426875,1566_hill-valley
0.06183750000000001,1570_wilt
0.13135000000000002,1600_SPECTF
0.027112499999999994,16_mfeat-karhunen
0.006137500000000004,182_satimage
0.030262500000000025,187_wine
0.009025000000000017,18_mfeat-morphological
0.022674999999999994,20_mfeat-pixel
0.043275000000000015,22_mfeat-zernike
0.09570000000000004,23_cmc
0.020950000000000007,28_optdigits
0.03852500000000001,292_Australian
0.012024999999999996,294_satellite_image
0.09231249999999999,30_page-blocks
0.168525,311_oil_spill
0.016500000000000018,312_scene
0.189975,316_yeast_ml8
0.16345000000000004,329_hayes-roth
0.1234,333_monks-problems-1
0.34514999999999996,334_monks-problems-2
0.0228875,335_monks-problems-3
0.1339375,336_SPECT
0.005912499999999996,36_segment
0.016550000000000002,375_JapaneseVowels
0.013625000000000009,377_synthetic_control
0.14436249999999998,37_diabetes
0.08413749999999999,40474_thyroid-allbp
0.08917499999999999,40475_thyroid-allhyper
0.128925,40496_LED-display-domain-7digit
0.11868750000000002,40733_yeast
0.01043750000000002,40877_seeds
0.06476250000000003,40_sonar
0.21549999999999997,43_haberman
0.0429875,44_spambase
0.1825875,450_analcatdata_lawsuit
0.13867500000000002,4538_GesturePhaseSegmentationProcessed
0.008275000000000027,458_analcatdata_authorship
0.1014375,461_analcatdata_creditscore
0.2583375,463_backache
0.0270625,464_prnn_synth
0.32738750000000005,48_tae
0.07185,53_heart-statlog
0.01927500000000001,54_vehicle
0.02695,59_ionosphere
0.07565000000000001,60_waveform-5000
0.015749999999999993,61_iris
0.2069125,679_rmftsa_sleepdata
0.06094999999999999,694_diggle_table_a2
0.0825125,AedesQuinx
0.01063749999999999,AedesSex
0.015262500000000007,anuranCalls
0.008275000000000024,ArabicDigit
0.012987500000000008,BNG
0.14747500000000005,click-prediction
0.1738,cmc
0.0732375,covtype_reduced
0.1952125,default_credit_card_clients
0.15707500000000002,eeg
0.022850000000000002,HTRU
0.23161250000000005,jm1-processed
0.11412499999999999,letter-recognition
0.06454999999999998,magic
0.081675,mozilla
0.020325000000000017,namao
0.008362499999999993,occupancy
0.06770000000000001,phoneme
0.04153750000000001,spambase
0.004075000000000006,winetype
