MAE,Dataset
0.03395,1043_ada_agnostic
0.07825000000000001,1048_jEdit_4
0.017749999999999995,1049_pc4
0.05075,1050_pc3
0.041099999999999984,1054_mc2
0.12159999999999997,1056_mc1
0.16014999999999996,1061_ar4
0.5,1065_kc3
0.02714999999999999,1066_kc1-binary
0.24885000000000007,1068_pc1
0.485,1069_pc2
0.13954999999999998,1071_mw1
0.1165,1073_jEdit_4
0.37734999999999996,1075_datatrieve
0.16249999999999998,1115_teachingAssistant
0.0,1121_badges2
0.14065000000000003,1167_pc1_req
0.01824999999999999,11_balance-scale
0.003850000000000006,12_mfeat-factors
0.17305,1456_appendicitis
0.10915,1460_banana
0.003199999999999996,1462_banknote-authentication
0.028849999999999987,1464_blood-transfusion-service-center
0.03129999999999999,1465_breast-tissue
0.0,1466_cardiotocography
0.48625000000000007,1467_climate-model-simulation-crashes
0.3577,1473_fertility
0.03320000000000002,1475_first-order-theorem-proving
0.019599999999999996,1479_hill-valley
0.13265000000000002,1484_lsvt
0.0654,1485_madelon
0.05184999999999999,1487_ozone-level-8hr
0.05769999999999999,1488_parkinsons
0.024449999999999993,1489_phoneme
0.5,1490_planning-relax
0.053750000000000006,1494_qsar-biodeg
0.03005000000000002,1495_qualitative-bankruptcy
0.020849999999999997,1496_ringnorm
0.019200000000000012,1497_wall-robot-navigation
0.03955,1498_sa-heart
0.010200000000000013,14_mfeat-fourier
0.01770000000000001,1501_semeion
0.0,1504_steel-plates-fault
0.39425,1506_thoracic-surgery
0.0028499999999999927,1507_twonorm
0.011299999999999992,1508_user-knowledge
0.012550000000000002,1510_wdbc
0.024050000000000012,1511_wholesale-customers
0.47245,1512_heart-long-beach
0.021800000000000003,1519_robot-failures-lp4
0.2158,1520_robot-failures-lp5
0.010799999999999994,1523_vertebra-column
0.03164999999999999,1526_wall-robot-navigation
0.03755,1527_volcanoes-a1
0.02064999999999999,1528_volcanoes-a2
0.02525,1529_volcanoes-a3
0.029249999999999998,1530_volcanoes-a4
0.06305,1535_volcanoes-b5
0.02705,1538_volcanoes-d1
0.09905,1539_volcanoes-d2
0.023350000000000006,1540_volcanoes-d3
0.08554999999999999,1541_volcanoes-d4
0.18535000000000004,1547_autoUniv-au1-1000
0.0934,1559_breast-tissue
0.0683,1565_heart-h
0.10055,1566_hill-valley
0.03479999999999999,1570_wilt
0.06349999999999999,1600_SPECTF
0.015549999999999998,16_mfeat-karhunen
0.006449999999999995,182_satimage
0.021500000000000016,187_wine
0.003950000000000009,18_mfeat-morphological
0.014250000000000004,20_mfeat-pixel
0.036199999999999996,22_mfeat-zernike
0.03015,23_cmc
0.012749999999999994,28_optdigits
0.019299999999999998,292_Australian
0.006850000000000007,294_satellite_image
0.053000000000000005,30_page-blocks
0.1874,311_oil_spill
0.007499999999999998,312_scene
0.32439999999999997,316_yeast_ml8
0.06275,329_hayes-roth
0.044100000000000014,333_monks-problems-1
0.1352,334_monks-problems-2
0.011400000000000007,335_monks-problems-3
0.12175,336_SPECT
0.002399999999999998,36_segment
0.007850000000000011,375_JapaneseVowels
0.0,377_synthetic_control
0.053000000000000005,37_diabetes
0.023100000000000006,40474_thyroid-allbp
0.034300000000000025,40475_thyroid-allhyper
0.0975,40496_LED-display-domain-7digit
0.06415,40733_yeast
0.0212,40877_seeds
0.04375,40_sonar
0.19715000000000002,43_haberman
0.008599999999999995,44_spambase
0.22199999999999998,450_analcatdata_lawsuit
0.05190000000000002,4538_GesturePhaseSegmentationProcessed
0.0027500000000000068,458_analcatdata_authorship
0.040549999999999996,461_analcatdata_creditscore
0.48210000000000014,463_backache
0.04145,464_prnn_synth
0.3076499999999999,48_tae
0.12600000000000003,53_heart-statlog
0.02659999999999999,54_vehicle
0.05924999999999999,59_ionosphere
0.011099999999999994,60_waveform-5000
0.0,61_iris
0.5,679_rmftsa_sleepdata
0.008099999999999987,694_diggle_table_a2
0.013799999999999996,AedesQuinx
0.004900000000000004,AedesSex
0.0067000000000000115,anuranCalls
0.002800000000000011,ArabicDigit
0.005049999999999999,BNG
0.0526,click-prediction
0.02810000000000002,cmc
0.02165000000000001,covtype_reduced
0.03624999999999999,default_credit_card_clients
0.0675,eeg
0.0074500000000000035,HTRU
0.0521,jm1-processed
0.03954999999999999,letter-recognition
0.018000000000000006,magic
0.016299999999999988,mozilla
0.0062,namao
0.0027000000000000053,occupancy
0.021950000000000008,phoneme
0.00839999999999999,spambase
0.003049999999999998,winetype
