MAE,Dataset
0.035275,1043_ada_agnostic
0.171475,1048_jEdit_4
0.030999999999999993,1049_pc4
0.14300000000000002,1050_pc3
0.33062500000000006,1054_mc2
0.08957499999999996,1056_mc1
0.094575,1061_ar4
0.177975,1065_kc3
0.04712499999999999,1066_kc1-binary
0.3413,1068_pc1
0.23604999999999995,1069_pc2
0.10184999999999997,1071_mw1
0.159075,1073_jEdit_4
0.15617499999999998,1075_datatrieve
0.054125,1115_teachingAssistant
0.00012499999999999735,1121_badges2
0.38584999999999997,1167_pc1_req
0.011650000000000013,11_balance-scale
0.007400000000000001,12_mfeat-factors
0.10254999999999999,1456_appendicitis
0.331075,1460_banana
0.003624999999999988,1462_banknote-authentication
0.20775000000000002,1464_blood-transfusion-service-center
0.06137499999999998,1465_breast-tissue
0.0,1466_cardiotocography
0.11092500000000001,1467_climate-model-simulation-crashes
0.26350000000000007,1473_fertility
0.046575,1475_first-order-theorem-proving
0.1786,1479_hill-valley
0.1845,1484_lsvt
0.088875,1485_madelon
0.03704999999999999,1487_ozone-level-8hr
0.090575,1488_parkinsons
0.063325,1489_phoneme
0.27825,1490_planning-relax
0.07577499999999998,1494_qsar-biodeg
0.0334,1495_qualitative-bankruptcy
0.070225,1496_ringnorm
0.05347500000000001,1497_wall-robot-navigation
0.14957500000000004,1498_sa-heart
0.013775000000000006,14_mfeat-fourier
0.010450000000000001,1501_semeion
0.0009999999999999972,1504_steel-plates-fault
0.273475,1506_thoracic-surgery
0.004599999999999996,1507_twonorm
0.060649999999999996,1508_user-knowledge
0.019500000000000007,1510_wdbc
0.025849999999999995,1511_wholesale-customers
0.36795,1512_heart-long-beach
0.1507,1519_robot-failures-lp4
0.21222499999999997,1520_robot-failures-lp5
0.017775000000000003,1523_vertebra-column
0.05095000000000003,1526_wall-robot-navigation
0.05189999999999999,1527_volcanoes-a1
0.0403,1528_volcanoes-a2
0.027050000000000008,1529_volcanoes-a3
0.05455000000000001,1530_volcanoes-a4
0.02704999999999999,1535_volcanoes-b5
0.19322500000000004,1538_volcanoes-d1
0.12204999999999999,1539_volcanoes-d2
0.140225,1540_volcanoes-d3
0.132375,1541_volcanoes-d4
0.1671,1547_autoUniv-au1-1000
0.100625,1559_breast-tissue
0.05740000000000002,1565_heart-h
0.10397500000000001,1566_hill-valley
0.030075,1570_wilt
0.10802500000000001,1600_SPECTF
0.025925000000000014,16_mfeat-karhunen
0.004825000000000001,182_satimage
0.029650000000000027,187_wine
0.006200000000000022,18_mfeat-morphological
0.017375000000000005,20_mfeat-pixel
0.04097500000000001,22_mfeat-zernike
0.03002499999999999,23_cmc
0.012224999999999991,28_optdigits
0.020525000000000005,292_Australian
0.010400000000000006,294_satellite_image
0.05885000000000001,30_page-blocks
0.173625,311_oil_spill
0.0109,312_scene
0.1707,316_yeast_ml8
0.131,329_hayes-roth
0.12925,333_monks-problems-1
0.415825,334_monks-problems-2
0.022650000000000003,335_monks-problems-3
0.11027500000000004,336_SPECT
0.005350000000000009,36_segment
0.007949999999999999,375_JapaneseVowels
0.01090000000000001,377_synthetic_control
0.1186,37_diabetes
0.029000000000000005,40474_thyroid-allbp
0.03945000000000001,40475_thyroid-allhyper
0.12032500000000002,40496_LED-display-domain-7digit
0.060750000000000005,40733_yeast
0.009349999999999997,40877_seeds
0.03497499999999999,40_sonar
0.22615000000000002,43_haberman
0.026475000000000026,44_spambase
0.205475,450_analcatdata_lawsuit
0.05072500000000002,4538_GesturePhaseSegmentationProcessed
0.007575000000000015,458_analcatdata_authorship
0.10157500000000001,461_analcatdata_creditscore
0.256325,463_backache
0.027950000000000013,464_prnn_synth
0.3334,48_tae
0.07624999999999998,53_heart-statlog
0.024400000000000012,54_vehicle
0.033699999999999994,59_ionosphere
0.07375000000000001,60_waveform-5000
0.0033999999999999976,61_iris
0.150825,679_rmftsa_sleepdata
0.016574999999999996,694_diggle_table_a2
0.044349999999999994,AedesQuinx
0.007000000000000009,AedesSex
0.007399999999999999,anuranCalls
0.007050000000000009,ArabicDigit
0.010625000000000018,BNG
0.05642500000000002,click-prediction
0.171325,cmc
0.028274999999999995,covtype_reduced
0.17620000000000002,default_credit_card_clients
0.07695000000000005,eeg
0.007599999999999987,HTRU
0.2045,jm1-processed
0.04242499999999999,letter-recognition
0.019949999999999985,magic
0.057175,mozilla
0.008075000000000004,namao
0.0034999999999999988,occupancy
0.02232500000000002,phoneme
0.024400000000000012,spambase
0.0035249999999999995,winetype
