MAE,Dataset
0.0554,1043_ada_agnostic.csv
0.13140000000000002,1069_pc2.csv
0.021949999999999997,11_balance-scale.csv
0.0086,12_mfeat-factors.csv
0.4052,1460_banana.csv
0.0059,1462_banknote-authentication.csv
0.0,1466_cardiotocography.csv
0.09725,1475_first-order-theorem-proving.csv
0.09945,1479_hill-valley.csv
0.1593,1485_madelon.csv
0.066,1489_phoneme.csv
0.08495000000000001,1494_qsar-biodeg.csv
0.0721,1496_ringnorm.csv
0.059500000000000004,1497_wall-robot-navigation.csv
0.0007000000000000001,14_mfeat-fourier.csv
0.00395,1504_steel-plates-fault.csv
0.01115,1507_twonorm.csv
0.01645,1510_wdbc.csv
0.07165,1526_wall-robot-navigation.csv
0.049400000000000006,1527_volcanoes-a1.csv
0.0414,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.060899999999999996,1540_volcanoes-d3.csv
0.06885,1541_volcanoes-d4.csv
0.24245,1547_autoUniv-au1-1000.csv
0.12895,1566_hill-valley.csv
0.03905,1570_wilt.csv
0.017650000000000002,16_mfeat-karhunen.csv
0.0149,182_satimage.csv
0.009000000000000001,18_mfeat-morphological.csv
0.01775,20_mfeat-pixel.csv
0.03685,22_mfeat-zernike.csv
0.11065,23_cmc.csv
0.01705,28_optdigits.csv
0.03105,292_Australian.csv
0.01365,294_satellite_image.csv
0.0313,30_page-blocks.csv
0.0181,312_scene.csv
0.1613,333_monks-problems-1.csv
0.5,334_monks-problems-2.csv
0.014750000000000001,335_monks-problems-3.csv
0.00885,36_segment.csv
0.01705,375_JapaneseVowels.csv
0.0906,37_diabetes.csv
0.07205,40474_thyroid-allbp.csv
0.07890000000000001,40475_thyroid-allhyper.csv
0.09449999999999999,40733_yeast.csv
0.02475,44_spambase.csv
0.12365,4538_GesturePhaseSegmentationProcessed.csv
0.0027500000000000003,458_analcatdata_authorship.csv
0.04100000000000001,54_vehicle.csv
0.03975,60_waveform-5000.csv
0.5,679_rmftsa_sleepdata.csv
0.0484,AedesQuinx.csv
0.01275,AedesSex.csv
0.00875,anuranCalls.csv
0.011049999999999999,ArabicDigit.csv
0.0229,BNG.csv
0.0191,click-prediction.csv
0.145,cmc.csv
0.10335000000000001,covtype_reduced.csv
0.06755,default_credit_card_clients.csv
0.09805,eeg.csv
0.23315000000000002,HTRU.csv
0.11699999999999999,jm1-processed.csv
0.10975,letter-recognition.csv
0.0591,magic.csv
0.043550000000000005,mozilla.csv
0.020100000000000003,namao.csv
0.00915,occupancy.csv
0.0673,phoneme.csv
0.02505,spambase.csv
0.00555,winetype.csv
