Method,Dataset,MAE
ACC,1043_ada_agnostic,0.05115
ACC,11_balance-scale,0.01905
ACC,12_mfeat-factors,0.0059499999999999
ACC,1460_banana,0.25875
ACC,1462_banknote-authentication,0.0072499999999999
ACC,1466_cardiotocography,0.0
ACC,1475_first-order-theorem-proving,0.09505
ACC,1479_hill-valley,0.05155
ACC,1485_madelon,0.1593
ACC,1489_phoneme,0.1085
ACC,1494_qsar-biodeg,0.0762
ACC,1496_ringnorm,0.06365
ACC,1497_wall-robot-navigation,0.0615
ACC,14_mfeat-fourier,0.00975
ACC,1504_steel-plates-fault,0.0
ACC,1507_twonorm,0.01115
ACC,1510_wdbc,0.0135
ACC,1526_wall-robot-navigation,0.08505
ACC,1527_volcanoes-a1,0.044
ACC,1535_volcanoes-b5,0.09415
ACC,1538_volcanoes-d1,0.5
ACC,1539_volcanoes-d2,0.5
ACC,1540_volcanoes-d3,0.2511
ACC,1541_volcanoes-d4,0.32155
ACC,1547_autoUniv-au1-1000,0.5
ACC,1566_hill-valley,0.12895
ACC,1570_wilt,0.08715
ACC,16_mfeat-karhunen,0.0137
ACC,182_satimage,0.0130499999999999
ACC,18_mfeat-morphological,0.0065
ACC,20_mfeat-pixel,0.0162
ACC,22_mfeat-zernike,0.0323
ACC,23_cmc,0.11215
ACC,28_optdigits,0.0204
ACC,292_Australian,0.03105
ACC,294_satellite_image,0.0152
ACC,30_page-blocks,0.0444
ACC,312_scene,0.0713
ACC,333_monks-problems-1,0.01445
ACC,334_monks-problems-2,0.09785
ACC,335_monks-problems-3,0.5
ACC,36_segment,0.01475
ACC,375_JapaneseVowels,0.00745
ACC,37_diabetes,0.0247
ACC,40474_thyroid-allbp,0.1377
ACC,40475_thyroid-allhyper,0.08035
ACC,40733_yeast,0.09195
ACC,44_spambase,0.3874499999999999
ACC,4538_GesturePhaseSegmentationProcessed,0.02215
ACC,458_analcatdata_authorship,0.1512
ACC,54_vehicle,0.0052
ACC,60_waveform-5000,0.0276
ACC,679_rmftsa_sleepdata,0.0344
ACC,AedesQuinx,0.5
ACC,AedesSex,0.04875
ACC,anuranCalls,0.0115
ACC,ArabicDigit,0.01075
ACC,BNG,0.01085
ACC,click-prediction,0.4728
ACC,cmc,0.5
ACC,covtype_reduced,0.0229499999999999
ACC,default_credit_card_clients,0.02025
ACC,eeg,0.0351
ACC,HTRU,0.02105
ACC,jm1-processed,0.1964999999999999
ACC,letter-recognition,0.0
ACC,magic,0.4985
ACC,mozilla,0.09885
ACC,namao,0.06985
ACC,occupancy,0.0265
ACC,phoneme,0.10875
ACC,spambase,0.0227999999999999
ACC,winetype,0.2412
ACC,2dplanes,0.06805
ACC,balloon,0.0349
ACC,bank8FM,0.0664
ACC,churn,0.04755
ACC,clean2,0.04535
ACC,cpu_act,0.03165
ACC,delta_ailerons,0.1733
ACC,electricity-normalized,0.0602
ACC,elevators,0.5
ACC,file79b563a1a18,0.0599
ACC,fried,0.04195
ACC,fri_c2_1000_10,0.02145
ACC,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.0076
ACC,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.5
ACC,gina_agnostic,0.00845
ACC,kin8nm,0.1012
ACC,parity5_plus_5,0.0725
ACC,pendigits,0.0701
ACC,phpGUrE90,0.0287
ACC,phphQEck0,0.01815
ACC,phpMD2hR6,0.5
ACC,phpmPOD5A,0.0333
ACC,phpV5QYya,0.563
ACC,pol,0.1177
ACC,pollen,0.0494
ACC,puma32H,0.35695
ACC,puma8NH,0.04535
ACC,quake,0.0246
ACC,space_ga,0.0078
ACC,sylva_prior,0.00095
ACC,visualizing_soil,0.03995
ACC,wind,0.0051
BASELINE+TOP1,1043_ada_agnostic,0.0840449999999999
BASELINE+TOP1,11_balance-scale,0.0355633333333333
BASELINE+TOP1,12_mfeat-factors,0.007405
BASELINE+TOP1,1460_banana,0.256465
BASELINE+TOP1,1462_banknote-authentication,0.0073983333333333
BASELINE+TOP1,1466_cardiotocography,0.00532
BASELINE+TOP1,1475_first-order-theorem-proving,0.07227
BASELINE+TOP1,1479_hill-valley,0.1209433333333333
BASELINE+TOP1,1485_madelon,0.0939683333333333
BASELINE+TOP1,1489_phoneme,0.075075
BASELINE+TOP1,1494_qsar-biodeg,0.0539666666666666
BASELINE+TOP1,1496_ringnorm,0.0606433333333333
BASELINE+TOP1,1497_wall-robot-navigation,0.048835
BASELINE+TOP1,14_mfeat-fourier,0.0123933333333333
BASELINE+TOP1,1504_steel-plates-fault,0.0016583333333333
BASELINE+TOP1,1507_twonorm,0.0053666666666666
BASELINE+TOP1,1510_wdbc,0.0152516666666666
BASELINE+TOP1,1526_wall-robot-navigation,0.070905
BASELINE+TOP1,1527_volcanoes-a1,0.0795483333333333
BASELINE+TOP1,1535_volcanoes-b5,0.1258866666666666
BASELINE+TOP1,1538_volcanoes-d1,0.3559799999999999
BASELINE+TOP1,1539_volcanoes-d2,0.4321766666666667
BASELINE+TOP1,1540_volcanoes-d3,0.1698883333333333
BASELINE+TOP1,1541_volcanoes-d4,0.1734266666666667
BASELINE+TOP1,1547_autoUniv-au1-1000,0.3590216666666666
BASELINE+TOP1,1566_hill-valley,0.1523633333333333
BASELINE+TOP1,1570_wilt,0.0990733333333333
BASELINE+TOP1,16_mfeat-karhunen,0.028735
BASELINE+TOP1,182_satimage,0.0102366666666666
BASELINE+TOP1,18_mfeat-morphological,0.01018
BASELINE+TOP1,20_mfeat-pixel,0.0242
BASELINE+TOP1,22_mfeat-zernike,0.0444883333333333
BASELINE+TOP1,23_cmc,0.139265
BASELINE+TOP1,28_optdigits,0.0256933333333333
BASELINE+TOP1,292_Australian,0.0411283333333333
BASELINE+TOP1,294_satellite_image,0.0114016666666666
BASELINE+TOP1,30_page-blocks,0.0807666666666666
BASELINE+TOP1,312_scene,0.0167183333333333
BASELINE+TOP1,333_monks-problems-1,0.122315
BASELINE+TOP1,334_monks-problems-2,0.3811883333333333
BASELINE+TOP1,335_monks-problems-3,0.0520583333333333
BASELINE+TOP1,36_segment,0.0069233333333333
BASELINE+TOP1,375_JapaneseVowels,0.021665
BASELINE+TOP1,37_diabetes,0.0996283333333333
BASELINE+TOP1,40474_thyroid-allbp,0.05985
BASELINE+TOP1,40475_thyroid-allhyper,0.06944
BASELINE+TOP1,40733_yeast,0.1962799999999999
BASELINE+TOP1,44_spambase,0.0362533333333333
BASELINE+TOP1,4538_GesturePhaseSegmentationProcessed,0.15982
BASELINE+TOP1,458_analcatdata_authorship,0.0084
BASELINE+TOP1,54_vehicle,0.0306166666666666
BASELINE+TOP1,60_waveform-5000,0.0405283333333333
BASELINE+TOP1,679_rmftsa_sleepdata,0.403665
BASELINE+TOP1,AedesQuinx,0.0364483333333333
BASELINE+TOP1,AedesSex,0.0104983333333333
BASELINE+TOP1,anuranCalls,0.0184633333333333
BASELINE+TOP1,ArabicDigit,0.00597
BASELINE+TOP1,BNG,0.00852
BASELINE+TOP1,click-prediction,0.2103583333333333
BASELINE+TOP1,cmc,0.0883333333333333
BASELINE+TOP1,covtype_reduced,0.0486133333333333
BASELINE+TOP1,default_credit_card_clients,0.1285816666666666
BASELINE+TOP1,eeg,0.13126
BASELINE+TOP1,HTRU,0.025085
BASELINE+TOP1,jm1-processed,0.2156216666666666
BASELINE+TOP1,letter-recognition,0.26554
BASELINE+TOP1,magic,0.0754333333333333
BASELINE+TOP1,mozilla,0.04875
BASELINE+TOP1,namao,0.0196233333333333
BASELINE+TOP1,occupancy,0.0061083333333333
BASELINE+TOP1,phoneme,0.081365
BASELINE+TOP1,spambase,0.0311383333333333
BASELINE+TOP1,winetype,0.0048983333333333
BASELINE+TOP1,2dplanes,0.0314816666666666
BASELINE+TOP1,balloon,0.0491333333333333
BASELINE+TOP1,bank8FM,0.0199366666666666
BASELINE+TOP1,churn,0.1325849999999999
BASELINE+TOP1,clean2,0.0025316666666666
BASELINE+TOP1,cpu_act,0.0199983333333333
BASELINE+TOP1,delta_ailerons,0.0207933333333333
BASELINE+TOP1,electricity-normalized,0.06521
BASELINE+TOP1,elevators,0.0470666666666666
BASELINE+TOP1,file79b563a1a18,0.0667916666666666
BASELINE+TOP1,fried,0.0343983333333333
BASELINE+TOP1,fri_c2_1000_10,0.0477016666666666
BASELINE+TOP1,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.327065
BASELINE+TOP1,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.3986933333333333
BASELINE+TOP1,gina_agnostic,0.02692
BASELINE+TOP1,kin8nm,0.0391383333333333
BASELINE+TOP1,parity5_plus_5,0.3117033333333333
BASELINE+TOP1,pendigits,0.00781
BASELINE+TOP1,phpGUrE90,0.070515
BASELINE+TOP1,phphQEck0,0.0439033333333333
BASELINE+TOP1,phpMD2hR6,0.0374333333333333
BASELINE+TOP1,phpmPOD5A,0.4687783333333333
BASELINE+TOP1,phpV5QYya,0.0192783333333333
BASELINE+TOP1,pol,0.0282516666666666
BASELINE+TOP1,pollen,0.3401166666666668
BASELINE+TOP1,puma32H,0.0664616666666666
BASELINE+TOP1,puma8NH,0.060325
BASELINE+TOP1,quake,0.3249566666666666
BASELINE+TOP1,space_ga,0.0498616666666666
BASELINE+TOP1,sylva_prior,0.0131216666666666
BASELINE+TOP1,visualizing_soil,0.0034166666666666
BASELINE+TOP1,wind,0.0360316666666666
BASELINE+TOP3+MEAN,1043_ada_agnostic,0.0666188888888888
BASELINE+TOP3+MEAN,11_balance-scale,0.0204811111111111
BASELINE+TOP3+MEAN,12_mfeat-factors,0.0109127777777777
BASELINE+TOP3+MEAN,1460_banana,0.1757255555555555
BASELINE+TOP3+MEAN,1462_banknote-authentication,0.0060783333333333
BASELINE+TOP3+MEAN,1466_cardiotocography,0.0041322222222222
BASELINE+TOP3+MEAN,1475_first-order-theorem-proving,0.0659005555555555
BASELINE+TOP3+MEAN,1479_hill-valley,0.0984833333333333
BASELINE+TOP3+MEAN,1485_madelon,0.0997838888888888
BASELINE+TOP3+MEAN,1489_phoneme,0.0650855555555555
BASELINE+TOP3+MEAN,1494_qsar-biodeg,0.0505755555555555
BASELINE+TOP3+MEAN,1496_ringnorm,0.0563611111111111
BASELINE+TOP3+MEAN,1497_wall-robot-navigation,0.0493455555555555
BASELINE+TOP3+MEAN,14_mfeat-fourier,0.01524
BASELINE+TOP3+MEAN,1504_steel-plates-fault,0.0018183333333333
BASELINE+TOP3+MEAN,1507_twonorm,0.0050605555555555
BASELINE+TOP3+MEAN,1510_wdbc,0.0097244444444444
BASELINE+TOP3+MEAN,1526_wall-robot-navigation,0.0506327777777777
BASELINE+TOP3+MEAN,1527_volcanoes-a1,0.0438849999999999
BASELINE+TOP3+MEAN,1535_volcanoes-b5,0.1079727777777777
BASELINE+TOP3+MEAN,1538_volcanoes-d1,0.2862733333333333
BASELINE+TOP3+MEAN,1539_volcanoes-d2,0.2921655555555555
BASELINE+TOP3+MEAN,1540_volcanoes-d3,0.1399388888888889
BASELINE+TOP3+MEAN,1541_volcanoes-d4,0.2031872222222222
BASELINE+TOP3+MEAN,1547_autoUniv-au1-1000,0.2192905555555555
BASELINE+TOP3+MEAN,1566_hill-valley,0.1160333333333333
BASELINE+TOP3+MEAN,1570_wilt,0.0871122222222222
BASELINE+TOP3+MEAN,16_mfeat-karhunen,0.0233372222222222
BASELINE+TOP3+MEAN,182_satimage,0.0062894444444444
BASELINE+TOP3+MEAN,18_mfeat-morphological,0.009865
BASELINE+TOP3+MEAN,20_mfeat-pixel,0.0206488888888888
BASELINE+TOP3+MEAN,22_mfeat-zernike,0.0426044444444444
BASELINE+TOP3+MEAN,23_cmc,0.0852816666666666
BASELINE+TOP3+MEAN,28_optdigits,0.019975
BASELINE+TOP3+MEAN,292_Australian,0.0317016666666666
BASELINE+TOP3+MEAN,294_satellite_image,0.0108122222222222
BASELINE+TOP3+MEAN,30_page-blocks,0.0301972222222222
BASELINE+TOP3+MEAN,312_scene,0.01068
BASELINE+TOP3+MEAN,333_monks-problems-1,0.0963099999999999
BASELINE+TOP3+MEAN,334_monks-problems-2,0.2957072222222222
BASELINE+TOP3+MEAN,335_monks-problems-3,0.0350877777777777
BASELINE+TOP3+MEAN,36_segment,0.0065977777777777
BASELINE+TOP3+MEAN,375_JapaneseVowels,0.01794
BASELINE+TOP3+MEAN,37_diabetes,0.0839577777777777
BASELINE+TOP3+MEAN,40474_thyroid-allbp,0.0577211111111111
BASELINE+TOP3+MEAN,40475_thyroid-allhyper,0.069855
BASELINE+TOP3+MEAN,40733_yeast,0.1499872222222222
BASELINE+TOP3+MEAN,44_spambase,0.02266
BASELINE+TOP3+MEAN,4538_GesturePhaseSegmentationProcessed,0.1187172222222222
BASELINE+TOP3+MEAN,458_analcatdata_authorship,0.00668
BASELINE+TOP3+MEAN,54_vehicle,0.0230311111111111
BASELINE+TOP3+MEAN,60_waveform-5000,0.0307527777777777
BASELINE+TOP3+MEAN,679_rmftsa_sleepdata,0.2397811111111111
BASELINE+TOP3+MEAN,AedesQuinx,0.0357411111111111
BASELINE+TOP3+MEAN,AedesSex,0.0078922222222222
BASELINE+TOP3+MEAN,anuranCalls,0.0160133333333333
BASELINE+TOP3+MEAN,ArabicDigit,0.004535
BASELINE+TOP3+MEAN,BNG,0.0069688888888888
BASELINE+TOP3+MEAN,click-prediction,0.2161916666666666
BASELINE+TOP3+MEAN,cmc,0.0891594444444444
BASELINE+TOP3+MEAN,covtype_reduced,0.0451755555555555
BASELINE+TOP3+MEAN,default_credit_card_clients,0.1304872222222222
BASELINE+TOP3+MEAN,eeg,0.134065
BASELINE+TOP3+MEAN,HTRU,0.0285738888888888
BASELINE+TOP3+MEAN,jm1-processed,0.1273472222222222
BASELINE+TOP3+MEAN,letter-recognition,0.2253311111111111
BASELINE+TOP3+MEAN,magic,0.058525
BASELINE+TOP3+MEAN,mozilla,0.0404611111111111
BASELINE+TOP3+MEAN,namao,0.0156561111111111
BASELINE+TOP3+MEAN,occupancy,0.0073138888888888
BASELINE+TOP3+MEAN,phoneme,0.0683566666666666
BASELINE+TOP3+MEAN,spambase,0.0254561111111111
BASELINE+TOP3+MEAN,winetype,0.0027277777777777
BASELINE+TOP3+MEAN,2dplanes,0.0367177777777777
BASELINE+TOP3+MEAN,balloon,0.0417566666666666
BASELINE+TOP3+MEAN,bank8FM,0.011385
BASELINE+TOP3+MEAN,churn,0.1044761111111111
BASELINE+TOP3+MEAN,clean2,0.0022561111111111
BASELINE+TOP3+MEAN,cpu_act,0.0191516666666666
BASELINE+TOP3+MEAN,delta_ailerons,0.0175477777777777
BASELINE+TOP3+MEAN,electricity-normalized,0.0506433333333333
BASELINE+TOP3+MEAN,elevators,0.0270822222222222
BASELINE+TOP3+MEAN,file79b563a1a18,0.0615777777777777
BASELINE+TOP3+MEAN,fried,0.0305133333333333
BASELINE+TOP3+MEAN,fri_c2_1000_10,0.0560699999999999
BASELINE+TOP3+MEAN,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,0.3033344444444444
BASELINE+TOP3+MEAN,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,0.2938327777777778
BASELINE+TOP3+MEAN,gina_agnostic,0.0222794444444444
BASELINE+TOP3+MEAN,kin8nm,0.047165
BASELINE+TOP3+MEAN,parity5_plus_5,0.2478372222222222
BASELINE+TOP3+MEAN,pendigits,0.0076338888888888
BASELINE+TOP3+MEAN,phpGUrE90,0.0468433333333333
BASELINE+TOP3+MEAN,phphQEck0,0.0304283333333333
BASELINE+TOP3+MEAN,phpMD2hR6,0.0581388888888888
BASELINE+TOP3+MEAN,phpmPOD5A,0.3586844444444443
BASELINE+TOP3+MEAN,phpV5QYya,0.01831
BASELINE+TOP3+MEAN,pol,0.0265816666666666
BASELINE+TOP3+MEAN,pollen,0.3135394444444445
BASELINE+TOP3+MEAN,puma32H,0.0782311111111111
BASELINE+TOP3+MEAN,puma8NH,0.0593155555555555
BASELINE+TOP3+MEAN,quake,0.264605
BASELINE+TOP3+MEAN,space_ga,0.0366188888888888
BASELINE+TOP3+MEAN,sylva_prior,0.0130705555555555
BASELINE+TOP3+MEAN,visualizing_soil,0.0031383333333333
BASELINE+TOP3+MEAN,wind,0.0267055555555555
BASELINE+TOP3+MEDIAN,1043_ada_agnostic,0.0517883333333333
BASELINE+TOP3+MEDIAN,11_balance-scale,0.0195266666666666
BASELINE+TOP3+MEDIAN,12_mfeat-factors,0.0087233333333333
BASELINE+TOP3+MEDIAN,1460_banana,0.1475766666666667
BASELINE+TOP3+MEDIAN,1462_banknote-authentication,0.0046649999999999
BASELINE+TOP3+MEDIAN,1466_cardiotocography,0.0007766666666666
BASELINE+TOP3+MEDIAN,1475_first-order-theorem-proving,0.041405
BASELINE+TOP3+MEDIAN,1479_hill-valley,0.0635866666666666
BASELINE+TOP3+MEDIAN,1485_madelon,0.0916999999999999
BASELINE+TOP3+MEDIAN,1489_phoneme,0.041965
BASELINE+TOP3+MEDIAN,1494_qsar-biodeg,0.0592066666666666
BASELINE+TOP3+MEDIAN,1496_ringnorm,0.0429049999999999
BASELINE+TOP3+MEDIAN,1497_wall-robot-navigation,0.0443233333333333
BASELINE+TOP3+MEDIAN,14_mfeat-fourier,0.01264
BASELINE+TOP3+MEDIAN,1504_steel-plates-fault,0.0012866666666666
