dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0741932392120361
1043_ada_agnostic,0.0,100,0.0,0.05,0.05,0.0743827819824218
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0819087028503418
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.080740213394165
1043_ada_agnostic,0.0,100,0.0,0.05,0.05,0.0788750648498535
1043_ada_agnostic,0.0,100,0.0,0.02,0.02,0.0848720073699951
1043_ada_agnostic,0.0,100,0.0,0.02,0.02,0.0806484222412109
1043_ada_agnostic,0.0,100,0.0,0.06,0.06,0.1000792980194091
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.0957329273223877
1043_ada_agnostic,0.0,100,0.0,0.11,0.11,0.0773425102233886
1043_ada_agnostic,0.05,100,0.05,0.11,0.06,0.0781793594360351
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.0813288688659668
1043_ada_agnostic,0.05,100,0.05,0.1,0.05,0.073941946029663
1043_ada_agnostic,0.05,100,0.05,0.11,0.06,0.0750265121459961
1043_ada_agnostic,0.05,100,0.05,0.04,0.01,0.0756900310516357
1043_ada_agnostic,0.05,100,0.05,0.05,0.0,0.0798354148864746
1043_ada_agnostic,0.05,100,0.05,0.0,0.05,0.0766191482543945
1043_ada_agnostic,0.05,100,0.05,0.03,0.02,0.0844073295593261
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.0781896114349365
1043_ada_agnostic,0.05,100,0.05,0.04,0.01,0.0751683712005615
1043_ada_agnostic,0.11,100,0.11,0.17,0.06,0.0769715309143066
1043_ada_agnostic,0.11,100,0.11,0.15,0.04,0.0793759822845459
1043_ada_agnostic,0.11,100,0.11,0.14,0.03,0.0842897891998291
1043_ada_agnostic,0.11,100,0.11,0.2,0.09,0.0769665241241455
1043_ada_agnostic,0.11,100,0.11,0.26,0.15,0.0739829540252685
1043_ada_agnostic,0.11,100,0.11,0.09,0.02,0.0788261890411377
1043_ada_agnostic,0.11,100,0.11,0.12,0.01,0.0844380855560302
1043_ada_agnostic,0.11,100,0.11,0.02,0.09,0.0802483558654785
1043_ada_agnostic,0.11,100,0.11,0.08,0.03,0.0886552333831787
1043_ada_agnostic,0.11,100,0.11,0.15,0.04,0.0784966945648193
1043_ada_agnostic,0.16,100,0.16,0.2,0.04,0.0905988216400146
1043_ada_agnostic,0.16,100,0.16,0.25,0.09,0.0831761360168457
1043_ada_agnostic,0.16,100,0.16,0.3,0.14,0.0759449005126953
1043_ada_agnostic,0.16,100,0.16,0.16,0.0,0.0819730758666992
1043_ada_agnostic,0.16,100,0.16,0.17,0.01,0.0834946632385253
1043_ada_agnostic,0.16,100,0.16,0.17,0.01,0.0732748508453369
1043_ada_agnostic,0.16,100,0.16,0.24,0.08,0.0686173439025878
1043_ada_agnostic,0.16,100,0.16,0.19,0.03,0.0717637538909912
1043_ada_agnostic,0.16,100,0.16,0.26,0.1,0.0714478492736816
1043_ada_agnostic,0.16,100,0.16,0.19,0.03,0.0758364200592041
1043_ada_agnostic,0.21,100,0.21,0.25,0.04,0.1335957050323486
1043_ada_agnostic,0.21,100,0.21,0.18,0.03,0.0787410736083984
1043_ada_agnostic,0.21,100,0.21,0.25,0.04,0.0729870796203613
1043_ada_agnostic,0.21,100,0.21,0.28,0.07,0.0725631713867187
1043_ada_agnostic,0.21,100,0.21,0.23,0.02,0.0838959217071533
1043_ada_agnostic,0.21,100,0.21,0.29,0.08,0.0821151733398437
1043_ada_agnostic,0.21,100,0.21,0.26,0.05,0.0742535591125488
1043_ada_agnostic,0.21,100,0.21,0.23,0.02,0.0759198665618896
1043_ada_agnostic,0.21,100,0.21,0.32,0.11,0.0736808776855468
1043_ada_agnostic,0.21,100,0.21,0.22,0.01,0.081986665725708
1043_ada_agnostic,0.26,100,0.26,0.18,0.08,0.0719659328460693
1043_ada_agnostic,0.26,100,0.26,0.41,0.15,0.0780603885650634
1043_ada_agnostic,0.26,100,0.26,0.22,0.04,0.0731892585754394
1043_ada_agnostic,0.26,100,0.26,0.3,0.04,0.0699739456176757
1043_ada_agnostic,0.26,100,0.26,0.28,0.02,0.0863697528839111
1043_ada_agnostic,0.26,100,0.26,0.44,0.18,0.0698664188385009
1043_ada_agnostic,0.26,100,0.26,0.29,0.03,0.0689830780029296
1043_ada_agnostic,0.26,100,0.26,0.3,0.04,0.0707983970642089
1043_ada_agnostic,0.26,100,0.26,0.26,0.0,0.0820448398590087
1043_ada_agnostic,0.26,100,0.26,0.28,0.02,0.0827839374542236
1043_ada_agnostic,0.32,100,0.32,0.34,0.02,0.0769760608673095
1043_ada_agnostic,0.32,100,0.32,0.42,0.1,0.0747616291046142
1043_ada_agnostic,0.32,100,0.32,0.33,0.01,0.075671911239624
1043_ada_agnostic,0.32,100,0.32,0.43,0.11,0.0740077495574951
1043_ada_agnostic,0.32,100,0.32,0.35,0.03,0.0789535045623779
1043_ada_agnostic,0.32,100,0.32,0.34,0.02,0.0994589328765869
1043_ada_agnostic,0.32,100,0.32,0.38,0.06,0.0714683532714843
1043_ada_agnostic,0.32,100,0.32,0.34,0.02,0.0776128768920898
1043_ada_agnostic,0.32,100,0.32,0.44,0.12,0.0702552795410156
1043_ada_agnostic,0.32,100,0.32,0.39,0.07,0.0698742866516113
1043_ada_agnostic,0.37,100,0.37,0.45,0.08,0.0749986171722412
1043_ada_agnostic,0.37,100,0.37,0.45,0.08,0.0866041183471679
1043_ada_agnostic,0.37,100,0.37,0.29,0.08,0.0769321918487548
1043_ada_agnostic,0.37,100,0.37,0.45,0.08,0.0751407146453857
1043_ada_agnostic,0.37,100,0.37,0.5,0.13,0.076906681060791
1043_ada_agnostic,0.37,100,0.37,0.44,0.07,0.0698451995849609
1043_ada_agnostic,0.37,100,0.37,0.47,0.1,0.0830755233764648
1043_ada_agnostic,0.37,100,0.37,0.41,0.04,0.0999598503112793
1043_ada_agnostic,0.37,100,0.37,0.46,0.09,0.0749635696411132
1043_ada_agnostic,0.37,100,0.37,0.42,0.05,0.0769829750061035
1043_ada_agnostic,0.42,100,0.42,0.48,0.06,0.0836286544799804
1043_ada_agnostic,0.42,100,0.42,0.42,0.0,0.0781383514404296
1043_ada_agnostic,0.42,100,0.42,0.41,0.01,0.073819875717163
1043_ada_agnostic,0.42,100,0.42,0.38,0.04,0.0739822387695312
1043_ada_agnostic,0.42,100,0.42,0.42,0.0,0.0798475742340087
1043_ada_agnostic,0.42,100,0.42,0.45,0.03,0.0839655399322509
1043_ada_agnostic,0.42,100,0.42,0.46,0.04,0.0838401317596435
1043_ada_agnostic,0.42,100,0.42,0.48,0.06,0.075157880783081
1043_ada_agnostic,0.42,100,0.42,0.39,0.03,0.0735764503479003
1043_ada_agnostic,0.42,100,0.42,0.56,0.14,0.0810937881469726
1043_ada_agnostic,0.47,100,0.47,0.51,0.04,0.0781686305999755
1043_ada_agnostic,0.47,100,0.47,0.49,0.02,0.0731852054595947
1043_ada_agnostic,0.47,100,0.47,0.58,0.11,0.0767865180969238
1043_ada_agnostic,0.47,100,0.47,0.61,0.14,0.0720777511596679
1043_ada_agnostic,0.47,100,0.47,0.55,0.08,0.0793848037719726
1043_ada_agnostic,0.47,100,0.47,0.6,0.13,0.0797874927520752
1043_ada_agnostic,0.47,100,0.47,0.54,0.07,0.0730104446411132
1043_ada_agnostic,0.47,100,0.47,0.54,0.07,0.0761303901672363
1043_ada_agnostic,0.47,100,0.47,0.51,0.04,0.0789594650268554
1043_ada_agnostic,0.47,100,0.47,0.5,0.03,0.0708687305450439
1043_ada_agnostic,0.53,100,0.53,0.51,0.02,0.0732295513153076
1043_ada_agnostic,0.53,100,0.53,0.58,0.05,0.0719721317291259
1043_ada_agnostic,0.53,100,0.53,0.6,0.07,0.0793721675872802
1043_ada_agnostic,0.53,100,0.53,0.62,0.09,0.0711543560028076
1043_ada_agnostic,0.53,100,0.53,0.67,0.14,0.0762445926666259
1043_ada_agnostic,0.53,100,0.53,0.57,0.04,0.0750026702880859
1043_ada_agnostic,0.53,100,0.53,0.55,0.02,0.09224534034729
1043_ada_agnostic,0.53,100,0.53,0.55,0.02,0.076517105102539
1043_ada_agnostic,0.53,100,0.53,0.57,0.04,0.0995993614196777
1043_ada_agnostic,0.53,100,0.53,0.61,0.08,0.0742483139038086
1043_ada_agnostic,0.58,100,0.58,0.67,0.09,0.0816409587860107
1043_ada_agnostic,0.58,100,0.58,0.64,0.06,0.0740106105804443
1043_ada_agnostic,0.58,100,0.58,0.6,0.02,0.0746355056762695
1043_ada_agnostic,0.58,100,0.58,0.56,0.02,0.0800130367279052
1043_ada_agnostic,0.58,100,0.58,0.61,0.03,0.1081326007843017
1043_ada_agnostic,0.58,100,0.58,0.59,0.01,0.0914561748504638
1043_ada_agnostic,0.58,100,0.58,0.68,0.1,0.0746371746063232
1043_ada_agnostic,0.58,100,0.58,0.69,0.11,0.0740656852722168
1043_ada_agnostic,0.58,100,0.58,0.67,0.09,0.0820262432098388
1043_ada_agnostic,0.58,100,0.58,0.64,0.06,0.077155590057373
1043_ada_agnostic,0.63,100,0.63,0.73,0.1,0.0754170417785644
1043_ada_agnostic,0.63,100,0.63,0.63,0.0,0.080942153930664
1043_ada_agnostic,0.63,100,0.63,0.63,0.0,0.0771491527557373
1043_ada_agnostic,0.63,100,0.63,0.58,0.05,0.0733435153961181
1043_ada_agnostic,0.63,100,0.63,0.65,0.02,0.0755500793457031
1043_ada_agnostic,0.63,100,0.63,0.65,0.02,0.0719382762908935
1043_ada_agnostic,0.63,100,0.63,0.7,0.07,0.0802407264709472
1043_ada_agnostic,0.63,100,0.63,0.67,0.04,0.0717444419860839
1043_ada_agnostic,0.63,100,0.63,0.69,0.06,0.0704457759857177
1043_ada_agnostic,0.63,100,0.63,0.72,0.09,0.070953369140625
1043_ada_agnostic,0.68,100,0.68,0.75,0.07,0.0771920680999755
1043_ada_agnostic,0.68,100,0.68,0.73,0.05,0.0749733448028564
1043_ada_agnostic,0.68,100,0.68,0.73,0.05,0.0690827369689941
