dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.3791894912719726
1043_ada_agnostic,0.0,100,0.0,0.07,0.07,0.3838095664978027
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.4000539779663086
1043_ada_agnostic,0.0,100,0.0,0.03,0.03,0.3504180908203125
1043_ada_agnostic,0.0,100,0.0,0.05,0.05,0.4591150283813476
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.4308583736419678
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.3715276718139648
1043_ada_agnostic,0.0,100,0.0,0.09,0.09,0.3593721389770508
1043_ada_agnostic,0.0,100,0.0,0.0,0.0,0.3570568561553955
1043_ada_agnostic,0.0,100,0.0,0.07,0.07,0.349543809890747
1043_ada_agnostic,0.05,100,0.05,0.12,0.07,0.4059135913848877
1043_ada_agnostic,0.05,100,0.05,0.08,0.03,0.3649487495422363
1043_ada_agnostic,0.05,100,0.05,0.11,0.06,0.3524718284606933
1043_ada_agnostic,0.05,100,0.05,0.15,0.1,0.3568887710571289
1043_ada_agnostic,0.05,100,0.05,0.06,0.01,0.3673069477081299
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.3532004356384277
1043_ada_agnostic,0.05,100,0.05,0.01,0.04,0.3489015102386474
1043_ada_agnostic,0.05,100,0.05,0.04,0.01,0.3603250980377197
1043_ada_agnostic,0.05,100,0.05,0.09,0.04,0.3500244617462158
1043_ada_agnostic,0.05,100,0.05,0.06,0.01,0.3528530597686767
1043_ada_agnostic,0.11,100,0.11,0.2,0.09,0.3441386222839355
1043_ada_agnostic,0.11,100,0.11,0.19,0.08,0.3609452247619629
1043_ada_agnostic,0.11,100,0.11,0.19,0.08,0.3524048328399658
1043_ada_agnostic,0.11,100,0.11,0.21,0.1,0.3510563373565674
1043_ada_agnostic,0.11,100,0.11,0.3,0.19,0.3521363735198974
1043_ada_agnostic,0.11,100,0.11,0.12,0.01,0.3571500778198242
1043_ada_agnostic,0.11,100,0.11,0.18,0.07,0.3715560436248779
1043_ada_agnostic,0.11,100,0.11,0.04,0.07,0.3753721714019775
1043_ada_agnostic,0.11,100,0.11,0.06,0.05,0.3582806587219238
1043_ada_agnostic,0.11,100,0.11,0.2,0.09,0.3729755878448486
1043_ada_agnostic,0.16,100,0.16,0.25,0.09,0.3559985160827636
1043_ada_agnostic,0.16,100,0.16,0.31,0.15,0.4737040996551513
1043_ada_agnostic,0.16,100,0.16,0.34,0.18,0.3439810276031494
1043_ada_agnostic,0.16,100,0.16,0.17,0.01,0.3603589534759521
1043_ada_agnostic,0.16,100,0.16,0.22,0.06,0.3875091075897217
1043_ada_agnostic,0.16,100,0.16,0.21,0.05,0.3455650806427002
1043_ada_agnostic,0.16,100,0.16,0.26,0.1,0.3458917140960693
1043_ada_agnostic,0.16,100,0.16,0.25,0.09,0.3295540809631347
1043_ada_agnostic,0.16,100,0.16,0.32,0.16,0.3294248580932617
1043_ada_agnostic,0.16,100,0.16,0.2,0.04,0.3561005592346191
1043_ada_agnostic,0.21,100,0.21,0.29,0.08,0.4307923316955566
1043_ada_agnostic,0.21,100,0.21,0.2,0.01,0.3447053432464599
1043_ada_agnostic,0.21,100,0.21,0.27,0.06,0.3582067489624023
1043_ada_agnostic,0.21,100,0.21,0.31,0.1,0.3334078788757324
1043_ada_agnostic,0.21,100,0.21,0.26,0.05,0.3485231399536133
1043_ada_agnostic,0.21,100,0.21,0.3,0.09,0.3498492240905761
1043_ada_agnostic,0.21,100,0.21,0.29,0.08,0.3581686019897461
1043_ada_agnostic,0.21,100,0.21,0.27,0.06,0.3352425098419189
1043_ada_agnostic,0.21,100,0.21,0.37,0.16,0.3562719821929931
1043_ada_agnostic,0.21,100,0.21,0.22,0.01,0.3339591026306152
1043_ada_agnostic,0.26,100,0.26,0.22,0.04,0.3476550579071045
