dataset_name,alpha,sample_size,real_p,pred_p,abs_error,run_time
1043_ada_agnostic,0.0,100,0.0,0.05,0.05,0.0040459632873535
1043_ada_agnostic,0.0,100,0.0,0.15,0.15,0.0039889812469482
1043_ada_agnostic,0.0,100,0.0,0.02,0.02,0.0029919147491455
1043_ada_agnostic,0.0,100,0.0,0.08,0.08,0.0039887428283691
1043_ada_agnostic,0.0,100,0.0,0.19,0.19,0.0050258636474609
1043_ada_agnostic,0.0,100,0.0,0.14,0.14,0.0049867630004882
1043_ada_agnostic,0.0,100,0.0,0.13,0.13,0.0039877891540527
1043_ada_agnostic,0.0,100,0.0,0.14,0.14,0.0070843696594238
1043_ada_agnostic,0.0,100,0.0,0.08,0.08,0.0039899349212646
1043_ada_agnostic,0.0,100,0.0,0.19,0.19,0.0046024322509765
1043_ada_agnostic,0.05,100,0.05,0.19,0.14,0.0069818496704101
1043_ada_agnostic,0.05,100,0.05,0.12,0.07,0.0069818496704101
1043_ada_agnostic,0.05,100,0.05,0.12,0.07,0.0049827098846435
1043_ada_agnostic,0.05,100,0.05,0.19,0.14,0.0059850215911865
1043_ada_agnostic,0.05,100,0.05,0.16,0.11,0.0029799938201904
1043_ada_agnostic,0.05,100,0.05,0.05,0.0,0.004065990447998
1043_ada_agnostic,0.05,100,0.05,0.07,0.02,0.0040149688720703
1043_ada_agnostic,0.05,100,0.05,0.17,0.12,0.0039939880371093
1043_ada_agnostic,0.05,100,0.05,0.14,0.09,0.0040462017059326
1043_ada_agnostic,0.05,100,0.05,0.08,0.03,0.0035209655761718
1043_ada_agnostic,0.11,100,0.11,0.22,0.11,0.0030245780944824
1043_ada_agnostic,0.11,100,0.11,0.23,0.12,0.00398850440979
1043_ada_agnostic,0.11,100,0.11,0.25,0.14,0.0042243003845214
1043_ada_agnostic,0.11,100,0.11,0.21,0.1,0.0040285587310791
1043_ada_agnostic,0.11,100,0.11,0.31,0.2,0.0049769878387451
1043_ada_agnostic,0.11,100,0.11,0.07,0.04,0.0030007362365722
1043_ada_agnostic,0.11,100,0.11,0.14,0.03,0.0029923915863037
1043_ada_agnostic,0.11,100,0.11,0.11,0.0,0.0060186386108398
1043_ada_agnostic,0.11,100,0.11,0.16,0.05,0.0029935836791992
1043_ada_agnostic,0.11,100,0.11,0.24,0.13,0.006533145904541
1043_ada_agnostic,0.16,100,0.16,0.24,0.08,0.0060231685638427
1043_ada_agnostic,0.16,100,0.16,0.24,0.08,0.0050024986267089
1043_ada_agnostic,0.16,100,0.16,0.32,0.16,0.005730390548706
1043_ada_agnostic,0.16,100,0.16,0.22,0.06,0.0069265365600585
1043_ada_agnostic,0.16,100,0.16,0.22,0.06,0.0029940605163574
1043_ada_agnostic,0.16,100,0.16,0.26,0.1,0.0029911994934082
1043_ada_agnostic,0.16,100,0.16,0.29,0.13,0.0069811344146728
1043_ada_agnostic,0.16,100,0.16,0.26,0.1,0.0041131973266601
1043_ada_agnostic,0.16,100,0.16,0.28,0.12,0.0039856433868408
1043_ada_agnostic,0.16,100,0.16,0.29,0.13,0.0049834251403808
1043_ada_agnostic,0.21,100,0.21,0.25,0.04,0.0089757442474365
1043_ada_agnostic,0.21,100,0.21,0.26,0.05,0.0050067901611328
1043_ada_agnostic,0.21,100,0.21,0.31,0.1,0.0037863254547119
1043_ada_agnostic,0.21,100,0.21,0.35,0.14,0.0050189495086669
1043_ada_agnostic,0.21,100,0.21,0.25,0.04,0.0029911994934082
1043_ada_agnostic,0.21,100,0.21,0.34,0.13,0.0039887428283691
1043_ada_agnostic,0.21,100,0.21,0.28,0.07,0.0060157775878906
1043_ada_agnostic,0.21,100,0.21,0.27,0.06,0.0039641857147216
1043_ada_agnostic,0.21,100,0.21,0.35,0.14,0.0039892196655273
1043_ada_agnostic,0.21,100,0.21,0.24,0.03,0.0039882659912109
