MAE,Dataset
0.08404499999999998,1043_ada_agnostic
0.03556333333333334,11_balance-scale
0.007405000000000008,12_mfeat-factors
0.256465,1460_banana
0.00739833333333333,1462_banknote-authentication
0.0053200000000000035,1466_cardiotocography
0.07227,1475_first-order-theorem-proving
0.12094333333333332,1479_hill-valley
0.09396833333333333,1485_madelon
0.07507500000000002,1489_phoneme
0.05396666666666668,1494_qsar-biodeg
0.06064333333333332,1496_ringnorm
0.04883500000000001,1497_wall-robot-navigation
0.012393333333333338,14_mfeat-fourier
0.001658333333333332,1504_steel-plates-fault
0.0053666666666666646,1507_twonorm
0.015251666666666669,1510_wdbc
0.07090500000000001,1526_wall-robot-navigation
0.07954833333333333,1527_volcanoes-a1
0.12588666666666665,1535_volcanoes-b5
0.35597999999999996,1538_volcanoes-d1
0.4321766666666667,1539_volcanoes-d2
0.1698883333333333,1540_volcanoes-d3
0.1734266666666667,1541_volcanoes-d4
0.35902166666666663,1547_autoUniv-au1-1000
0.15236333333333332,1566_hill-valley
0.09907333333333332,1570_wilt
0.028735000000000004,16_mfeat-karhunen
0.010236666666666672,182_satimage
0.010180000000000007,18_mfeat-morphological
0.0242,20_mfeat-pixel
0.044488333333333345,22_mfeat-zernike
0.139265,23_cmc
0.02569333333333333,28_optdigits
0.04112833333333333,292_Australian
0.011401666666666664,294_satellite_image
0.08076666666666665,30_page-blocks
0.01671833333333333,312_scene
0.122315,333_monks-problems-1
0.3811883333333333,334_monks-problems-2
0.05205833333333333,335_monks-problems-3
0.006923333333333333,36_segment
0.021665000000000004,375_JapaneseVowels
0.09962833333333335,37_diabetes
0.05985000000000002,40474_thyroid-allbp
0.06944,40475_thyroid-allhyper
0.19627999999999998,40733_yeast
0.036253333333333346,44_spambase
0.15982000000000002,4538_GesturePhaseSegmentationProcessed
0.008400000000000008,458_analcatdata_authorship
0.030616666666666667,54_vehicle
0.040528333333333354,60_waveform-5000
0.403665,679_rmftsa_sleepdata
0.036448333333333326,AedesQuinx
0.010498333333333337,AedesSex
0.01846333333333334,anuranCalls
0.005970000000000008,ArabicDigit
0.008520000000000002,BNG
0.2103583333333333,click-prediction
0.08833333333333335,cmc
0.04861333333333333,covtype_reduced
0.12858166666666668,default_credit_card_clients
0.13126,eeg
0.025085,HTRU
0.21562166666666668,jm1-processed
0.26554,letter-recognition
0.07543333333333332,magic
0.04875000000000001,mozilla
0.01962333333333334,namao
0.006108333333333332,occupancy
0.081365,phoneme
0.031138333333333344,spambase
0.0048983333333333335,winetype
0.031481666666666665,2dplanes
0.04913333333333334,balloon
0.01993666666666667,bank8FM
0.13258499999999998,churn
0.0025316666666666686,clean2
0.019998333333333337,cpu_act
0.020793333333333334,delta_ailerons
0.06521,electricity-normalized
0.04706666666666668,elevators
0.06679166666666667,file79b563a1a18
0.03439833333333333,fried
0.04770166666666666,fri_c2_1000_10
0.327065,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.3986933333333333,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.026920000000000013,gina_agnostic
0.039138333333333344,kin8nm
0.31170333333333333,parity5_plus_5
0.007810000000000002,pendigits
0.07051500000000001,phpGUrE90
0.04390333333333332,phphQEck0
0.03743333333333333,phpMD2hR6
0.46877833333333335,phpmPOD5A
0.019278333333333335,phpV5QYya
0.028251666666666675,pol
0.3401166666666668,pollen
0.06646166666666667,puma32H
0.060325000000000024,puma8NH
0.3249566666666666,quake
0.04986166666666667,space_ga
0.013121666666666669,sylva_prior
0.003416666666666661,visualizing_soil
0.03603166666666666,wind
