MAE,Dataset
0.05055,1043_ada_agnostic.csv
0.022000000000000002,11_balance-scale.csv
0.0084,12_mfeat-factors.csv
0.1765,1460_banana.csv
0.00515,1462_banknote-authentication.csv
0.0,1466_cardiotocography.csv
0.0776,1475_first-order-theorem-proving.csv
0.04285,1479_hill-valley.csv
0.16005,1485_madelon.csv
0.0487,1489_phoneme.csv
0.0451,1494_qsar-biodeg.csv
0.0509,1496_ringnorm.csv
0.04595,1497_wall-robot-navigation.csv
0.0104,14_mfeat-fourier.csv
0.0012,1504_steel-plates-fault.csv
0.008150000000000001,1507_twonorm.csv
0.0098,1510_wdbc.csv
0.05915,1526_wall-robot-navigation.csv
0.034050000000000004,1527_volcanoes-a1.csv
0.0809,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.0599,1540_volcanoes-d3.csv
0.0975,1541_volcanoes-d4.csv
0.41155,1547_autoUniv-au1-1000.csv
0.1041,1566_hill-valley.csv
0.04650000000000001,1570_wilt.csv
0.024,16_mfeat-karhunen.csv
0.0079,182_satimage.csv
0.0086,18_mfeat-morphological.csv
0.0158,20_mfeat-pixel.csv
0.0483,22_mfeat-zernike.csv
0.09480000000000001,23_cmc.csv
0.02245,28_optdigits.csv
0.030900000000000004,292_Australian.csv
0.011300000000000001,294_satellite_image.csv
0.03135,30_page-blocks.csv
0.028399999999999998,312_scene.csv
0.011850000000000001,333_monks-problems-1.csv
0.0981,334_monks-problems-2.csv
0.5,335_monks-problems-3.csv
0.014950000000000001,36_segment.csv
0.0045000000000000005,375_JapaneseVowels.csv
0.01325,37_diabetes.csv
0.06795,40474_thyroid-allbp.csv
0.05225,40475_thyroid-allhyper.csv
0.0631,40733_yeast.csv
0.09849999999999999,44_spambase.csv
0.020100000000000003,4538_GesturePhaseSegmentationProcessed.csv
0.09645,458_analcatdata_authorship.csv
0.0062,54_vehicle.csv
0.01935,60_waveform-5000.csv
0.027800000000000002,679_rmftsa_sleepdata.csv
0.5,AedesQuinx.csv
0.03915,AedesSex.csv
0.0105,anuranCalls.csv
0.005849999999999999,ArabicDigit.csv
0.0089,BNG.csv
0.46869999999999995,click-prediction.csv
0.5,cmc.csv
0.01965,covtype_reduced.csv
0.0152,default_credit_card_clients.csv
0.02255,eeg.csv
0.0147,HTRU.csv
0.049749999999999996,jm1-processed.csv
0.0006,letter-recognition.csv
0.1293,magic.csv
0.092,mozilla.csv
0.0539,namao.csv
0.01885,occupancy.csv
0.08074999999999999,phoneme.csv
0.02085,spambase.csv
0.1413,winetype.csv
0.049400000000000006,2dplanes.csv
0.028050000000000002,balloon.csv
0.04135,bank8FM.csv
0.04775,churn.csv
0.03305,clean2.csv
0.02605,cpu_act.csv
0.09785,delta_ailerons.csv
0.05045,electricity-normalized.csv
0.49155,elevators.csv
0.0518,file79b563a1a18.csv
0.0369,fried.csv
0.016300000000000002,fri_c2_1000_10.csv
0.0073,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.5,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.00575,gina_agnostic.csv
0.0554,kin8nm.csv
0.03315,parity5_plus_5.csv
0.0308,pendigits.csv
0.01915,phpGUrE90.csv
0.014199999999999999,phphQEck0.csv
0.5,phpMD2hR6.csv
0.024050000000000002,phpmPOD5A.csv
0.54145,phpV5QYya.csv
0.1139,pol.csv
0.03895,pollen.csv
0.3189,puma32H.csv
0.03425,puma8NH.csv
0.0204,quake.csv
0.0088,space_ga.csv
0.0013,sylva_prior.csv
0.0268,visualizing_soil.csv
0.0045000000000000005,wind.csv
