MAE,Dataset
0.052199999999999996,1043_ada_agnostic.csv
0.02825,11_balance-scale.csv
0.0059499999999999996,12_mfeat-factors.csv
0.3043,1460_banana.csv
0.00555,1462_banknote-authentication.csv
0.0,1466_cardiotocography.csv
0.07735,1475_first-order-theorem-proving.csv
0.0575,1479_hill-valley.csv
0.15915,1485_madelon.csv
0.07475,1489_phoneme.csv
0.05625,1494_qsar-biodeg.csv
0.0572,1496_ringnorm.csv
0.049400000000000006,1497_wall-robot-navigation.csv
0.010050000000000002,14_mfeat-fourier.csv
0.0,1504_steel-plates-fault.csv
0.00885,1507_twonorm.csv
0.015150000000000002,1510_wdbc.csv
0.09140000000000001,1526_wall-robot-navigation.csv
0.05115,1527_volcanoes-a1.csv
0.08865,1535_volcanoes-b5.csv
0.5,1538_volcanoes-d1.csv
0.5,1539_volcanoes-d2.csv
0.2506,1540_volcanoes-d3.csv
0.24745,1541_volcanoes-d4.csv
0.5,1547_autoUniv-au1-1000.csv
0.08900000000000001,1566_hill-valley.csv
0.047700000000000006,1570_wilt.csv
0.01625,16_mfeat-karhunen.csv
0.0103,182_satimage.csv
0.006500000000000001,18_mfeat-morphological.csv
0.01565,20_mfeat-pixel.csv
0.0371,22_mfeat-zernike.csv
0.08745000000000001,23_cmc.csv
0.01725,28_optdigits.csv
0.041550000000000004,292_Australian.csv
0.0127,294_satellite_image.csv
0.03485,30_page-blocks.csv
0.06415,312_scene.csv
0.01355,333_monks-problems-1.csv
0.11560000000000001,334_monks-problems-2.csv
0.5,335_monks-problems-3.csv
0.1974,36_segment.csv
0.0044,375_JapaneseVowels.csv
0.01935,37_diabetes.csv
0.0736,40474_thyroid-allbp.csv
0.05355000000000001,40475_thyroid-allhyper.csv
0.06335,40733_yeast.csv
0.2579,44_spambase.csv
0.0217,4538_GesturePhaseSegmentationProcessed.csv
0.11895,458_analcatdata_authorship.csv
0.0035499999999999998,54_vehicle.csv
0.028999999999999998,60_waveform-5000.csv
0.030950000000000002,679_rmftsa_sleepdata.csv
0.5,AedesQuinx.csv
0.039900000000000005,AedesSex.csv
0.011200000000000002,anuranCalls.csv
0.00795,ArabicDigit.csv
0.00935,BNG.csv
0.4728,click-prediction.csv
0.5,cmc.csv
0.02265,covtype_reduced.csv
0.01785,default_credit_card_clients.csv
0.02235,eeg.csv
0.0173,HTRU.csv
0.14679999999999999,jm1-processed.csv
0.0,letter-recognition.csv
0.4985,magic.csv
0.07780000000000001,mozilla.csv
0.056799999999999996,namao.csv
0.02105,occupancy.csv
0.09925,phoneme.csv
0.0223,spambase.csv
0.1722,winetype.csv
0.05745,2dplanes.csv
0.029449999999999997,balloon.csv
0.04565,bank8FM.csv
0.04755,churn.csv
0.0359,clean2.csv
0.0288,cpu_act.csv
0.1389,delta_ailerons.csv
0.052250000000000005,electricity-normalized.csv
0.5,elevators.csv
0.04905,file79b563a1a18.csv
0.04020000000000001,fried.csv
0.01895,fri_c2_1000_10.csv
0.0069500000000000004,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.5,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.0064,gina_agnostic.csv
0.07655,kin8nm.csv
0.04865,parity5_plus_5.csv
0.046450000000000005,pendigits.csv
0.02245,phpGUrE90.csv
0.016200000000000003,phphQEck0.csv
0.5,phpMD2hR6.csv
0.03195,phpmPOD5A.csv
0.5015,phpV5QYya.csv
0.12990000000000002,pol.csv
0.0478,pollen.csv
0.37829999999999997,puma32H.csv
0.03585,puma8NH.csv
0.02085,quake.csv
0.00705,space_ga.csv
0.0015,sylva_prior.csv
0.03025,visualizing_soil.csv
0.0051,wind.csv
