MAE,Dataset
0.06924999999999999,1043_ada_agnostic.csv
0.06105000000000001,11_balance-scale.csv
0.0291,12_mfeat-factors.csv
0.5,1460_banana.csv
0.0165,1462_banknote-authentication.csv
0.003,1466_cardiotocography.csv
0.1727,1475_first-order-theorem-proving.csv
0.4239,1479_hill-valley.csv
0.19690000000000002,1485_madelon.csv
0.12925,1489_phoneme.csv
0.0802,1494_qsar-biodeg.csv
0.1509,1496_ringnorm.csv
0.11689999999999999,1497_wall-robot-navigation.csv
0.036750000000000005,14_mfeat-fourier.csv
0.0029,1504_steel-plates-fault.csv
0.011200000000000002,1507_twonorm.csv
0.0245,1510_wdbc.csv
0.1422,1526_wall-robot-navigation.csv
0.0528,1527_volcanoes-a1.csv
0.06105000000000001,1535_volcanoes-b5.csv
0.3969,1538_volcanoes-d1.csv
0.37075,1539_volcanoes-d2.csv
0.5,1540_volcanoes-d3.csv
0.3795,1541_volcanoes-d4.csv
0.29795,1547_autoUniv-au1-1000.csv
0.2181,1566_hill-valley.csv
0.1483,1570_wilt.csv
0.04095,16_mfeat-karhunen.csv
0.011500000000000002,182_satimage.csv
0.0302,18_mfeat-morphological.csv
0.044950000000000004,20_mfeat-pixel.csv
0.057,22_mfeat-zernike.csv
0.35105,23_cmc.csv
0.0194,28_optdigits.csv
0.11855,292_Australian.csv
0.0173,294_satellite_image.csv
0.0622,30_page-blocks.csv
0.06335,312_scene.csv
0.02035,333_monks-problems-1.csv
0.24125,334_monks-problems-2.csv
0.28825,335_monks-problems-3.csv
0.0788,36_segment.csv
0.015700000000000002,375_JapaneseVowels.csv
0.021150000000000002,37_diabetes.csv
0.1822,40474_thyroid-allbp.csv
0.1255,40475_thyroid-allhyper.csv
0.12990000000000002,40733_yeast.csv
0.48515,44_spambase.csv
0.0907,4538_GesturePhaseSegmentationProcessed.csv
0.5,458_analcatdata_authorship.csv
0.0196,54_vehicle.csv
0.029300000000000003,60_waveform-5000.csv
0.15535,679_rmftsa_sleepdata.csv
0.26285000000000003,AedesQuinx.csv
0.09154999999999999,AedesSex.csv
0.020950000000000003,anuranCalls.csv
0.012450000000000001,ArabicDigit.csv
0.0182,BNG.csv
0.42424999999999996,click-prediction.csv
0.263,cmc.csv
0.0236,covtype_reduced.csv
0.026949999999999998,default_credit_card_clients.csv
0.057999999999999996,eeg.csv
0.02235,HTRU.csv
0.4395,jm1-processed.csv
0.0039000000000000003,letter-recognition.csv
0.35479999999999995,magic.csv
0.34635,mozilla.csv
0.1103,namao.csv
0.0319,occupancy.csv
0.43905,phoneme.csv
0.0337,spambase.csv
0.5,winetype.csv
0.18515,2dplanes.csv
0.0557,balloon.csv
0.1516,bank8FM.csv
0.21539999999999998,churn.csv
0.0635,clean2.csv
0.056299999999999996,cpu_act.csv
0.5,delta_ailerons.csv
0.10550000000000001,electricity-normalized.csv
0.3243,elevators.csv
0.128,file79b563a1a18.csv
0.1323,fried.csv
0.0264,fri_c2_1000_10.csv
0.027450000000000002,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.2602,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.0169,gina_agnostic.csv
0.1285,kin8nm.csv
0.06895000000000001,parity5_plus_5.csv
0.28495000000000004,pendigits.csv
0.03475,phpGUrE90.csv
0.1722,phphQEck0.csv
0.447,phpMD2hR6.csv
0.0668,phpmPOD5A.csv
0.5,phpV5QYya.csv
0.1925,pol.csv
0.1291,pollen.csv
0.5,puma32H.csv
0.06709999999999999,puma8NH.csv
0.0879,quake.csv
0.03145,space_ga.csv
0.0116,sylva_prior.csv
0.05195,visualizing_soil.csv
0.0074,wind.csv
