MAE,Dataset
0.2022,1043_ada_agnostic.csv
0.06305,11_balance-scale.csv
0.03345,12_mfeat-factors.csv
0.26495,1460_banana.csv
0.02035,1462_banknote-authentication.csv
0.003,1466_cardiotocography.csv
0.21675,1475_first-order-theorem-proving.csv
0.20149999999999998,1479_hill-valley.csv
0.25105,1485_madelon.csv
0.23125,1489_phoneme.csv
0.14595,1494_qsar-biodeg.csv
0.1834,1496_ringnorm.csv
0.1875,1497_wall-robot-navigation.csv
0.036750000000000005,14_mfeat-fourier.csv
0.0029,1504_steel-plates-fault.csv
0.01955,1507_twonorm.csv
0.0348,1510_wdbc.csv
0.22094999999999998,1526_wall-robot-navigation.csv
0.20085,1527_volcanoes-a1.csv
0.32420000000000004,1535_volcanoes-b5.csv
0.3969,1538_volcanoes-d1.csv
0.37075,1539_volcanoes-d2.csv
0.3775,1540_volcanoes-d3.csv
0.3909,1541_volcanoes-d4.csv
0.29795,1547_autoUniv-au1-1000.csv
0.21170000000000003,1566_hill-valley.csv
0.39130000000000004,1570_wilt.csv
0.05895,16_mfeat-karhunen.csv
0.02145,182_satimage.csv
0.03495,18_mfeat-morphological.csv
0.04935,20_mfeat-pixel.csv
0.06155,22_mfeat-zernike.csv
0.23295000000000002,23_cmc.csv
0.055,28_optdigits.csv
0.1235,292_Australian.csv
0.02495,294_satellite_image.csv
0.1241,30_page-blocks.csv
0.15755,312_scene.csv
0.04445,333_monks-problems-1.csv
0.22675,334_monks-problems-2.csv
0.28825,335_monks-problems-3.csv
0.09015000000000001,36_segment.csv
0.019450000000000002,375_JapaneseVowels.csv
0.06905,37_diabetes.csv
0.19820000000000002,40474_thyroid-allbp.csv
0.19115,40475_thyroid-allhyper.csv
0.1948,40733_yeast.csv
0.25984999999999997,44_spambase.csv
0.12135,4538_GesturePhaseSegmentationProcessed.csv
0.27085000000000004,458_analcatdata_authorship.csv
0.0196,54_vehicle.csv
0.0508,60_waveform-5000.csv
0.12765,679_rmftsa_sleepdata.csv
0.26285000000000003,AedesQuinx.csv
0.14785,AedesSex.csv
0.02705,anuranCalls.csv
0.01665,ArabicDigit.csv
0.02315,BNG.csv
0.263,click-prediction.csv
0.263,cmc.csv
0.09390000000000001,covtype_reduced.csv
0.05195,default_credit_card_clients.csv
0.10654999999999999,eeg.csv
0.0493,HTRU.csv
0.28455,jm1-processed.csv
0.0039000000000000003,letter-recognition.csv
0.35479999999999995,magic.csv
0.23235,mozilla.csv
0.18015,namao.csv
0.07395,occupancy.csv
0.2901,phoneme.csv
0.06265,spambase.csv
0.25525,winetype.csv
0.18395,2dplanes.csv
0.10800000000000001,balloon.csv
0.16469999999999999,bank8FM.csv
0.22625,churn.csv
0.1255,clean2.csv
0.10785,cpu_act.csv
0.315,delta_ailerons.csv
0.18725000000000003,electricity-normalized.csv
0.3243,elevators.csv
0.1844,file79b563a1a18.csv
0.17800000000000002,fried.csv
0.05775,fri_c2_1000_10.csv
0.0258,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1.csv
0.2602,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1.csv
0.030600000000000002,gina_agnostic.csv
0.23115,kin8nm.csv
0.13775,parity5_plus_5.csv
0.15345,pendigits.csv
0.0622,phpGUrE90.csv
0.14865,phphQEck0.csv
0.447,phpMD2hR6.csv
0.12015,phpmPOD5A.csv
0.263,phpV5QYya.csv
0.24165,pol.csv
0.1739,pollen.csv
0.26580000000000004,puma32H.csv
0.12795,puma8NH.csv
0.11904999999999999,quake.csv
0.04535,space_ga.csv
0.0116,sylva_prior.csv
0.10875,visualizing_soil.csv
0.010549999999999999,wind.csv
