MAE,Dataset
0.032650000000000005,1043_ada_agnostic
0.0216,11_balance-scale
0.006200000000000002,12_mfeat-factors
0.09744999999999998,1460_banana
0.0031499999999999905,1462_banknote-authentication
0.0,1466_cardiotocography
0.037550000000000014,1475_first-order-theorem-proving
0.022599999999999988,1479_hill-valley
0.07849999999999999,1485_madelon
0.025599999999999994,1489_phoneme
0.03760000000000002,1494_qsar-biodeg
0.02065,1496_ringnorm
0.017050000000000003,1497_wall-robot-navigation
0.015900000000000004,14_mfeat-fourier
0.0,1504_steel-plates-fault
0.0026999999999999984,1507_twonorm
0.004599999999999988,1510_wdbc
0.03274999999999999,1526_wall-robot-navigation
0.047450000000000006,1527_volcanoes-a1
0.06619999999999997,1535_volcanoes-b5
0.022850000000000013,1538_volcanoes-d1
0.09905,1539_volcanoes-d2
0.02144999999999999,1540_volcanoes-d3
0.07365000000000001,1541_volcanoes-d4
0.17575000000000002,1547_autoUniv-au1-1000
0.0901,1566_hill-valley
0.031349999999999975,1570_wilt
0.015849999999999996,16_mfeat-karhunen
0.0030999999999999917,182_satimage
0.0025500000000000106,18_mfeat-morphological
0.014650000000000005,20_mfeat-pixel
0.03505000000000001,22_mfeat-zernike
0.23254999999999998,23_cmc
0.020950000000000003,28_optdigits
0.02309999999999999,292_Australian
0.007249999999999997,294_satellite_image
0.018099999999999995,30_page-blocks
0.009249999999999994,312_scene
0.03855000000000003,333_monks-problems-1
0.055399999999999984,334_monks-problems-2
0.00815,335_monks-problems-3
0.00779999999999999,36_segment
0.005749999999999991,375_JapaneseVowels
0.04864999999999999,37_diabetes
0.020350000000000014,40474_thyroid-allbp
0.03690000000000002,40475_thyroid-allhyper
0.08,40733_yeast
0.008800000000000006,44_spambase
0.04100000000000003,4538_GesturePhaseSegmentationProcessed
0.0028500000000000122,458_analcatdata_authorship
0.015150000000000014,54_vehicle
0.009900000000000003,60_waveform-5000
0.04465,679_rmftsa_sleepdata
0.01509999999999998,AedesQuinx
0.0051500000000000035,AedesSex
0.0065500000000000055,anuranCalls
0.0034500000000000017,ArabicDigit
0.005099999999999992,BNG
0.05800000000000001,click-prediction
0.05349999999999999,cmc
0.020350000000000014,covtype_reduced
0.0354,default_credit_card_clients
0.0662,eeg
0.009499999999999998,HTRU
0.058600000000000006,jm1-processed
0.042649999999999993,letter-recognition
0.018549999999999994,magic
0.020800000000000003,mozilla
0.006800000000000006,namao
0.0025500000000000162,occupancy
0.024650000000000016,phoneme
0.0077500000000000095,spambase
0.0031499999999999957,winetype
0.01424999999999999,2dplanes
0.10555,balloon
0.006399999999999994,bank8FM
0.0426,churn
0.0,clean2
0.00845000000000001,cpu_act
0.013099999999999983,delta_ailerons
0.0204,electricity-normalized
0.01335000000000001,elevators
0.03250000000000002,file79b563a1a18
0.012799999999999988,fried
0.030199999999999994,fri_c2_1000_10
0.21505000000000002,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.3039,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.011650000000000008,gina_agnostic
0.018600000000000023,kin8nm
0.26020000000000004,parity5_plus_5
0.0023999999999999968,pendigits
0.02934999999999998,phpGUrE90
0.0037999999999999813,phphQEck0
0.009999999999999998,phpMD2hR6
0.36574999999999996,phpmPOD5A
0.009500000000000017,phpV5QYya
0.010850000000000009,pol
0.34450000000000003,pollen
0.03975,puma32H
0.02485,puma8NH
0.1792,quake
0.021049999999999992,space_ga
0.004450000000000001,sylva_prior
0.000949999999999998,visualizing_soil
0.010399999999999986,wind
