MAE,Dataset
0.03765,1043_ada_agnostic
0.02155,11_balance-scale
0.003200000000000006,12_mfeat-factors
0.12319999999999998,1460_banana
0.0038999999999999937,1462_banknote-authentication
0.0,1466_cardiotocography
0.03650000000000002,1475_first-order-theorem-proving
0.020849999999999987,1479_hill-valley
0.06534999999999999,1485_madelon
0.021800000000000007,1489_phoneme
0.03805000000000002,1494_qsar-biodeg
0.026850000000000006,1496_ringnorm
0.02275,1497_wall-robot-navigation
0.012350000000000017,14_mfeat-fourier
0.00030000000000000024,1504_steel-plates-fault
0.0027999999999999982,1507_twonorm
0.004549999999999993,1510_wdbc
0.034799999999999984,1526_wall-robot-navigation
0.040600000000000004,1527_volcanoes-a1
0.06494999999999998,1535_volcanoes-b5
0.02705,1538_volcanoes-d1
0.09905,1539_volcanoes-d2
0.021200000000000004,1540_volcanoes-d3
0.07375000000000001,1541_volcanoes-d4
0.17365000000000003,1547_autoUniv-au1-1000
0.09794999999999998,1566_hill-valley
0.0259,1570_wilt
0.018300000000000007,16_mfeat-karhunen
0.0048500000000000045,182_satimage
0.003800000000000009,18_mfeat-morphological
0.014200000000000004,20_mfeat-pixel
0.03580000000000001,22_mfeat-zernike
0.10119999999999998,23_cmc
0.013449999999999995,28_optdigits
0.015349999999999999,292_Australian
0.006399999999999989,294_satellite_image
0.01935,30_page-blocks
0.0057500000000000094,312_scene
0.03140000000000001,333_monks-problems-1
0.25965,334_monks-problems-2
0.007999999999999998,335_monks-problems-3
0.004549999999999997,36_segment
0.010049999999999996,375_JapaneseVowels
0.049199999999999994,37_diabetes
0.023100000000000013,40474_thyroid-allbp
0.03490000000000002,40475_thyroid-allhyper
0.08805000000000002,40733_yeast
0.008799999999999999,44_spambase
0.04220000000000002,4538_GesturePhaseSegmentationProcessed
0.005900000000000007,458_analcatdata_authorship
0.023999999999999994,54_vehicle
0.01109999999999999,60_waveform-5000
0.5,679_rmftsa_sleepdata
0.013299999999999987,AedesQuinx
0.0048500000000000045,AedesSex
0.006900000000000006,anuranCalls
0.002750000000000012,ArabicDigit
0.004899999999999989,BNG
0.052100000000000014,click-prediction
0.029400000000000016,cmc
0.02035,covtype_reduced
0.039800000000000016,default_credit_card_clients
0.06455,eeg
0.009349999999999997,HTRU
0.058050000000000004,jm1-processed
0.04134999999999999,letter-recognition
0.01795,magic
0.019299999999999998,mozilla
0.005649999999999998,namao
0.0024500000000000034,occupancy
0.022850000000000002,phoneme
0.007599999999999996,spambase
0.002799999999999995,winetype
0.0142,2dplanes
0.03385000000000002,balloon
0.006199999999999989,bank8FM
0.08554999999999999,churn
0.00010000000000000009,clean2
0.0089,cpu_act
0.013599999999999982,delta_ailerons
0.02049999999999999,electricity-normalized
0.009100000000000006,elevators
0.11790000000000003,file79b563a1a18
0.013049999999999997,fried
0.021849999999999998,fri_c2_1000_10
0.231,GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1
0.3039,GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1
0.010849999999999981,gina_agnostic
0.018000000000000016,kin8nm
0.26020000000000004,parity5_plus_5
0.002099999999999995,pendigits
0.029649999999999982,phpGUrE90
0.004799999999999985,phphQEck0
0.015000000000000008,phpMD2hR6
0.5,phpmPOD5A
0.009450000000000014,phpV5QYya
0.04250000000000002,pol
0.41174999999999995,pollen
0.03860000000000002,puma32H
0.02405,puma8NH
0.25810000000000005,quake
0.01965,space_ga
0.004450000000000001,sylva_prior
0.000949999999999998,visualizing_soil
0.02145000000000001,wind
